# Burrows et al. 1997 models for t=0.100 Gyr
#--------------------------------------------------------
# M/Ms      Teff (K)    log L/Ls   log g (cgs)    R/Rs
#--------------------------------------------------------
 0.0005     216.500     -7.50102     2.93799    0.125914
 0.0010	    279.009     -7.06885     3.25039	0.124278
 0.0020	    380.767     -6.52936     3.55599	0.123626
 0.0030	    457.313     -6.20950     3.72809	0.124195
 0.0040	    526.164     -5.96666     3.85229	0.124301
 0.0050	    590.972     -5.76740     3.95074	0.124080
 0.0060	    654.195     -5.59476     4.03309	0.123628
 0.0070	    716.694     -5.44046     4.10397	0.123069
 0.0080	    778.735     -5.30083     4.16577	0.122531
 0.0090	    838.762     -5.17608     4.22076	0.121991
 0.0100	    899.145     -5.06121     4.26983	0.121526
 0.0120	    1108.85     -4.66396     4.33409	0.123633
 0.0150	    1366.59     -4.29162     4.41154	0.126434
 0.0200	    1428.81     -4.26999     4.58401	0.119700
 0.0300	    1950.48     -3.74251     4.77370	0.117841
 0.0400	    2400.24     -3.34621     4.86233	0.122872
 0.0500	    2640.21     -3.12395     4.90253	0.131162
 0.0600	    2796.18     -2.96798     4.92516	0.139985
 0.0700	    2905.16     -2.84721     4.93827	0.148936
 0.0720	    2923.16     -2.82576     4.93966	0.150807
 0.0750	    2949.15     -2.79569     4.94260	0.153398
 0.0800	    2988.14     -2.74842     4.94652	0.157715
 0.0900	    3054.14     -2.66436     4.95137	0.166350
 0.1000	    3108.85     -2.59041     4.95408	0.174802
 0.1100	    3155.12     -2.52241     4.95341	0.183476
 0.1200	    3194.61     -2.46239     4.95321	0.191679
 0.1500	    3288.89     -2.31254     4.95007	0.215079
 0.2000	    3400.08     -2.11704     4.93749	0.251975
#--------------------------------------------------------
