# Burrows et al. 1997 models for t=0.050 Gyr
#--------------------------------------------------------
# M/Ms      Teff (K)    log L/Ls   log g (cgs)    R/Rs
#--------------------------------------------------------
 0.0005	    255.375     -7.17284     2.89674    0.132039
 0.0010	    336.817     -6.71020     3.21971    0.128746
 0.0020	    462.084     -6.16909     3.53249    0.127016
 0.0030	    557.388     -5.84106     3.70394    0.127696
 0.0040	    644.154     -5.58914     3.82649    0.128048
 0.0050	    725.410     -5.38335     3.92296    0.128112
 0.0060	    803.672     -5.20659     4.00288    0.128004
 0.0070	    882.135     -5.04617     4.07093    0.127842
 0.0080	    958.508     -4.90415     4.12976    0.127718
 0.0090	    1028.90     -4.78317     4.18202    0.127556
 0.0100	    1096.83     -4.67495     4.22837    0.127468
 0.0120	    1307.27     -4.33724     4.28758    0.130433
 0.0150	    1945.12     -3.56819     4.29363    0.144817
 0.0200	    1850.72     -3.74136     4.50531    0.131053
 0.0300	    2383.74     -3.26463     4.64404    0.136812
 0.0400	    2642.16     -3.01382     4.69693    0.148646
 0.0500	    2804.15     -2.83785     4.72127    0.161598
 0.0600	    2912.13     -2.70712     4.73563    0.174119
 0.0700	    2992.14     -2.60172     4.74428    0.186207
 0.0720	    3006.13     -2.58302     4.74584    0.188510
 0.0750	    3026.11     -2.55626     4.74780    0.191964
 0.0800	    3056.10     -2.51411     4.75080    0.197574
 0.0900	    3109.09     -2.43743     4.75516    0.208512
 0.1000	    3151.90     -2.37095     4.75842    0.218967
 0.1100	    3189.10     -2.31026     4.75945    0.229380
 0.1200	    3223.60     -2.25434     4.76070    0.239238
 0.1500	    3306.90     -2.11445     4.76173    0.267159
 0.2000	    3399.08     -1.94562     4.76569    0.307086
#--------------------------------------------------------
