# Burrows et al. 1997 models for t=0.500 Gyr
#--------------------------------------------------------
# M/Ms      Teff (K)    log L/Ls   log g (cgs)    R/Rs
#--------------------------------------------------------
 0.0005	    151.033     -8.21748     3.02831    0.113480
 0.0010	    185.662     -7.84043     3.31327    0.115598
 0.0020	    247.582     -7.32446     3.60214    0.117229
 0.0030	    293.951     -7.02421     3.77380    0.117827
 0.0040	    335.515     -6.79607     3.89929    0.117753
 0.0050	    374.379     -6.61002     3.99977    0.117271
 0.0060	    411.856     -6.45108     4.08468    0.116499
 0.0070	    447.449     -6.31387     4.15813    0.115630
 0.0080	    482.451     -6.19017     4.22287    0.114735
 0.0090	    516.791     -6.07793     4.28085    0.113837
 0.0100	    551.212     -5.97454     4.33317    0.112980
 0.0120	    646.297     -5.69858     4.41998    0.111992
 0.0150	    741.072     -5.48666     4.53539    0.109633
 0.0200	    881.542     -5.21388     4.68910    0.106061
 0.0300	    1188.79     -4.73076     4.90104    0.101772
 0.0400	    1428.26     -4.43614     5.05030    0.098961
 0.0500	    1688.45     -4.16500     5.16765    0.096660
 0.0600	    2082.59     -3.80517     5.25068    0.096232
 0.0700	    2435.42     -3.50896     5.29388    0.098900
 0.0720	    2483.38     -3.46715     5.29781    0.099849
 0.0750	    2551.40     -3.40568     5.30112    0.101521
 0.0800	    2660.40     -3.30438     5.30029    0.104951
 0.0900	    2839.34     -3.11797     5.27810    0.114198
 0.1000	    2967.72     -2.96133     5.24390    0.125209
 0.1100	    3052.20     -2.84041     5.21348    0.136001
 0.1200	    3119.68     -2.73489     5.18574    0.146658
 0.1500	    3260.83     -2.49794     5.12032    0.176797
 0.2000	    3395.10     -2.23329     5.05123    0.221049
#--------------------------------------------------------
