HAWK_KS	NIRC2_KCONT	NICMOS_F170M	NIRC2_HCONT	NICMOS_F090M	NICMOS_F164N	2MASS_J	VISTA_H	WIRC_H	NICMOS_F140W	HAWK_BRG	HAWK_CH4	MKO_J_ATM	NICMOS_F160W	MKO_H_ATM	FOURSTAR_J1	2MASS_Ks	HAWK_J	NIRC2_K	WFCAM_Y	SDSS_I	FOURSTAR_H_SHORT	HAWK_H	SDSS_Z	NICMOS_F113N	WFCAM_K	WIRCAM_KCONT	FOURSTAR_J2	2MASS_K	PANSTARRS_Z	VISTA_KS	NICMOS_F166N	NICMOS_F110W	MKO_MP	PANSTARRS_W	NICMOS_F108N	UKIDSS_K	WIRCAM_Y	UKIDSS_J	NIRC2_KP	PANSTARRS_R	WIRCAM_CH4_ON	PANSTARRS_I	NICMOS_F110M	MKO_KP	NICMOS_F097N	WFC3_F127M	FOURSTAR_J3	NICMOS_F190N	HAWK_NB1190	VISTA_J	UKIDSS_Z	FOURSTAR_H	FOURSTAR_H_LONG	HAWK_Y	MKO_LP	FOURSTAR_J	cld	IRAC_CH1	NIRC2_J	BESSEL_I	2MASS_H	WFCAM_H	VISTA_Y	WIRCAM_CH4_OFF	FOURSTAR_K	fsed	PANSTARRS_G	WFC3_F139M	WISE_W4	HAWK_H2	WFC3_F167N	SDSS_U	NIRC2_LP	MKO_K	NICMOS_F165M	HAWK_NB1060	teff	z	HAWK_NB2090	WFCAM_BRG	WIRCAM_J	NIRC2_M	IRAC_CH2	MKO_J	logg	NIRC2_FE2	WFCAM_H2	SDSS_R	IRAC_CH3	WIRC_CH4L	WIRC_FE2	FOURSTAR_KS	WIRC_CO	NICMOS_F187N	NIRC2_H	WIRCAM_H	MKO_H	WISE_W1	VISTA_Z	MKO_K_ATM	WFCAM_J	UKIDSS_Y	WIRC_CH4S	NICMOS_F145M	PANSTARRS_Y	kzz	WIRCAM_KS	NIRC2_KS	2MASS_KS	WISE_W3	WIRC_PABETA	WFC3_F164N	SDSS_G	WIRC_K	UKIDSS_H	WFCAM_Z	NICMOS_F095N	WISE_W2	WIRC_BRGAMMA	IRAC_CH4	WIRC_J
-33.20343624343743	-31.400136790538188	-33.19496381052991	-33.98998166354152	-30.238621328139427	-33.72695320453546	-33.09714006014941	-33.33755956622193	-33.95500693503766	-32.93893423905531	-33.49541126756528	-33.622911849099346	-33.52872505787553	-32.944608415472935	-33.40096734883495	-32.69433879399323	-33.28817642954604	-33.75588547692685	-33.17034627929771	-32.548487633206534	-25.17649347481036	-33.36304828717648	-33.27491678561917	-30.277836890057912	-31.486304357332713	-33.0367635021159	-32.03504107295516	-32.4820311944865	-33.28817642954604	-29.43242367421718	-33.27592907213886	-33.39277417565848	-32.282061710739065	-36.179160463071625	-23.648271558179328	-33.206994417116555	-33.117573727157094	-32.38927546409374	-33.66989377326901	-33.14698071163909	-23.424697450290658	-33.19775927496033	-25.143468628403948	-32.44909910466832	-33.15448448394536	-31.3013495376589	-34.04720235231955	-33.722620997365176	-32.17341785365134	-32.54929392185595	-33.60731635259125	-29.80637033523489	-33.31908338866367	-33.156811281294324	-32.31090250727129	-35.09331547565022	-33.33068318210192	nc	-34.162765333795505	-33.66269741225939	nan	-33.10835933637719	-33.34885682824814	-32.302772320919736	-33.74617628095007	-33.33068318210192	nc	nan	-29.6839450219358	-37.26092153028076	-33.839829757541345	-33.31729529260671	nan	-35.1019175087833	-33.151133906416874	-33.539503377097965	-32.9377944381889	1000.0	-0.0001	-33.926107984673095	-33.18172789246246	-33.7037653580393	-36.18299417494626	-36.07582852769889	-33.66906964039825	5.0	-33.69419532655404	-33.715805176380776	-22.822648569034012	-35.568508043637735	-33.26841808687395	-33.68266927489719	-33.33068318210192	-31.546648716226823	-31.64327193836509	-33.291578969203904	-33.32397639005124	-33.29919503125033	-33.61957730656731	-29.694610604806414	-33.036946698208716	-33.69260270976298	-32.486209653282025	-33.723936894430906	-31.80639051737122	-31.29712709363136	eq	-33.235622090968604	-33.265893604792005	-33.28817642954604	-36.893584669160866	-34.070614829945285	-33.70167313857259	nan	-31.391153281596257	-33.33422916743426	-29.777193315862313	-30.907897588439557	-36.09755626011681	-32.95662641569537	-35.90667931555344	-33.60038654087702
-33.385987418759036	-31.073149666343095	-33.22967855059221	-33.83070094313289	-30.33968242112653	-33.805151819892885	-33.03884773698719	-33.27889654424527	-33.73031681267739	-32.85931633155175	-33.56933632306395	-33.49521001278492	-33.25882461535498	-32.909145670184756	-33.41752620669809	-32.626979423884876	-33.473500119326836	-33.67351790413385	-33.33667213750522	-32.48305209787434	-25.734437234359994	-33.244774697928705	-33.18401669358587	-30.383649763788867	-31.408535212920846	-33.19034762793421	-31.82562673103241	-32.40106574978527	-33.473500119326836	-29.668057470667357	-33.4878363738536	-33.436281402633576	-32.2007025174275	-36.09563211524393	-24.18502035844545	-33.206934448337	-33.27495454409358	-32.32637967955029	-33.55045012644733	-33.37808184096335	-23.904605438123557	-33.18127778292827	-25.70227232648684	-32.372337339272455	-33.40539221536229	-31.300070324431886	-33.962320493690264	-33.63542783204754	-32.602800879215785	-32.28350866848588	-33.5028000803315	-30.01218154481532	-33.25431670051799	-33.202714501681456	-32.2604472284208	-34.88222198865599	-33.228122746298034	nc	-33.931493369301094	-33.56493736096359	nan	-32.85053340059527	-33.29004128417988	-32.23177895851854	-33.62611334999834	-33.228122746298034	nc	nan	-30.169426469742568	-37.37193007545009	-34.05457632740672	-33.4032465902413	nan	-34.89238820137694	-33.314089512856285	-33.474086017046425	-32.89727540069187	1000.0	-0.0001	-34.17667024993572	-33.21976615970422	-33.60446600536132	-36.09060793123184	-36.00466621962497	-33.5688797788236	4.0	-33.7834761808095	-33.87291038561567	-23.29107348250341	-35.72053839269575	-33.293067885861106	-33.7727320776434	-33.228122746298034	-31.175656927177503	-32.12525840426594	-33.21962438260839	-33.2689463339747	-33.234314933085166	-33.47475903162773	-29.920116724955456	-33.159892685503515	-33.58645572744942	-32.41942968830865	-33.640532661715795	-31.80622749113557	-31.33596798045124	eq	-33.430783690058206	-33.472022711561245	-33.473500119326836	-37.096063094746434	-33.94762146159567	-33.77819387919303	nan	-31.138694658469092	-33.28206392490864	-29.998106625317263	-30.955685679424796	-36.02547970844982	-32.952652694007504	-36.01369910803231	-33.463150523522344
-33.48699643240024	-31.092165538748976	-33.32845858807928	-33.55303707388201	-30.373677494904324	-33.89530840761749	-32.877431488487716	-33.239830507220354	-33.37482563735522	-32.722528699248166	-33.68849283978547	-33.28231216394733	-32.87227999853003	-32.87818999011086	-33.46212042941341	-32.537361548206256	-33.563930624026995	-33.4447820157322	-33.41643666290785	-32.3923660157634	-26.112146221231548	-33.058978895261994	-33.11779995123311	-30.453291768446853	-31.24919401695553	-33.28288013724294	-31.92104662084209	-32.23377652954293	-33.563930624026995	-29.936267830353046	-33.59101499131522	-33.58346221207276	-32.0375599647277	-36.00375263493397	-24.573072426591235	-33.12605846785975	-33.36053404307978	-32.213044438276725	-33.32189397329052	-33.51915172313099	-24.36486110813135	-33.32814560523087	-26.05618557715418	-32.24552160507669	-33.54589318719004	-31.134374803564558	-33.76631417264026	-33.44021948824299	-32.88867616824031	-32.00495747862497	-33.2900542507794	-30.2439622820753	-33.205867428321135	-33.34468480240653	-32.148322922294255	-34.918365715000796	-33.017265244277134	nc	-33.97774579953918	-33.359039735045634	nan	-32.73594855363205	-33.24865914396804	-32.136449000192584	-33.42797967510204	-33.017265244277134	nc	nan	-30.51144654359976	-37.57283735934402	-34.15328721911684	-33.624015118182385	nan	-34.93011622446365	-33.39627870709403	-33.426678271997304	-32.70897935107011	1000.0	-0.0001	-34.23417630568291	-33.351026574518784	-33.38756753155906	-35.99673592231147	-35.97545170766172	-33.3516349020981	3.0	-33.864483778545356	-33.98009798988155	-23.731971484735368	-35.967094853132586	-33.41826735603922	-33.88380675551913	-33.017265244277134	-31.08407772675898	-32.54662533845175	-33.141546655356755	-33.221723886266204	-33.190807540688574	-33.601203433463596	-30.173947344782718	-33.19531512023728	-33.37151464412365	-32.319729255284216	-33.529946739348965	-31.75249710641674	-31.281534965865934	eq	-33.53040357753769	-33.58509023617933	-33.563930624026995	-37.29098171734424	-33.7438960961083	-33.85636047103226	nan	-31.233307948697856	-33.235992627641224	-30.245298086316556	-30.8481892527562	-36.01239060693231	-33.07522404232439	-36.22344230861202	-33.13435771357996
-33.352932907204924	-31.135461793616454	-33.21773697261926	-33.88841997840756	-30.319162425493587	-33.78881802214704	-33.061606339416386	-33.296309854352984	-33.808228415500054	-32.8840598314672	-33.562514651625754	-33.53823889861444	-33.3400088393436	-32.919605551429704	-33.41317149908649	-32.63856878197933	-33.44444353922227	-33.708659379306205	-33.311441149750195	-32.4940024400033	-25.62226404264626	-33.28387372192817	-33.20856694643045	-30.36003616538903	-31.43381304241995	-33.16732262769599	-31.86644435375781	-32.427036067678024	-33.44444353922227	-29.613545845406772	-33.451788155538786	-33.417506887812046	-32.22698742540505	-36.11588647595106	-24.073314428274927	-33.20977758381289	-33.25060837324315	-32.338948067755304	-33.59125891292625	-33.33222777352426	-23.79551883874945	-33.17376370259539	-25.590439185132233	-32.39074089782212	-33.35760801768271	-31.306563055596005	-33.99487102226119	-33.66758046530548	-32.4960253385965	-32.35461404849119	-33.5392312071769	-29.964083908947728	-33.273123627273044	-33.18417828724175	-32.26867690071283	-34.919088688703845	-33.264001899198966	nc	-33.97074659755993	-33.60021255925591	nan	-32.918163577357134	-33.30776869543312	-32.24321259470411	-33.668137657511956	-33.264001899198966	nc	nan	-30.03902306349463	-37.33566607221079	-34.02398783749422	-33.37120106132889	nan	-34.928887689391665	-33.28919073295728	-33.49448139247298	-32.907062765890586	1000.0	-0.0001	-34.14261939128122	-33.218895438315556	-33.64023143531665	-36.112337464081264	-36.019284290599415	-33.60486550558562	4.2504200023088945	-33.764328657015554	-33.85206747174625	-23.17824053938194	-35.67376832497247	-33.280410415561505	-33.7497092383136	-33.264001899198966	-31.258064364381756	-31.99576691650079	-33.24149400690104	-33.28550342183253	-33.25175583076016	-33.49356273578326	-29.86762398699917	-33.14364603732126	-33.623492955249176	-32.43112798537211	-33.670016963482006	-31.802017018592682	-31.327738020158094	eq	-33.39687843559456	-33.43463536283001	-33.44444353922227	-37.04073610931269	-33.984694124857626	-33.762504296983785	nan	-31.17741535047992	-33.29817623110083	-29.94667151149919	-30.947497419425773	-36.038035488860636	-32.95889392793007	-35.978398263152755	-33.512254671468554
-33.06744769335591	-31.60328019665776	-33.18137106791486	-33.98602484574901	-30.186870589414482	-33.65045294709863	-33.119684956680054	-33.34507396329379	-33.96635799389415	-32.96250654124306	-33.3871463904263	-33.64019036113792	-33.606469091373235	-32.952298572144315	-33.3885398963007	-32.71871944967877	-33.14187982614688	-33.76054918784179	-33.03266541730003	-32.572517839666716	-24.82824260724295	-33.381348612262954	-33.300657356094405	-30.21659202231656	-31.595310806981658	-32.91357925183413	-32.14790672103556	-32.528860022650406	-33.14187982614688	-29.27160089173477	-33.1204363027375	-33.3624604035295	-32.30572822311493	-36.213591410161406	-23.30939408547644	-33.16740896773539	-32.989353223455204	-32.41148756568397	-33.6961643726527	-32.99900359761177	-23.099698287520226	-33.21458820262451	-24.799596075912508	-32.49114087954978	-32.99236362108913	-31.311400217783174	-34.05324477546913	-33.73404819417224	-32.0095548266019	-32.68858230862934	-33.63050515391221	-29.666137109291476	-33.33035042625147	-33.14950482439774	-32.335317591192705	-35.23200455443239	-33.35754799212165	nc	-34.3255084101862	-33.68080494296602	nan	-33.19612611693797	-33.354920121534676	-32.33993112738021	-33.75156078413669	-33.35754799212165	nc	nan	-29.57530705508951	-37.23023703035133	-33.64410842899449	-33.287317830894295	nan	-35.239830672533124	-33.01737674587723	-33.5403362320299	-32.93424153339952	1000.0	-0.0001	-33.70097518397521	-33.10453867181461	-33.722186010419634	-36.223596927608334	-36.127219025973616	-33.688207733172575	5.477121254719663	-33.62152904632535	-33.55451606647939	-22.524468902411652	-35.52023624706751	-33.26384345762891	-33.61566580273994	-33.35754799212165	-31.754559040125304	-31.495082418861514	-33.30691524082446	-33.33308717138582	-33.31629504017839	-33.73519508983903	-29.544698125735298	-32.927890020937724	-33.714547926735094	-32.5106320997857	-33.715285887526136	-31.852270885323563	-31.29620553229205	eq	-33.092055017264634	-33.118987129182464	-33.14187982614688	-36.816415122103805	-34.102761476256774	-33.62930092582687	nan	-31.592028953252456	-33.3406676007364	-29.63146232358868	-30.91300501464199	-36.14777597691878	-32.91152628536484	-35.87815113907857	-33.62113863266703
-33.31683246530372	-31.206150696461542	-33.211246848485466	-33.932282745582675	-30.30006223407087	-33.77550061747138	-33.07643098398271	-33.31289403257446	-33.8683454615778	-32.90522765271058	-33.55490971085057	-33.572199708991945	-33.406662392247185	-32.930027324800434	-33.41130018167525	-32.65689061090262	-33.40953919276929	-33.731933730990534	-33.28109880667964	-32.51230776527709	-25.510186668997235	-33.31554330758073	-33.23208857750338	-30.34005542029724	-31.451512109597456	-33.139710111383664	-31.915012684109616	-32.447459935189144	-33.40953919276929	-29.56547220650091	-33.410627901032605	-33.408824261878046	-32.24875986208316	-36.14041411919267	-23.96565220510866	-33.21238684226366	-33.22178881835204	-32.35717312517225	-33.62215624780815	-33.28458121664109	-23.702053706010563	-33.17786588783285	-25.47759396742553	-32.41088614210583	-33.30647265058603	-31.308981590197543	-34.01770804074377	-33.69088101400201	-32.39618943835034	-32.41760349462783	-33.5664543051354	-29.922104031186493	-33.2910506430554	-33.17400870633281	-32.283459404702356	-34.96444905363413	-33.29063169931472	nc	-34.01925971708195	-33.62603038020609	nan	-32.981629875520156	-33.32448853576891	-32.26234582532725	-33.701051473545505	-33.29063169931472	nc	nan	-29.923816447922395	-37.30902578063158	-33.98634445702593	-33.35167375963479	nan	-34.97390343825776	-33.259344627734336	-33.51332159844612	-32.924388347817185	1000.0	-0.0001	-34.09763475809943	-33.218354462251995	-33.66643807182588	-36.13810884846147	-36.0364504175485	-33.631267501590905	4.477121254719663	-33.747738533035374	-33.82681586239401	-23.085668000802638	-35.63809867016115	-33.27561073485311	-33.73205794289923	-33.29063169931472	-31.34044818855527	-31.880598896118123	-33.2610216765243	-33.301000785917196	-33.26911090244839	-33.52264557120997	-29.82116303248403	-33.121355330716675	-33.65114358497564	-32.45002631365289	-33.69425748964837	-31.800304226744128	-31.320315567471365	eq	-33.35875954587961	-33.393813572851606	-33.40953919276929	-36.9944967651504	-34.015540804642654	-33.749339756264895	nan	-31.228195586472314	-33.313111536994306	-29.90105222175504	-30.937330707473674	-36.05475225248164	-32.96660232964164	-35.952577413907406	-33.548279332020925
-33.44782984991752	-31.016254028816167	-33.27669914566729	-33.69166923118436	-30.3671635108644	-33.85406637638711	-32.96667697785128	-33.254343026237564	-33.547892968102275	-32.79558646116545	-33.61221873654652	-33.391735091411505	-33.06672941864647	-32.894332551553994	-33.437850829290284	-32.5939727367743	-33.52591426052412	-33.56698644915431	-33.38271314907401	-32.45034332537694	-25.93763650250825	-33.15451333604047	-33.14484296730202	-30.42723087434716	-31.332162868366584	-33.23646767296341	-31.815096597308916	-32.32642359737768	-33.52591426052412	-29.804410175273418	-33.55119503158682	-33.509212743876155	-32.126352270732156	-36.04740007862454	-24.392883586242853	-33.184000651215186	-33.32194731335781	-32.28394190690886	-33.4412373371159	-33.46512564593082	-24.13103376104739	-33.24401544862417	-25.90003732091622	-32.3188939686879	-33.492727946165374	-31.242289153624032	-33.86974087279097	-33.54456273499978	-32.797284943948604	-32.139646259175045	-33.40296237256915	-30.132743723435134	-33.225954194745654	-33.27013130839836	-32.22180107843509	-34.864672078037614	-33.12913080346072	nc	-33.909341786421386	-33.46713262698845	nan	-32.75161307069436	-33.264481458330735	-32.19655135910743	-33.52777363724979	-33.12913080346072	nc	nan	-30.40081452076968	-37.47019451796799	-34.10908495936502	-33.50985944037963	nan	-34.8756841478695	-33.36030867355059	-33.44401959682388	-32.830635340066394	1000.0	-0.0001	-34.22035317175985	-33.260040851586716	-33.50339386517386	-36.04075721654101	-35.986896767458376	-33.46748541326852	3.4771212547196626	-33.83079921081984	-33.922952327926524	-23.517608592924315	-35.83896253172253	-33.3500864982596	-33.835337290279774	-33.12913080346072	-31.059898702900192	-32.38505971240423	-33.17866656696211	-33.24274840512043	-33.20934843879539	-33.49555137559716	-30.05060490612766	-33.18317995057236	-33.48525393191941	-32.382084385052615	-33.58182631978988	-31.801641611349144	-31.32735861987144	eq	-33.492550085008304	-33.5412884126514	-33.52591426052412	-37.20667526136869	-33.848995303088095	-33.822456472771194	nan	-31.127313286163755	-33.25653174109406	-30.125750138183687	-30.93124686925952	-36.01483358240116	-32.9836726593349	-36.10891606176636	-33.316815903256014
-33.261254044532315	-31.299901161784327	-33.198590044198355	-33.96758281605671	-30.264517705742193	-33.75044800615462	-33.08605648051288	-33.3244530673856	-33.92038341581217	-32.921235268615916	-33.529152127507594	-33.6000300564003	-33.47291585808294	-32.93535413517571	-33.403022110914684	-32.67043906643921	-33.35131212760616	-33.746950462093125	-33.2284833441093	-32.52463355795203	-25.34874129579096	-33.34139661829637	-33.25256387657029	-30.304854920583697	-31.462085238210644	-33.090412440770656	-31.97347576204203	-32.46216740407538	-33.35131212760616	-29.498366879229234	-33.345085658857826	-33.396836518056226	-32.26458629155818	-36.158534844544874	-23.81258177719048	-33.207999004920744	-33.17192149526937	-32.36757035587008	-33.64853861725611	-33.215588975343124	-23.5717516776135	-33.18247644328604	-25.31538295319225	-32.425118161630294	-33.230883030858315	-31.299132578685903	-34.035188545920306	-33.708972533452936	-32.27420441250271	-32.48201715756161	-33.58880093251577	-29.862861234800242	-33.30431163527203	-33.15933748577026	-32.29041900060662	-35.025787153790475	-33.312181943307046	nc	-34.08712653713537	-33.6465677391532	nan	-33.04708112401986	-33.33603673527929	-32.27568792994957	-33.72674725583426	-33.312181943307046	nc	nan	-29.784670568626225	-37.28159754051084	-33.91874441718259	-33.327873007534606	nan	-35.03481097056642	-33.207720588211025	-33.52646388869076	-32.924349274915755	1000.0	-0.0001	-34.01875198036318	-33.20274068165774	-33.687370113444345	-36.159350513556014	-36.053661421398324	-33.65243070861573	4.748188027006201	-33.71902857048191	-33.77643944195535	-22.962796205320263	-35.59901997736336	-33.266758327872694	-33.70463697813528	-33.312181943307046	-31.44223101659808	-31.7472641257487	-33.275553064427434	-33.3114143843991	-33.282763841744114	-33.567561853165294	-29.75647830739977	-33.08050201073722	-33.67402240457437	-32.462277224374915	-33.71124239257822	-31.79658166642822	-31.301323342381163	eq	-33.29863256984317	-33.331027654148514	-33.35131212760616	-36.939797377134546	-34.04660813931279	-33.72425340636991	nan	-31.302431853157294	-33.32267261842417	-29.837458573798394	-30.914444128707043	-36.073137546144764	-32.96339132083676	-35.9259053483936	-33.57765425649551
-33.42162709840964	-31.036039273942873	-33.25271672403641	-33.766898598614766	-30.348313212537768	-33.82908003813267	-33.00456057299063	-33.26769279008144	-33.64515195010965	-32.82779299536085	-33.59041779187401	-33.44895614859903	-33.16606538969489	-32.903993552945586	-33.42806122174502	-32.60479744581248	-33.50401645997209	-33.623484810075055	-33.36386558894211	-32.46009952062472	-25.842064806004124	-33.2044728530574	-33.165919657049926	-30.399370961805122	-31.374427831810014	-33.21659826665925	-31.812940352923786	-32.366071503212	-33.50401645997209	-29.728165008800644	-33.52467786165189	-33.46991352903678	-32.162687195997776	-36.07550888669213	-24.294028687636242	-33.197188108019375	-33.30224302032438	-32.2988452565836	-33.497598000399854	-33.426608474281146	-24.01573229316872	-33.20858311843912	-25.809040584845498	-32.342491459615474	-33.454406526189175	-31.27165847830379	-33.91698693683464	-33.591269414637736	-32.71025243644814	-32.21185439131737	-33.454472339897045	-30.064232057192793	-33.2414127160112	-33.23493223876977	-32.234242462223044	-34.86699957794711	-33.18045583666506	nc	-33.912617641677095	-33.51743021163072	nan	-32.79686172865739	-33.27838447289141	-32.20606664909254	-33.581599651441834	-33.18045583666506	nc	nan	-30.299264303954217	-37.415107061505125	-34.085723211336415	-33.45185714148518	nan	-34.877578213185494	-33.341223117117636	-33.45974290548787	-32.859155656297	1000.0	-0.0001	-34.20478713366173	-33.23850708353966	-33.55604060037057	-36.069365123581136	-35.99723073920033	-33.52029552824005	3.7481880270062007	-33.808072303382474	-33.9000748013787	-23.405362611019065	-35.77530138215867	-33.31960946340422	-33.803931160969576	-33.18045583666506	-31.112188690402235	-32.26289047325298	-33.20179545038044	-33.25756550520865	-33.2232435978898	-33.47604646587942	-29.976754258151775	-33.17691906195514	-33.53738787607637	-32.39379584215157	-33.61324822904665	-31.81161066582442	-31.327280526183863	eq	-33.46668467669988	-33.511451479621776	-33.50401645997209	-37.151601243785464	-33.899897794659644	-33.800787553429494	nan	-31.125021980544425	-33.27104438566295	-30.053243907839867	-30.944229263962374	-36.02069794039827	-32.966138630785565	-36.05603008077053	-33.39648824490123
-33.48411997555119	-31.79633577670792	-33.49332845349983	-34.20308578344678	-30.52896352803438	-34.01125838688565	-33.32518300841865	-33.60802762371706	-34.166501841590076	-33.17076878177982	-33.79849676308167	-33.86389926941789	-33.74399817105002	-33.2182058060044	-33.67460538375632	-32.87459876289661	-33.56253958174954	-33.971330632374865	-33.45614565918289	-32.72226356515387	-25.587221588880507	-33.61247926831123	-33.54361137274329	-30.543405942406284	-31.87069681310846	-33.327993780216595	-32.403320274063915	-32.740028283327895	-33.56253958174954	-29.72040925843091	-33.55997743370341	-33.683899261656904	-32.503124251869615	-36.26093164582368	-24.055837246308624	-33.39579367866658	-33.404595016939936	-32.57229472652743	-33.88373161338773	-33.43448641668959	-23.818977617900337	-33.51104956328301	-25.555585412596457	-32.666173742417456	-33.44341793260655	-31.596479090004216	-34.2499861893431	-33.93398153179279	-32.51102268471521	-32.798374661612	-33.822291527737384	-30.091699180852196	-33.589759508325166	-33.46575724116072	-32.494012860747105	-35.25514971424161	-33.55365305050447	nc	-34.345473259524205	-33.87786899867776	nan	-33.38968064230527	-33.61857738932495	-32.48155846698986	-33.985683446741334	-33.55365305050447	nc	nan	-30.13890399399851	-37.33384063961063	-34.11020064496979	-33.61976818586412	nan	-35.263687411235026	-33.436368812226206	-33.807667541675784	-33.096156266428984	1050.0	-0.0001	-34.18201531146397	-33.49309464215703	-33.91784426427161	-36.262984647578904	-36.18673712942097	-33.88381572462762	5.0	-33.98192905546469	-33.9954570044917	-23.219522380637073	-35.73911730071246	-33.57489460622653	-33.96962505139549	-33.55365305050447	-31.933294688891422	-31.9888854623964	-33.559695964395736	-33.59338249831052	-33.567903869569115	-33.81609242336815	-29.981413974583013	-33.32080982372458	-33.90590108914901	-32.66228022919988	-33.9771201639747	-32.0974161690073	-31.55740933386197	eq	-33.51922569766866	-33.55111442778076	-33.56253958174954	-37.0148755535821	-34.305637045846375	-33.99370159931981	nan	-31.793288710062253	-33.603484885743626	-30.0638929925427	-31.24056698268452	-36.20109233245397	-33.27413850419217	-36.04862318014229	-33.81280693763339
