DESIGNATION
J00064325-0732147
J00085391+2050252
J00115302+2259047
J00165629+0507261
J00182256+4401222
J00182549+4401376
J00283948-0639481
J00313539-0552115
J00321574+5429027
J00383388+5127579
J00412078+5550044
J00501752+0837341
J01025097+1856543
J01112542+1526214
J01115562+0455048
J01184018-0052275
J01221027+2209032
J01253666+0945244
J01431186+2101106
J01434512-0602400
J02001278+1303112
J02021620+1020136
J02022237+0115429
J02042754-0152560
J02043481+1249453
J02121687+1131017
J02132062+3648506
J02224082+3055161
J02322843+5313459
J02361535+0652191
J02362715+5528349
J02530084+1652532
J02532611+1724324
J02553573+2652208
J02591060+3636402
J02591670+3146245
J03044335+6144097
J03132299+0446293
J03144720+1127272
J03171220+4522220
J03184260+6036275
J03233916+0541153
J03302331+3440325
J03323578+2843554
J03343959-0450329
J03360868+3118398
J03364083+0329194
J03480588+4032226
J03510078+1413398
J03524169+1701056
J03590624+1510493
J04010755+5123196
J04040615+3042454
J04125880+5236421
J04223199+1031188
J04275352+1146548
J04302527+3951000
J04380252-0556132
J04392320+3331494
J04425581+1857285
J04425586+2128230
J04471225+2038109
J04472104+2808531
J04481445+3236550
J04484738+1003025
J04520573+0628356
J04542981+6504411
J04551458+1828565
J04555445+0440164
J04590765+1651547
J04595855-0333123
J05015665+0108429
J05015746-0656459
J05061292+0439272
J05095249+5511207
J05184455+4629597
J05211022+5545514
J05285650+1231539
J05295269+3204524
J05312734-0340356
J05341507+1019091
J05402570+2448090
J05461937+0112471
J06032957+4748155
J06073185+4712266
J06140240+5140081
J06171064+0507024
J06180390+4357073
J06192078-0639215
J06222070+3326564
J06295027-0247454
J06315073+4129458
J06331209+0527531
J06490542+3706533
J06505947-0910506
J06521804-0511241
J06563093+4401567
J07032317+3441509
J07035565+5242075
J07100180+3831457
J07171706-0501031
J07310129+4600266
J07362513+0704431
J07464203+5726534
J07494215-0320338
J07590587+1523294
J08083284+5304377
J08103429-1348514
J08155393+3136392
J08175130+3107455
J08294949+2646348
J08313759+1923395
J08313759+1923395
J08342587-0108391
J08370799+1507475
J08372285+2612245
J08401597+3127068
J08405923-2327232
J08412013+5929505
J08444536+1813072
J08524084+2818589
J08581519+1945470
J08581519+1945470
J08585633+0828259
J09003254+4635117
J09005033+0514293
J09093060+3249091
J09161018+0153088
