IR-only Principal Component Eigenvectors and Mean Channel Value

Wavelength	PC1'	PC2'	PC3'	PC4'	PC5'	Channel Mean
0.85	-0.3182	-0.0292	0.5591	-0.4192	0.2783	0.9347
0.9	-0.3458	0.1067	0.3287	-0.2147	-0.0552	0.9081
0.95	-0.3160	0.1929	0.1050	-0.0591	-0.0862	0.9048
1	-0.2283	0.2385	-0.0432	0.0891	0.0428	0.9180
1.05	-0.1259	0.2334	-0.0483	0.1574	0.0541	0.9355
1.1	-0.0558	0.1629	-0.0103	0.0972	0.0199	0.9580
1.15	-0.0205	0.0683	0.0021	0.0071	0.0259	0.9824
1.25	0.0173	-0.0499	0.0140	0.0844	-0.0337	1.0113
1.3	0.0303	-0.1100	0.0410	0.1694	-0.0173	1.0232
1.35	0.0315	-0.1845	0.0622	0.2066	0.0481	1.0367
1.4	0.0215	-0.2508	0.0786	0.2028	0.0856	1.0463
1.45	-0.0002	-0.3096	0.0842	0.1624	0.1178	1.0532
1.5	-0.0335	-0.3496	0.0769	0.1011	0.1325	1.0543
1.55	-0.0749	-0.3610	0.0531	0.0377	0.1181	1.0506
1.6	-0.1187	-0.3411	0.0196	-0.0132	0.0491	1.0410
1.65	-0.1588	-0.2968	-0.0183	-0.0337	-0.0354	1.0280
1.7	-0.1929	-0.2395	-0.0558	-0.0333	-0.1398	1.0125
1.75	-0.2196	-0.1794	-0.0954	-0.0298	-0.2266	0.9985
1.8	-0.2386	-0.1247	-0.1300	-0.0200	-0.2688	0.9859
1.85	-0.2500	-0.0751	-0.1634	-0.0054	-0.2431	0.9766
1.9	-0.2541	-0.0297	-0.1880	0.0148	-0.1861	0.9693
1.95	-0.2511	0.0093	-0.2007	0.0356	-0.1080	0.9633
2	-0.2410	0.0373	-0.2031	0.0562	-0.0038	0.9598
2.05	-0.2239	0.0513	-0.1930	0.0861	0.1300	0.9600
2.1	-0.2012	0.0549	-0.1657	0.1236	0.2481	0.9625
2.15	-0.1742	0.0547	-0.1131	0.1678	0.3181	0.9649
2.2	-0.1450	0.0543	-0.0414	0.2083	0.3182	0.9664
2.25	-0.1161	0.0554	0.0373	0.2408	0.2546	0.9673
2.3	-0.0881	0.0577	0.1215	0.2713	0.1320	0.9673
2.35	-0.0613	0.0616	0.2098	0.3044	-0.0354	0.9672
2.4	-0.0361	0.0654	0.2957	0.3383	-0.2299	0.9674
2.45	-0.0142	0.0673	0.3689	0.3655	-0.4247	0.9669
