#wavelength (micron)	surface_flux (erg / (cm2 micron s))
0.7	5766501035.803633
0.7008749999999999	8598101817.256088
0.70175109375	10138937181.428522
0.7026282826171873	10348793328.79924
0.7035065679704589	10549742208.041832
0.7043859511804219	10780287508.257097
0.7052664336193974	10742295037.79866
0.7061480166614217	10446574624.194872
0.7070307016822485	10342291341.950106
0.7079144900593511	10365668081.76323
0.7087993831719255	10173371632.241848
0.7096853824008903	9967810921.28051
0.7105724891288914	9993424781.131851
0.7114607047403024	10063451449.958323
0.7123500306212278	9893167555.620716
0.7132404681595043	9536447746.470026
0.7141320187447037	9333872023.888268
0.7150246837681346	9347567478.427494
0.7159184646228446	9548266224.11323
0.7168133627036232	9794517578.47384
0.7177093794070027	9916475905.876966
0.7186065161312616	9955959649.044046
0.7195047742764256	9937653423.403135
0.7204041552442711	9853889571.785795
0.7213046604383263	9892807510.019268
0.7222062912638743	10142624442.261871
0.723109049127954	10351686789.113121
0.7240129354393641	10406090155.055458
0.7249179516086632	10405231161.820904
0.725824099048174	10493085960.614017
0.7267313791719842	10636543734.652145
0.7276397933959492	10712840586.397243
0.728549343137694	10747510321.908451
0.7294600298166162	10802925683.460812
0.730371854853887	10864232687.041546
0.7312848196724542	10873503929.863598
0.7321989256970448	10788020577.748163
0.7331141743541661	10767298788.041548
0.7340305670721088	10912210407.932962
0.7349481052809489	10968746730.56665
0.7358667904125501	10886788951.833668
0.7367866239005658	10948599480.238874
0.7377076071804415	11116270194.80776
0.738629741689417	11136864958.999783
0.7395530288665286	11071575128.880804
0.7404774701526119	11059481188.55865
0.7414030669903027	11078426142.438082
0.7423298208240404	11115449937.227802
0.7432577331000705	11165882994.008087
0.7441868052664457	11154392146.649624
0.7451170387730286	11112598610.497734
0.7460484350714948	11110682352.819641
0.7469809956153342	11155847969.47152
0.7479147218598534	11221903694.873053
0.7488496152621781	11199585138.40658
0.7497856772812559	11136992937.98982
0.7507229093778575	11151870064.307999
0.7516613130145797	11194992849.6511
0.7526008896558479	11231668663.803411
0.7535416407679177	11270103424.930069
0.7544835678188776	11297076027.344336
0.7554266722786511	11293090693.527578
0.7563709556189995	11274009716.574242
0.7573164193135232	11257372971.129435
0.758263064837665	11203774940.04815
0.7592108936687122	11142862923.458088
0.760159907285798	11130207485.788128
0.7611101071699052	11106444475.185738
0.7620614948038675	11065133826.262928
0.7630140716723723	11062028873.490673
0.7639678392619629	11061658713.145493
0.7649227990610402	10995924005.258419
0.7658789525598665	10740109090.84697
0.7668363012505663	10501416140.268188
0.7677948466271296	10623327098.367865
0.7687545901854135	10766059859.253012
0.7697155334231451	10653667318.6852
0.7706776778399241	10606034508.08331
0.771641024937224	10706037984.604818
0.7726055762183955	10791158627.629316
0.7735713331886686	10839853980.201464
0.7745382973551542	10791323548.773582
0.7755064702268482	10727155202.381317
0.7764758533146318	10774529053.8642
0.7774464481312751	10815481806.394424
0.7784182561914391	10784579505.088139
0.7793912790116784	10772888434.224487
0.780365518110443	10825477679.435175
0.781340975008081	10884151962.870726
0.782317651226841	10867842011.462196
0.7832955482908746	10779686569.24851
0.7842746677262382	10763343904.85457
0.7852550110608959	10834507222.364408
0.7862365798247221	10888212925.200106
0.7872193755495029	10917472149.004515
0.7882033997689398	10935046842.743677
0.7891886540186509	10947579921.692715
0.7901751398361742	10936436484.850344
0.7911628587609694	10888975937.804266
0.7921518123344207	10876476254.746965
0.7931420020998386	10875754237.54345
0.7941334296024635	10819596513.822086
0.7951260963894664	10819268599.274765
0.7961200040099533	10918527956.1316
0.7971151540149657	10978450237.731558
0.7981115479574844	10964369010.37362
0.7991091873924312	10941647334.84853
0.8001080738766717	10934952098.21068
0.8011082089690176	10970150716.52263
0.8021095942302288	10985584566.738981
0.8031122312230166	10964270040.748898
0.8041161215120453	10951934951.113186
0.8051212666639354	10945236503.484911
0.8061276682472652	10960039524.893131
0.8071353278325744	10942089327.91725
0.808144246992365	10921164193.38782
0.8091544273011054	10946085291.67326
0.8101658703352317	10973032203.797602
0.8111785776731507	10988097576.948305
0.8121925508952421	10997660088.056856
0.8132077915838613	11017900156.07028
0.8142243013233411	11029357606.03557
0.8152420816999951	11020626559.34847
0.8162611343021202	11001971378.240446
0.8172814607199979	10891048241.42821
0.8183030625458978	10538048767.57965
0.8193259413740802	10211798300.108564
0.8203500988007977	10351016962.574589
0.8213755364242987	10690808585.48618
0.8224022558448291	10838752855.340645
0.8234302586646352	10874203636.995937
0.8244595464879658	10889076407.862286
0.8254901209210758	10896928778.925333
0.8265219835722272	10918081677.525715
0.8275551360516924	10926918247.08678
0.8285895799717569	10903060823.188604
0.8296253169467216	10858821039.178104
0.830662348592905	10813571924.824844
0.8317006765286461	10747983474.804949
0.8327403023743069	10631526492.641169
0.8337812277522748	10613307300.118994
0.834823454286965	10682484883.798887
0.8358669836048238	10673063713.077589
0.8369118173343297	10616716862.834692
0.8379579571059977	10464706231.764156
0.8390054045523802	10333240129.768206
0.8400541613080706	10454708733.710564
0.8411042290097056	10587841139.891947
0.8421556092959678	10502372455.896412
0.8432083038075878	10324536912.97639
0.8442623141873472	10322540825.947016
0.8453176420800813	10483869505.617172
0.8463742891326813	10509910810.76929
0.8474322569940972	10489090272.170029
0.8484915473153398	10501410531.954597
0.8495521617494839	10334331923.342361
0.8506141019516709	10204681577.869446
0.8516773695791103	10292944297.725077
0.8527419662910842	10305643828.384352
0.853807893748948	9931524410.755346
0.8548751536161342	9725028196.602217
0.8559437475581545	10178431819.580547
0.857013677242602	10547318583.31469
0.8580849443391553	10574631907.64179
0.8591575505195791	10582185474.545473
0.8602314974577286	10577605700.842934
0.8613067868295508	10530543982.638475
0.8623834203130877	10519785124.104952
0.8634613995884791	10556105019.561144
0.8645407263379646	10503202472.9638
0.8656214022458871	10148433719.944784
0.8667034289986943	9813722462.761354
0.8677868082849427	9925415853.183628
0.8688715417952989	10079033214.560701
0.869957631222543	10201705266.62267
0.8710450782615712	10392194171.937574
0.872133884609398	10450139967.34386
0.8732240519651597	10439004916.99401
0.8743155820301162	10432163147.83926
0.8754084765076539	10422346622.561869
0.8765027371032884	10375423396.116755
0.8775983655246675	10352498184.61086
0.8786953634815732	10392988583.880196
0.8797937326859253	10318102337.805635
0.8808934748517826	10140989690.96938
0.8819945916953473	10130206989.268057
0.8830970849349664	10230835981.716259
0.8842009562911352	10331013115.064363
0.8853062074864991	10401806995.182024
0.8864128402458572	10358832008.27947
0.8875208562961645	10299167223.841164
0.8886302573665347	10307864435.983364
0.8897410451882428	10326041246.159481
0.8908532214947281	10323472942.479412
0.8919667880215966	10302236734.853125
0.8930817465066233	10279728545.51969
0.8941980986897567	10260138091.578
0.8953158463131189	10251157964.442167
0.8964349911210102	10256134208.304068
0.8975555348599115	10243116431.807785
0.8986774792784863	10215718830.346357
0.8998008261275845	10148362915.306767
0.9009255771602438	10077795412.93331
0.9020517341316941	10079604633.563398
0.9031792987993587	10141549553.887417
0.9043082729228579	10211064903.899448
0.9054386582640114	10235479151.624226
0.9065704565868414	10228582726.38941
0.907703669657575	10189056559.222977
0.908838299244647	10094484673.667372
0.9099743471187027	10056618158.107567
0.9111118150526011	10112530190.756107
0.9122507048214169	10168713750.682568
0.9133910182024435	10196809661.799118
0.9145327569751966	10195905297.823957
0.9156759229214156	10183930339.130466
0.9168205178250673	10169626345.508549
0.9179665434723485	10165165191.029713
0.919114001651689	10172890773.540995
0.9202628941537536	10151290361.045639
0.9214132227714458	10114254331.65289
0.92256498929991	10104331064.178623
0.9237181955365349	10092584609.44961
0.9248728432809555	10038099933.827719
0.9260289343350568	9993751685.567253
0.9271864705029755	10017924356.63271
0.9283454535911042	10019225214.135082
0.9295058854080931	9975431996.857143
0.9306677677648533	9987988388.202301
0.9318311024745591	10019577182.014425
0.9329958913526524	10017830029.360525
0.9341621362168431	10001715896.018553
0.9353298388871142	9966692355.693651
0.936499001185723	9938802006.48121
0.9376696249372052	9944943614.141127
0.9388417119683766	9949662375.736975
0.9400152641083371	9920593690.336678
0.9411902831884725	9869533673.639809
0.942366771042458	9852914782.31394
0.9435447295062611	9851669579.387001
0.9447241604181439	9818957406.061062
0.9459050656186665	9829094386.278006
0.9470874469506899	9873785398.94133
0.9482713062593783	9886841502.02305
0.9494566453922024	9879803710.137447
0.9506434661989427	9862787953.433788
0.9518317705316914	9846639608.448061
0.9530215602448558	9821756157.029312
0.9542128371951619	9763970715.615847
0.9554056032416559	9729024148.122932
0.9565998602457079	9734842499.13916
0.957795610071015	9733956029.741697
0.9589928545836038	9724041769.550226
0.9601915956518332	9695362172.80853
0.961391835146398	9704349262.407192
0.9625935749403309	9693602780.136265
0.9637968169090064	9554736070.128513
0.9650015629301427	9477717182.485735
0.9662078148838052	9512587038.466093
0.9674155746524099	9480423746.454649
0.9686248441207255	9464955614.971815
0.9698356251758764	9504005256.832962
0.9710479197073462	9491328278.809229
0.9722617296069803	9450951097.460096
0.9734770567689891	9404521666.47236
0.9746939030899503	9413459358.951544
0.9759122704688127	9490279509.833885
0.9771321608068987	9478766016.335512
0.9783535760079072	9375780022.545433
0.9795765179779171	9393659965.372341
0.9808009886253894	9507524220.213163
0.9820269898611712	9540376405.752497
0.9832545235984976	9512899200.124702
0.9844835917529957	9512243574.084543
0.985714196242687	9525971950.401955
0.9869463389879902	9520219539.71976
0.9881800219117253	9499832129.667679
0.989415246939115	9424282951.133852
0.9906520159977886	9277597845.023512
0.9918903310177859	9172427439.804012
0.9931301939315581	9184513657.630833
0.9943716066739725	9246468508.006538
0.995614571182315	9281782627.634995
0.996859089396293	9275233996.343729
0.9981051632580382	9247683128.306871
0.9993527947121108	9225644492.603739
1.0006019857055009	9219893267.509686
1.0018527381876328	9230727736.468803
1.0031050541103672	9231417561.60493
1.0043589354280051	9189950899.673225
1.0056143840972902	9124577058.320112
1.0068714020774117	9119979463.268818
1.0081299913300084	9175026193.736458
1.009390153819171	9200563646.98568
1.0106518915114449	9190081081.04917
1.011915206375834	9170310596.524815
1.013180100383804	9149864848.215723
1.0144465755092837	9113971511.500517
1.0157146337286702	9086213558.222893
