age,mass,luminosity,temperature,gravity,radius
8.0,0.011000000000000001,-7.206,284.0,4.452,0.1032
8.0,0.012,-7.1,303.0,4.496,0.1024
8.0,0.013000000000000001,-7.062,311.0,4.539,0.1014
8.0,0.013999999999999999,-7.0,323.0,4.579,0.1006
8.0,0.015,-6.94,336.0,4.615,0.0998
8.0,0.016,-6.8870000000000005,348.0,4.651,0.099
8.0,0.017,-6.831,361.0,4.684,0.0982
8.0,0.018000000000000002,-6.77,375.0,4.715,0.0975
8.0,0.019,-6.72,388.0,4.745,0.0968
8.0,0.02,-6.669,400.0,4.773,0.0961
8.0,0.022000000000000002,-6.5729999999999995,426.0,4.827,0.0947
8.0,0.024,-6.49,450.0,4.877,0.0934
8.0,0.026000000000000002,-6.407,475.0,4.922,0.0923
8.0,0.027999999999999997,-6.325,501.0,4.965,0.0912
8.0,0.03,-6.254,525.0,5.005,0.0902
8.0,0.033,-6.157,560.0,5.06,0.0887
8.0,0.035,-6.095,583.0,5.095,0.0878
8.0,0.038,-6.002000000000001,620.0,5.143,0.0865
8.0,0.04,-5.943,644.0,5.1739999999999995,0.0857
8.0,0.043,-5.85,684.0,5.216,0.0846
8.0,0.045,-5.795,709.0,5.242999999999999,0.0839
8.0,0.048,-5.718999999999999,745.0,5.282,0.0829
8.0,0.05,-5.66,773.0,5.305,0.0823
8.0,0.053,-5.579,815.0,5.3389999999999995,0.0815
8.0,0.055,-5.529,841.0,5.361000000000001,0.081
8.0,0.057999999999999996,-5.436,890.0,5.391,0.0804
8.0,0.06,-5.3660000000000005,929.0,5.409,0.08
8.0,0.063,-5.234,1004.0,5.433,0.0798
8.0,0.064,-5.18,1036.0,5.44,0.0798
8.0,0.065,-5.118,1073.0,5.446000000000001,0.0799
8.0,0.066,-5.045,1117.0,5.45,0.0801
8.0,0.067,-4.967,1167.0,5.454,0.0803
8.0,0.068,-4.874,1228.0,5.456,0.0808
8.0,0.069,-4.768,1300.0,5.455,0.0814
8.0,0.07,-4.648,1385.0,5.452000000000001,0.0822
8.0,0.071,-4.5169999999999995,1483.0,5.446000000000001,0.0834
8.0,0.07200000000000001,-4.378,1593.0,5.437,0.0849
8.0,0.073,-4.237,1710.0,5.425,0.0867
8.0,0.07400000000000001,-4.113,1817.0,5.412000000000001,0.0886
8.0,0.075,-4.003,1915.0,5.399,0.0905
8.0,0.077,-3.8289999999999997,2075.0,5.376,0.0942
8.0,0.08,-3.6439999999999997,2249.0,5.348,0.0992
8.0,0.085,-3.438,2444.0,5.312,0.1065
