age,mass,luminosity,temperature,gravity,radius
1.0,0.004,-7.062,293.0,3.926,0.1139
1.0,0.005,-6.886,325.0,4.026,0.1135
1.0,0.006,-6.742000000000001,355.0,4.111000000000001,0.1128
1.0,0.006999999999999999,-6.619,382.0,4.184,0.112
1.0,0.008,-6.51,408.0,4.25,0.1111
1.0,0.009000000000000001,-6.41,434.0,4.308,0.1101
1.0,0.01,-6.313,461.0,4.361000000000001,0.1092
1.0,0.011000000000000001,-6.185,498.0,4.408,0.1085
1.0,0.012,-5.917000000000001,580.0,4.4430000000000005,0.1089
1.0,0.013000000000000001,-5.949,574.0,4.49,0.1073
1.0,0.013999999999999999,-5.954,576.0,4.534,0.1059
1.0,0.015,-5.894,598.0,4.57,0.1051
1.0,0.016,-5.83,623.0,4.605,0.1044
1.0,0.017,-5.768,648.0,4.637,0.1036
1.0,0.018000000000000002,-5.707000000000001,673.0,4.667,0.103
1.0,0.019,-5.647,699.0,4.696000000000001,0.1023
1.0,0.02,-5.591,724.0,4.724,0.1017
1.0,0.022000000000000002,-5.484,775.0,4.775,0.1005
1.0,0.024,-5.385,824.0,4.822,0.0995
1.0,0.026000000000000002,-5.29,875.0,4.8660000000000005,0.0985
1.0,0.027999999999999997,-5.2,926.0,4.906000000000001,0.0976
1.0,0.03,-5.1160000000000005,976.0,4.9430000000000005,0.0967
1.0,0.033,-4.996,1052.0,4.995,0.0956
1.0,0.035,-4.921,1102.0,5.027,0.095
1.0,0.038,-4.814,1178.0,5.071000000000001,0.0941
1.0,0.04,-4.747,1228.0,5.098,0.0935
1.0,0.043,-4.6530000000000005,1301.0,5.136,0.0928
1.0,0.045,-4.593,1349.0,5.159,0.0924
1.0,0.048,-4.507,1422.0,5.192,0.0919
1.0,0.05,-4.4510000000000005,1470.0,5.212999999999999,0.0916
1.0,0.053,-4.371,1543.0,5.2410000000000005,0.0913
1.0,0.055,-4.317,1593.0,5.2589999999999995,0.0911
1.0,0.057999999999999996,-4.238,1668.0,5.2829999999999995,0.091
1.0,0.06,-4.184,1721.0,5.297999999999999,0.091
1.0,0.063,-4.101,1803.0,5.318,0.0911
1.0,0.064,-4.073,1832.0,5.324,0.0912
1.0,0.065,-4.043,1862.0,5.329,0.0914
1.0,0.066,-4.013999999999999,1892.0,5.334,0.0915
1.0,0.067,-3.984,1923.0,5.3389999999999995,0.0917
1.0,0.068,-3.9530000000000003,1955.0,5.343,0.092
1.0,0.069,-3.9210000000000003,1988.0,5.346,0.0923
1.0,0.07,-3.889,2022.0,5.349,0.0926
1.0,0.071,-3.8560000000000003,2056.0,5.352,0.093
1.0,0.07200000000000001,-3.822,2092.0,5.354,0.0934
1.0,0.073,-3.7880000000000003,2127.0,5.355,0.0939
1.0,0.07400000000000001,-3.753,2164.0,5.356,0.0945
1.0,0.075,-3.718,2200.0,5.356,0.0951
1.0,0.077,-3.647,2276.0,5.355,0.0965
1.0,0.08,-3.5410000000000004,2386.0,5.348,0.0991
1.0,0.085,-3.3760000000000003,2558.0,5.33,0.1043
