# SpeX prism spectrum of mho4 from Muench et al. 2007
# Lambda	Flux
1.6320900	0.96606457
1.6360700	0.96732622
1.6400301	0.97401297
1.6439900	0.98088437
1.6479400	0.98815298
1.6518801	0.99978679
1.6558199	1.0057430
1.6597500	1.0069970
1.6636801	1.0045470
1.6676000	1.0108590
1.6715100	1.0049990
1.6754100	1.0063061
1.6793100	0.99377900
1.6832100	0.99636871
1.6870900	0.99417913
1.6909699	0.99083161
1.6948400	0.98874229
1.6987100	0.97532690
1.7025699	0.96067232
1.7064199	0.94541758
1.7102699	0.92066032
1.7141100	0.90704131
1.7179400	0.88245201
1.7217699	0.87642330
1.7255900	0.86454749
1.7294000	0.85203087
1.7332100	0.83329809
1.7370100	0.82102197
1.7408100	0.80989343
1.7445900	0.79431158
1.7483801	0.78359127
1.7521500	0.77139360
1.7559199	0.75287372
1.7596801	0.74036157
1.7634400	0.72541702
1.7671900	0.71500868
1.7709301	0.69836092
1.7746699	0.68448257
1.7784000	0.67154491
1.7821301	0.66708428
1.7858500	0.65116137
1.7895600	0.64323449
1.7932699	0.63423991
1.7969699	0.62060672
1.8006600	0.61491227
1.8043500	0.60691559
1.8080400	0.60564059
1.8117100	0.59745681
1.8153801	0.58852601
1.8190500	0.59357637
1.8227100	0.58505398
1.8263600	0.57988417
1.8300100	0.57164812
1.8336500	0.55451047
1.8372900	0.54867351
1.8409199	0.53427428
1.8445400	0.52292031
1.8481600	0.50979972
1.8517699	0.49002609
1.8553801	0.48703119
1.8589801	0.49763119
1.8625801	0.48553789
1.8661699	0.46535221
1.8697500	0.45596719
1.8733301	0.48015341
1.8769000	0.49517661
1.8804699	0.49436989
1.8840301	0.48993161
1.8875900	0.49465811
1.8911400	0.49722371
1.8946900	0.49438539
1.8982301	0.48724449
1.9017699	0.49308559
1.9053000	0.49215639
1.9088301	0.49611801
1.9123500	0.49524671
1.9158600	0.49903610
1.9193699	0.49794659
1.9228801	0.49100530
1.9263801	0.49591351
1.9298699	0.49477980
1.9333600	0.49496469
1.9368400	0.48867160
1.9403199	0.48287341
1.9438000	0.47931531
1.9472699	0.47275689
1.9507301	0.46749741
1.9541900	0.46748850
1.9576500	0.47224450
1.9611000	0.48372340
1.9645400	0.48611760
1.9679801	0.47723341
1.9714199	0.46700871
1.9748500	0.46003351
1.9782699	0.45287839
1.9816900	0.44468069
1.9851100	0.44504330
1.9885199	0.44828051
1.9919301	0.45096561
1.9953301	0.44564489
1.9987301	0.43224901
2.0021199	0.43450689
2.0055100	0.43617311
2.0088900	0.43396291
2.0122699	0.42862809
2.0156500	0.43425459
2.0190199	0.43792990
2.0223801	0.43960500
2.0257400	0.43944120
2.0291000	0.44043830
2.0324500	0.43611360
2.0357900	0.43678379
2.0391400	0.43524581
2.0424699	0.43476981
2.0458100	0.42862740
2.0491400	0.42981139
2.0524600	0.42806110
2.0557801	0.43287861
2.0590900	0.42931470
2.0624000	0.43027520
2.0657100	0.42219049
2.0690100	0.42703351
2.0723100	0.42649671
2.0756000	0.42806599
2.0788900	0.42655620
2.0821699	0.42776731
2.0854500	0.43057549
2.0887199	0.43459749
2.0919900	0.43073711
2.0952600	0.43198001
2.0985199	0.43362170
2.1017801	0.43362081
2.1050301	0.43534899
2.1082699	0.43507999
2.1115199	0.43776989
2.1147500	0.43817779
2.1179900	0.43715450
2.1212199	0.43943051
2.1244400	0.43983611
2.1276600	0.44202149
2.1308801	0.44184709
2.1340900	0.44253579
2.1372900	0.44208291
2.1404900	0.44900250
2.1436900	0.44788331
2.1468801	0.44536161
2.1500699	0.44657981
2.1532500	0.45174229
2.1564301	0.44810921
2.1596000	0.45208240
2.1627699	0.45302510
2.1659301	0.45624921
2.1690900	0.45581880
2.1722500	0.45310640
2.1754000	0.45067269
2.1785400	0.45012259
2.1816801	0.45167571
2.1848100	0.45228049
2.1879400	0.45679691
2.1910699	0.45647141
2.1941900	0.45871890
2.1973000	0.45865011
2.2004199	0.45615241
2.2035199	0.45678401
2.2066199	0.45565581
2.2097199	0.45698431
2.2128100	0.46025619
2.2158900	0.46150881
2.2189699	0.46390751
2.2220500	0.46415910
2.2251199	0.46386889
2.2281900	0.46165890
2.2312500	0.46642730
2.2343000	0.46652380
2.2373500	0.46793211
2.2404000	0.46823621
2.2434400	0.47016111
2.2464699	0.46987969
2.2495000	0.46971911
2.2525301	0.47131449
2.2555500	0.46776009
2.2585600	0.46237701
2.2615699	0.45687050
2.2645801	0.45945820
2.2675801	0.45762819
2.2705699	0.46097961
2.2735600	0.46017671
2.2765400	0.46243519
2.2795199	0.46059370
2.2824900	0.46224400
2.2854600	0.46050811
2.2884199	0.44986841
2.2913801	0.43319121
2.2943301	0.42427269
2.2972801	0.41972300
2.3002199	0.41753459
2.3031600	0.41884440
2.3060900	0.42055139
2.3090199	0.42373869
2.3119400	0.42154211
2.3148500	0.41192240
2.3177600	0.40148929
2.3206699	0.39850429
2.3235699	0.39320281
2.3264699	0.38742301
2.3293600	0.38564980
2.3322400	0.38451329
2.3351301	0.38548630
2.3380000	0.38363340
2.3408699	0.38321531
2.3437400	0.38096020
2.3466000	0.37509221
2.3494600	0.36515331
2.3523100	0.36036241
2.3551600	0.35532570
2.3580000	0.35355049
