# SpeX prism spectrum of kpno9 from Muench et al. 2007
# Lambda	Flux
0.65259502	4.7055821
0.65480200	1.4258840
0.65699902	-1.2805949
0.65918701	4.0872812
0.66136602	3.6443081
0.66353901	4.6372180
0.66570498	4.2912650
0.66786602	5.9943509
0.67002300	1.1114340
0.67217598	4.5866299
0.67432598	3.1435859
0.67647402	2.5312600
0.67862100	3.0688231
0.68076802	5.5626040
0.68291499	0.20134559
0.68506401	0.87797552
0.68721401	4.8395448
0.68936699	3.8530419
0.69152300	2.3877330
0.69368301	0.75220889
0.69584800	2.0988059
0.69801802	-0.23894350
0.70019399	0.62801468
0.70237598	1.3326010
0.70456499	2.9723699
0.70676201	1.9614520
0.70896802	0.64019722
0.71118198	1.6413860
0.71340498	1.7590880
0.71563799	0.90255493
0.71788101	0.37069070
0.72013501	0.55297899
0.72240098	0.0066447151
0.72467798	0.32118070
0.72696699	1.2567869
0.72926802	1.0279090
0.73158198	1.0410300
0.73391001	0.52514303
0.73625098	0.50242132
0.73860601	0.42428520
0.74097598	0.31304491
0.74336099	0.28333911
0.74576001	0.62093258
0.74817500	0.51760930
0.75060498	0.53330731
0.75305098	0.094299629
0.75551401	0.66576809
0.75799302	0.51302081
0.76048901	0.63363862
0.76300098	0.30835900
0.76553101	0.18112031
0.76807798	0.33743089
0.77064302	0.57322699
0.77322598	0.25082999
0.77582700	0.32654691
0.77844502	0.23214149
0.78108301	0.27176711
0.78373799	0.24075630
0.78641201	0.044350691
0.78910498	0.65276968
0.79181699	0.37882909
0.79454800	0.29666689
0.79729800	0.50504303
0.80006699	0.41274941
0.80285498	0.14757620
0.80566299	0.54166877
0.80848999	0.53004390
0.81133701	0.71811879
0.81420298	0.59518749
0.81708901	0.62098259
0.81999502	0.76439029
0.82292002	0.54882258
0.82586504	0.74598628
0.82882900	0.58459949
0.83181299	0.66762912
0.83481699	0.46439040
0.83784102	0.56344032
0.84088398	0.37852070
0.84394697	0.46268889
0.84702998	0.37549061
0.85013203	0.36837289
0.85325400	0.32241219
0.85639600	0.39503849
0.85955703	0.31270340
0.86273701	0.39102641
0.86593701	0.54283929
0.86915596	0.49920481
0.87239404	0.52514160
0.87565195	0.57237512
0.87892803	0.69190782
0.88222402	0.73703992
0.88553799	0.63969833
0.88887100	0.72664207
0.89222305	0.63372558
0.89559297	0.78484362
0.89898203	0.78293198
0.90238896	0.84369808
0.90581504	1.0267020
0.90925801	0.85803503
0.91271904	0.96758878
0.91619902	1.1753629
0.91969600	1.0868100
0.92320996	1.0611050
0.92674199	0.96743089
0.93029199	0.96832103
0.93385801	1.0253330
0.93744102	0.82367611
0.94104102	0.86586583
0.94465801	1.0573159
0.94829102	1.0996380
0.95194102	1.1055810
0.95560703	1.0350060
0.95928799	1.1848470
0.96298604	1.2384580
0.96669902	1.1650960
0.97042803	1.1651300
0.97417197	1.2375129
0.97792998	1.2308440
0.98170400	1.2044970
0.98549297	1.2781610
0.98929600	1.2448230
0.99311299	1.2530540
0.99694502	1.3046820
1.0007900	1.2732670
1.0046500	1.3464940
1.0085200	1.2563510
1.0124100	1.2787460
1.0163100	1.3679000
1.0202200	1.3494120
1.0241500	1.3725080
1.0280800	1.3843430
1.0320300	1.3806930
1.0360000	1.4263890
1.0399700	1.4210680
1.0439600	1.4286810
1.0479500	1.4371970
1.0519600	1.4176810
1.0559800	1.3440510
1.0600100	1.3674949
1.0640500	1.3710500
1.0681000	1.3857260
1.0721700	1.3939340
1.0762400	1.5272390
1.0803200	1.5278760
1.0844100	1.5790679
1.0885100	1.6095130
1.0926200	1.5781150
1.0967400	1.5320660
1.1008700	1.5133140
1.1050100	1.5074970
1.1091500	1.4947470
1.1133100	1.4969640
1.1174700	1.4600950
1.1216400	1.5107239
1.1258100	1.5203900
1.1300000	1.4505550
1.1341900	1.4998280
1.1383900	1.4590560
1.1425900	1.4439520
1.1468000	1.4403410
1.1510200	1.4754800
1.1552400	1.4929370
1.1594700	1.5196379
1.1637100	1.4895320
1.1679500	1.4933400
1.1721900	1.4573120
1.1764500	1.4550060
1.1807000	1.4098450
1.1849600	1.3883030
1.1892300	1.3876220
1.1935000	1.4000520
1.1977700	1.3862990
1.2020500	1.3824400
1.2063300	1.3772560
1.2106100	1.4288590
1.2149000	1.4233290
1.2191900	1.4898540
1.2234900	1.4640250
1.2277900	1.4657300
1.2320900	1.4741710
1.2363900	1.4947810
1.2406900	1.4249270
1.2450000	1.4373260
1.2493100	1.4211100
1.2536200	1.4478329
1.2579300	1.4697390
1.2622400	1.4797890
1.2665600	1.4832710
1.2708700	1.5185020
1.2751900	1.4849890
1.2795000	1.5037940
1.2838200	1.5008970
1.2881400	1.4685410
1.2924600	1.5128150
1.2967800	1.5252970
1.3010900	1.5444100
1.3054100	1.5604510
1.3097300	1.5212640
1.3140500	1.5156810
1.3183600	1.4858090
1.3226800	1.4875129
1.3269900	1.4070210
1.3313000	1.3223540
1.3356200	1.2452630
1.3399300	1.1461951
1.3442400	1.0882080
1.3485400	1.0622990
1.3528500	1.0676700
1.3571500	1.0679990
1.3614500	1.0282720
1.3657500	1.0177310
1.3700500	0.96045858
1.3743400	0.99375582
1.3786300	1.0537170
1.3829200	1.0227530
1.3872100	0.98292607
1.3914900	0.98340648
1.3957700	0.99242169
1.4000500	0.92755717
1.4043200	0.89936203
1.4085900	0.87534338
1.4128600	0.86632472
1.4171200	0.84385931
1.4213800	0.81569469
1.4256400	0.79902363
1.4298900	0.82619911
1.4341300	0.79364401
1.4383800	0.81247139
1.4426200	0.80940509
1.4468500	0.82779020
1.4510800	0.81630331
1.4553100	0.81593049
1.4595300	0.80876988
1.4637500	0.80841738
1.4679600	0.81391162
1.4721700	0.80409843
1.4763700	0.78024620
1.4805700	0.74140060
1.4847600	0.79136401
1.4889500	0.79675931
1.4931300	0.82199252
1.4973100	0.82129413
1.5014800	0.80621642
1.5056400	0.80094332
1.5098000	0.80995542
1.5139600	0.82065380
1.5181100	0.82981229
1.5222500	0.81738323
1.5263900	0.85345978
1.5305200	0.86877030
1.5346500	0.85258800
1.5387700	0.83709168
1.5428900	0.87145132
1.5470000	0.88100880
1.5511000	0.88318002
1.5552000	0.88194388
1.5592900	0.88537347
1.5633800	0.88704842
1.5674600	0.89793563
1.5715300	0.90283573
1.5756000	0.93147433
1.5796600	0.92839932
1.5837100	0.91357231
1.5877600	0.90793222
