#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.0257227    4.8178E-01    5.2709E-02
   1.0296654    5.6548E-01    5.1921E-02
   1.0336202    5.9863E-01    5.3756E-02
   1.0375872    5.5270E-01    5.0533E-02
   1.0415660    5.2451E-01    4.8921E-02
   1.0455564    5.8453E-01    4.5165E-02
   1.0495583    6.2824E-01    3.9870E-02
   1.0535715    5.6438E-01    3.7049E-02
   1.0575956    5.2342E-01    3.5262E-02
   1.0616305    6.4050E-01    3.4968E-02
   1.0656761    6.6887E-01    3.9465E-02
   1.0697321    6.7716E-01    4.2183E-02
   1.0737983    5.8483E-01    4.4210E-02
   1.0778744    6.5411E-01    4.8010E-02
   1.0819603    6.4827E-01    4.5869E-02
   1.0860558    7.0147E-01    4.8018E-02
   1.0901606    7.0297E-01    4.6951E-02
   1.0942745    6.3651E-01    4.6934E-02
   1.0983975    5.6509E-01    4.5734E-02
   1.1025290    6.2276E-01    4.2675E-02
   1.1066692    5.6278E-01    3.9583E-02
   1.1108176    5.6583E-01    3.8195E-02
   1.1149741    5.1427E-01    3.6699E-02
   1.1191385    4.6256E-01    3.6803E-02
   1.1233106    6.6471E-01    4.2217E-02
   1.1274900    5.0057E-01    4.4738E-02
   1.1316768    4.7840E-01    4.5217E-02
   1.1358706    5.8680E-01    4.9311E-02
   1.1400713    5.9139E-01    4.6696E-02
   1.1442785    5.1242E-01    4.6832E-02
   1.1484923    5.5604E-01    4.7200E-02
   1.1527122    5.9492E-01    4.3465E-02
   1.1569382    5.3149E-01    4.2539E-02
   1.1611700    6.1313E-01    3.9704E-02
   1.1654074    5.6329E-01    3.6260E-02
   1.1696503    5.9487E-01    3.2823E-02
   1.1738983    6.8218E-01    2.9778E-02
   1.1781514    7.1011E-01    2.6820E-02
   1.1824093    7.2223E-01    2.5391E-02
   1.1866719    7.2277E-01    2.5214E-02
   1.1909388    7.4718E-01    2.9732E-02
   1.1952100    7.8967E-01    3.5057E-02
   1.1994852    7.9777E-01    3.6391E-02
   1.2037643    8.4433E-01    3.9917E-02
   1.2080470    7.9853E-01    3.8818E-02
   1.2123332    8.8194E-01    3.8229E-02
   1.2166227    9.4194E-01    3.9543E-02
   1.2209153    9.8759E-01    3.8547E-02
   1.2252108    9.7614E-01    3.8953E-02
   1.2295090    8.9656E-01    3.7395E-02
   1.2338098    9.1323E-01    3.4810E-02
   1.2381129    8.6765E-01    3.2347E-02
   1.2424183    1.0274E+00    2.9285E-02
   1.2467256    9.5054E-01    2.7873E-02
   1.2510347    9.9918E-01    2.7864E-02
   1.2553456    1.0008E+00    3.1061E-02
   1.2596579    1.0344E+00    3.7710E-02
   1.2639714    9.9071E-01    4.3972E-02
   1.2682861    1.0268E+00    4.8639E-02
   1.2726018    9.9966E-01    5.1468E-02
   1.2769183    9.4821E-01    4.7153E-02
   1.2812355    1.0163E+00    4.5701E-02
   1.2855531    1.0452E+00    4.7512E-02
   1.2898711    1.0829E+00    3.8686E-02
   1.2941891    1.1019E+00    3.9473E-02
   1.2985072    1.0842E+00    3.8334E-02
   1.3028251    1.0023E+00    4.0943E-02
   1.3071427    1.1118E+00    4.2109E-02
   1.3114599    9.9705E-01    3.6053E-02
   1.3157765    9.8832E-01    3.4927E-02
   1.3200922    1.0432E+00    3.1475E-02
   1.3244071    9.2760E-01    2.9724E-02
   1.3287208    7.4048E-01    2.6542E-02
   1.3330334    6.8294E-01    2.7430E-02
   1.3373446    6.1199E-01    2.6526E-02
   1.3416544    6.1907E-01    3.0110E-02
   1.3459626    6.3009E-01    3.7775E-02
   1.3502690    5.9911E-01    5.0158E-02
   1.3545735    6.7760E-01    7.0187E-02
   1.3588760    5.3003E-01    8.9689E-02
   1.3631763    5.9743E-01    9.1278E-02
   1.3674743    5.3686E-01    7.6909E-02
   1.3717700    5.7172E-01    7.9079E-02
   1.3760631    6.5069E-01    7.2720E-02
   1.3803536    5.8874E-01    7.1344E-02
   1.3846413    7.1793E-01    6.8490E-02
   1.3889261    5.2892E-01    6.3676E-02
   1.3932079    6.2842E-01    7.0124E-02
   1.3974866    5.3072E-01    7.3252E-02
   1.4017621    5.5043E-01    7.3614E-02
   1.4060342    4.2729E-01    7.1730E-02
   1.4103029    5.5066E-01    7.3096E-02
   1.4145681    5.6914E-01    6.4822E-02
   1.4188294    4.5994E-01    5.6635E-02
   1.4230872    6.1865E-01    4.6671E-02
   1.4273410    5.2403E-01    4.5962E-02
   1.4315909    5.7963E-01    4.6661E-02
   1.4358368    5.0812E-01    4.4834E-02
   1.4400785    5.9926E-01    4.0898E-02
   1.4443159    5.7737E-01    4.5742E-02
   1.4485490    5.8397E-01    4.9219E-02
   1.4527777    5.7766E-01    5.6322E-02
   1.4570019    6.1621E-01    5.4290E-02
   1.4612216    5.8645E-01    5.4647E-02
   1.4654365    6.6075E-01    5.1607E-02
   1.4696467    7.0462E-01    4.8793E-02
   1.4738520    7.6984E-01    5.0084E-02
   1.4780525    7.2681E-01    5.1339E-02
   1.4822479    6.1584E-01    5.3276E-02
   1.4864384    7.3136E-01    5.0608E-02
   1.4906236    7.5435E-01    4.2540E-02
   1.4948038    8.3457E-01    4.0484E-02
   1.4989786    8.0091E-01    5.2382E-02
   1.5031481    7.9831E-01    5.8786E-02
   1.5073122    6.6097E-01    5.7610E-02
   1.5114708    9.5529E-01    5.1034E-02
   1.5156240    9.6427E-01    4.1652E-02
   1.5197716    9.0776E-01    4.9038E-02
   1.5239135    8.7210E-01    5.2441E-02
   1.5280498    8.8929E-01    5.7785E-02
   1.5321804    1.0166E+00    5.1530E-02
   1.5363052    1.0645E+00    5.3194E-02
   1.5404241    1.0451E+00    4.6215E-02
   1.5445372    1.0558E+00    4.5496E-02
   1.5486443    1.1207E+00    4.4441E-02
   1.5527455    1.0822E+00    4.5013E-02
   1.5568405    1.0855E+00    4.6687E-02
   1.5609297    1.2490E+00    4.8611E-02
   1.5650127    1.1389E+00    4.4616E-02
   1.5690895    1.2221E+00    4.0985E-02
   1.5731603    1.2311E+00    3.6887E-02
   1.5772249    1.2674E+00    5.3457E-02
   1.5812831    1.3166E+00    5.6511E-02
   1.5853351    1.3695E+00    5.6737E-02
   1.5893810    1.2440E+00    4.7467E-02
   1.5934204    1.3694E+00    3.8139E-02
   1.5974535    1.3251E+00    4.4717E-02
   1.6014802    1.3183E+00    5.1097E-02
   1.6055006    1.2849E+00    5.4629E-02
   1.6095145    1.3950E+00    5.7020E-02
   1.6135221    1.2395E+00    5.0880E-02
   1.6175231    1.3794E+00    5.2746E-02
   1.6215177    1.4146E+00    4.4176E-02
   1.6255058    1.3941E+00    4.4387E-02
   1.6294874    1.3072E+00    4.1380E-02
   1.6334625    1.3640E+00    4.3409E-02
   1.6374311    1.3757E+00    4.2321E-02
   1.6413932    1.4369E+00    4.5643E-02
   1.6453488    1.3858E+00    4.5491E-02
   1.6492977    1.3936E+00    4.3933E-02
   1.6532402    1.3710E+00    3.7194E-02
   1.6571760    1.4516E+00    3.0721E-02
   1.6611054    1.3547E+00    3.6388E-02
   1.6650281    1.3957E+00    5.1235E-02
   1.6689442    1.3043E+00    5.1735E-02
   1.6728538    1.3967E+00    5.1186E-02
   1.6767570    1.4117E+00    3.6589E-02
   1.6806535    1.4417E+00    3.1745E-02
   1.6845434    1.3849E+00    4.0313E-02
   1.6884267    1.5108E+00    4.6156E-02
   1.6923035    1.3669E+00    4.8422E-02
   1.6961738    1.4874E+00    5.0827E-02
   1.7000375    1.4542E+00    4.6358E-02
   1.7038947    1.3113E+00    4.7472E-02
   1.7077453    1.4847E+00    4.3957E-02
   1.7115896    1.2640E+00    4.1096E-02
   1.7154272    1.2858E+00    3.8772E-02
   1.7192583    1.3266E+00    3.7209E-02
   1.7230830    1.3014E+00    3.5578E-02
   1.7269013    1.2329E+00    3.6882E-02
   1.7307130    1.2844E+00    3.6757E-02
   1.7345184    1.2503E+00    4.0553E-02
   1.7383173    1.3876E+00    4.2393E-02
   1.7421098    1.1939E+00    4.1166E-02
   1.7458960    1.1716E+00    3.6749E-02
   1.7496758    1.2195E+00    3.2470E-02
