#
# Generated by G. Mace, Fri Mar  2 16:28:35 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6451294           NaN           NaN
   0.6473777           NaN           NaN
   0.6496124    8.0206E-01    3.6736E-01
   0.6518345    2.3862E-01    3.5898E-01
   0.6540453   -2.6789E-01    3.6308E-01
   0.6562456    3.7714E-01    3.3456E-01
   0.6584365   -4.8588E-02    3.0830E-01
   0.6606190    1.1886E-01    2.7920E-01
   0.6627939    8.9514E-02    2.6168E-01
   0.6649624    2.6797E-01    2.4879E-01
   0.6671251    3.3605E-01    2.6598E-01
   0.6692830   -1.0775E-01    2.6126E-01
   0.6714371   -3.6607E-01    2.4403E-01
   0.6735882   -1.6345E-02    2.3426E-01
   0.6757370   -8.4456E-02    2.3924E-01
   0.6778844   -1.4210E-01    2.2959E-01
   0.6800312   -1.9796E-01    2.2850E-01
   0.6821781    2.8124E-01    2.1535E-01
   0.6843260   -1.8414E-01    2.1085E-01
   0.6864755   -1.5050E-01    2.0444E-01
   0.6886274    1.6324E-01    1.9969E-01
   0.6907824    2.5975E-01    2.0131E-01
   0.6929410   -4.9655E-02    1.9333E-01
   0.6951041    2.3435E-01    1.8192E-01
   0.6972722    3.5868E-01    1.7580E-01
   0.6994460    7.4045E-02    1.6358E-01
   0.7016261    6.2189E-02    1.5635E-01
   0.7038131   -2.1147E-01    1.4722E-01
   0.7060075    1.9904E-01    1.4528E-01
   0.7082099    1.5599E-01    1.4120E-01
   0.7104208    6.7698E-02    1.3861E-01
   0.7126409   -4.3815E-02    1.2784E-01
   0.7148705    1.9684E-01    1.2864E-01
   0.7171103   -6.3712E-02    1.2133E-01
   0.7193606    5.6522E-02    1.2250E-01
   0.7216219    1.3008E-02    1.1511E-01
   0.7238947   -1.4207E-01    1.1434E-01
   0.7261795   -5.2772E-02    1.1004E-01
   0.7284766    2.8798E-02    1.0842E-01
   0.7307864   -1.6750E-01    1.0162E-01
   0.7331095    2.9350E-02    1.0133E-01
   0.7354460    1.0844E-02    9.3019E-02
   0.7377965    1.8988E-02    9.3374E-02
   0.7401612   -6.2211E-02    8.7513E-02
   0.7425405   -5.3502E-02    8.7055E-02
   0.7449347    6.8525E-02    7.9155E-02
   0.7473441   -8.5244E-02    8.2266E-02
   0.7497692   -8.6049E-02    7.7499E-02
   0.7522100   -7.2565E-03    7.7810E-02
   0.7546669   -4.8854E-03    7.0458E-02
   0.7571402   -3.8982E-02    7.5392E-02
