#
# Generated by G. Mace, Wed Mar 14 15:41:23 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6463299    8.0193E-02    1.3193E-01
   0.6484728    1.8503E-01    1.1805E-01
   0.6506078    2.4737E-01    1.2179E-01
   0.6527355    1.3554E-01    1.1196E-01
   0.6548570    4.1160E-02    1.0462E-01
   0.6569730   -3.3877E-02    8.9673E-02
   0.6590844    1.2889E-02    8.8029E-02
   0.6611919    2.6034E-02    8.4652E-02
   0.6632965    7.4896E-02    8.5360E-02
   0.6653987    3.4033E-02    8.2434E-02
   0.6674993    1.8234E-02    8.2904E-02
   0.6695991   -5.8574E-02    7.9003E-02
   0.6716988    1.1049E-01    7.6906E-02
   0.6737991    3.1421E-02    7.4078E-02
   0.6759006    1.0684E-01    7.2157E-02
   0.6780041    1.3394E-01    6.8821E-02
   0.6801102    6.0897E-02    7.3175E-02
   0.6822196    4.9546E-03    6.5800E-02
   0.6843327    7.7391E-02    6.8091E-02
   0.6864503    6.7275E-02    6.4630E-02
   0.6885729    2.4628E-02    6.4058E-02
   0.6907012    7.6209E-02    6.0288E-02
   0.6928357   -5.6381E-03    5.7260E-02
   0.6949768    3.3783E-02    5.3338E-02
   0.6971253   -3.6801E-02    5.3460E-02
   0.6992815    4.4564E-02    4.7949E-02
   0.7014460    3.8154E-02    4.7056E-02
   0.7036193    1.1074E-01    4.3981E-02
   0.7058018    7.4061E-02    4.2752E-02
   0.7079941    1.1660E-01    4.1257E-02
   0.7101966    2.5558E-02    4.0579E-02
   0.7124096    1.0893E-01    3.7430E-02
   0.7146337    6.8515E-02    3.8685E-02
   0.7168693    5.3038E-02    3.6203E-02
   0.7191167    8.3704E-02    3.7258E-02
   0.7213764    1.1321E-01    3.7298E-02
   0.7236487    2.1428E-02    3.4289E-02
   0.7259340    1.2233E-01    3.3469E-02
   0.7282327    4.1213E-03    3.3543E-02
   0.7305450    7.1028E-02    3.1120E-02
   0.7328714    2.7881E-02    3.1020E-02
   0.7352121    3.8403E-02    2.9007E-02
   0.7375675    8.7006E-02    2.8953E-02
   0.7399378    8.1887E-02    2.6729E-02
   0.7423233    6.7508E-02    2.6490E-02
   0.7447243    6.2778E-02    2.4153E-02
   0.7471411    8.6153E-02    2.5308E-02
   0.7495739    3.1776E-02    2.4471E-02
   0.7520230    2.2005E-02    2.3741E-02
   0.7544886    4.7348E-02    2.2015E-02
   0.7569709    7.3435E-02    2.7042E-02
   0.7594701    3.6279E-02    2.9891E-02
   0.7619865    6.9450E-02    3.2094E-02
   0.7645202   -2.9648E-02    3.1843E-02
   0.7670714    1.9534E-02    2.9506E-02
   0.7696403    1.5795E-03    2.1095E-02
   0.7722270    5.7104E-02    2.0800E-02
   0.7748318    2.4115E-02    1.9701E-02
   0.7774548    6.4412E-02    1.9607E-02
   0.7800961    7.8967E-02    1.8836E-02
   0.7827557    7.8031E-02    1.8941E-02
   0.7854339    5.3457E-02    1.8655E-02
   0.7881308    9.6039E-02    1.9129E-02
   0.7908465    1.0600E-01    1.8416E-02
   0.7935809    8.8410E-02    1.9049E-02
   0.7963344    8.2787E-02    1.8357E-02
   0.7991070    1.2047E-01    1.7982E-02
   0.8018985    1.1270E-01    1.7334E-02
   0.8047093    1.2933E-01    1.7021E-02
   0.8075393    1.4206E-01    1.6187E-02
   0.8103886    1.7930E-01    1.6216E-02
   0.8132573    1.8665E-01    1.5427E-02
   0.8161452    1.5459E-01    1.5489E-02
   0.8190526    2.1271E-01    1.5549E-02
   0.8219795    2.1010E-01    1.5537E-02
   0.8249257    2.1530E-01    1.5514E-02
   0.8278913    2.3710E-01    1.5203E-02
   0.8308764    2.2547E-01    1.5587E-02
   0.8338810    2.4949E-01    1.5885E-02
   0.8369049    2.4121E-01    1.5333E-02
   0.8399483    2.4918E-01    1.5404E-02
   0.8430111    2.2371E-01    1.4562E-02
   0.8460932    2.0972E-01    1.4115E-02
   0.8491946    1.9033E-01    1.2949E-02
   0.8523154    1.9848E-01    1.2429E-02
   0.8554554    2.1581E-01    1.1900E-02
   0.8586146    2.1352E-01    1.2114E-02
   0.8617929    1.9334E-01    1.1948E-02
   0.8649902    1.9954E-01    1.1980E-02
   0.8682066    1.9909E-01    1.1788E-02
   0.8714420    1.8414E-01    1.1961E-02
   0.8746961    1.9899E-01    1.1835E-02
   0.8779691    1.8918E-01    1.2742E-02
   0.8812608    2.4046E-01    1.2781E-02
   0.8845710    2.4822E-01    1.2515E-02
   0.8878998    2.6660E-01    1.2514E-02
   0.8912469    2.8924E-01    1.2568E-02
   0.8946124    3.0070E-01    1.2203E-02
   0.8979961    3.0530E-01    1.1960E-02
   0.9013978    3.4094E-01    1.1533E-02
   0.9048176    3.4964E-01    1.1177E-02
   0.9082552    3.6360E-01    1.0518E-02
   0.9117104    4.0860E-01    1.0731E-02
   0.9151834    4.5641E-01    1.0443E-02
   0.9186738    4.7001E-01    1.0260E-02
   0.9221814    4.8146E-01    9.8466E-03
   0.9257064    4.5282E-01    1.0786E-02
   0.9292483    4.5660E-01    1.2068E-02
   0.9328072    4.3971E-01    1.3551E-02
   0.9363829    4.9780E-01    1.4114E-02
   0.9399751    5.2019E-01    1.3804E-02
   0.9435838    5.3863E-01    1.3472E-02
   0.9472089    5.6301E-01    1.4132E-02
   0.9508501    6.2998E-01    1.2469E-02
   0.9545073    6.2586E-01    1.1673E-02
   0.9581802    5.9053E-01    1.0725E-02
   0.9618689    5.9122E-01    1.0337E-02
   0.9655731    5.9753E-01    1.0113E-02
   0.9692925    6.3790E-01    9.9964E-03
   0.9730272    6.5482E-01    1.0030E-02
   0.9767767    6.9047E-01    1.0014E-02
   0.9805411    7.0670E-01    9.6936E-03
   0.9843201    6.7517E-01    9.8632E-03
   0.9881135    5.8246E-01    1.0003E-02
   0.9919212    4.7519E-01    1.0444E-02
   0.9957430    4.1456E-01    1.0603E-02
   0.9995786    4.3830E-01    1.0532E-02
   1.0034279    4.4966E-01    9.7407E-03
   1.0072907    5.0854E-01    9.6740E-03
   1.0111668    5.4869E-01    9.7890E-03
   1.0150561    5.5898E-01    1.0277E-02
   1.0189582    5.4318E-01    1.0286E-02
   1.0228732    5.4858E-01    1.0809E-02
   1.0268006    5.6097E-01    1.0417E-02
   1.0307404    5.9095E-01    1.0243E-02
   1.0346923    5.8039E-01    1.0584E-02
   1.0386561    6.8200E-01    1.0194E-02
   1.0426317    7.0918E-01    1.0111E-02
   1.0466188    7.2587E-01    9.3850E-03
   1.0506173    7.2701E-01    8.3675E-03
   1.0546269    7.2095E-01    7.5359E-03
   1.0586475    7.3021E-01    6.9898E-03
   1.0626787    7.4185E-01    7.1213E-03
   1.0667205    7.4773E-01    9.2371E-03
   1.0707726    7.8373E-01    8.8011E-03
   1.0748348    8.1905E-01    9.3386E-03
   1.0789070    8.5086E-01    1.0143E-02
   1.0829889    9.0918E-01    9.7431E-03
   1.0870802    9.2386E-01    1.0331E-02
   1.0911809    9.8558E-01    1.0349E-02
   1.0952907    9.6720E-01    1.0159E-02
   1.0994093    9.3315E-01    1.0018E-02
   1.1035366    9.2989E-01    9.2543E-03
   1.1076725    8.9255E-01    8.4153E-03
   1.1118165    8.9425E-01    7.8283E-03
   1.1159686    8.8942E-01    7.5279E-03
   1.1201286    9.2991E-01    7.7735E-03
   1.1242963    9.3807E-01    8.9653E-03
   1.1284714    9.1403E-01    1.0225E-02
   1.1326538    8.7744E-01    1.0079E-02
   1.1368432    8.3438E-01    1.0660E-02
   1.1410395    8.4340E-01    1.0477E-02
   1.1452423    8.8415E-01    1.0154E-02
   1.1494517    9.5462E-01    1.0687E-02
   1.1536672    9.5585E-01    9.8622E-03
   1.1578889    9.3993E-01    9.7044E-03
   1.1621163    9.1488E-01    8.9507E-03
   1.1663494    8.6439E-01    8.0966E-03
   1.1705880    8.3216E-01    7.2488E-03
   1.1748317    7.9954E-01    6.5447E-03
   1.1790806    8.4426E-01    5.9944E-03
   1.1833344    8.6402E-01    5.6774E-03
   1.1875927    9.1280E-01    5.6120E-03
   1.1918555    8.7230E-01    6.5295E-03
   1.1961226    8.1147E-01    8.4676E-03
   1.2003939    8.0729E-01    7.9166E-03
   1.2046690    8.0554E-01    8.6475E-03
   1.2089478    8.6225E-01    8.6366E-03
   1.2132301    9.0869E-01    8.2976E-03
   1.2175158    9.5748E-01    8.8370E-03
   1.2218046    9.9918E-01    8.4412E-03
   1.2260964    9.8888E-01    8.5546E-03
   1.2303909    1.0105E+00    8.4435E-03
   1.2346880    9.6232E-01    7.8240E-03
   1.2389877    9.3222E-01    7.0981E-03
   1.2432895    8.8262E-01    6.5518E-03
   1.2475934    8.6369E-01    6.0939E-03
   1.2518991    9.3719E-01    6.4406E-03
   1.2562066    9.6800E-01    6.4266E-03
   1.2605157    1.0320E+00    7.7031E-03
   1.2648262    1.0975E+00    8.8065E-03
   1.2691377    1.1107E+00    1.0225E-02
   1.2734505    1.1334E+00    1.1321E-02
   1.2777640    1.1495E+00    1.0770E-02
   1.2820783    1.1104E+00    1.0232E-02
   1.2863930    1.1159E+00    9.5214E-03
   1.2907082    1.1066E+00    8.6461E-03
   1.2950236    1.0884E+00    8.8374E-03
   1.2993391    1.0627E+00    8.3374E-03
   1.3036543    1.0812E+00    8.4556E-03
   1.3079695    1.0737E+00    8.6356E-03
   1.3122842    1.0867E+00    8.2624E-03
   1.3165984    1.0945E+00    7.7393E-03
   1.3209119    1.1067E+00    7.4550E-03
   1.3252245    1.0276E+00    6.6956E-03
   1.3295361    8.9662E-01    6.1338E-03
   1.3338466    7.5010E-01    5.4382E-03
   1.3381559    6.3084E-01    5.3791E-03
   1.3424636    5.6209E-01    5.3119E-03
   1.3467699    5.2520E-01    6.1518E-03
   1.3510745    5.1126E-01    7.3977E-03
   1.3553772    4.8844E-01    1.0549E-02
   1.3596780    5.1766E-01    1.5735E-02
   1.3639767    5.5059E-01    2.0363E-02
   1.3682733    5.5556E-01    1.9194E-02
   1.3725674    5.6189E-01    1.5557E-02
   1.3768591    5.5428E-01    1.5705E-02
   1.3811482    5.2263E-01    1.7458E-02
   1.3854345    5.8246E-01    1.5638E-02
   1.3897182    5.5167E-01    1.4883E-02
   1.3939987    5.1078E-01    1.5063E-02
   1.3982763    4.7659E-01    1.6847E-02
   1.4025507    5.2136E-01    1.7960E-02
   1.4068218    4.6822E-01    1.7979E-02
   1.4110895    4.5861E-01    1.7246E-02
   1.4153538    4.3480E-01    1.5694E-02
   1.4196144    4.4881E-01    1.2821E-02
   1.4238713    4.4479E-01    1.0401E-02
   1.4281244    4.1987E-01    9.5829E-03
   1.4323736    4.5588E-01    1.0280E-02
   1.4366188    4.5843E-01    9.8449E-03
   1.4408599    4.6524E-01    8.9404E-03
   1.4450969    4.7454E-01    9.6802E-03
   1.4493295    4.9850E-01    1.0755E-02
   1.4535577    5.1563E-01    1.2383E-02
