#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.0203753    4.0326E-01    1.5730E-02
   1.0243008    4.4152E-01    1.5850E-02
   1.0282389    4.6418E-01    1.5984E-02
   1.0321894    4.8475E-01    1.5473E-02
   1.0361520    5.2883E-01    1.5702E-02
   1.0401264    5.7826E-01    1.4998E-02
   1.0441127    6.1208E-01    1.5019E-02
   1.0481105    6.4149E-01    1.4066E-02
   1.0521196    6.5095E-01    1.3520E-02
   1.0561398    6.5945E-01    1.2558E-02
   1.0601709    7.0388E-01    1.2116E-02
   1.0642127    7.2563E-01    1.1906E-02
   1.0682648    7.5729E-01    1.2760E-02
   1.0723274    7.7498E-01    1.3237E-02
   1.0763999    7.8175E-01    1.3469E-02
   1.0804824    7.8009E-01    1.4101E-02
   1.0845743    7.6869E-01    1.3621E-02
   1.0886759    7.1664E-01    1.3452E-02
   1.0927866    6.3276E-01    1.3479E-02
   1.0969062    5.4051E-01    1.2948E-02
   1.1010348    3.9305E-01    1.2977E-02
   1.1051718    3.0043E-01    1.1749E-02
   1.1093172    2.3216E-01    1.0783E-02
   1.1134708    1.6759E-01    9.9031E-03
   1.1176324    1.3112E-01    9.6838E-03
   1.1218016    1.2138E-01    9.8605E-03
   1.1259785    1.2834E-01    1.1255E-02
   1.1301627    1.4652E-01    1.2372E-02
   1.1343540    1.5383E-01    1.1912E-02
   1.1385522    1.4758E-01    1.2313E-02
   1.1427571    1.3343E-01    1.2426E-02
   1.1469685    1.2447E-01    1.1726E-02
   1.1511862    1.1346E-01    1.2249E-02
   1.1554101    1.0459E-01    1.1542E-02
   1.1596398    9.8072E-02    1.1525E-02
   1.1638752    1.0938E-01    1.0961E-02
   1.1681161    1.0039E-01    1.0166E-02
   1.1723623    1.0371E-01    9.1783E-03
   1.1766136    1.2624E-01    8.6339E-03
   1.1808697    1.5683E-01    8.1044E-03
   1.1851306    1.8774E-01    7.7662E-03
   1.1893960    2.2909E-01    7.5528E-03
   1.1936656    2.5606E-01    8.5117E-03
   1.1979395    3.0047E-01    9.4487E-03
   1.2022172    3.6334E-01    1.0068E-02
   1.2064986    3.8603E-01    1.0762E-02
   1.2107836    4.4551E-01    1.0866E-02
   1.2150719    4.8448E-01    1.0588E-02
   1.2193635    5.6210E-01    1.1180E-02
   1.2236578    6.4483E-01    1.0751E-02
   1.2279551    6.4773E-01    1.1015E-02
   1.2322550    7.2282E-01    1.0786E-02
   1.2365574    7.6739E-01    1.0339E-02
   1.2408619    8.0054E-01    9.8407E-03
   1.2451684    8.5533E-01    9.1767E-03
   1.2494770    8.8761E-01    8.8656E-03
   1.2537872    9.4166E-01    8.8907E-03
   1.2580990    1.0000E+00    9.2750E-03
   1.2624121    1.1093E+00    1.0475E-02
   1.2667265    1.1319E+00    1.1898E-02
   1.2710419    1.1189E+00    1.3098E-02
   1.2753581    1.0891E+00    1.3511E-02
   1.2796750    1.0186E+00    1.2309E-02
   1.2839924    1.0115E+00    1.1981E-02
   1.2883103    9.6141E-01    1.2052E-02
   1.2926284    8.9183E-01    1.0968E-02
