# SpeX prism spectrum of 04442713 from Muench et al. 2007
# Lambda	Flux
0.64864502	0.66227382
0.65087300	0.53549469
0.65308901	0.59189749
0.65529302	0.63221937
0.65748799	0.20962790
0.65967402	0.20708209
0.66185200	0.22111940
0.66402300	0.16769750
0.66618799	0.18025699
0.66834800	0.17413720
0.67050400	0.35765630
0.67265601	0.19916050
0.67480601	0.11432110
0.67695400	0.062227719
0.67910098	0.048174631
0.68124800	0.073435582
0.68339502	0.086847603
0.68554399	0.12217810
0.68769399	0.10110130
0.68984800	0.17826490
0.69200498	0.23938569
0.69416602	0.36934251
0.69633198	0.31915179
0.69850298	0.37235200
0.70067998	0.38054401
0.70286401	0.32353410
0.70505601	0.27048719
0.70725400	0.24976310
0.70946201	0.29171491
0.71167798	0.21750119
0.71390298	0.14701711
0.71613799	0.16456720
0.71838398	0.18202829
0.72063999	0.17130110
0.72290801	0.21833800
0.72518799	0.32618439
0.72747998	0.35978541
0.72978398	0.42036059
0.73210098	0.47303069
0.73443198	0.50646287
0.73677598	0.56756222
0.73913501	0.56644541
0.74150801	0.63056308
0.74389502	0.64324832
0.74629800	0.68238568
0.74871602	0.67478311
0.75115000	0.72013593
0.75360000	0.76344389
0.75606602	0.69690251
0.75854902	0.70037460
0.76104800	0.56381762
0.76356499	0.48872060
0.76609902	0.37389371
0.76865000	0.34572640
0.77121899	0.35981101
0.77380498	0.33945850
0.77641001	0.37026331
0.77903301	0.36412299
0.78167402	0.40649089
0.78433398	0.41587770
0.78701201	0.43585131
0.78970898	0.44579360
0.79242500	0.46788591
0.79516099	0.48256209
0.79791499	0.55555809
0.80068799	0.61585969
0.80348101	0.70586371
0.80629302	0.83250898
0.80912500	0.92695719
0.81197598	1.0109479
0.81484600	1.0423740
0.81773599	1.1067740
0.82064600	1.0951930
0.82357598	1.0482430
0.82652500	1.0091610
0.82949404	0.97018993
0.83248301	0.93854839
0.83549102	0.88572007
0.83851904	0.80640441
0.84156699	0.73951173
0.84463398	0.66183913
0.84772100	0.61525548
0.85082803	0.60176891
0.85395400	0.60367602
0.85710000	0.61907148
0.86026602	0.68052602
0.86345000	0.73829639
0.86665400	0.77274477
0.86987803	0.85490757
0.87312002	0.94290638
0.87638203	1.0130550
0.87966299	1.0250170
0.88296201	1.0546490
0.88628096	1.0785830
0.88961797	1.0981860
0.89297402	1.1134530
0.89634902	1.1408350
0.89974199	1.2003870
0.90315303	1.2848350
0.90658203	1.3363050
0.91002998	1.4201400
0.91349502	1.4540440
0.91697803	1.4450310
0.92047900	1.3999701
0.92399805	1.3544370
0.92753398	1.2866590
0.93108701	1.2296720
0.93465703	1.2357380
0.93824404	1.2324311
0.94184805	1.2645530
0.94546797	1.3336620
0.94910498	1.3631880
0.95275801	1.3866540
0.95642803	1.4313090
0.96011299	1.4519380
0.96381396	1.4848250
0.96753096	1.4973871
0.97126299	1.5071160
0.97500996	1.5082510
0.97877197	1.5077180
0.98254902	1.4902060
0.98634102	1.4565110
0.99014805	1.4688760
0.99396797	1.4851960
0.99780303	1.4751390
1.0016500	1.4699250
1.0055100	1.5094730
1.0093900	1.5293750
1.0132800	1.5542639
1.0171800	1.5773960
1.0211000	1.5943090
1.0250200	1.5903890
1.0289600	1.5968100
1.0329200	1.6246190
1.0368800	1.6383110
1.0408600	1.6337650
1.0448500	1.6213520
1.0488500	1.6062469
1.0528600	1.5785260
1.0568800	1.5750260
1.0609100	1.5741640
1.0649600	1.6048710
1.0690100	1.6178510
1.0730800	1.6742500
1.0771500	1.7071559
1.0812300	1.7360060
1.0853300	1.7333760
1.0894300	1.7019410
1.0935400	1.6804349
1.0976600	1.6408629
1.1017900	1.6319849
1.1059300	1.6324910
1.1100800	1.6007380
1.1142400	1.5827190
1.1184000	1.5856730
1.1225700	1.5883100
1.1267500	1.5824350
1.1309300	1.5610760
1.1351300	1.5580090
1.1393200	1.5488560
1.1435300	1.5584919
1.1477400	1.5576810
1.1519600	1.5614600
1.1561900	1.5814281
1.1604200	1.5803920
1.1646500	1.5629240
1.1689000	1.5504060
1.1731400	1.5333270
1.1774000	1.5298020
1.1816500	1.5085610
1.1859100	1.5014520
1.1901800	1.4708040
1.1944500	1.4766680
1.1987300	1.4723510
1.2030000	1.4787281
1.2072900	1.4976310
1.2115700	1.5059900
1.2158600	1.5202661
1.2201500	1.5314240
1.2244500	1.5392600
1.2287500	1.5375770
1.2330500	1.5150480
1.2373500	1.5016470
1.2416500	1.4901450
1.2459600	1.4865320
1.2502700	1.4880730
1.2545800	1.4962620
1.2588900	1.4949330
1.2632100	1.5036920
1.2675200	1.5239360
1.2718400	1.5469360
1.2761500	1.5148150
1.2804700	1.5073690
1.2847900	1.5004050
1.2891000	1.5147400
1.2934200	1.5457560
1.2977400	1.5366009
1.3020600	1.5186850
1.3063800	1.5191120
1.3106900	1.5053350
1.3150100	1.4986790
1.3193300	1.4742351
1.3236400	1.4280200
1.3279600	1.3501940
1.3322700	1.2767630
