# SpeX prism spectrum of LSPM0402+1730 obtained 2005 Oct 17 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.652601    3.21985e-16    1.49892e-16
     0.654808    1.37480e-16    1.17893e-16
     0.657005   -1.20446e-16    1.02329e-16
     0.659193    4.78509e-16    1.36471e-16
     0.661372    2.31257e-16    9.16549e-17
     0.663545    4.23347e-16    9.63426e-17
     0.665711    2.77844e-16    9.33110e-17
     0.667872   -6.94495e-17    1.30292e-16
     0.670029    3.12826e-17    8.94984e-17
     0.672182    2.84252e-16    9.00861e-17
     0.674332   -2.20348e-17    8.75854e-17
     0.676480    3.66055e-16    8.55527e-17
     0.678627   -4.10709e-17    1.05741e-16
     0.680774    1.14814e-16    8.24037e-17
     0.682921    1.54933e-16    8.01211e-17
     0.685070   -7.37267e-17    1.02079e-16
     0.687220    5.61655e-16    9.72423e-17
     0.689373    3.98559e-17    7.62269e-17
     0.691529    3.18739e-16    7.20055e-17
     0.693689   -1.03248e-16    7.84531e-17
     0.695854    2.59138e-16    6.74340e-17
     0.698024    9.54575e-17    6.58435e-17
     0.700200    1.69979e-16    6.29400e-17
     0.702382    3.84546e-16    8.46023e-17
     0.704571    2.75281e-16    5.86146e-17
     0.706769    2.33015e-16    8.22547e-17
     0.708974    1.50364e-16    5.53086e-17
     0.711188    3.00874e-16    5.41609e-17
     0.713411    2.28498e-16    5.22961e-17
     0.715644    3.05998e-17    6.02669e-17
     0.717888    2.92493e-16    5.09867e-17
     0.720142    3.86841e-16    5.23362e-17
     0.722407    2.56404e-16    5.00146e-17
     0.724684    2.94531e-16    4.86706e-17
     0.726973    1.94358e-16    5.42120e-17
     0.729274    3.07361e-16    4.60086e-17
     0.731589    1.91527e-16    4.40461e-17
     0.733916    2.82438e-16    4.36602e-17
     0.736258    3.24198e-16    4.21651e-17
     0.738613    3.51730e-16    4.10983e-17
     0.740983    2.93184e-16    3.99527e-17
     0.743367    4.65704e-16    3.98868e-17
     0.745767    3.02500e-16    3.76443e-17
     0.748181    3.98976e-16    3.84398e-17
     0.750612    3.54373e-16    3.64176e-17
     0.753058    3.91655e-16    3.73014e-17
     0.755521    3.28626e-16    4.51458e-17
     0.758000    3.37382e-16    3.67362e-17
     0.760496    4.36243e-16    5.44833e-17
     0.763008    3.02353e-16    4.32693e-17
     0.765538    1.24494e-16    4.72139e-17
     0.768085    1.81761e-16    3.80693e-17
     0.770650    3.03531e-16    3.32560e-17
     0.773233    2.61221e-16    3.22273e-17
     0.775834    2.62619e-16    3.06753e-17
     0.778453    3.06317e-16    2.97337e-17
     0.781090    3.05574e-16    3.03738e-17
     0.783745    3.23214e-16    2.89260e-17
     0.786420    3.23001e-16    3.04205e-17
     0.789113    3.34986e-16    2.75317e-17
     0.791825    3.76408e-16    2.79052e-17
     0.794555    3.44410e-16    2.85570e-17
     0.797305    4.05654e-16    2.84154e-17
     0.800075    4.87100e-16    2.85629e-17
     0.802863    4.54344e-16    2.77352e-17
     0.805671    4.81384e-16    2.77558e-17
     0.808498    4.83881e-16    2.68460e-17
     0.811345    3.99978e-16    2.71510e-17
     0.814211    5.23480e-16    2.68284e-17
     0.817097    3.67976e-16    3.06960e-17
     0.820003    4.06758e-16    2.47331e-17
     0.822928    4.94154e-16    2.61791e-17
     0.825873    4.69331e-16    2.54048e-17
     0.828837    4.72241e-16    2.52509e-17
     0.831822    5.03020e-16    2.37999e-17
     0.834826    3.83051e-16    2.51637e-17
     0.837849    4.77194e-16    2.60046e-17
     0.840893    4.40135e-16    2.71342e-17
     0.843956    4.23834e-16    2.60600e-17
     0.847039    3.05996e-16    2.24339e-17
     0.850141    3.88245e-16    2.06783e-17
     0.853263    3.56852e-16    2.32305e-17
     0.856404    3.73188e-16    1.92945e-17
     0.859565    4.21132e-16    2.20035e-17
     0.862746    4.26434e-16    1.86883e-17
     0.865946    4.06828e-16    1.87056e-17
     0.869165    4.30174e-16    1.81816e-17
     0.872403    4.23147e-16    1.79880e-17
     0.875661    4.20738e-16    1.79848e-17
     0.878937    3.66794e-16    2.13985e-17
     0.882233    4.38002e-16    1.77835e-17
     0.885547    4.17486e-16    2.35028e-17
     0.888880    3.94899e-16    2.53360e-17
     0.892232    4.86768e-16    2.21203e-17
     0.895602    3.90171e-16    2.01293e-17
     0.898991    4.06963e-16    1.74194e-17
     0.902399    4.04358e-16    1.71204e-17
     0.905824    4.50748e-16    2.53327e-17
     0.909268    5.00518e-16    1.73336e-17
     0.912729    4.80196e-16    1.92959e-17
     0.916208    4.99838e-16    1.72186e-17
     0.919705    5.01142e-16    1.70183e-17
     0.923220    4.53718e-16    1.60622e-17
     0.926752    4.24109e-16    2.33068e-17
     0.930301    5.14463e-16    2.14519e-17
     0.933868    4.80774e-16    1.79127e-17
     0.937451    4.51136e-16    2.02340e-17
     0.941051    4.66589e-16    1.84753e-17
     0.944668    4.43598e-16    1.75046e-17
     0.948301    4.86949e-16    1.99224e-17
     0.951951    4.41443e-16    1.65380e-17
     0.955617    4.60417e-16    1.70474e-17
     0.959299    4.63850e-16    1.56361e-17
     0.962996    5.02679e-16    1.54448e-17
     0.966709    4.30157e-16    1.48479e-17
     0.970438    4.59659e-16    1.44514e-17
     0.974182    4.72347e-16    1.33119e-17
     0.977941    4.44133e-16    1.29808e-17
     0.981715    4.50645e-16    1.26026e-17
     0.985503    4.47228e-16    1.35891e-17
     0.989306    4.87484e-16    1.56358e-17
     0.993124    4.37467e-16    1.76993e-17
     0.996956    4.53908e-16    1.21270e-17
      1.00080    4.35745e-16    1.33960e-17
      1.00466    4.47956e-16    1.14493e-17
      1.00853    3.95128e-16    1.50040e-17
      1.01242    4.63683e-16    1.12029e-17
      1.01632    4.57352e-16    1.13890e-17
      1.02023    4.28937e-16    1.22302e-17
      1.02416    4.43279e-16    1.12637e-17
      1.02809    4.38285e-16    1.10361e-17
      1.03204    5.29674e-16    1.47066e-17
      1.03601    4.43804e-16    1.08259e-17
      1.03998    4.32130e-16    1.07461e-17
      1.04397    4.98615e-16    1.34553e-17
      1.04796    4.74489e-16    1.22412e-17
      1.05197    4.53285e-16    1.00123e-17
      1.05599    4.54454e-16    9.58708e-18
      1.06002    4.64517e-16    9.38620e-18
      1.06406    4.76559e-16    9.31239e-18
      1.06812    4.55216e-16    9.46337e-18
      1.07218    4.42957e-16    1.20999e-17
      1.07625    4.45386e-16    9.38107e-18
      1.08033    4.49838e-16    9.59886e-18
      1.08442    4.58254e-16    9.42709e-18
      1.08852    4.55483e-16    1.13255e-17
      1.09264    4.30282e-16    9.20036e-18
      1.09675    4.39754e-16    9.15905e-18
      1.10088    4.85082e-16    1.30325e-17
      1.10502    4.62541e-16    9.06819e-18
      1.10916    4.28528e-16    9.82799e-18
      1.11332    4.29491e-16    9.24291e-18
      1.11748    4.35522e-16    9.73222e-18
      1.12165    4.36777e-16    1.04386e-17
      1.12582    4.32620e-16    1.10716e-17
      1.13001    4.32150e-16    1.13088e-17
      1.13420    3.86818e-16    1.08409e-17
      1.13840    3.95896e-16    1.08597e-17
      1.14260    4.29108e-16    1.02764e-17
