age,mass,luminosity,temperature,gravity,radius,log_li,log_tc,log_rhoc
0.12,0.02,-4.392479811701382,1315.6801255324117,4.561331410638227,0.12283429468088655,0.0,5.821834294680887,1.8380468275530744
0.12,0.03,-3.8726813517858667,1789.949909523674,4.7519468919643115,0.12068436934522962,0.0,6.03068436934523,2.0572572118155126
0.12,0.04,-3.459898018773273,2225.918317688939,4.843632672924424,0.12509183176889394,0.0,6.186,2.147485742094194
0.12,0.05,-3.2261644152961044,2472.7722404399346,4.888582207648052,0.133,-0.0013,6.2989999999999995,2.1778733114720783
0.12,0.06,-3.0633808462439713,2635.412769170686,4.916587230829315,0.1411031922926714,-0.0450007423512529,6.382896807707328,2.188460207785437
0.12,0.07,-2.9371433647113645,2756.910397055397,4.935089602944602,0.1489820794110794,-0.6139942218180218,6.44701792058892,2.189054117064717
0.12,0.07200000000000001,-2.9121612853002854,2779.910397055397,4.937107523533524,0.1509820794110794,-0.9530024403783401,6.458035841177841,2.1887577011825012
0.12,0.075,-2.878143364711365,2810.9283176443178,4.940107523533524,0.15398207941107941,-1.7662651001630996,6.474035841177842,2.1857630773591774
0.12,0.08,-2.828137373302828,2852.945050678869,4.943109898642263,0.15798626266971721,-4.288110696598151,6.497027474660566,2.17835935303128
0.12,0.09,-2.737626210877506,2924.457929707498,4.947084140585004,0.16699999999999998,-5.801438547847223,6.536771035146252,2.1630659354798816
0.12,0.1,-2.663262330983689,2978.547533803262,4.950809864786951,0.17554753380326224,-7.295518676418621,6.571452466196738,2.148431523518143
0.12,0.11,-2.595424741245459,3026.65004704628,4.95207478829174,0.18365004704628013,-8.76535564300467,6.60069990590744,2.132244684789923
0.12,0.13,-2.4767497647685994,3105.32502352314,4.950074788291739,0.19965004704628014,-9.890678080511769,6.64869990590744,2.098912182437609
0.12,0.15,-2.379977254994392,3162.0,4.946977254994392,0.2156045490011216,-10.079247686487102,6.686790901997757,2.066449521692485
0.12,0.17,-2.2940672460253944,3210.4932753974604,4.9425605214228545,0.23047982619238175,-10.05951344920508,6.718026898410158,2.034940782134282
0.12,0.2,-2.1847555310918585,3270.0,4.935404424873487,0.2522977875632567,-9.9914,6.7567022124367435,1.9930875222849271
0.12,0.3,-1.908576248818795,3411.0,4.908576248818796,0.318484750236241,-9.904903374173156,6.836545749291276,1.8843945485353057
0.12,0.4,-1.6794247046291864,3535.1061761572964,4.866424704629186,0.3857876476854069,-9.979245939860645,6.875318528471889,1.8907582921752386
0.12,0.5,-1.4150224525523356,3727.0224525523354,4.7910449051046715,0.47097754744766457,-10.100861658376814,6.9320449051046715,1.9337381693389704
0.12,0.6,-1.1457429419161824,4036.3855871257265,4.739403603218569,0.5470642645209544,-9.585187443802447,6.995532132260477,1.9013349554940042
0.12,0.7,-0.879,4400.258443973909,4.68925844397391,0.626,-5.091589715863513,7.028258443973909,1.8808842883713006
0.12,0.8,-0.6120735250487581,4825.073525048758,4.641,0.7079264749512418,-2.336020604814719,7.0630735250487575,1.887036762524379
0.12,0.9,-0.37200000000000005,5208.246868600576,4.584246868600576,0.8009999999999999,-1.084976565699712,7.0972468686005765,1.8995259394198272
0.12,1.0,-0.15822079129312153,5546.558417413757,4.525073597097707,0.9039264029022929,-0.5129,7.128926402902293,1.897032014511464
0.12,1.1,0.05070738716193302,5887.061080742899,4.461646306419033,1.0203536935809665,-0.2411,7.1610000000000005,1.9231318194590927
0.12,1.2,0.23940677848102926,6170.813556962059,4.39259322151897,1.1534067784810293,-0.1135,7.192,1.9369949126582644
0.12,1.3,0.41111976879316336,6454.1197687931635,4.3338802312068365,1.2851197687931633,-0.0555,7.224,1.9463317456724796
0.12,1.4,0.5637270393068068,6766.727039306807,4.295272960693193,1.3937270393068069,-0.0278,7.251,1.9461905589602104
