teff	logg	z	fsed	cld	WFCAM_Z	HAWK_NB1190	SDSS_G	WIRC_H	NICMOS_F097N	WIRC_PABETA	PANSTARRS_Y	NIRC2_K	MKO_MP	WISE_W3	MKO_KP	UKIDSS_K	FOURSTAR_H	WIRCAM_KCONT	2MASS_H	WFCAM_J	2MASS_Ks	WFC3_F139M	WIRCAM_H	NIRC2_M	WISE_W2	2MASS_J	VISTA_Y	NIRC2_H	BESSEL_I	MKO_H	VISTA_H	SDSS_I	NIRC2_FE2	MKO_LP	FOURSTAR_J	WIRCAM_CH4_ON	WIRCAM_KS	WIRCAM_J	2MASS_K	FOURSTAR_J3	WFCAM_K	HAWK_Y	VISTA_J	NICMOS_F187N	MKO_K	WFCAM_Y	MKO_H_ATM	VISTA_Z	WIRCAM_CH4_OFF	FOURSTAR_J2	PANSTARRS_Z	SDSS_Z	WISE_W1	FOURSTAR_J1	PANSTARRS_I	WFC3_F127M	NICMOS_F113N	WIRCAM_Y	UKIDSS_Z	MKO_K_ATM	VISTA_KS	HAWK_BRG	PANSTARRS_R	WIRC_FE2	NICMOS_F190N	IRAC_CH4	NIRC2_LP	WFC3_F167N	UKIDSS_J	WIRC_CH4S	NIRC2_J	HAWK_CH4	HAWK_NB2090	UKIDSS_H	IRAC_CH3	WFCAM_H2	WIRC_CH4L	SDSS_R	HAWK_H2	WIRC_BRGAMMA	NICMOS_F110W	HAWK_KS	NICMOS_F090M	SDSS_U	IRAC_CH1	NIRC2_HCONT	NIRC2_KCONT	NICMOS_F110M	MKO_J	HAWK_H	NICMOS_F108N	2MASS_KS	HAWK_J	NICMOS_F145M	FOURSTAR_H_SHORT	NICMOS_F160W	NICMOS_F165M	WFCAM_H	WIRC_J	WFC3_F164N	PANSTARRS_G	WFCAM_BRG	WIRC_CO	FOURSTAR_H_LONG	FOURSTAR_KS	NIRC2_KP	NICMOS_F095N	UKIDSS_Y	IRAC_CH2	WISE_W4	PANSTARRS_W	NICMOS_F164N	HAWK_NB1060	WIRC_K	NICMOS_F170M	MKO_J_ATM	NICMOS_F166N	FOURSTAR_K	NIRC2_KS	NICMOS_F140W
1000.0	5.0	0.0	f2	nc	-29.813315482770932	-32.42851445684262		-33.91551306671302	-31.16248668001024	-33.72197371526503	-31.124677960744766	-33.6152569561999	-36.24713605830026	-37.137596268379966	-33.59946573084332	-33.57130823470548	-33.46624381835593	-32.827511570782974	-33.290695995239645	-33.34981995049587	-33.69612745919865	-30.46292200731182	-33.47042177050546	-36.246495310573536	-36.21598596431894	-32.820217322704735	-31.938333945244736	-33.438850345804916		-33.44730806301961	-33.48817395213031	-25.684556339933376	-33.83744454206142	-35.35034335475785	-33.02503132079461	-33.46613654095912	-33.66748757300715	-33.36047837629713	-33.69612745919865	-33.369033544184504	-33.51110209803843	-31.947516035026066	-33.27429040174821	-32.305104347272994	-33.596279467144875	-32.15062863707192	-33.55766418308201	-29.737431274140516	-33.77709246955409	-32.29090168082214	-29.499849317205257	-30.193096426924598	-34.07561066333062	-32.295455897176865	-25.660807409331703	-33.65748622212592	-31.607582306378408	-32.013683265756804	-29.838813375817747	-33.47673857602567	-33.70449639522096	-33.973749659423106	-23.865587435682446	-33.828549894952104	-32.763748590384544	-36.23619957441288	-35.35850335041769	-33.53254392478894	-33.32816497762418	-33.78592565721392	-33.32363462959459	-33.66924939461365	-34.24370889034676	-33.479689244523854	-35.96025564813955	-34.1144127335561	-33.51189401646635	-23.29544587131155	-34.201606981545275	-33.51904755179529	-31.9871512744323	-33.63163994545775	-30.17985207014806		-34.543912300886426	-33.94877053350504	-32.341585736154144	-32.16779221248891	-33.32819113111457	-33.42378798677656	-32.753228051125014	-33.69612745919865	-33.40847567118084	-32.08353430772241	-33.44341798150245	-33.114148353565106	-33.66211811660663	-33.49577063757426	-33.2550046398915	-33.85062005871297		-33.70960057950433	-32.46052668834474	-33.42332256809334	-33.02503132079461	-33.589465237331325	-30.885737417981545	-32.09503873187273	-36.19606922944347	-37.43982572992718	-24.14232488613187	-33.85629973020688	-32.48818510023074	-32.346985641989484	-33.42555612373763	-33.20053902426266	-33.56633158829923	-33.02503132079461	-33.69955634286886	-32.77651597404229
1000.0	5.0	0.0	f3	nc	-29.801153950707562	-32.47138018925509		-33.93822989486634	-31.21317082343205	-33.83989181435573	-31.1811791830803	-33.51108505307462	-36.244163793470015	-37.08185373804223	-33.4970238851825	-33.46448210560315	-33.43859078776444	-32.64223324010228	-33.252845319641025	-33.461947078326936	-33.60191211294929	-30.26612725334286	-33.44277755534095	-36.24465006507036	-36.198843611600424	-32.91042561542576	-32.05067470962952	-33.41058614151766		-33.418949366489784	-33.45946081798017	-25.513001257968924	-33.81534122506725	-35.29381762578186	-33.1248790763883	-33.40866208835967	-33.56766192465055	-33.472927809290454	-33.60191211294929	-33.48438225848944	-33.39847191115495	-32.06009085223983	-33.383117830714895	-32.14975733634495	-33.49166453912271	-32.27419822487927	-33.52817873334978	-29.722717188868685	-33.781762236389824	-32.35475450770925	-29.476193812473127	-30.21824468328386	-33.959906538703144	-32.42019912080005	-25.48578035708466	-33.78452858748131	-31.587055711697857	-32.13052585882395	-29.827818407893034	-33.37231436503473	-33.60568363992585	-33.86427149361135	-23.713768102141653	-33.805243066780676	-32.62732726990003	-36.14788919080458	-35.30220077356808	-33.48818324479263	-33.43997599667547	-33.78296723461568	-33.43467567376619	-33.669196434964974	-34.174091709879654	-33.452377969878015	-35.86261327317716	-34.02387530200485	-33.46088007880236	-23.128810230335798	-34.120670423423306	-33.38987581533545	-32.081414940901915	-33.532353917527495	-30.200792719052636		-34.45017157743215	-33.97219541421406	-32.11221355998927	-32.25593944200021	-33.43982868690204	-33.39525549876932	-32.899112617248335	-33.60191211294929	-33.522653850885085	-32.01529353196967	-33.43334164561842	-33.07919003034471	-33.64203337713607	-33.468132477722364	-33.368191826516295	-33.82743252815438		-33.58922441203356	-32.23745582655471	-33.365688591341545	-33.1248790763883	-33.48768773012707	-30.903548777769316	-32.21654995011542	-36.179458495227685	-37.387503543833546	-23.974128091905037	-33.837828857737115	-32.628559820989025	-32.11362631290196	-33.376935394536645	-33.30747321197162	-33.53384183245374	-33.1248790763883	-33.59957382934392	-32.82993605476368
1000.0	5.0	0.0	f4	nc	-29.78911418644489	-32.48959492117904		-33.944333369061674	-31.234743430526418	-33.90068861233912	-31.207796921485592	-33.443693333663056	-36.239221098151425	-37.04530334775471	-33.43035675331603	-33.39566907918605	-33.41434102878089	-32.52487295968696	-33.223066477766196	-33.52090890206178	-33.54049841801039	-30.142726871243003	-33.41866175310528	-36.240424920779674	-36.18520034429351	-32.95734606317576	-32.11199878976693	-33.38627680507582		-33.39451227886832	-33.43475667516698	-25.421392671827505	-33.79273767090922	-35.25650062492224	-33.17705097479413	-33.36573519203557	-33.5027907359202	-33.532015419231875	-33.54049841801039	-33.5453502604514	-33.326274483004696	-32.121388731190045	-33.44027962976837	-32.05163485389559	-33.42414785463335	-32.34209364204456	-33.50249328389087	-29.709452898435757	-33.77649919937851	-32.3862870469913	-29.4584940543006	-30.22837874101056	-33.889363005247276	-32.4886226783027	-25.393075729413948	-33.85195180479168	-31.56476389600796	-32.19432513744523	-29.81640998812091	-33.30529833910916	-33.541278516491644	-33.79341703007115	-23.628504178331674	-33.78207040172408	-32.53977992974492	-36.09484259942463	-35.26499745902764	-33.45322433872505	-33.49873904008788	-33.77286246696733	-33.492985293202565	-33.66125100605498	-34.12614334860771	-33.42847565218393	-35.80124924484756	-33.964283868614814	-33.42188996379237	-23.037499505136587	-34.06628054531589	-33.30746792709185	-32.1312133240039	-33.46797019052112	-30.206886159429533		-34.392045711138145	-33.978570736509056	-31.967641949050893	-32.30295459225813	-33.498469178186284	-33.37068547290224	-32.97901967633529	-33.54049841801039	-33.58257393306896	-31.968702866542632	-33.419678730316505	-33.05119938888867	-33.62202206098541	-33.44406397655051	-33.427926432173884	-33.804036322296795		-33.51196211153236	-32.09702349905296	-33.323095393177134	-33.17705097479413	-33.42148758619237	-30.904541482527268	-32.283206006105864	-36.165686020031316	-37.35754465458959	-23.88393215718697	-33.8175293162178	-32.70642642955622	-31.966623747780226	-33.340018809968385	-33.36355753515177	-33.50592376209967	-33.17705097479413	-33.53443645106446	-32.85684568287846
1000.0	5.0	0.0	f5	nc	-29.78659890100602	-32.5051306388707		-33.950037633707396	-31.252679674660143	-33.94374165394066	-31.23001340736134	-33.38934963993489	-36.231800693733	-37.01488961378849	-33.376141405317895	-33.3401893024697	-33.396362794977136	-32.426463318427906	-33.20054732772364	-33.563696108071866	-33.49089097266719	-30.046044014619557	-33.40079289554136	-36.23355768307623	-36.171245309817955	-32.992100777996846	-32.15816343831246	-33.368293665553445		-33.37640481903462	-33.41637830588476	-25.362765045310947	-33.7752952889291	-35.22473378843574	-33.215299948922045	-33.33247789483054	-33.45020643871558	-33.574868393483065	-33.49089097266719	-33.58941480393639	-33.26811948499801	-32.16740836745109	-33.48188654950538	-31.97029867007908	-33.36977108859545	-32.39240706461315	-33.48331453934104	-29.706179381701663	-33.773203734616665	-32.410693645579435	-29.452397493687062	-30.24049895827386	-33.83267020668121	-32.53901530630303	-25.333306378094996	-33.90036110367389	-31.549674081447762	-32.2418562578501	-29.81432989724468	-33.251607818749825	-33.48912390308377	-33.73520375846139	-23.57869709203744	-33.76428035053535	-32.46762373101968	-36.05385108331785	-35.23328937092472	-33.42658730746263	-33.541397268276604	-33.7656287079237	-33.53532884765093	-33.65599489911794	-34.087890770790764	-33.41073935647064	-35.752129982056445	-33.91599346131382	-33.3917938369004	-22.98394914302124	-34.02252218257694	-33.23864660816084	-32.16842222648096	-33.41583571623383	-30.21541491634494		-34.34471752876742	-33.98442466502141	-31.849435142170325	-32.338715411713146	-33.54102992414769	-33.35245542692907	-33.03612956652496	-33.49089097266719	-33.62591842901171	-31.93428760940933	-33.41012650327301	-33.03043989241846	-33.607154174134465	-33.42615520056275	-33.47135266006044	-33.78586340068151		-33.44755341843525	-31.98238152802641	-33.29016547637747	-33.215299948922045	-33.367602246398796	-30.90772711438956	-32.33269109117768	-36.151512532978856	-37.33526217317171	-23.82726248383019	-33.801876687564146	-32.76310534588059	-31.846566591085082	-33.311596984938724	-33.40444309194967	-33.48463515656418	-33.215299948922045	-33.48161669665574	-32.87755083949942
1000.0	4.0	0.0	f2	nc	-29.962483486087716	-32.224599065384055		-33.70828240012862	-31.19267404375393	-33.775933701688786	-31.21330522092918	-33.50447283879539	-36.13771824424005	-37.205361391608	-33.56959144989369	-33.44848655335075	-33.32639072573157	-32.287070317697115	-32.97591354730479	-33.41238436779581	-33.622059968658775	-30.484452763910852	-33.34035993668102	-36.13284227749952	-36.1094017602113	-32.89118065698411	-32.0379182048447	-33.2908468939021		-33.31002228124624	-33.35451257352232	-25.90013655793474	-33.84564074400063	-35.07475799930453	-33.07043144580436	-33.33074657687742	-33.59087012413765	-33.42951846629249	-33.622059968658775	-33.45663822168134	-33.377058395957924	-32.064267940619935	-33.33310609484824	-32.40639938829992	-33.48166760923079	-32.27443817193937	-33.48936358543233	-29.888225741776434	-33.63760085876586	-32.28843105679841	-29.649834630890517	-30.302577180914298	-33.76354883771236	-32.41872912841616	-25.87191727882191	-33.76614521180949	-31.439550290418175	-32.12516815091113	-29.97630900659509	-33.32460922519515	-33.645355306637626	-33.79891249163533	-24.060504857726194	-33.8364493825497	-32.83365897132348	-36.19620842844276	-35.084872944670934	-33.50708586503377	-33.37847467719738	-33.6716283975249	-33.392119285769795	-33.511008782234995	-34.270456280750594	-33.35339484947073	-35.93513123351809	-34.03953552760508	-33.419953943895685	-23.470588927692834	-34.188200987345844	-33.234595280731554	-32.04420834764009	-33.54471466762969	-30.266480559943464		-34.18864747965983	-33.80523572197441	-31.626409485949583	-32.21499310123009	-33.39503652780492	-33.263226728803666	-32.9741815903891	-33.622059968658775	-33.495263415771994	-31.916690624816418	-33.27538827742131	-32.990112541914016	-33.5393128106867	-33.364156791667156	-33.28949091680112	-33.847904829373284		-33.48038434176545	-31.708853439770436	-33.33919900900452	-33.07043144580436	-33.54286974573845	-30.886690236757957	-32.21240776354024	-36.085336298994115	-37.47869602140962	-24.351109171374354	-33.86321170378345	-32.655556434117415	-31.69489677829871	-33.34876374791223	-33.108082308468504	-33.524356032940666	-33.07043144580436	-33.63357326233056	-32.7694404848545
1000.0	4.0	0.0	f3	nc	-29.978949775334662	-32.2457930499426		-33.71754264370756	-31.22968922660125	-33.82916384094123	-31.254871658132494	-33.455219562561474	-36.12789290683274	-37.17666083086829	-33.52214829711674	-33.39757908932366	-33.30822286550721	-32.158381779224555	-32.94153474550864	-33.46661336878876	-33.57860830136547	-30.392459664713304	-33.3223877543854	-36.12297085403046	-36.08771932642145	-32.93728102075018	-32.1000286902828	-33.272711236841694		-33.290743455332134	-33.33527908511966	-25.847096427528523	-33.8329006926646	-35.0202806082191	-33.11958328834279	-33.291696626304045	-33.544354443548336	-33.48399618697925	-33.57860830136547	-33.51204643215821	-33.32223887150407	-32.127000384800944	-33.38599458006988	-32.32787247509338	-33.43244409648909	-32.340775834455926	-33.47168908302046	-29.90341990485812	-33.63751419076812	-32.32489444546505	-29.660500938740483	-30.331690345572593	-33.67753773172991	-32.484770266793795	-25.81735633373715	-33.826898714694416	-31.433866955694633	-32.189284208659	-29.9929030750993	-33.27583833091038	-33.599670747030444	-33.73475995643386	-24.0124039872154	-33.82319619346989	-32.76873543018749	-36.13990628499921	-35.03047836184279	-33.481013696345386	-33.43208221414781	-33.666480891256974	-33.44598463408599	-33.50921839593232	-34.24313166304885	-33.33548372705148	-35.87228029274078	-33.99250120929634	-33.387186488272576	-23.412863134945358	-34.15001982194458	-33.156361312941215	-32.09352947477739	-33.49841268608784	-30.293247316270598		-34.11298676633612	-33.8156850685843	-31.46594284421751	-32.26513168009683	-33.44918042254562	-33.24296711326898	-33.04745434167492	-33.57860830136547	-33.550752090621685	-31.883776406335254	-33.268858182011925	-32.96891113136901	-33.52385800771452	-33.34541096175122	-33.34412116350608	-33.833302170862936		-33.40825236379279	-31.55363121634132	-33.30334473028493	-33.11958328834279	-33.495329536514085	-30.912430000809074	-32.27823578828265	-36.064716864341186	-37.44539151525742	-24.298528597340088	-33.85161338149766	-32.73127038609604	-31.53459646856815	-33.31788274256799	-33.15483807908697	-33.503559912604786	-33.11958328834279	-33.58672972510182	-32.79760190989521
1000.0	4.0	0.0	f4	nc	-29.987052825773514	-32.25907743687716		-33.72241737020022	-31.25332156757723	-33.86488480872979	-31.28123963130209	-33.42320776864418	-36.120031612889534	-37.155712167521784	-33.4911361438444	-33.364500970380995	-33.29514639916179	-32.072259671404325	-32.91815477504288	-33.502772085123276	-33.550380408290316	-30.332904241344032	-33.309455387480924	-36.11509200560419	-36.072135024584625	-32.96808733261179	-32.140179659268334	-33.259777353055014		-33.27697682100069	-33.32154859459592	-25.812949300252445	-33.82270506901329	-34.983860267547385	-33.15244131554579	-33.26439735077534	-33.514062481459014	-33.520338230289404	-33.550380408290316	-33.54910795115298	-33.28655468828169	-32.16768062749837	-33.42127475750059	-32.27582957707203	-33.40047636879063	-32.38389756147381	-33.45866490127349	-29.91070349149843	-33.63616975989459	-32.348968646877125	-29.664815972775962	-30.349108757234767	-33.62134127942018	-32.527844900461595	-25.782530705092498	-33.86740572660444	-31.42930437002509	-32.23095865071512	-30.001081757167356	-33.24433092312248	-33.56981518167642	-33.69212385858921	-23.979244741548428	-33.81269131144685	-32.72576679355481	-36.103350418514964	-34.99409386110222	-33.46247002475413	-33.46784978025451	-33.66164393815645	-33.48190401071672	-33.50683853607479	-34.225025404846356	-33.32259619333847	-35.83019236760722	-33.96126398354645	-33.364148376746684	-23.374800899125017	-34.124643740392145	-33.10453648833231	-32.1261952081223	-33.468341251853666	-30.309442094779815		-34.06336921242546	-33.821418660048415	-31.359413390326107	-32.29797681271852	-33.48529752811969	-33.22855962845649	-33.09578740157691	-33.550380408290316	-33.58776726773524	-31.86234514713655	-33.263511266303055	-32.95409385604899	-33.51236416311375	-33.33199612094398	-33.380542142157665	-33.82177570524124		-33.36038522707551	-31.450867390960223	-33.27840744890157	-33.15244131554579	-33.464242553346615	-30.92837920558626	-32.32101707757885	-36.04972875023559	-37.42375742038242	-24.264170120322113	-33.842269030155414	-32.780766549359384	-31.427807593540116	-33.29629628266459	-33.186445228428894	-33.48830733201908	-33.15244131554579	-33.55612381984338	-32.81671130217419
1000.0	4.0	0.0	f5	nc	-29.989568465352825	-32.264479684331604		-33.72387676091511	-31.264054711803805	-33.88284306436335	-31.29365033820453	-33.40367707035666	-36.114486690311175	-37.14296967133126	-33.472062428147844	-33.344304015127754	-33.2856678385517	-32.01909158086869	-32.90254925862651	-33.5210562579969	-33.53306770991364	-30.29627829778002	-33.30006431457341	-36.10953232287491	-36.06205552997971	-32.98343577444111	-32.16059797255021	-33.25043497497739		-33.267090424982385	-33.311676690564866	-25.793142783499565	-33.81407963834117	-34.9614451216278	-33.1688969031107	-33.24574659222541	-33.49543700495721	-33.5387155473622	-33.53306770991364	-33.567924875020005	-33.26480160531482	-32.18835966288826	-33.43907223322485	-32.24364171788582	-33.380964825318635	-32.406042588411744	-33.44918212643187	-29.91280698886257	-33.63366237461807	-32.360445756563344	-29.665392676479243	-30.356790964804365	-33.58842356068328	-32.549983236502484	-25.762311976543266	-33.88814291062157	-31.424468038858233	-32.25225553203909	-30.003627797677193	-33.22516337486833	-33.5514529843325	-33.665184338340815	-23.960131498357917	-33.80388168799412	-32.69924238883041	-36.082597663634964	-34.97168373139611	-33.44899328967419	-33.48590532836415	-33.65677277416644	-33.50003669279556	-33.50390734384332	-34.21390414136493	-33.31321537647427	-35.80552783062749	-33.94159039031407	-33.3481454620187	-23.353143251325204	-34.10882570741117	-33.07166349557356	-32.14251767596129	-33.44990678821311	-30.316269812805988		-34.033846148103976	-33.823198800205084	-31.29585915425431	-32.31441103693399	-33.50354927246731	-33.21826336903753	-33.120897165501766	-33.53306770991364	-33.60649498076837	-31.849006284956015	-33.25892793477874	-32.94367786973485	-33.503565929283916	-33.3222953548196	-33.3988060399168	-33.812259696511916		-33.32990827413574	-31.389670901622896	-33.26137292964645	-33.1688969031107	-33.445112771586544	-30.934793537971622	-32.34295414395683	-36.03995483687068	-37.411592657180094	-24.244193007708358	-33.83412241504596	-32.80648735095819	-31.363858281889364	-33.28129826431049	-33.2022190921282	-33.4766945529716	-33.1688969031107	-33.537324567255844	-32.82561675340903
1000.0	5.477121254719663	0.0	f2	nc	-29.718538772039288	-32.39197970129305		-33.813399937281325	-31.055753686899617	-33.54096791809316	-31.006834054080826	-33.719502370434725	-36.34378389765289	-37.20555075886378	-33.67190911855565	-33.68774162869834	-33.44216562304276	-33.21072267706726	-33.33932036021849	-33.163492529101276	-33.77634187250857	-30.696831073020206	-33.44579893604297	-36.34448937488896	-36.31960842539777	-32.6599532292404	-31.780656437812468	-33.422197032003155		-33.42869423326554	-33.46267375006439	-25.72312717412279	-33.73660026413195	-35.543461734937736	-32.85961391121885	-33.48755025315297	-33.7561945514816	-33.171341071422894	-33.77634187250857	-33.173049776267405	-33.64106387360464	-31.78113799695851	-33.09306402807725	-32.44188162496045	-33.705397215075024	-31.974912104299502	-33.50986243800768	-29.643940336988642	-33.6916414527275	-32.189558510921024	-29.413754279141664	-30.08465931163975	-34.33102737297792	-32.11920585299079	-25.704461692931993	-33.44229347193074	-31.635269181439124	-31.844586436387345	-29.746010633686378	-33.60868826843244	-33.78103739068266	-34.08105042779171	-23.915736828794966	-33.734087970350586	-32.87416439111096	-36.34196425860158	-35.550568602647886	-33.506792642917624	-33.14606797063974	-33.7002731632176	-33.13578967927001	-33.60298556767627	-34.20613239487575	-33.452115033495765	-36.06943376401625	-34.15120904938112	-33.507356383580266	-23.38039852266406	-34.19431367928903	-33.72463735806272	-31.835687711114705	-33.72776785513008	-30.082992219187553		-34.804400125363216	-33.83339191988797	-32.840853861821536	-32.043949106340385	-33.14088205023137	-33.4113662517076	-32.51092277620386	-33.77634187250857	-33.20813428861696	-32.1732543657834	-33.39969350754741	-33.10558496192869	-33.6133315846184	-33.46715982693628	-33.06581164959511	-33.748727234511236		-33.8719528913516	-32.95432391953928	-33.43050041746894	-32.85961391121885	-33.673715063207254	-30.831649972466515	-31.92250665873476	-36.29720331490218	-37.46990791288302	-24.187892227157004	-33.74961397639512	-32.284063684382	-32.83960460217611	-33.415594198369625	-33.06240120492864	-33.52286826665973	-32.85961391121885	-33.78200443201457	-32.67683775541797
1000.0	5.477121254719663	0.0	f3	nc	-29.71767741322005	-32.50492476563839		-33.88736258445831	-31.162496323136043	-33.74771985724594	-31.11752224571669	-33.58632270336332	-36.32377216376597	-37.11689477215319	-33.54218998974791	-33.550943772432134	-33.451629020726784	-32.991274921910104	-33.338276391080285	-33.359388006077815	-33.65646722872175	-30.446003275382626	-33.45431563034252	-36.32662730145219	-36.289173589346476	-32.82366736598705	-31.972264447488303	-33.429282612733914		-33.436710562166596	-33.46975810293142	-25.4707856800825	-33.75240491045378	-35.47857238226046	-33.03733159702825	-33.4620637611334	-33.62943515833237	-33.36734594950825	-33.65646722872175	-33.37150797623604	-33.496360134814026	-31.971885143052297	-33.28403812298616	-32.2411115413832	-33.57132401745223	-32.18115581821094	-33.51784419274564	-29.6390119833808	-33.74458226070675	-32.319881171189586	-29.3951133086778	-30.14353201832103	-34.19224489976677	-32.32802672583253	-25.44713680143946	-33.65830635434706	-31.669117836231194	-32.04077881597087	-29.747083336166135	-33.47461896016255	-33.65562486684246	-33.94749163805137	-23.68716635437833	-33.74864720337146	-32.69642533702036	-36.22799672516497	-35.48593850736769	-33.49202099340395	-33.34162924474547	-33.74294278035967	-33.32977688118926	-33.65006911336685	-34.12552434772202	-33.46074279242262	-35.94327952642966	-34.04214303097425	-33.48826240315503	-23.125631594641355	-34.099973924547044	-33.56251712237182	-32.00221191644368	-33.601292455443634	-30.1387165392474		-34.69494071031355	-33.90732168863857	-32.57715349553662	-32.203473421395735	-33.335704674074435	-33.419950097226554	-32.74644052350971	-33.65646722872175	-33.40533283039774	-32.12040764719682	-33.43157512517937	-33.10091785085766	-33.633195362114854	-33.47546402996368	-33.26433662916013	-33.76435698766458		-33.721239986159915	-32.69815541378643	-33.40073147063953	-33.03733159702825	-33.54499594563704	-30.89132233476898	-32.12550685250997	-36.268324867199254	-37.404973350239416	-23.939023740636753	-33.76925362466784	-32.51150186856655	-32.572543644802955	-33.39485019053453	-33.25481415189819	-33.52329703889127	-33.03733159702825	-33.6560669984283	-32.78532192974835
