#WAVE	TRANSMISSION
1.628105	0.0005059999999999999
1.6282370000000002	0.000571
1.628369	0.000546
1.628501	0.0005769999999999999
1.628633	0.000684
1.628766	0.0007769999999999999
1.628898	0.000858
1.62903	0.000921
1.629162	0.000975
1.629294	0.001049
1.629426	0.0011300000000000001
1.629558	0.001233
1.629691	0.00134
1.629823	0.0016
1.6299549999999998	0.0018620000000000002
1.630087	0.002074
1.63022	0.002306
1.630352	0.002625
1.630484	0.00302
1.630616	0.0036009999999999996
1.630749	0.004151
1.630881	0.004652
1.6310129999999998	0.00533
1.631146	0.006175
1.631278	0.007036
1.63141	0.007906999999999999
1.631542	0.009455
1.631675	0.011252
1.631807	0.012846000000000002
1.63194	0.014403999999999998
1.632072	0.017093999999999998
1.632204	0.019836000000000003
1.6323370000000001	0.022529
1.632469	0.025805
1.632602	0.031796
1.632734	0.037512000000000004
1.632867	0.042549000000000003
1.6329989999999999	0.049166
1.6331309999999999	0.058137
1.633264	0.066649
1.6333959999999998	0.07472000000000001
1.633529	0.087397
1.6336620000000002	0.102827
1.633794	0.115702
1.6339270000000001	0.12767
1.634059	0.144957
1.634192	0.163179
1.6343239999999999	0.17794300000000002
1.634457	0.193381
1.6345889999999998	0.218042
1.634722	0.241094
1.634855	0.25736
1.6349870000000002	0.274917
1.6351200000000001	0.295392
1.635253	0.313285
1.635385	0.327611
1.635518	0.345056
1.63565	0.365165
1.635783	0.379264
1.635916	0.390148
1.636049	0.401499
1.6361809999999999	0.412963
1.636314	0.420411
1.636447	0.427328
1.63658	0.43540500000000004
1.6367120000000002	0.442935
1.636845	0.44634300000000005
1.636978	0.44969799999999993
1.637111	0.45293500000000003
1.637243	0.45553699999999997
1.637376	0.45693999999999996
1.637509	0.45799799999999996
1.637642	0.458663
1.637775	0.459066
1.637908	0.459284
1.638041	0.45938999999999997
1.6381729999999999	0.459449
1.638306	0.4594
1.638439	0.45932799999999996
1.6385720000000001	0.459426
1.6387049999999999	0.459535
1.638838	0.45964499999999997
1.638971	0.459717
1.6391040000000001	0.45961599999999997
1.6392369999999998	0.459538
1.63937	0.45951499999999995
1.639503	0.45954799999999996
1.639636	0.459657
1.6397689999999998	0.45975200000000005
1.639902	0.459834
1.640035	0.45994399999999996
1.640168	0.460089
1.6403009999999998	0.46017299999999994
1.640434	0.460239
1.6405669999999999	0.46032799999999996
1.6407	0.46042
1.6408330000000002	0.46048599999999995
1.640966	0.460567
1.6411	0.46073800000000004
1.6412330000000002	0.46090200000000003
1.6413659999999999	0.46104700000000004
1.6414990000000003	0.46119099999999996
1.641632	0.46133599999999997
1.6417650000000001	0.46141400000000005
1.6418979999999999	0.46142799999999995
1.642032	0.461441
1.642165	0.461454
1.642298	0.461369
1.6424310000000002	0.461251
1.642565	0.461362
1.642698	0.461506
1.6428310000000002	0.46165100000000003
1.6429639999999999	0.46179499999999996
1.643098	0.46193999999999996
1.643231	0.462059
1.643364	0.46209799999999995
1.6434970000000002	0.46207299999999996
1.643631	0.46193599999999996
1.643764	0.46186400000000005
1.6438979999999999	0.461859
1.644031	0.461789
1.644164	0.461678
1.644298	0.46158699999999997
1.6444310000000002	0.461503
1.644564	0.46141899999999997
1.644698	0.46133500000000005
1.6448310000000002	0.46127700000000005
1.6449650000000002	0.461213
1.645098	0.46106199999999997
1.645232	0.46089600000000003
1.6453650000000002	0.46073000000000003
1.6454990000000003	0.46052600000000005
1.645632	0.460255
1.645766	0.45993199999999995
1.6458990000000002	0.459556
1.646033	0.45925900000000003
1.646166	0.45904300000000003
1.6463	0.45882799999999996
1.6464330000000003	0.45861199999999996
1.646567	0.458373
1.6467	0.458132
1.646834	0.457916
1.646968	0.45769
1.647101	0.457396
1.6472349999999998	0.457108
1.647368	0.45683999999999997
1.647502	0.45651099999999994
1.647636	0.456085
1.6477689999999998	0.455714
1.647903	0.45539399999999997
1.648037	0.454937
1.6481700000000001	0.45440600000000003
1.648304	0.453875
1.648438	0.453345
1.648571	0.45252200000000004
1.6487049999999999	0.45167799999999997
1.648839	0.451087
1.648973	0.45045
1.6491060000000002	0.44956999999999997
1.64924	0.448722
1.6493740000000001	0.44794799999999996
1.6495080000000002	0.447006
1.6496419999999998	0.445838
1.649776	0.444859
1.649909	0.444033
1.650043	0.442989
1.650177	0.44184700000000005
1.650311	0.44096599999999997
1.6504450000000002	0.44014
1.650579	0.438812
1.650713	0.43750900000000004
1.6508459999999998	0.43671000000000004
1.65098	0.435888
1.651114	0.43498400000000004
1.651248	0.43421000000000004
1.651382	0.433673
1.651516	0.433175
1.65165	0.43271800000000005
1.651784	0.432489
1.651918	0.4324
1.652052	0.432507
1.6521860000000002	0.432654
1.65232	0.432708
1.652454	0.43275699999999995
1.6525880000000002	0.43313999999999997
1.652722	0.433478
1.652856	0.433572
1.6529909999999999	0.43342700000000006
1.653125	0.432758
1.653259	0.431766
1.6533930000000001	0.430339
1.653527	0.42706700000000003
1.653661	0.42235900000000004
1.6537950000000001	0.41725100000000004
1.653929	0.411971
1.654064	0.402681
1.654198	0.39259499999999997
1.654332	0.382995
1.654466	0.372406
1.6546	0.353495
1.6547349999999998	0.335725
1.654869	0.321482
1.6550029999999998	0.30490100000000003
1.6551369999999999	0.284491
1.655272	0.26548
1.6554060000000002	0.247819
1.6555400000000002	0.225254
1.655674	0.200164
1.655809	0.183108
1.655943	0.168152
1.656078	0.147872
1.6562119999999998	0.127806
1.6563459999999999	0.115195
1.65648	0.101983
1.6566150000000002	0.086489
1.6567490000000002	0.0735
1.656884	0.065171
1.657018	0.05658200000000001
1.6571529999999999	0.047705000000000004
1.657287	0.041137
1.6574209999999998	0.035931
1.657556	0.030254000000000003
1.65769	0.024435
1.657825	0.021439
1.657959	0.018726
1.658094	0.015871
