#lam	trans
0.538	0.0
0.5405	0.0014
0.543	0.0099
0.5455	0.0259
0.548	0.0497
0.5505	0.0807
0.553	0.1186
0.5555	0.1625
0.558	0.2093
0.5605	0.2555
0.563	0.2975
0.5655	0.3326
0.568	0.3609
0.5705	0.3834
0.573	0.401
0.5755	0.4147
0.578	0.4253
0.5805	0.4333
0.583	0.4395
0.5855	0.4446
0.588	0.4489
0.5905	0.4527
0.593	0.4563
0.5955	0.4599
0.598	0.4634
0.6005	0.4665
0.603	0.4689
0.6055	0.4703
0.608	0.4711
0.6105	0.4717
0.613	0.4727
0.6155	0.4744
0.618	0.4767
0.6205	0.4792
0.623	0.4819
0.6255	0.4844
0.628	0.4867
0.6305	0.4887
0.633	0.4902
0.6355	0.4909
0.638	0.4912
0.6405	0.4912
0.643	0.4912
0.6455	0.4914
0.648	0.4915
0.6505	0.4912
0.653	0.4901
0.6555	0.4878
0.658	0.4852
0.6605	0.4818
0.663	0.4697
0.6655	0.4421
0.668	0.4009
0.6705	0.3499
0.673	0.2924
0.6755	0.2318
0.678	0.1715
0.6805	0.1152
0.683	0.0687
0.6855	0.038
0.688	0.0212
0.6905	0.0134
0.693	0.0099
0.6955	0.0076
0.698	0.0055
0.7005	0.0039
0.703	0.0027
0.7055	0.002
0.708	0.0015
0.7105	0.0012
0.713	0.001
0.7155	0.0007
0.718	0.0004
0.7205	0.0002
0.723	0.0
