#lam	trans
0.643	0.0
0.6455	0.0001
0.648	0.0003
0.6505	0.0004
0.653	0.0004
0.6555	0.0003
0.658	0.0003
0.6605	0.0004
0.663	0.0009
0.6655	0.0019
0.668	0.0034
0.6705	0.0056
0.673	0.0103
0.6755	0.0194
0.678	0.0344
0.6805	0.0561
0.683	0.0839
0.6855	0.1164
0.688	0.1528
0.6905	0.1948
0.693	0.2408
0.6955	0.2857
0.698	0.3233
0.7005	0.3503
0.703	0.3759
0.7055	0.399
0.708	0.4162
0.7105	0.4233
0.713	0.4165
0.7155	0.3943
0.718	0.376
0.7205	0.3823
0.723	0.3918
0.7255	0.3892
0.728	0.3828
0.7305	0.382
0.733	0.3884
0.7355	0.3872
0.738	0.3821
0.7405	0.3787
0.743	0.3759
0.7455	0.3727
0.748	0.3681
0.7505	0.3618
0.753	0.3565
0.7555	0.3554
0.758	0.3478
0.7605	0.1473
0.763	0.2096
0.7655	0.2648
0.768	0.33
0.7705	0.3256
0.773	0.3223
0.7755	0.3179
0.778	0.3129
0.7805	0.3077
0.783	0.3026
0.7855	0.298
0.788	0.2944
0.7905	0.2921
0.793	0.2916
0.7955	0.2921
0.798	0.2927
0.8005	0.2923
0.803	0.2896
0.8055	0.284
0.808	0.2758
0.8105	0.2642
0.813	0.2427
0.8155	0.2091
0.818	0.1689
0.8205	0.1276
0.823	0.0901
0.8255	0.0603
0.828	0.0378
0.8305	0.0218
0.833	0.0117
0.8355	0.0068
0.838	0.0048
0.8405	0.0033
0.843	0.002
0.8455	0.0013
0.848	0.001
0.8505	0.0009
0.853	0.0009
0.8555	0.0008
0.858	0.0005
0.8605	0.0002
0.863	0.0
