#lam	trans
0.388	0.001
0.389	0.006
0.39	0.006
0.391	0.005
0.392	0.005
0.393	0.005
0.394	0.006
0.395	0.006
0.396	0.008
0.397	0.01
0.398	0.014
0.399	0.021
0.4	0.032
0.401	0.049
0.402	0.071
0.403	0.096
0.404	0.123
0.405	0.148
0.406	0.169
0.407	0.186
0.408	0.198
0.409	0.208
0.41	0.216
0.411	0.223
0.412	0.231
0.413	0.24
0.414	0.248
0.415	0.257
0.416	0.265
0.417	0.272
0.418	0.278
0.419	0.284
0.42	0.288
0.421	0.293
0.422	0.297
0.423	0.303
0.424	0.308
0.425	0.315
0.426	0.322
0.427	0.328
0.428	0.335
0.429	0.342
0.43	0.35
0.431	0.358
0.432	0.367
0.433	0.375
0.434	0.382
0.435	0.389
0.436	0.396
0.437	0.402
0.438	0.408
0.439	0.411
0.44	0.416
0.441	0.421
0.442	0.426
0.443	0.43
0.444	0.433
0.445	0.437
0.446	0.442
0.447	0.446
0.448	0.449
0.449	0.453
0.45	0.458
0.451	0.462
0.452	0.467
0.453	0.47
0.454	0.473
0.455	0.476
0.456	0.48
0.457	0.484
0.458	0.488
0.459	0.491
0.46	0.494
0.461	0.497
0.462	0.5
0.463	0.503
0.464	0.507
0.465	0.511
0.466	0.515
0.467	0.517
0.468	0.518
0.469	0.516
0.47	0.512
0.471	0.511
0.472	0.511
0.473	0.509
0.474	0.506
0.475	0.504
0.476	0.503
0.477	0.505
0.478	0.51
0.479	0.518
0.48	0.526
0.481	0.533
0.482	0.538
0.483	0.54
0.484	0.542
0.485	0.542
0.486	0.542
0.487	0.543
0.488	0.546
0.489	0.547
0.49	0.55
0.491	0.552
0.492	0.553
0.493	0.554
0.494	0.555
0.495	0.557
0.496	0.559
0.497	0.561
0.498	0.562
0.499	0.561
0.5	0.559
0.501	0.559
0.502	0.561
0.503	0.564
0.504	0.567
0.505	0.571
0.506	0.573
0.507	0.574
0.508	0.575
0.509	0.577
0.51	0.58
0.511	0.581
0.512	0.583
