# 2MASS TOTAL H-BAND OPTICAL RESPONSE FROM CARPENTER 2001
# MEASURED FROM T=M^2*De*L^7*Jc,tr*Hc,re*Hf*Dq
Wavelength	Transmission
1.31500	0.00000
1.34100	1.00000e-05
1.36800	0.00000
1.39700	0.00000
1.41800	7.00000e-05
1.44000	0.000550000
1.46200	0.00191000
1.47800	0.00712000
1.48600	0.0205700
1.49300	0.0592200
1.50400	0.142360
1.51500	0.247190
1.52800	0.357020
1.53900	0.421350
1.54600	0.452100
1.55100	0.465200
1.55600	0.470780
1.56500	0.469630
1.57200	0.463080
1.57700	0.457230
1.58300	0.452420
1.59200	0.454640
1.59700	0.458590
1.60200	0.461300
1.61300	0.461540
1.61900	0.455260
1.62800	0.453520
1.63300	0.455650
1.64200	0.463440
1.64800	0.469740
1.65700	0.478740
1.65900	0.481640
1.67100	0.484480
1.68400	0.484880
1.70100	0.483050
1.71500	0.476860
1.72700	0.477200
1.73900	0.475490
1.74600	0.472130
1.75100	0.465080
1.75300	0.456690
1.75600	0.444340
1.76400	0.406890
1.77500	0.349620
1.78500	0.277700
1.79000	0.228520
1.79600	0.170610
1.80300	0.103590
1.81000	0.0613800
1.81300	0.0403800
1.81800	0.0235000
1.82800	0.0107900
1.83500	0.00515000
1.85000	0.00219000
1.87100	0.000940000
1.89300	0.000390000
1.91400	0.00000
