# 2MASS TOTAL J-BAND OPTICAL RESPONSE FROM CARPENTER 2001
# MEASURED FROM T=M^2*De*L^7*Jc,re*Jf*Dq
Wavelength	Transmission
1.05000	0.00000
1.05100	0.00000
1.06200	0.00000
1.06600	0.00121000
1.07000	0.00459000
1.07500	0.00790000
1.07800	0.0162700
1.08200	0.0363200
1.08400	0.0597900
1.08700	0.0899400
1.08900	0.120100
1.09300	0.151880
1.09600	0.183700
1.10200	0.223840
1.10500	0.166370
1.10700	0.194640
1.10900	0.206310
1.11200	0.216070
1.11600	0.224990
1.11700	0.239230
1.12000	0.270770
1.12300	0.298800
1.12800	0.350700
1.12900	0.355040
1.13200	0.354140
1.13400	0.351280
1.13800	0.347760
1.14000	0.339460
1.14300	0.327100
1.14700	0.311700
1.15400	0.298110
1.15900	0.304470
1.16400	0.318060
1.16700	0.338450
1.17000	0.352730
1.17300	0.374080
1.17500	0.395670
1.17900	0.421320
1.18200	0.435640
1.18600	0.442310
1.18800	0.439740
1.19200	0.430970
1.19500	0.414930
1.19900	0.395420
1.20200	0.375590
1.20900	0.353730
1.21600	0.346730
1.22100	0.360120
1.22700	0.385970
1.23100	0.410300
1.23600	0.443670
1.24000	0.459500
1.24400	0.465540
1.24700	0.460480
1.25300	0.440940
1.25500	0.426160
1.25800	0.406450
1.26000	0.381640
1.26500	0.356930
1.27000	0.325590
1.27500	0.307700
1.27900	0.299630
1.28600	0.300080
1.29200	0.310330
1.29700	0.323780
1.30200	0.350560
1.30500	0.365620
1.30700	0.382290
1.31000	0.402260
1.31300	0.417300
1.31600	0.442360
1.31900	0.462460
1.32300	0.482460
1.32600	0.490840
1.33000	0.486030
1.33300	0.484600
1.33400	0.479660
1.33600	0.468170
1.33900	0.448450
1.34300	0.428740
1.34600	0.413850
1.34900	0.400510
1.35300	0.391980
1.35500	0.388450
1.36000	0.381050
1.36300	0.377230
1.37000	0.370850
1.37300	0.367000
1.37700	0.366470
1.38300	0.374610
1.38800	0.382580
1.39200	0.371660
1.39500	0.353850
1.39600	0.333460
1.39700	0.318050
1.39800	0.302580
1.40000	0.265120
1.40100	0.238310
1.40200	0.192140
1.40400	0.116750
1.40600	0.0679400
1.40700	0.0564700
1.41000	0.0353100
1.41200	0.0177900
1.41600	0.00817000
1.42100	0.00193000
1.42600	0.000390000
1.44200	0.000240000
1.45000	0.00000
