#lam	trans
0.363	0.0
0.3655	0.0003
0.368	0.0008
0.3705	0.0013
0.373	0.0019
0.3755	0.0024
0.378	0.0034
0.3805	0.0055
0.383	0.0103
0.3855	0.0194
0.388	0.0326
0.3905	0.0492
0.393	0.0686
0.3955	0.09
0.398	0.1123
0.4005	0.1342
0.403	0.1545
0.4055	0.1722
0.408	0.1873
0.4105	0.2003
0.413	0.2116
0.4155	0.2214
0.418	0.2301
0.4205	0.2378
0.423	0.2448
0.4255	0.2513
0.428	0.2574
0.4305	0.2633
0.433	0.2691
0.4355	0.2747
0.438	0.2801
0.4405	0.2852
0.443	0.2899
0.4455	0.294
0.448	0.2979
0.4505	0.3016
0.453	0.3055
0.4555	0.3097
0.458	0.3141
0.4605	0.3184
0.463	0.3224
0.4655	0.3257
0.468	0.3284
0.4705	0.3307
0.473	0.3327
0.4755	0.3346
0.478	0.3364
0.4805	0.3383
0.483	0.3403
0.4855	0.3425
0.488	0.3448
0.4905	0.3472
0.493	0.3495
0.4955	0.3519
0.498	0.3541
0.5005	0.3562
0.503	0.3581
0.5055	0.3597
0.508	0.3609
0.5105	0.3613
0.513	0.3609
0.5155	0.3595
0.518	0.3581
0.5205	0.3558
0.523	0.3452
0.5255	0.3194
0.528	0.2807
0.5305	0.2339
0.533	0.1839
0.5355	0.1352
0.538	0.0911
0.5405	0.0548
0.543	0.0295
0.5455	0.0166
0.548	0.0112
0.5505	0.0077
0.553	0.005
0.5555	0.0032
0.558	0.0021
0.5605	0.0015
0.563	0.0012
0.5655	0.001
0.568	0.0009
0.5705	0.0008
0.573	0.0006
0.5755	0.0005
0.578	0.0003
0.5805	0.0001
0.583	0.0
