# 2MASS TOTAL Ks-BAND OPTICAL RESPONSE FROM CARPENTER 2001
# MEASURED FROM T=M^2*De*L^7*Jc,tr*Hc,re*Hf*Dq
Wavelength	Transmission
1.90000	0.00000
1.91500	0.000340000
1.92700	0.000770000
1.93400	0.00129000
1.93900	0.00300000
1.94800	0.00663000
1.95700	0.0146400
1.96200	0.0240300
1.96900	0.0386400
1.97600	0.0617900
1.98100	0.0850700
1.98900	0.130380
1.99000	0.171390
1.99800	0.206450
2.00800	0.304830
2.01400	0.333520
2.01900	0.370440
2.02800	0.396330
2.03700	0.418040
2.04500	0.433190
2.06100	0.448770
2.07200	0.449270
2.07500	0.452250
2.08200	0.451320
2.08900	0.453340
2.09900	0.455490
2.10600	0.454490
2.11300	0.456530
2.12000	0.458730
2.12400	0.457400
2.13800	0.460630
2.14500	0.462910
2.15500	0.468770
2.16900	0.473080
2.17600	0.477280
2.18500	0.477850
2.19700	0.484010
2.20800	0.492050
2.21300	0.494670
2.21800	0.494080
2.23200	0.490940
2.23700	0.486520
2.24800	0.479180
2.25600	0.479100
2.26000	0.479450
2.26300	0.478690
2.26500	0.481200
2.27000	0.483110
2.27200	0.485760
2.27600	0.482010
2.27700	0.477360
2.28100	0.468360
2.28400	0.458010
2.28600	0.444220
2.29100	0.405140
2.29300	0.382450
2.29500	0.348250
2.29700	0.311070
2.29900	0.278330
2.30600	0.212300
2.31100	0.160470
2.31600	0.114940
2.32000	0.0792400
2.32500	0.0631300
2.32800	0.0457400
2.33500	0.0304000
2.33900	0.0210300
2.34400	0.0161000
2.34600	0.0150700
2.35200	0.00810000
2.36100	0.00314000
2.36300	0.000350000
2.37000	0.00170000
2.37500	0.00101000
2.38400	0.000300000
2.39900	0.00000
