# MKO J-band filter including atmospheric transmission
# Wavelength	Transmission
  1.140300   0.000000
  1.150000   2.260830
  1.155600   6.151254
  1.159700  15.786206
  1.164200  39.438770
  1.169400  79.162857
  1.172600  83.766869
  1.178700  80.143471
  1.188700  85.265762
  1.211300  85.986000
  1.223900  79.677597
  1.230000  79.252739
  1.233900  79.977997
  1.250000  90.649467
  1.262100  91.078468
  1.273400  90.763840
  1.284500  88.868996
  1.292000  89.621101
  1.298900  90.863686
  1.302100  89.763725
  1.314500  75.340927
  1.321000  74.761604
  1.325400  67.121780
  1.333900  11.667536
  1.337900   4.714067
  1.341900   1.847847
  1.351600   0.418457
  1.362900   0.000000
