#lam	trans
0.39	0.001
0.391	0.001
0.392	0.001
0.393	0.002
0.394	0.004
0.395	0.007
0.396	0.012
0.397	0.021
0.398	0.035
0.399	0.053
0.4	0.073
0.401	0.096
0.402	0.118
0.403	0.135
0.404	0.147
0.405	0.157
0.406	0.163
0.407	0.167
0.408	0.171
0.409	0.175
0.41	0.181
0.411	0.186
0.412	0.192
0.413	0.199
0.414	0.204
0.415	0.206
0.416	0.208
0.417	0.211
0.418	0.217
0.419	0.225
0.42	0.233
0.421	0.24
0.422	0.246
0.423	0.249
0.424	0.25
0.425	0.25
0.426	0.253
0.427	0.259
0.428	0.268
0.429	0.277
0.43	0.286
0.431	0.295
0.432	0.3
0.433	0.302
0.434	0.302
0.435	0.304
0.436	0.309
0.437	0.316
0.438	0.323
0.439	0.33
0.44	0.336
0.441	0.34
0.442	0.341
0.443	0.342
0.444	0.344
0.445	0.348
0.446	0.354
0.447	0.361
0.448	0.368
0.449	0.374
0.45	0.38
0.451	0.386
0.452	0.392
0.453	0.396
0.454	0.398
0.455	0.398
0.456	0.394
0.457	0.388
0.458	0.384
0.459	0.382
0.46	0.384
0.461	0.388
0.462	0.393
0.463	0.396
0.464	0.396
0.465	0.396
0.466	0.397
0.467	0.397
0.468	0.399
0.469	0.4
0.47	0.401
0.471	0.402
0.472	0.403
0.473	0.405
0.474	0.408
0.475	0.413
0.476	0.418
0.477	0.424
0.478	0.431
0.479	0.437
0.48	0.441
0.481	0.444
0.482	0.446
0.483	0.448
0.484	0.451
0.485	0.453
0.486	0.456
0.487	0.458
0.488	0.46
0.489	0.46
0.49	0.459
0.491	0.455
0.492	0.451
0.493	0.45
0.494	0.453
0.495	0.459
0.496	0.463
0.497	0.467
0.498	0.471
0.499	0.472
0.5	0.471
0.501	0.468
0.502	0.466
0.503	0.463
0.504	0.459
0.505	0.457
0.506	0.456
0.507	0.455
0.508	0.456
0.509	0.456
0.51	0.457
0.511	0.458
0.512	0.459
0.513	0.461
0.514	0.465
0.515	0.469
0.516	0.473
0.517	0.475
0.518	0.476
0.519	0.475
0.52	0.473
0.521	0.472
0.522	0.473
0.523	0.473
0.524	0.474
0.525	0.473
0.526	0.472
0.527	0.474
0.528	0.477
0.529	0.483
0.53	0.489
0.531	0.495
0.532	0.498
0.533	0.5
0.534	0.501
0.535	0.502
0.536	0.502
0.537	0.502
0.538	0.502
0.539	0.502
0.54	0.501
0.541	0.5
0.542	0.496
0.543	0.493
0.544	0.489
0.545	0.486
0.546	0.481
0.547	0.467
0.548	0.438
0.549	0.39
0.55	0.323
0.551	0.248
0.552	0.175
0.553	0.113
0.554	0.068
0.555	0.041
0.556	0.025
0.557	0.015
0.558	0.009
0.559	0.006
0.56	0.003
0.561	0.002
0.562	0.002
0.563	0.001
0.564	0.001
0.565	0.001
0.566	0.001
