#  Table f1042m_sys.tab  Mon 10:58:41 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
0.993054   1.390200E-4
0.994527   2.848291E-4
0.996002   5.652493E-4
0.997479   0.001161852
0.998959   0.002097457
1.00044   0.003139435
1.00192   0.003765765
1.00341   0.003853911
1.00490   0.003821349
1.00639   0.003872302
1.00788   0.004002671
1.00938   0.004147934
1.01088   0.004246832
1.01237   0.004230696
1.01388   0.004110078
1.01538   0.003909789
1.01689   0.003667299
1.01840   0.00343387
1.01991   0.003213856
1.02142   0.003025803
1.02293   0.002866045
1.02445   0.002718847
1.02597   0.002595879
1.02749   0.002476048
1.02902   0.002356607
1.03054   0.002234389
1.03207   0.002111166
1.03360   0.001986257
1.03514   0.001851974
1.03667   0.001718449
1.03821   0.001587
1.03975   0.001451642
1.04129   0.001320732
1.04284   0.001189717
1.04438   0.001062701
1.04593   9.372937E-4
1.04749   8.147766E-4
1.04904   6.963340E-4
1.05060   6.144718E-4
1.05216   5.899541E-4
1.05372   5.655150E-4
1.05528   5.415781E-4
1.05685   5.182995E-4
1.05841   4.952233E-4
1.05998   4.730425E-4
1.06156   4.526271E-4
1.06313   4.310445E-4
1.06471   4.101085E-4
1.06629   3.891531E-4
1.06787   3.687232E-4
1.06945   3.504166E-4
1.07104   3.317335E-4
1.07263   3.126707E-4
1.07422   2.917552E-4
1.07581   2.693000E-4
1.07741   2.475669E-4
1.07901   2.288425E-4
1.08061   2.162568E-4
1.08221   2.092105E-4
1.08382   2.058874E-4
1.08542   1.981126E-4
1.08703   1.719373E-4
1.08865   1.186962E-4
