teff	logg	z	fsed	cld	WIRC_H	MKO_H	UKIDSS_K	NICMOS_F110W	VISTA_KS	NIRC2_HCONT	NICMOS_F164N	2MASS_K	MKO_K	HAWK_H	NICMOS_F097N	PANSTARRS_G	WIRCAM_CH4_OFF	WIRC_PABETA	PANSTARRS_R	NICMOS_F095N	SDSS_I	UKIDSS_J	WFCAM_BRG	MKO_J_ATM	WIRCAM_KS	UKIDSS_Z	HAWK_BRG	PANSTARRS_Y	WISE_W1	HAWK_NB2090	NIRC2_KS	SDSS_R	MKO_LP	VISTA_J	WFCAM_K	NIRC2_KP	NIRC2_FE2	SDSS_U	NICMOS_F170M	WFC3_F127M	WIRC_BRGAMMA	FOURSTAR_H_SHORT	NIRC2_KCONT	IRAC_CH1	NICMOS_F166N	HAWK_CH4	FOURSTAR_H_LONG	WIRCAM_KCONT	NICMOS_F113N	WISE_W3	WFC3_F164N	WISE_W2	WIRC_K	WIRCAM_Y	UKIDSS_Y	NICMOS_F140W	MKO_J	FOURSTAR_H	WFCAM_Z	NIRC2_K	NIRC2_H	WIRC_J	WIRC_CO	2MASS_J	MKO_H_ATM	NICMOS_F187N	NICMOS_F110M	SDSS_Z	MKO_KP	HAWK_KS	WISE_W4	UKIDSS_H	PANSTARRS_Z	VISTA_H	WIRC_CH4L	IRAC_CH2	WFCAM_H	2MASS_H	FOURSTAR_K	WFC3_F167N	FOURSTAR_KS	WFC3_F139M	NIRC2_M	WFCAM_J	HAWK_NB1190	IRAC_CH3	NICMOS_F145M	HAWK_NB1060	FOURSTAR_J2	2MASS_KS	FOURSTAR_J1	NICMOS_F160W	NICMOS_F165M	VISTA_Z	WIRCAM_H	NICMOS_F190N	HAWK_H2	PANSTARRS_I	FOURSTAR_J	PANSTARRS_W	BESSEL_I	WIRCAM_J	HAWK_Y	WFCAM_H2	2MASS_Ks	WIRC_CH4S	WIRC_FE2	NIRC2_J	VISTA_Y	HAWK_J	WIRCAM_CH4_ON	NICMOS_F108N	WFCAM_Y	IRAC_CH4	NICMOS_F090M	SDSS_G	FOURSTAR_J3	MKO_K_ATM	MKO_MP	NIRC2_LP
1200.0	2.5	-0.0	nc	nc	-33.67553377017704	-33.7905316189893	-35.04857566788285	-31.360261793231572	-34.95519236545737	-33.85571473710417	-34.18338152416031	-35.00848760608128	-35.0531164253946	-33.74413152248159	-30.548270880785886	-20.831833785616723	-33.847034563225805	-32.810984788581194	-24.83338596971329	-30.452757375621744	-26.936940040594184	-32.515344328181854	-35.25606030692808	-32.50123649926172	-34.935806968065194	-29.89073785616008	-35.24221558376788	-30.05689905024973	-36.03265164827336	-34.89726926192307	-34.93069473126031	-24.42728108408013	-36.5502794878624	-32.503800821192186	-35.11054857597967	-34.79570245654011	-34.187315788715516	-14.573852477111434	-34.093230344770056	-32.752472049742586	-35.233969839813184	-33.46601073306961	-35.191580056710684	-36.34146705852293	-34.17528745363649	-33.714993626454955	-34.165944099758285	-35.21906772514103	-31.48018386600931	-37.52233512030751	-34.17855509648898	-35.99553716753489	-35.24251481898097	-31.23850209319501	-31.3140149680377	-32.62961238979755	-32.5111646603184	-33.809905134132904	-29.88376908116965	-35.0268615546057	-33.829202862585376	-32.335024867254766	-35.11264457692024	-32.18358696189847	-33.8591898278807	-33.34062640835417	-31.557999296497137	-29.57356912558467	-34.767295456282234	-34.883797662343795	-37.660951993007494	-33.860309061378956	-29.252987187929303	-33.889520931514944	-34.17673102179783	-36.04575164774891	-33.88898781273631	-33.88278661147526	-32.34623941036663	-34.22183176406325	-32.34623941036663	-31.722745898557175	-35.78964804478556	-32.54738159894777	-31.948111250579302	-36.5975827901491	-32.35004530735722	-31.61295098051597	-31.74859476827737	-35.00848760608128	-31.450571834070864	-33.51691339477917	-34.040947372987134	-29.85009234395172	-33.845843980947315	-33.716765348260026	-35.06361181566361	-26.961702383895933	-32.34623941036663	-25.792035689863916		-32.53861064771294	-31.20534156861716	-35.11123131174387	-35.00848760608128	-33.92302594958562	-34.166105053631945	-32.516118524283456	-31.21794352599249	-32.582512144148325	-34.17754380467959	-31.689230461957678	-31.35432587996759	-36.96355436042543	-29.955222158246634	-20.883762800516802	-32.60950080203214	-35.07207920892659	-35.82105555079256	-36.56842418375032
1200.0	3.0	-0.0	nc	nc	-34.126905572682034	-34.19615443631728	-35.163214315143094	-31.83687339670614	-35.103261951508806	-34.30427351414813	-34.61709783854769	-35.15592972221394	-35.17047961337862	-34.1578245349812	-31.125392316992652	-21.325083956424898	-34.28964365983536	-33.24597976905418	-24.70128135453149	-31.02450616712048	-26.80902874965846	-32.98550491298882	-35.425252267920904	-32.98640588597558	-35.076317328290564	-30.38332511256982	-35.421791087027806	-30.606749843575123	-36.09641111618575	-35.09752819088249	-35.07685233042255	-24.167164532398566	-36.721762575909686	-32.97285239185364	-35.21231973477032	-34.939457048390054	-34.61696145941158	-15.288044703981187	-34.470828208065114	-33.20039479803596	-35.39961462668627	-33.89320761361071	-35.22534224134813	-36.45515944363342	-34.5994447667112	-34.154544000099015	-34.544248800392346	-35.345483697295734	-31.992826715481847	-37.54115828202288	-34.61208958188709	-36.021111106657884	-35.25725343187373	-31.753490857339507	-31.82320742498647	-33.051203276449954	-32.98269908263615	-34.220765062761004	-30.374889690312994	-35.14703477460173	-34.23159786660968	-32.83319903126405	-35.02823862461959	-32.65146182370967	-34.2727084753191	-33.40844480112779	-32.06319274977937	-30.07072548337935	-34.91494145286262	-35.023344553526805	-37.70848012819663	-34.26125833007441	-29.71264791707455	-34.28587865544016	-34.57729993567357	-36.09836655930371	-34.28542057528358	-34.26956596853937	-32.81306650702345	-34.64068958733225	-32.81306650702345	-31.98821442760294	-35.76401634320901	-33.015948330786514	-32.47355449826483	-36.5624355498969	-32.70541457665972	-32.138432581773046	-32.25009861812383	-35.15592972221394	-31.94805132137804	-33.90668023944365	-34.4617026513525	-30.33249444608593	-34.24938918240584	-33.83969924839313	-35.26039512525287	-26.835067342132668	-32.81306650702345	-25.636977824752428		-33.008507034835276	-31.723852415716095	-35.29662639731256	-35.15592972221394	-34.36164814784798	-34.596309537622375	-32.985273559394784	-31.7340151462084	-33.047431292918795	-34.58255970103447	-32.14077147046702	-31.858269196977595	-36.9810272730597	-30.458717691664813	-21.42024800501135	-33.05521094816911	-35.19179084003587	-35.79190135938839	-36.738551687697345
1200.0	3.5	-0.0	nc	nc	-34.45169020018737	-34.437998402858966	-34.972063264939436	-32.27450106558018	-34.951392267377024	-34.610753540106174	-34.891343316985164	-34.990343743729156	-34.98206364619164	-34.40724882414112	-31.640275152763486	-21.682525787737006	-34.588375217983526	-33.7050025952806	-24.114474137594073	-31.52804635127773	-26.32123712700574	-33.436480411192065	-35.26501386584806	-33.40849646411648	-34.92114391894491	-30.7245487104558	-35.29932385924641	-31.117406278681603	-35.82462972564602	-35.06430052575328	-34.93363128546666	-23.46227994742219	-36.65079272318771	-33.41514127238903	-34.9996764245486	-34.79788854445066	-34.88992805982291	-15.698722623352388	-34.66775332187773	-33.66802723779123	-35.2262580497008	-34.18177001797168	-34.86353353362639	-36.26117871166767	-34.858434993191686	-34.45212326738113	-34.735943237229	-35.09755972833657	-32.41601615724116	-37.48242842752445	-34.88879008749561	-35.95319014604587	-34.88159185050766	-32.27381408956404	-32.345790496267306	-33.36698425868916	-33.43326189803033	-34.46791916348469	-30.708796117012657	-34.96855205401858	-34.465682001543804	-33.311601904017714	-34.59801318260208	-33.070097835869	-34.51070754724068	-33.25714991991382	-32.53569444010494	-30.455748643206526	-34.78055608236033	-34.86981389504616	-37.69358580253868	-34.49596247450429	-29.990957612175176	-34.51610995892959	-34.79628261357958	-36.06447895543579	-34.51694326679619	-34.48495190779394	-33.23758726178306	-34.90748720791253	-33.23758726178306	-31.95547499241082	-35.67024176574033	-33.465143985321355	-32.90137781152943	-36.46134356456696	-32.892613292447045	-32.639606939762345	-32.691053856238945	-34.990343743729156	-32.47027319421577	-34.12918160999554	-34.71591334836398	-30.651029766485173	-34.485912475948155	-33.747665039720204	-35.194311378543624	-26.343207450606062	-33.23758726178306	-25.107308488190874		-33.458487436739276	-32.24553443825475	-35.20191334054113	-34.990343743729156	-34.65495814000433	-34.87299350277088	-33.435674149896656	-32.2552314280816	-33.49280997808313	-34.803284984294905	-32.6889064288312	-32.382129222258754	-36.88380608343301	-30.863794489195357	-21.766507775615768	-33.47973674087796	-34.981036008419515	-35.696726426095886	-36.66353066304982
1200.0	4.0	-0.0	nc	nc	-34.565749827086464	-34.46893724716316	-34.926520698936415	-32.38379657198058	-34.91993388302256	-34.688232170528515	-34.88063586376926	-34.94910294223783	-34.936882867946736	-34.43473423157221	-31.80611101930551	-21.73157694156998	-34.64910651697256	-33.81111936344274	-23.795505238999674	-31.691518743015372	-26.103685336973797	-33.54270755908012	-35.18657333029007	-33.50650095443112	-34.89453018789112	-30.77656681279766	-35.253810242929234	-31.26227639502924	-35.6450884663517	-35.1027474896913	-34.91127241122833	-23.15072096261984	-36.599735872159826	-33.515378424882854	-34.93965376521994	-34.78538259623183	-34.87828597098353	-15.870943251560172	-34.645261011840425	-33.76729973161841	-35.13629479431234	-34.278152922335344	-34.721929915540464	-36.119851229557256	-34.83264456097923	-34.5268031102777	-34.70473958381548	-34.970601394054896	-32.54009715003468	-37.51925961762278	-34.8864229414839	-36.06231713060312	-34.73895249407646	-32.402948659170434	-32.47115841873998	-33.434477279483104	-33.53700385650454	-34.49787394716707	-30.755201190263758	-34.92808636265621	-34.49096636061866	-33.43747717025024	-34.51680462560022	-33.17753639036972	-34.52462968377394	-33.423129063163714	-32.65454222579265	-30.535343931223444	-34.77338079798261	-34.85042496132338	-37.72823410035222	-34.51698248786578	-30.00870288795863	-34.53901050657139	-34.76750593832823	-36.1681873640646	-34.54127351441606	-34.500667241319306	-33.33411044816697	-34.879123774492825	-33.33411044816697	-31.9916657017527	-35.78450416136046	-33.567144125178665	-33.02807207059598	-36.53076798554573	-33.03421100852596	-32.733828550156055	-32.80601268469076	-34.94910294223783	-32.5978494569494	-34.16090884714757	-34.722185710754474	-30.68887574464157	-34.50743874037641	-33.87156672934057	-35.193207198781124	-26.12911901719697	-33.33411044816697	-24.886301885072196		-33.56304865262794	-32.37358459604208	-35.1853179937402	-34.94910294223783	-34.700622130089045	-34.870976610805904	-33.53698058333805	-32.38316990268902	-33.59120204209735	-34.771269972419326	-32.8150879113391	-32.50752554666182	-36.90797237874917	-30.968512678776953	-21.79373039708488	-33.5733581623318	-34.92178160231598	-35.811017439581335	-36.60799007540407
1200.0	4.5	-0.0	nc	nc	-34.61913763722895	-34.45711722236366	-34.92261629888007	-32.307751043427565	-34.93772921498249	-34.6958118785941	-34.790041076861975	-34.947005263921426	-34.93475707326767	-34.420112676371005	-31.755436475867892	-22.531891698242244	-34.647333441034924	-33.723663097199875	-24.091060102631975	-31.65238982438361	-26.312668119393532	-33.45185098777667	-35.1679938966485	-33.42158189195851	-34.91379393877408	-30.847238971682746	-35.263872422008305	-31.20283246595365	-35.47210200328719	-35.18260426453612	-34.935723240929775	-23.43040361832663	-36.549097357424905	-33.421711059521805	-34.92006587063533	-34.814825248710505	-34.78606111215899	-17.459665182994122	-34.56715270033369	-33.654804398379156	-35.100703213240664	-34.33539645720798	-34.599120159278314	-35.9767812451616	-34.72933059018003	-34.549946085628335	-34.62053651553908	-34.88622336029102	-32.47477060890287	-37.52719765327522	-34.806072052661136	-36.1039434420483	-34.61936350159479	-32.2949402962031	-32.35535598912952	-33.39015482419106	-33.443537023350125	-34.48437825172745	-30.82643376504091	-34.93100721106131	-34.47445613580679	-33.3518349680458	-34.45074156829571	-33.09909947736942	-34.49594974173544	-33.52600858476956	-32.560129655946895	-30.558784370040946	-34.80825143475559	-34.87630660646056	-37.69267062618293	-34.49415880947641	-30.099664211696016	-34.51785597541673	-34.67810329840577	-36.20883035142888	-34.52001358853298	-34.4733314964596	-33.24189117250655	-34.76949302947546	-33.24189117250655	-32.03767720988742	-35.78331887087181	-33.47203235422726	-32.98672424841095	-36.51974045588224	-33.18566774700174	-32.556648245892376	-32.72726270909651	-34.947005263921426	-32.48594697534942	-34.15674382265709	-34.66745255470484	-30.764565981514544	-34.486852075338575	-33.9874357554018	-35.241001729346	-26.34021034409015	-33.24189117250655	-25.122220929803355		-33.47099103196387	-32.265170858117514	-35.22214221683524	-34.947005263921426	-34.67824517193888	-34.789557455325784	-33.440799198950806	-32.277943923417986	-33.49050469434876	-34.6765910605544	-32.670185501688465	-32.39190246141456	-36.8517179059433	-30.979621955814288	-22.657449461425564	-33.476163962975555	-34.899356252759574	-35.810768912187115	-36.55288035828259
1200.0	5.0	-0.0	nc	nc	-34.77349561202759	-34.415174189957725	-34.594150218332594	-32.72104086970606	-34.627541912358396	-34.83200287204789	-34.7810795459441	-34.62975766224025	-34.60849065130607	-34.3923568278744	-32.120323265343664	-21.708176081060028	-34.742391003167704	-34.26274226957149	-23.270841301660905	-31.914601613361153	-25.65794132807625	-33.96110627052033	-34.80043350188651	-33.89001500209219	-34.603569911398814	-30.5856816768635	-34.94514837568799	-31.52142136484905	-35.19727152136213	-34.951887418293765	-34.62907511145994	-22.624748898051305	-36.36240936577388	-33.91275853881948	-34.57755868978733	-34.50889676696163	-34.76278222865514	-16.171946113504077	-34.44038090369816	-34.23066946502416	-34.7077088026386	-34.38647802001168	-34.146935409839905	-35.72292164482503	-34.66587040569471	-34.63350079016767	-34.461855105005704	-34.43340869714411	-32.67226951240602	-37.435812980706785	-34.80474804312753	-36.12755430015906	-34.15427304274172	-32.832114772309154	-32.90401209568577	-33.59366449416578	-33.951686664631836	-34.44608421902491	-30.556704636029774	-34.614971707608156	-34.429369944833105	-33.905751504349894	-34.05593418092077	-33.51195066933537	-34.43980899612952	-33.18016754123282	-32.993992657641456	-30.5838061042856	-34.50256413428485	-34.57000782063177	-37.67617749464076	-34.45223345072212	-29.762297704086713	-34.468978893171716	-34.54789374274889	-36.213103169880775	-34.475654111286474	-34.41669009883532	-33.686742388488476	-34.68300128415994	-33.686742388488476	-31.50257967891054	-35.85409929738803	-33.980601484562	-33.306186663161235	-36.413286063162495	-33.04829748044381	-33.21320057717278	-33.089077864548806	-34.62975766224025	-33.05600139981666	-34.091212910646945	-34.64728682484478	-30.476359765881654	-34.44416696943128	-33.6693869690932	-34.97068219759964	-25.69410707824506	-33.686742388488476	-24.45248616518689		-33.9835058686451	-32.788363596556245	-34.93755437174551	-34.62975766224025	-34.7440047607608	-34.77532889954469	-33.94834379002046	-32.795598224510016	-34.01464382314429	-34.52439688819289	-33.33025082595679	-32.94746226182835	-36.768063604148836	-31.057650942289587	-21.75496322334599	-33.97858801267803	-34.56483882323738	-35.880931055771384	-36.362980710481594
1200.0	5.5	-0.0	nc	nc	-34.831368940079095	-34.357507235766676	-34.378305314506875	-32.9448456672595	-34.41430849696609	-34.873688429246045	-34.66903913818184	-34.41509388406436	-34.39273526575461	-34.34484750657295	-32.313363527034575	-22.01494436104113	-34.756087951749606	-34.52920537448231	-22.683117235645174	-32.04971985860382	-25.232424273320962	-34.215022774869325	-34.55981705874255	-34.129800469680426	-34.394252759699626	-30.495659295351597	-34.71025778537931	-31.701739683250707	-35.008924195821	-34.735122627167	-34.415267661146096	-22.03942793972764	-36.26165327413183	-34.15791414105871	-34.35457385657006	-34.29478972262577	-34.63706024909933	-16.437086553505807	-34.28995310479645	-34.5028984274635	-34.46320104216073	-34.39603027941155	-33.92812062500141	-35.5753422575326	-34.52131839339427	-34.65757381207132	-34.28475230894547	-34.18289649161321	-32.73499068827478	-37.355666147149556	-34.688300936651565	-36.20569156486087	-33.938402172518146	-33.101604430610735	-33.17983830557965	-33.71092604562665	-34.20142845511084	-34.38360100975055	-30.46006027602321	-34.40010493842534	-34.3671572298951	-34.18691518230343	-33.903936930160874	-33.72029341360738	-34.3739172646222	-32.883133559302266	-33.22110209148201	-30.66001572485773	-34.28199764439941	-34.36530100973655	-37.5581575767413	-34.39126581614697	-29.62837778517258	-34.39863741136779	-34.38631483405202	-36.27385142552693	-34.40663325166525	-34.3535948253037	-33.913552074514065	-34.510244704371885	-33.913552074514065	-31.08003628561511	-35.94530961282662	-34.231749485147695	-33.48542278054459	-36.24042437183482	-32.99478715099248	-33.50199797263092	-33.28248578086783	-34.41509388406436	-33.34633707198389	-34.01913808301869	-34.58389360412522	-30.369926097484527	-34.38436820479345	-33.39709654747148	-34.740625688480584	-25.270298604444385	-33.913552074514065	-24.045467139201648		-34.23517500774342	-33.05429798166579	-34.708330903893156	-34.41509388406436	-34.718946315939085	-34.648979821392324	-34.198865458775785	-33.06279999187428	-34.26342184487912	-34.35373182745965	-33.63428838706726	-33.227409152594596	-36.598014032609846	-31.144665292200756	-22.07015162247249	-34.2285967550415	-34.33541475505998	-35.96957213344366	-36.26189064047314
1300.0	2.5	-0.0	nc	nc	-33.952122015539445	-34.05893642247401	-35.30689654867186	-31.713242769061345	-35.20422917000075	-34.09488022156108	-34.383569282659906	-35.252645537190986	-35.30937805932246	-34.00079057088356	-30.851244049912427	-21.795460327131227	-34.086062103267835	-33.1945606138791	-25.595412348425292	-30.761222985144737	-27.676935929219372	-32.858245471691035	-35.43913569532074	-32.807774818041	-35.19470682124914	-30.144235386981997	-35.43736667180759	-30.346093054679177	-36.226803320684375	-35.173569782772745	-35.19183302506212	-25.33307987773428	-36.641040477814954	-32.85062599162107	-35.36527519029199	-35.07397994783624	-34.384566756453424	-15.192465188101936	-34.3414838978087	-33.09460566587436	-35.42432530696618	-33.77512324053186	-35.45229423366243	-36.46966694190303	-34.376814695335504	-33.97598010029404	-34.405109316291615	-35.43155759337984	-31.90589155398923	-37.685275147920386	-34.38048601170856	-36.26262585531872	-35.50099416526594	-31.52357414654604	-31.602072675891918	-32.95284911226116	-32.84440852357682	-34.07382226692908	-30.13989509765477	-35.2893345510565	-34.08857953750604	-32.6914971034594	-35.44905212017017	-32.56079463392352	-34.10596143584742	-33.94233511715967	-31.90941397216353	-29.833029205277548	-35.04806689945615	-35.15738346425158	-37.77099372334705	-34.12115218278452	-29.516874710432234	-34.15315398508351	-34.40251612968109	-36.30595493025103	-34.152981734095285	-34.15520638889952	-32.707572760247515	-34.43498568042592	-32.707572760247515	-32.28054658821013	-36.14071029936704	-32.890063848020056	-32.28904619335812	-36.875840148900814	-32.840605131737505	-31.826107646800335	-32.137042398465454	-35.252645537190986	-31.77492349477798	-33.81151816481808	-34.26767948452761	-30.10917197696374	-34.10607915037905	-34.20167314571943	-35.292991586822616	-27.702919230231284	-32.707572760247515	-26.568048614085807		-32.871622576870166	-31.48452067972827	-35.33071284909037	-35.252645537190986	-34.15758691085578	-34.37228523602059	-32.846646113546726	-31.49440814298067	-32.91204613126759	-34.403192607607096	-32.09034699218729	-31.651451177035568	-37.16877987380572	-30.254540601702722	-21.609852408767093	-32.968781131367436	-35.3380862550959	-36.17440243724385	-36.6507911224187
1300.0	3.0	-0.0	nc	nc	-34.27410904607528	-34.40829913100546	-35.45690598190314	-32.404020365811604	-35.37071700026591	-34.42842093874952	-34.830951626925525	-35.42252770511349	-35.4609970760102	-34.36632803084234	-31.66711825775824	-21.904025648990604	-34.44165472449362	-33.918833262006416	-25.634099181686896	-31.603664990976235	-27.689538332000147	-33.54456571122378	-35.652367357358536	-33.42753545733998	-35.35268219157904	-30.829799504009298	-35.63225382237265	-31.17458808622789	-36.36631197406177	-35.311978544382384	-35.346582771590676	-25.252162980660422	-36.87168687232808	-33.53093869989082	-35.514227300376795	-35.221299758465044	-34.83514036637442	-15.296313209155969	-34.708384322782386	-33.82609511261639	-35.63775937491828	-34.07666580523946	-35.590325230352285	-36.66084871693394	-34.84025242300612	-34.31012512113988	-34.781040676545445	-35.62519010046078	-32.600878662030254	-37.73741359732756	-34.81476240791348	-36.3716080846134	-35.636774717469834	-32.335987983127104	-32.41478692062243	-33.438806693248296	-33.530247797702685	-34.431159536813254	-30.82237201394802	-35.43519413876483	-34.43278007203111	-33.40385285409356	-35.504540302288	-33.195922270846275	-34.479881027512675	-33.96701264491301	-32.64686940245232	-30.538392592929256	-35.19677024219331	-35.304470598050735	-37.84857627803263	-34.473143001913	-30.164452279170185	-34.50022079160082	-34.808206017752006	-36.43534683025487	-34.49962454310635	-34.49556753666153	-33.36882585238957	-34.92170288031981	-33.36882585238957	-32.48493945488112	-36.16793651569313	-33.58040197656504	-32.858414425108094	-36.886002792778505	-33.03641027161456	-32.586747127152954	-32.83045648335791	-35.42252770511349	-32.59925785494426	-34.1394236583237	-34.66229244630498	-30.78829347141184	-34.45959606106576	-34.27173764125029	-35.46306377901979	-27.692047862376647	-33.36882585238957	-26.535233759047067		-33.554962917354494	-32.29879258460511	-35.50905047888636	-35.42252770511349	-34.541492854563366	-34.81836551801855	-33.53900177299781	-32.302241730432414	-33.604247615444145	-34.82090471295233	-33.011240427629865	-32.47270706212578	-37.21431371402981	-30.98914685863649	-21.87350140710594	-33.63631077439154	-35.489541229104276	-36.19472954740165	-36.885799500415494
1300.0	3.5	-0.0	nc	nc	-34.60589592097575	-34.63701111671448	-35.561628938452	-32.370280467009835	-35.5011188993883	-34.749947775217	-34.99426454333033	-35.54499320681539	-35.56782605853916	-34.59239810740559	-31.732668658450734	-22.117192910684558	-34.72591484911989	-33.69823479483065	-25.589351814914384	-31.64829702771526	-27.666253307592203	-33.46925927315389	-35.792312316741196	-33.48400370372403	-35.47886969019475	-30.972095357363763	-35.793119042636064	-31.1822519643983	-36.374926621794394	-35.51043626805013	-35.48217539454056	-25.11375843370931	-36.986561415516846	-33.45953407304166	-35.60652076927405	-35.355758918580364	-34.98767924461479	-16.148434439717615	-34.872676100499866	-33.639928569221304	-35.771624378169435	-34.388868696058225	-35.616789915348974	-36.71781202171318	-34.966854978923735	-34.611290827788004	-34.93838439760258	-35.725971179420284	-32.61809336580261	-37.73503930056731	-34.99224076115614	-36.42298865615934	-35.64805232555058	-32.255770758467584	-32.314562320320306	-33.53732371746101	-33.46253028868625	-34.65869154764163	-30.96280067003367	-35.54692422198761	-34.6676708108155	-33.340667905248864	-35.452039991402856	-33.18735069359571	-34.698455463973744	-34.06107357886065	-32.60781769042919	-30.64355308607876	-35.333044086713066	-35.43386531631215	-37.880461516715314	-34.692720234944346	-30.30827230847351	-34.71814371341681	-34.96515515833201	-36.499916363498514	-34.718080009065396	-34.710389747151794	-33.32192321494413	-35.003114633165026	-33.32192321494413	-32.71721453502487	-36.18649627930828	-33.494527747695216	-33.06026321333879	-36.86895595562857	-33.360739349357985	-32.606411091057865	-32.82294311617988	-35.54499320681539	-32.4372237832623	-34.36582804511434	-34.86645182320715	-30.922326990847484	-34.68180575287939	-34.406760282727085	-35.6504641244	-27.693645087676416	-33.32192321494413	-26.513667287915524		-33.486499806416134	-32.22651276004237	-35.678289812431935	-35.54499320681539	-34.784412476308205	-34.9745954180581	-33.46076978064926	-32.234228035279685	-33.51665945181208	-34.9722066098757	-32.591332244281254	-32.345397898491996	-37.21313087022819	-31.06542489553972	-22.196238903527757	-33.53131108039727	-35.595281353311215	-36.21238772298068	-36.9999933248949
