age,mass,luminosity,temperature,gravity,radius
0.05,0.0005,-7.069,285.0,2.975,0.12
0.05,0.001,-6.587000000000001,375.0,3.267,0.122
0.05,0.002,-6.1,491.0,3.551,0.124
0.05,0.003,-5.789,585.0,3.719,0.125
0.05,0.004,-5.531000000000001,676.0,3.8369999999999997,0.126
0.05,0.005,-5.336,756.0,3.9330000000000003,0.126
0.05,0.006,-5.152,840.0,4.012,0.126
0.05,0.007,-4.978,928.0,4.078,0.127
0.05,0.008,-4.832,1010.0,4.136,0.127
0.05,0.009,-4.706,1085.0,4.187,0.127
0.05,0.01,-4.569,1171.0,4.228,0.127
0.05,0.012,-4.052,1520.0,4.243,0.13699999999999998
0.05,0.015,-3.568,1903.0,4.246,0.153
0.05,0.02,-3.642,1909.0,4.45,0.139
0.05,0.03,-3.3110000000000004,2246.0,4.578,0.147
0.05,0.04,-3.08,2480.0,4.644,0.158
0.05,0.05,-2.884,2651.0,4.6610000000000005,0.17300000000000001
0.05,0.06,-2.755,2759.0,4.68,0.185
0.05,0.07,-2.647,2837.0,4.688,0.198
0.05,0.072,-2.623,2852.0,4.685,0.20199999999999999
0.05,0.075,-2.591,2872.0,4.683,0.20600000000000002
0.05,0.08,-2.551,2901.0,4.689,0.212
0.05,0.09,-2.472,2948.0,4.689,0.225
0.05,0.1,-2.397,2989.0,4.683,0.23800000000000002
