#
# Generated by G. Mace, Wed Mar 14 15:43:42 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.0268524    3.7924E-01    4.3902E-02
   1.0307941    4.7633E-01    4.1845E-02
   1.0347478    4.5950E-01    4.2213E-02
   1.0387133    4.5995E-01    4.2177E-02
   1.0426903    4.6731E-01    4.0207E-02
   1.0466787    5.2689E-01    3.8882E-02
   1.0506781    5.7530E-01    3.5773E-02
   1.0546885    5.6459E-01    3.2814E-02
   1.0587096    6.1058E-01    3.0044E-02
   1.0627413    6.8452E-01    2.9630E-02
   1.0667833    6.1620E-01    2.9776E-02
   1.0708355    7.4177E-01    3.3619E-02
   1.0748975    7.1215E-01    3.4455E-02
   1.0789692    7.5532E-01    3.8496E-02
   1.0830505    6.5994E-01    3.7775E-02
   1.0871410    7.4826E-01    3.8100E-02
   1.0912408    6.0673E-01    3.8912E-02
   1.0953493    5.0396E-01    3.6917E-02
   1.0994666    3.6670E-01    3.7556E-02
   1.1035923    2.6486E-01    3.5815E-02
   1.1077262    2.0248E-01    3.3074E-02
   1.1118684    1.8587E-01    3.1222E-02
   1.1160183    1.5255E-01    3.1160E-02
   1.1201760    5.1771E-02    3.1977E-02
   1.1243410    6.5724E-02    3.3016E-02
   1.1285135    1.0682E-01    3.7854E-02
   1.1326928    8.6586E-02    3.7785E-02
   1.1368791    3.2138E-02    3.8477E-02
   1.1410722    5.4697E-02    4.0291E-02
   1.1452715    1.5210E-01    3.8632E-02
   1.1494772    7.2857E-02    3.9261E-02
   1.1536890    8.7041E-02    3.6897E-02
   1.1579067    2.4403E-02    3.4093E-02
   1.1621300    6.5473E-02    3.3083E-02
   1.1663588    4.4355E-02    3.0138E-02
   1.1705929    9.2661E-02    2.7012E-02
   1.1748321    3.9676E-02    2.5018E-02
   1.1790762    9.5485E-02    2.2591E-02
   1.1833249    1.4113E-01    2.0466E-02
   1.1875783    1.6772E-01    1.9603E-02
   1.1918359    1.9393E-01    2.0859E-02
   1.1960977    2.3770E-01    2.5277E-02
   1.2003635    3.1131E-01    2.7761E-02
   1.2046330    3.3458E-01    2.9444E-02
   1.2089062    4.5672E-01    3.1526E-02
   1.2131827    3.6017E-01    2.9517E-02
   1.2174624    5.0318E-01    3.0506E-02
   1.2217453    5.0023E-01    3.0499E-02
   1.2260309    5.6673E-01    2.9599E-02
   1.2303193    6.5461E-01    3.0412E-02
   1.2346101    6.7944E-01    2.8415E-02
   1.2389033    6.7429E-01    2.6005E-02
   1.2431986    8.0461E-01    2.3809E-02
   1.2474960    8.4033E-01    2.1952E-02
   1.2517952    8.4133E-01    2.0891E-02
   1.2560960    9.6784E-01    2.2351E-02
   1.2603983    1.0322E+00    2.4863E-02
   1.2647018    1.0857E+00    2.9704E-02
   1.2690067    1.0485E+00    3.3461E-02
   1.2733124    1.1011E+00    3.7562E-02
   1.2776190    1.0657E+00    3.7341E-02
   1.2819263    8.9330E-01    3.3964E-02
   1.2862340    8.9306E-01    3.2940E-02
   1.2905422    8.5711E-01    3.0374E-02
   1.2948506    7.3402E-01    3.0516E-02
   1.2991589    7.1446E-01    3.0386E-02
   1.3034673    7.0872E-01    2.9096E-02
   1.3077753    5.7098E-01    3.0589E-02
   1.3120829    4.7170E-01    2.9620E-02
   1.3163899    4.8762E-01    2.7639E-02
   1.3206964    3.9835E-01    2.6400E-02
   1.3250020    3.3887E-01    2.3151E-02
   1.3293066    2.2645E-01    2.2162E-02
   1.3336101    1.4615E-01    1.9581E-02
   1.3379123    7.7778E-02    1.9573E-02
   1.3422132   -1.7562E-03    2.0798E-02
   1.3465126    8.3555E-02    2.6363E-02
   1.3508102    9.0995E-05    3.7556E-02
   1.3551061    5.6792E-02    5.7471E-02
   1.3594002   -7.4632E-03    9.1254E-02
   1.3636922   -8.7528E-02    1.2023E-01
   1.3679819   -1.8287E-02    1.0101E-01
   1.3722695    1.2257E-01    7.6782E-02
   1.3765547    3.1560E-02    7.7247E-02
   1.3808373   -7.3252E-02    7.4804E-02
   1.3851173    9.4455E-02    7.0058E-02
   1.3893946    1.5357E-01    6.5059E-02
   1.3936690    2.5153E-03    6.3203E-02
   1.3979404    1.2378E-01    6.8992E-02
   1.4022088    1.9173E-03    6.9385E-02
   1.4064740   -7.6884E-03    6.5844E-02
   1.4107358   -8.2567E-02    6.0993E-02
   1.4149944   -1.0583E-01    5.6695E-02
   1.4192493    8.6545E-02    4.7947E-02
   1.4235007   -1.2872E-02    4.0148E-02
   1.4277483    9.3058E-02    3.4909E-02
   1.4319923   -9.7862E-03    3.6068E-02
   1.4362322    9.4559E-03    3.5900E-02
   1.4404683   -4.1390E-02    3.1837E-02
   1.4447002    4.8388E-02    3.1145E-02
   1.4489280    3.1685E-02    3.4522E-02
   1.4531516    4.2329E-02    3.6614E-02
   1.4573708    4.4037E-02    3.9163E-02
   1.4615855    1.6788E-02    3.7201E-02
   1.4657959    2.3687E-02    3.8255E-02
   1.4700016    2.4664E-02    3.5216E-02
   1.4742026   -5.2965E-03    3.5307E-02
   1.4783990    7.6856E-03    3.6487E-02
   1.4825906    6.4934E-02    3.8173E-02
   1.4867773    4.1972E-02    3.8269E-02
   1.4909589    1.3996E-02    3.3852E-02
   1.4951357    5.9767E-02    2.8555E-02
   1.4993073    9.9223E-02    3.0840E-02
   1.5034738    1.1627E-01    3.9752E-02
   1.5076351    1.2141E-01    4.0528E-02
   1.5117911    1.4285E-01    3.9332E-02
   1.5159417    1.2016E-01    3.0643E-02
   1.5200870    1.4799E-01    3.0675E-02
   1.5242269    1.6405E-01    3.4731E-02
   1.5283612    2.1275E-01    3.8642E-02
   1.5324900    2.2556E-01    3.8991E-02
   1.5366131    2.6480E-01    3.6672E-02
   1.5407306    2.0744E-01    3.5873E-02
   1.5448425    2.8279E-01    3.1317E-02
   1.5489485    3.0181E-01    3.1617E-02
   1.5530487    3.1939E-01    3.0349E-02
   1.5571432    4.1415E-01    3.2100E-02
   1.5612317    3.8899E-01    3.4009E-02
   1.5653143    4.3938E-01    3.3205E-02
   1.5693910    4.3410E-01    3.0125E-02
   1.5734617    4.9998E-01    2.6285E-02
   1.5775262    4.2438E-01    2.9812E-02
   1.5815848    5.3970E-01    3.9332E-02
   1.5856372    5.2522E-01    3.9795E-02
   1.5896835    5.1085E-01    3.8220E-02
   1.5937237    4.5688E-01    2.9188E-02
   1.5977577    4.5688E-01    2.8026E-02
   1.6017854    4.0173E-01    3.3545E-02
   1.6058069    3.1976E-01    3.6877E-02
   1.6098222    2.5670E-01    4.0070E-02
   1.6138310    2.1191E-01    3.6198E-02
   1.6178337    1.5879E-01    3.6149E-02
   1.6218300    1.3507E-01    3.4228E-02
   1.6258200    6.4063E-02    3.0463E-02
   1.6298035    8.1018E-02    3.0721E-02
   1.6337808    5.9135E-02    2.8802E-02
   1.6377516    1.0833E-01    2.8979E-02
   1.6417160    4.2926E-02    3.0817E-02
   1.6456740    7.5180E-02    3.1863E-02
   1.6496255    5.0957E-02    3.2089E-02
   1.6535707    5.7919E-02    2.9200E-02
   1.6575093    8.6832E-02    2.4236E-02
   1.6614414    8.9828E-02    2.0662E-02
   1.6653672   -1.0071E-02    3.2464E-02
   1.6692865   -3.6991E-03    3.7415E-02
   1.6731993    2.2689E-02    3.8367E-02
   1.6771055   -3.5061E-02    3.3753E-02
   1.6810054    5.3714E-02    2.2891E-02
   1.6848987    9.1784E-02    2.3781E-02
   1.6887857    8.7842E-02    3.0206E-02
   1.6926661    3.2727E-02    3.2916E-02
   1.6965399    1.9135E-02    3.6346E-02
   1.7004074    4.9726E-02    3.3453E-02
   1.7042683   -1.1356E-02    3.2572E-02
   1.7081228    5.9003E-02    3.3350E-02
   1.7119709   -1.4018E-02    2.9363E-02
   1.7158124    3.8928E-02    2.8553E-02
   1.7196476    4.7906E-02    2.7762E-02
   1.7234763    9.6982E-02    2.5693E-02
   1.7272986    8.6814E-02    2.6147E-02
   1.7311145    6.9340E-02    2.6637E-02
   1.7349240    4.5938E-02    2.7328E-02
   1.7387270    1.1772E-01    2.8888E-02
   1.7425237    8.5886E-02    3.0142E-02
   1.7463139    8.3968E-02    2.8348E-02
   1.7500979    5.1772E-02    2.5340E-02
   1.7538755    7.0219E-02    2.0648E-02
   1.7576468    7.4423E-02    1.9397E-02
   1.7614118    6.8416E-02    2.9071E-02
   1.7651705    3.8105E-02    3.5612E-02
   1.7689229    2.8659E-02    3.7137E-02
   1.7726690    8.5115E-02    3.3280E-02
   1.7764089    6.9603E-02    2.2006E-02
   1.7801425    4.6185E-02    2.0178E-02
   1.7838701    7.8241E-02    2.7548E-02
   1.7875913    3.7616E-02    3.1820E-02
   1.7913065    5.0933E-02    3.1750E-02
   1.7950155    4.5677E-02    3.7283E-02
   1.7987182    1.1157E-01    4.0210E-02
   1.8024150   -5.4842E-02    4.5529E-02
   1.8061057    2.7501E-02    4.9007E-02
   1.8097903   -7.4593E-02    4.6242E-02
   1.8134688    6.0142E-03    4.8534E-02
   1.8171414   -7.4329E-02    5.2441E-02
   1.8208079   -1.7306E-02    4.6099E-02
   1.8244685   -1.3907E-02    5.1944E-02
   1.8281232   -1.8921E-04    6.3231E-02
   1.8317719    5.1140E-02    8.7638E-02
   1.8354148   -9.0539E-02    1.1543E-01
   1.8390517   -1.8029E-01    1.1133E-01
   1.8426827   -2.1936E-03    1.0797E-01
   1.8463080   -6.8318E-03    1.0489E-01
   1.8499275   -8.9527E-02    1.0607E-01
   1.8535413    3.6255E-02    1.1433E-01
   1.8571491    1.2758E-01    9.5213E-02
   1.8607514   -2.8296E-02    7.9304E-02
   1.8643479    1.3160E-02    8.3272E-02
   1.8679388   -2.6562E-02    1.2166E-01
   1.8715240   -4.3811E-01    1.8889E-01
   1.8751035   -1.3790E-02    1.2243E-01
   1.8786775   -4.9484E-02    7.1449E-02
   1.8822458   -1.2581E-01    5.3929E-02
   1.8858087    8.6284E-03    4.9034E-02
   1.8893659   -5.9682E-03    5.1274E-02
   1.8929178   -1.3855E-01    5.3783E-02
   1.8964641    9.4943E-02    6.8994E-02
   1.9000050   -3.6037E-02    8.5184E-02
   1.9035404   -1.0328E-01    9.4396E-02
   1.9070704    1.0734E-02    8.2618E-02
   1.9105951    6.2340E-02    7.8804E-02
   1.9141144   -3.4417E-02    6.3146E-02
   1.9176284   -2.6327E-02    5.5241E-02
   1.9211371    9.2831E-02    5.6038E-02
   1.9246404    5.0067E-02    6.0234E-02
   1.9281385    2.1831E-02    5.5251E-02
   1.9316314   -2.4793E-03    4.9296E-02
   1.9351190   -1.7497E-02    4.0719E-02
   1.9386015   -5.8765E-03    3.6444E-02
   1.9420788    2.2107E-02    3.1179E-02
   1.9455510    4.1203E-02    2.6711E-02
   1.9490180    1.6518E-02    2.9959E-02
   1.9524800    1.6404E-02    3.5653E-02
   1.9559368    2.3994E-02    3.7869E-02
   1.9593885    1.6099E-03    3.7018E-02
   1.9628352    4.8079E-02    3.3135E-02
   1.9662769    2.8698E-02    3.1845E-02
   1.9697136    8.8821E-02    3.0435E-02
   1.9731454    7.3979E-02    3.0165E-02
   1.9765720    3.2407E-03    2.8672E-02
   1.9799938    3.1899E-02    2.5542E-02
   1.9834107    3.2958E-02    2.1879E-02
   1.9868226    2.5895E-02    1.8327E-02
   1.9902296    1.9816E-03    1.7591E-02
   1.9936317    3.0767E-02    1.9453E-02
   1.9970291    7.4560E-02    3.3445E-02
   2.0004215   -2.2017E-02    5.2630E-02
   2.0038090    5.7010E-02    6.1093E-02
   2.0071919    9.5511E-02    5.3235E-02
   2.0105698    1.0056E-01    3.7814E-02
   2.0139430    4.8403E-02    3.2671E-02
   2.0173113    2.9062E-02    2.9633E-02
   2.0206749    4.1813E-02    2.5399E-02
   2.0240338    3.9337E-03    2.7941E-02
   2.0273881    4.7292E-02    2.7378E-02
   2.0307374    1.1520E-01    2.7986E-02
   2.0340822    4.7779E-02    2.5740E-02
   2.0374219    4.5119E-02    2.7028E-02
   2.0407572    8.6813E-02    2.8377E-02
   2.0440879    4.8643E-02    2.7796E-02
   2.0474138    1.0334E-01    2.7724E-02
   2.0507350    6.1982E-02    2.5840E-02
   2.0540514    3.9275E-02    3.2425E-02
   2.0573633    7.4051E-02    3.1457E-02
   2.0606704    4.5970E-02    2.8937E-02
   2.0639729    1.0610E-02    2.2333E-02
   2.0672710    7.2762E-02    2.0218E-02
   2.0705643    8.1498E-02    2.3891E-02
   2.0738528    6.5475E-02    2.3169E-02
   2.0771368    8.7509E-02    2.1762E-02
   2.0804162    5.7618E-02    1.8328E-02
   2.0836909    6.2275E-02    1.7579E-02
   2.0869608    6.4321E-02    1.9206E-02
   2.0902264    4.1867E-02    1.9895E-02
   2.0934873    8.0039E-02    1.8530E-02
   2.0967433    4.1077E-02    1.6809E-02
   2.0999949    6.1045E-02    1.5602E-02
   2.1032419    8.4607E-02    1.7291E-02
   2.1064842    9.6439E-02    1.9404E-02
   2.1097219    6.0628E-02    2.1139E-02
   2.1129551    7.4543E-02    2.1348E-02
   2.1161835    6.9982E-02    2.1613E-02
   2.1194072    3.0219E-02    2.0763E-02
   2.1226265    6.9801E-02    2.1824E-02
   2.1258409    4.1018E-02    2.0690E-02
   2.1290507    5.0230E-02    2.0250E-02
