# SpeX prism spectrum of cfht3 from Muench et al. 2007
# Lambda	Flux
0.65259502	0.17450100
0.65480200	0.40131751
0.65699902	0.51510119
0.65918701	-0.14416270
0.66136602	0.13615251
0.66353901	-0.16581550
0.66570498	0.0083132703
0.66786602	0.13645519
0.67002300	-0.046678480
0.67217598	0.39856881
0.67432598	0.018960010
0.67647402	-0.11427820
0.67862100	-0.22734690
0.68076802	0.072728023
0.68291499	-0.025442410
0.68506401	-0.013491750
0.68721401	0.25772691
0.68936699	0.25790769
0.69152300	0.19584940
0.69368301	0.36725649
0.69584800	0.22837670
0.69801802	0.065390468
0.70019399	0.30939651
0.70237598	0.16492260
0.70456499	0.35517329
0.70676201	-0.028645379
0.70896802	0.36669981
0.71118198	0.20101111
0.71340498	0.15466970
0.71563799	0.095565043
0.71788101	0.13180541
0.72013501	0.11822280
0.72240098	0.12799540
0.72467798	0.087815918
0.72696699	0.28422579
0.72926802	0.27302119
0.73158198	0.25960359
0.73391001	0.32227209
0.73625098	0.40149519
0.73860601	0.24965440
0.74097598	0.22278950
0.74336099	0.35754490
0.74576001	0.38023469
0.74817500	0.37480190
0.75060498	0.44401470
0.75305098	0.39629859
0.75551401	0.44978929
0.75799302	0.35926610
0.76048901	0.40351209
0.76300098	0.27636930
0.76553101	0.22556341
0.76807798	0.21293560
0.77064302	0.19511040
0.77322598	0.13955730
0.77582700	0.20559730
0.77844502	0.19314790
0.78108301	0.23625641
0.78373799	0.21463940
0.78641201	0.24414240
0.78910498	0.32474881
0.79181699	0.28085890
0.79454800	0.25147980
0.79729800	0.33859041
0.80006699	0.38401830
0.80285498	0.38726071
0.80566299	0.42985579
0.80848999	0.58231401
0.81133701	0.67602563
0.81420298	0.69335598
0.81708901	0.72491980
0.81999502	0.78297728
0.82292002	0.70751232
0.82586504	0.70768118
0.82882900	0.64527690
0.83181299	0.62738532
0.83481699	0.63529873
0.83784102	0.56252903
0.84088398	0.48746040
0.84394697	0.46621990
0.84702998	0.38172549
0.85013203	0.40139949
0.85325400	0.37168530
0.85639600	0.41462511
0.85955703	0.43127951
0.86273701	0.47566631
0.86593701	0.50161397
0.86915596	0.52379447
0.87239404	0.57645208
0.87565195	0.68290859
0.87892803	0.72619891
0.88222402	0.77012819
0.88553799	0.76508582
0.88887100	0.77399409
0.89222305	0.81276679
0.89559297	0.80482721
0.89898203	0.88902742
0.90238896	0.97100192
0.90581504	1.0149820
0.90925801	1.0917580
0.91271904	1.1026140
0.91619902	1.1477990
0.91969600	1.1261100
0.92320996	1.0655000
0.92674199	1.0007390
0.93029199	0.96304637
0.93385801	0.92093372
0.93744102	0.92724651
0.94104102	0.97725278
0.94465801	1.0314749
0.94829102	1.0935839
0.95194102	1.1374440
0.95560703	1.1443560
0.95928799	1.1857491
0.96298604	1.1848550
0.96669902	1.2039250
0.97042803	1.2299930
0.97417197	1.2589830
0.97792998	1.2745130
0.98170400	1.2433110
0.98549297	1.2383550
0.98929600	1.2476120
0.99311299	1.2539010
0.99694502	1.2474440
1.0007900	1.2620569
1.0046500	1.2808430
1.0085200	1.3366710
1.0124100	1.3250840
1.0163100	1.3495140
1.0202200	1.4075130
1.0241500	1.3963200
1.0280800	1.4181640
1.0320300	1.4236270
1.0360000	1.4395289
1.0399700	1.4326290
1.0439600	1.4422910
1.0479500	1.4271770
1.0519600	1.4118640
1.0559800	1.3750570
1.0600100	1.3600590
1.0640500	1.3909121
1.0681000	1.4346510
1.0721700	1.4852130
1.0762400	1.5375240
1.0803200	1.5696390
1.0844100	1.6225240
1.0885100	1.6006891
1.0926200	1.5957119
1.0967400	1.5445820
1.1008700	1.5253670
1.1050100	1.5144590
1.1091500	1.4990200
1.1133100	1.4909329
1.1174700	1.4791570
1.1216400	1.4978780
1.1258100	1.4996580
1.1300000	1.4894210
1.1341900	1.4931630
1.1383900	1.4810539
1.1425900	1.4825460
1.1468000	1.4866030
1.1510200	1.5159500
1.1552400	1.5166770
1.1594700	1.5417390
1.1637100	1.5173130
1.1679500	1.5157731
1.1721900	1.4810570
1.1764500	1.4745170
1.1807000	1.4382870
1.1849600	1.4297280
1.1892300	1.4154030
1.1935000	1.4093040
1.1977700	1.4019380
1.2020500	1.4188180
1.2063300	1.4134340
1.2106100	1.4506960
1.2149000	1.4708030
1.2191900	1.5054600
1.2234900	1.4997810
1.2277900	1.5126750
1.2320900	1.5047640
1.2363900	1.4993809
1.2406900	1.4638520
1.2450000	1.4588439
1.2493100	1.4511859
1.2536200	1.4613720
1.2579300	1.4819980
1.2622400	1.4979880
1.2665600	1.5100631
1.2708700	1.5260839
1.2751900	1.5195380
1.2795000	1.5237720
1.2838200	1.5131520
1.2881400	1.5204570
1.2924600	1.5200540
1.2967800	1.5508060
1.3010900	1.5374700
1.3054100	1.5430980
1.3097300	1.5116529
1.3140500	1.5186340
1.3183600	1.4957920
1.3226800	1.4743850
1.3269900	1.3961650
1.3313000	1.3196670
1.3356200	1.2201120
1.3399300	1.1299480
1.3442400	1.0608410
1.3485400	1.0323610
1.3528500	1.0149680
1.3571500	1.0109420
1.3614500	0.97185159
1.3657500	0.96602201
1.3700500	0.94896430
1.3743400	0.96283102
1.3786300	0.98371220
1.3829200	0.97095382
1.3872100	0.94697481
1.3914900	0.93073893
1.3957700	0.93370211
1.4000500	0.90728551
1.4043200	0.85801011
1.4085900	0.87395048
1.4128600	0.85012859
1.4171200	0.84260488
1.4213800	0.80372941
1.4256400	0.81116742
1.4298900	0.79730141
1.4341300	0.80246031
1.4383800	0.80265170
1.4426200	0.79837888
1.4468500	0.79803407
1.4510800	0.81047243
1.4553100	0.81138092
1.4595300	0.81099838
1.4637500	0.80360538
1.4679600	0.79996723
1.4721700	0.78626561
1.4763700	0.78513539
1.4805700	0.77068663
1.4847600	0.79061681
1.4889500	0.78717363
1.4931300	0.80906498
1.4973100	0.79119682
1.5014800	0.80184019
1.5056400	0.79686302
1.5098000	0.81517762
1.5139600	0.80882889
1.5181100	0.82689512
1.5222500	0.82836747
1.5263900	0.84000278
1.5305200	0.84103632
1.5346500	0.84541279
1.5387700	0.83713043
1.5428900	0.85033798
1.5470000	0.84835309
1.5511000	0.86364257
1.5552000	0.86505359
1.5592900	0.87210512
1.5633800	0.86873370
1.5674600	0.88508868
1.5715300	0.88839757
1.5756000	0.89612550
1.5796600	0.89733440
1.5837100	0.91329461
1.5877600	0.90750521
1.5918000	0.92529923
1.5958400	0.92919302
1.5998700	0.94529122
1.6038900	0.94737202
1.6079100	0.94229251
1.6119200	0.93271971
1.6159200	0.94914252
1.6199200	0.94299191
1.6239100	0.95101953
1.6278900	0.96114731
1.6318700	0.96949738
1.6358400	0.97441429
1.6398100	0.98764491
1.6437600	0.97764617
1.6477199	0.98683572
1.6516600	0.99112338
1.6556000	1.0079670
1.6595301	1.0112950
1.6634600	1.0156339
1.6673699	1.0106990
1.6712900	1.0191931
1.6751900	1.0118740
1.6790900	1.0160110
1.6829801	0.99651778
1.6868699	1.0125600
1.6907500	0.99247450
1.6946199	1.0016040
1.6984900	0.98513842
1.7023500	0.98809308
1.7062000	0.96734351
1.7100500	0.94860768
1.7138900	0.91981661
1.7177199	0.90901780
1.7215500	0.90864873
1.7253699	0.88290262
1.7291900	0.85948879
1.7329900	0.85544282
1.7367900	0.83841741
1.7405900	0.82718968
1.7443801	0.80426151
1.7481600	0.80301702
1.7519400	0.78529799
1.7557100	0.77160740
1.7594699	0.74889600
1.7632301	0.73970169
1.7669801	0.73055768
1.7707199	0.72094560
1.7744600	0.70121592
1.7781900	0.69935101
1.7819199	0.67096663
1.7856400	0.66667432
1.7893500	0.65245789
1.7930600	0.64818579
1.7967600	0.63388449
1.8004600	0.63430148
1.8041400	0.62261748
1.8078301	0.61859012
1.8115000	0.61133188
1.8151801	0.61434460
1.8188400	0.61107498
1.8225000	0.61165679
1.8261500	0.60130262
1.8298000	0.60443759
1.8334400	0.61280209
1.8370801	0.59582418
1.8407100	0.56875712
1.8443301	0.56119913
1.8479500	0.54290801
1.8515699	0.54972792
1.8551699	0.53363508
1.8587801	0.51791519
1.8623699	0.49491251
1.8659600	0.52091390
1.8695500	0.51706630
1.8731301	0.52968031
1.8767000	0.48937619
1.8802699	0.50751358
1.8838301	0.51126581
1.8873900	0.53299361
1.8909400	0.53456068
1.8944900	0.52688289
1.8980301	0.52546960
1.9015699	0.52875471
1.9051000	0.52631187
1.9086301	0.52276957
1.9121500	0.53750861
1.9156600	0.52928072
1.9191699	0.51556629
1.9226801	0.52973121
1.9261801	0.52966589
1.9296699	0.51122051
1.9331600	0.51715797
1.9366500	0.51663363
1.9401301	0.51279420
1.9436000	0.50377089
1.9470699	0.49594459
1.9505400	0.50418037
1.9540000	0.49643141
1.9574500	0.50106257
1.9609000	0.49364680
1.9643500	0.50379342
1.9677900	0.49476749
1.9712199	0.49417290
1.9746500	0.47781721
1.9780801	0.47317269
1.9815000	0.46775249
1.9849199	0.46349049
1.9883301	0.45593631
1.9917400	0.45526820
1.9951400	0.46486610
1.9985400	0.46774569
2.0019301	0.46434349
2.0053199	0.43962091
2.0087000	0.44354039
2.0120801	0.46081039
2.0154500	0.46063250
2.0188199	0.45446119
2.0221900	0.45087940
2.0255500	0.45173600
2.0289100	0.45376411
2.0322600	0.45798549
2.0356000	0.44939440
2.0389500	0.44526500
2.0422801	0.44454601
2.0456199	0.45035431
2.0489500	0.44917539
2.0522699	0.45113140
2.0555900	0.44613299
2.0589100	0.44240499
2.0622199	0.44911799
2.0655199	0.45358729
2.0688199	0.44568351
2.0721199	0.44244280
2.0754100	0.44623181
2.0787000	0.44989741
2.0819801	0.44385341
2.0852600	0.44846681
2.0885400	0.45030779
2.0918100	0.45405000
2.0950699	0.45360759
2.0983301	0.45905221
2.1015900	0.45653111
2.1048400	0.45894819
2.1080900	0.45735919
2.1113301	0.45674491
2.1145699	0.46362111
2.1178000	0.45929530
2.1210301	0.46150291
2.1242600	0.46438920
2.1274801	0.46503991
2.1306900	0.46970350
2.1339000	0.46542549
2.1371100	0.46659651
2.1403100	0.47294369
2.1435100	0.47607049
2.1467000	0.47257340
2.1498900	0.47716790
2.1530699	0.46998739
2.1562500	0.47701970
2.1594199	0.47721761
2.1625900	0.48215690
2.1657500	0.48795351
2.1689100	0.48414069
2.1720699	0.48371270
2.1752199	0.48625171
2.1783600	0.48167840
2.1815000	0.48012319
2.1846400	0.48148319
2.1877699	0.48978800
2.1908900	0.48464620
2.1940100	0.48441961
2.1971301	0.48863229
2.2002400	0.49148229
2.2033400	0.48619601
2.2064500	0.48562121
2.2095400	0.48616701
2.2126301	0.48782200
2.2157199	0.48641381
2.2188000	0.49516901
2.2218801	0.49429771
2.2249500	0.49504441
2.2280100	0.49572951
2.2310699	0.49699289
2.2341301	0.49836171
2.2371801	0.49914539
2.2402301	0.49932709
2.2432699	0.50022107
2.2463000	0.49932531
2.2493301	0.49500051
2.2523600	0.49823669
2.2553801	0.49991450
2.2583900	0.49227229
2.2614000	0.49229750
2.2644100	0.48887590
2.2674100	0.49446341
2.2704000	0.48815471
2.2733900	0.49685681
2.2763699	0.48556599
2.2793500	0.48658240
2.2823199	0.49459609
2.2852900	0.48845550
2.2882500	0.48277009
2.2912100	0.47401959
2.2941699	0.46112460
2.2971100	0.45102331
2.3000600	0.44462711
2.3029900	0.44048929
2.3059199	0.44400990
2.3088500	0.44866019
2.3117699	0.44765061
2.3146900	0.44035599
2.3176000	0.43564609
2.3205100	0.42620981
2.3234100	0.41890040
2.3263000	0.41120189
2.3292000	0.40998021
2.3320801	0.40957800
2.3349600	0.40893599
2.3378400	0.41150019
2.3407100	0.41176051
2.3435801	0.40679309
2.3464400	0.40329751
2.3493000	0.39941290
2.3521500	0.39268440
2.3550000	0.38391691
2.3578400	0.37182349
2.3606801	0.37014449
2.3635100	0.37490681
2.3663400	0.38035780
2.3691699	0.38802510
2.3719900	0.39183491
2.3748000	0.37520349
2.3776100	0.36800969
2.3804199	0.37199780
2.3832301	0.35755089
2.3860301	0.35088721
2.3888199	0.34465921
2.3916199	0.34772179
2.3944100	0.35280740
2.3971900	0.34217441
2.3999699	0.34353539
2.4027500	0.33787781
2.4055301	0.32734010
2.4083000	0.32102779
2.4110699	0.32080111
2.4138400	0.32235229
2.4166000	0.31600711
2.4193600	0.30260789
2.4221199	0.31107390
2.4248801	0.29935020
2.4276301	0.30137360
2.4303900	0.29749289
2.4331400	0.30135161
2.4358900	0.29513219
2.4386400	0.28523219
2.4413801	0.27594009
2.4441301	0.28928360
2.4468699	0.27856681
2.4496199	0.28025341
2.4523600	0.26814741
2.4551000	0.27368009
2.4578500	0.26667571
2.4605900	0.26666570
2.4633400	0.26135969
2.4660801	0.25434819
2.4688301	0.25274169
2.4715699	0.25624111
2.4743199	0.24637520
2.4770699	0.24825630
2.4798301	0.24949580
2.4825801	0.25053060
2.4853400	0.23599070
2.4881000	0.23809700
2.4908600	0.24169700
2.4936301	0.23326920
2.4964000	0.22460820
2.4991801	0.23268341
2.5019600	0.23465981
2.5047500	0.22507881
2.5075400	0.23197290
2.5103301	0.21725260
2.5131400	0.22860309
2.5159400	0.23576871
2.5187600	0.21636750
2.5215801	0.22943141
2.5244199	0.23594500
2.5272600	0.21884599
2.5301000	0.22856019
2.5329600	0.22142109
2.5358301	0.20629761
2.5387100	0.21817119
2.5415900	0.23951590
2.5444900	0.20538850
2.5474000	0.19467039
2.5503301	0.21831819
2.5532600	0.19656710
2.5562100	0.23631200
2.5591699	0.20285261
2.5621500	0.21386009
