#
# Generated by G. Mace, Fri Mar  2 15:13:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6455115           NaN           NaN
   0.6477574           NaN           NaN
   0.6499899    9.6308E-01    3.6998E-01
   0.6522101    8.1809E-01    3.6261E-01
   0.6544190    5.2604E-01    3.5739E-01
   0.6566177   -2.0408E-02    3.1634E-01
   0.6588071    3.3371E-01    3.0410E-01
   0.6609882    4.9716E-01    2.6960E-01
   0.6631620   -4.1611E-01    2.5402E-01
   0.6653293    6.2356E-01    2.5825E-01
   0.6674912   -1.2973E-02    2.8409E-01
   0.6696485    3.3948E-02    2.6373E-01
   0.6718020    3.9441E-01    2.4602E-01
   0.6739526    2.5153E-01    2.4560E-01
   0.6761011    2.6475E-01    2.3681E-01
   0.6782483    3.0987E-01    2.2495E-01
   0.6803951    2.4498E-01    2.2910E-01
   0.6825421    2.0194E-01    2.2267E-01
   0.6846903    8.0475E-02    2.1961E-01
   0.6868401    2.9900E-02    2.0489E-01
   0.6889925   -2.2005E-01    2.0180E-01
   0.6911480    1.8031E-01    2.0780E-01
   0.6933074    7.2068E-02    1.9298E-01
   0.6954713    5.6053E-02    1.6901E-01
   0.6976404    1.9967E-01    1.7277E-01
   0.6998152    7.1687E-02    1.5624E-01
   0.7019964   -2.3532E-01    1.5568E-01
   0.7041845    9.8013E-03    1.4727E-01
   0.7063802   -4.0791E-03    1.3962E-01
   0.7085841   -2.5968E-01    1.3653E-01
   0.7107965    2.0130E-01    1.3423E-01
   0.7130182   -1.2904E-01    1.2751E-01
   0.7152495    7.8264E-02    1.2522E-01
   0.7174910    8.5899E-03    1.1567E-01
   0.7197431    8.5376E-02    1.1941E-01
   0.7220064    8.7456E-02    1.1394E-01
   0.7242812    2.3190E-01    1.0932E-01
   0.7265680    1.8283E-01    1.0612E-01
   0.7288672    1.2474E-01    1.0607E-01
   0.7311793   -3.8763E-02    9.8335E-02
   0.7335046    2.4248E-02    1.0092E-01
   0.7358435    2.2716E-03    9.3710E-02
   0.7381963    1.6979E-01    9.2873E-02
   0.7405635   -3.9895E-03    8.6325E-02
   0.7429453   -2.4205E-02    8.2989E-02
   0.7453421   -3.7430E-02    7.6224E-02
   0.7477542   -3.8905E-02    7.8818E-02
   0.7501818    9.4966E-02    7.3956E-02
   0.7526253    2.0465E-02    7.3864E-02
   0.7550851   -2.9321E-02    6.6730E-02
   0.7575611    4.4627E-02    7.0162E-02
   0.7600540   -2.7812E-02    7.3326E-02
   0.7625636    1.7351E-01    8.1006E-02
   0.7650905    1.1384E-02    8.2150E-02
   0.7676347    7.9658E-02    8.4116E-02
   0.7701965    1.2560E-01    7.1024E-02
   0.7727761    6.2585E-02    6.5504E-02
   0.7753736    7.2332E-02    5.8473E-02
   0.7779891    5.6891E-02    5.8426E-02
   0.7806231    5.1022E-03    5.4784E-02
   0.7832754    1.9250E-02    5.5754E-02
   0.7859464   -5.5682E-02    5.3475E-02
   0.7886361   -3.1375E-02    5.3834E-02
   0.7913446   -1.8727E-02    5.1266E-02
   0.7940722    2.4422E-02    5.2479E-02
   0.7968188    3.5037E-02    5.0215E-02
   0.7995846    2.2940E-02    5.0814E-02
   0.8023696    4.3173E-02    4.8567E-02
   0.8051740    4.4043E-02    4.8650E-02
   0.8079978   -3.7078E-02    4.4797E-02
   0.8108411    3.2389E-02    4.6373E-02
   0.8137040    7.5950E-03    4.4145E-02
   0.8165864    1.0589E-01    4.3792E-02
   0.8194885    2.0232E-02    3.9776E-02
   0.8224102    2.5948E-02    4.1113E-02
   0.8253516    2.1425E-02    4.0757E-02
   0.8283128   -3.3513E-02    4.0748E-02
   0.8312936    2.5639E-02    3.8032E-02
   0.8342941    5.9259E-03    3.8964E-02
   0.8373144    2.1953E-02    3.7335E-02
   0.8403543   -3.8454E-03    3.8224E-02
   0.8434139    7.9058E-02    3.5884E-02
   0.8464932    1.4218E-02    3.6332E-02
   0.8495922    1.8825E-02    3.2807E-02
   0.8527107    3.4840E-02    3.1832E-02
   0.8558487    1.0401E-02    2.9759E-02
   0.8590063    7.7375E-02    3.0293E-02
   0.8621833    2.2898E-02    2.9529E-02
   0.8653797    5.6845E-02    2.9967E-02
   0.8685954    3.5277E-02    2.8882E-02
   0.8718303    4.9416E-02    2.9926E-02
   0.8750844    1.8628E-02    2.8146E-02
   0.8783575    5.8744E-02    2.7616E-02
   0.8816497    8.3626E-02    2.8196E-02
   0.8849608    4.6556E-02    2.7929E-02
   0.8882906    8.5337E-02    2.7233E-02
   0.8916392    6.0764E-02    2.7354E-02
   0.8950064    3.6673E-02    2.5520E-02
   0.8983920    6.3256E-02    2.5301E-02
   0.9017960    6.4279E-02    2.4406E-02
   0.9052182    1.0484E-01    2.5184E-02
   0.9086586    8.3528E-02    2.2915E-02
   0.9121169    8.2301E-02    2.3704E-02
   0.9155931    1.0610E-01    2.2002E-02
   0.9190871    5.9342E-02    2.2336E-02
   0.9225986    1.2289E-01    2.0746E-02
   0.9261276    1.0626E-01    2.1037E-02
   0.9296739    7.6236E-02    2.1281E-02
   0.9332373    6.1702E-02    2.2749E-02
   0.9368176    5.2156E-02    2.4109E-02
   0.9404148    1.3046E-01    2.4934E-02
   0.9440287    9.9900E-02    2.4371E-02
   0.9476591    1.6502E-01    2.3507E-02
   0.9513059    1.5751E-01    2.2310E-02
   0.9549688    1.4074E-01    2.1260E-02
   0.9586478    1.6661E-01    1.9802E-02
   0.9623426    1.3929E-01    1.9057E-02
   0.9660530    1.5910E-01    1.8788E-02
   0.9697789    1.7710E-01    1.8388E-02
   0.9735201    2.0392E-01    1.7192E-02
   0.9772764    2.1484E-01    1.7508E-02
   0.9810477    2.3483E-01    1.6585E-02
   0.9848338    2.5381E-01    1.7014E-02
   0.9886343    2.5570E-01    1.6548E-02
   0.9924493    2.8145E-01    1.7195E-02
   0.9962784    2.6540E-01    1.7296E-02
   1.0001215    2.8791E-01    1.7221E-02
   1.0039784    3.2529E-01    1.6161E-02
   1.0078489    3.3120E-01    1.5579E-02
   1.0117328    3.5225E-01    1.5112E-02
   1.0156299    3.9499E-01    1.6011E-02
   1.0195400    3.9982E-01    1.5977E-02
   1.0234628    4.1097E-01    1.6295E-02
   1.0273982    4.7971E-01    1.6545E-02
   1.0313461    4.5547E-01    1.5803E-02
   1.0353061    4.9426E-01    1.6002E-02
   1.0392781    5.2071E-01    1.5778E-02
   1.0432619    5.6988E-01    1.5428E-02
   1.0472573    5.5498E-01    1.4688E-02
   1.0512639    5.8904E-01    1.3936E-02
   1.0552818    6.1797E-01    1.2871E-02
   1.0593106    6.3916E-01    1.2247E-02
   1.0633501    6.6678E-01    1.2132E-02
   1.0674001    6.9027E-01    1.2331E-02
   1.0714604    6.8102E-01    1.3327E-02
   1.0755309    7.2098E-01    1.3429E-02
   1.0796112    7.4502E-01    1.4289E-02
   1.0837011    7.4659E-01    1.4093E-02
   1.0878006    7.2561E-01    1.3843E-02
   1.0919094    6.7900E-01    1.4398E-02
   1.0960271    5.8416E-01    1.3411E-02
   1.1001538    4.7144E-01    1.2801E-02
   1.1042891    3.9527E-01    1.2215E-02
   1.1084328    3.1604E-01    1.1252E-02
   1.1125846    2.7266E-01    1.0139E-02
   1.1167445    2.0761E-01    9.6612E-03
   1.1209122    1.6968E-01    9.6080E-03
   1.1250874    1.5632E-01    1.0681E-02
   1.1292700    1.7439E-01    1.2406E-02
   1.1334598    1.7333E-01    1.2914E-02
   1.1376566    1.6024E-01    1.3390E-02
   1.1418600    1.3671E-01    1.3481E-02
   1.1460701    1.2918E-01    1.2756E-02
   1.1502866    1.5777E-01    1.3046E-02
   1.1545091    1.3767E-01    1.2954E-02
   1.1587375    1.4362E-01    1.2382E-02
   1.1629717    1.4352E-01    1.1869E-02
   1.1672115    1.4624E-01    1.0854E-02
   1.1714566    1.5096E-01    9.6212E-03
   1.1757067    1.4273E-01    8.7049E-03
   1.1799619    1.7622E-01    8.2175E-03
   1.1842219    1.9740E-01    7.6585E-03
   1.1884862    2.5632E-01    7.5581E-03
   1.1927550    2.8902E-01    8.0337E-03
   1.1970279    3.2024E-01    9.2485E-03
   1.2013049    3.7567E-01    1.0025E-02
   1.2055855    4.0669E-01    1.0458E-02
   1.2098697    4.5972E-01    1.1023E-02
   1.2141573    4.8773E-01    1.0439E-02
   1.2184483    5.7161E-01    1.0955E-02
   1.2227421    6.1770E-01    1.0919E-02
   1.2270387    6.6369E-01    1.0877E-02
   1.2313381    7.0025E-01    1.0978E-02
   1.2356399    7.2992E-01    1.0404E-02
   1.2399440    7.6371E-01    9.7921E-03
   1.2442502    7.9009E-01    9.4013E-03
   1.2485583    7.9617E-01    8.8667E-03
   1.2528682    8.3782E-01    9.0711E-03
   1.2571796    8.8255E-01    9.7462E-03
   1.2614925    9.7712E-01    1.1293E-02
   1.2658066    9.8742E-01    1.3689E-02
   1.2701217    1.0303E+00    1.5404E-02
   1.2744378    1.0126E+00    1.6618E-02
   1.2787546    1.0538E+00    1.6213E-02
   1.2830720    1.0167E+00    1.4243E-02
   1.2873898    9.5369E-01    1.2897E-02
   1.2917078    9.0191E-01    1.1352E-02
   1.2960259    8.7338E-01    1.1156E-02
   1.3003439    8.2827E-01    1.0831E-02
   1.3046618    7.8235E-01    1.0652E-02
   1.3089792    7.1450E-01    1.0720E-02
   1.3132961    6.7103E-01    1.1097E-02
   1.3176123    6.0148E-01    9.7099E-03
   1.3219277    5.8625E-01    9.9141E-03
   1.3262421    4.6954E-01    8.4097E-03
   1.3305553    3.4071E-01    7.7949E-03
   1.3348674    2.0804E-01    6.6925E-03
   1.3391781    1.0133E-01    6.9518E-03
   1.3434871    4.4633E-02    6.1135E-03
   1.3477945    2.8990E-02    6.8733E-03
   1.3521001    1.9032E-02    7.6371E-03
   1.3564038    8.9444E-03    8.3554E-03
   1.3607054    2.3332E-02    1.1273E-02
   1.3650048   -3.1458E-04    1.5852E-02
   1.3693018    1.8161E-02    2.0380E-02
