# SpeX prism spectrum of kpno12 from Muench et al. 2007
# Lambda	Flux
0.65157002	9.3911905
0.65378198	11.718800
0.65598398	6.2530398
0.65817598	16.555660
0.66035898	9.4135427
0.66253501	5.2226162
0.66470400	2.2587941
0.66686802	8.9226475
0.66902598	5.3250160
0.67118101	13.639560
0.67333198	2.3061759
0.67548101	7.5398049
0.67762900	9.5298843
0.67977500	15.125220
0.68192202	6.3538780
0.68407002	5.4027181
0.68621899	12.327080
0.68837100	12.124710
0.69052500	7.7530370
0.69268398	5.5240140
0.69484600	4.0623398
0.69701401	4.7449560
0.69918701	4.8188591
0.70136602	4.6336212
0.70355200	3.4172599
0.70574600	5.2825942
0.70794702	4.8056350
0.71015698	6.1797981
0.71237598	5.7214899
0.71460400	4.0821419
0.71684302	3.5017769
0.71909199	5.0037012
0.72135200	2.5048690
0.72362300	2.5170090
0.72590698	3.8145461
0.72820200	5.4896979
0.73051001	4.3959341
0.73283198	2.0330100
0.73516699	2.0594561
0.73751602	2.9484119
0.73987900	0.94937873
0.74225601	1.2720810
0.74464902	1.2335510
0.74705601	0.83920997
0.74947900	1.7751720
0.75191802	0.76876748
0.75437300	2.3888121
0.75684502	1.8743740
0.75933301	2.2933941
0.76183701	1.0325180
0.76435898	1.3639370
0.76689800	0.48070711
0.76945498	0.67972779
0.77202998	0.21005630
0.77462202	-0.098736197
0.77723198	0.45650041
0.77986099	0.30407321
0.78250801	0.74763662
0.78517300	0.28476739
0.78785801	1.5005220
0.79056099	0.88536239
0.79328301	0.26656029
0.79602402	1.1770459
0.79878398	1.0762010
0.80156401	0.52361852
0.80436201	0.66719019
0.80718101	0.95624262
0.81001802	0.75739628
0.81287500	0.82739812
0.81575200	-0.11423280
0.81864902	1.0658040
0.82156504	0.75997353
0.82450000	0.66280907
0.82745596	0.60411042
0.83043096	0.95312548
0.83342598	0.67614448
0.83644004	0.76422608
0.83947500	0.61114722
0.84252900	0.48613849
0.84560195	0.28372070
0.84869600	0.70078748
0.85180801	0.53981042
0.85494102	0.70020252
0.85809297	0.40985721
0.86126396	0.37591979
0.86445498	0.53579760
0.86766504	0.30728450
0.87089404	0.68077230
0.87414297	0.85043973
0.87741104	0.79215759
0.88069697	0.60008121
0.88400303	0.28398329
0.88732695	0.60444659
0.89067100	0.53851253
0.89403203	0.71012372
0.89741299	0.70569068
0.90081104	0.53561991
0.90422803	0.72821158
0.90766396	0.48554680
0.91111699	0.99947739
0.91458799	1.0906230
0.91807695	1.0079809
0.92158301	0.99098343
0.92510703	0.79563463
0.92864805	0.90189528
0.93220703	0.91275531
0.93578203	0.80725682
0.93937500	0.70372152
0.94298398	1.0533110
0.94660898	0.94676268
0.95025098	1.0336190
0.95390996	0.91622251
0.95758398	1.1235020
0.96127402	1.1525650
0.96497998	1.2042810
0.96870195	1.1078870
0.97243896	1.1567390
0.97619102	1.0871400
0.97995703	1.1700120
0.98373896	1.2840880
0.98753604	1.2973371
0.99134600	1.2615780
0.99517100	1.1607370
0.99901104	1.1812921
1.0028600	1.3275850
1.0067300	1.3169889
1.0106100	1.1619390
1.0145000	1.2358500
1.0184100	1.3234580
1.0223300	1.4251000
1.0262600	1.4117930
1.0302100	1.4439090
1.0341600	1.4010431
1.0381300	1.3861560
1.0421100	1.4497210
1.0461000	1.3806610
1.0501100	1.2746930
1.0541200	1.2009890
1.0581500	1.1632730
1.0621800	1.2406520
1.0662300	1.2569370
1.0702900	1.2292690
1.0743500	1.4182880
1.0784300	1.4793650
1.0825200	1.5848510
1.0866200	1.6829380
1.0907200	1.6131240
1.0948400	1.6085070
1.0989600	1.5131580
1.1030900	1.5555820
1.1072400	1.4672130
1.1113900	1.4612230
1.1155400	1.4088650
1.1197100	1.4751260
1.1238800	1.5200950
1.1280600	1.3911000
1.1322500	1.3451790
1.1364400	1.4115959
1.1406500	1.3308630
1.1448500	1.3158211
1.1490700	1.4241610
1.1532900	1.3839940
1.1575200	1.4851910
1.1617500	1.4686199
1.1659900	1.4839590
1.1702300	1.3902680
1.1744800	1.4229690
1.1787300	1.3216420
1.1829900	1.2934610
1.1872500	1.2714010
1.1915200	1.3113509
1.1957900	1.3002930
1.2000700	1.2152500
1.2043500	1.3093300
1.2086300	1.3052580
1.2129200	1.2882640
1.2172100	1.4133800
1.2215000	1.4083771
1.2258000	1.4214621
1.2301000	1.4770920
1.2344000	1.4922510
1.2387000	1.3777950
1.2430100	1.3757989
1.2473100	1.3857059
1.2516200	1.3241750
1.2559300	1.4190930
1.2602500	1.4116070
1.2645600	1.4591280
1.2688800	1.4818460
1.2731900	1.4854079
1.2775100	1.5832800
1.2818300	1.5403399
1.2861400	1.5675091
1.2904600	1.5609770
1.2947800	1.5167590
1.2991000	1.5288600
1.3034200	1.5366970
1.3077300	1.5023490
1.3120500	1.4837160
1.3163700	1.5063170
1.3206800	1.4989181
1.3250000	1.4017540
1.3293100	1.2907130
1.3336200	1.2480470
1.3379300	1.0526820
1.3422400	0.97749180
1.3465500	0.93487197
1.3508600	0.95850760
1.3551600	0.88303709
1.3594600	0.87015128
1.3637600	0.83949572
1.3680600	0.83602339
1.3723600	0.81571871
1.3766500	0.90282959
1.3809400	0.77063513
1.3852300	0.86914462
1.3895100	0.85604262
1.3937900	0.88634008
1.3980700	0.85438257
1.4023500	0.77009398
1.4066200	0.85417330
1.4108900	0.74343348
1.4151500	0.74151981
1.4194100	0.66713732
1.4236700	0.72426289
1.4279200	0.77026308
1.4321700	0.68924463
1.4364200	0.72466230
1.4406600	0.67818362
1.4448900	0.72885251
1.4491300	0.69127768
1.4533600	0.68724149
1.4575800	0.73962641
1.4618000	0.70813060
1.4660100	0.72938693
1.4702200	0.74222362
1.4744300	0.68676877
1.4786300	0.68950170
1.4828200	0.73288041
1.4870100	0.71072513
1.4912000	0.72807038
1.4953700	0.75176299
1.4995500	0.71582848
1.5037200	0.76139539
1.5078800	0.77894062
1.5120400	0.72024947
1.5161900	0.85494047
1.5203400	0.77111280
1.5244800	0.79086190
1.5286100	0.80840611
1.5327400	0.82515281
1.5368700	0.82027727
1.5409900	0.82078028
1.5451000	0.81893992
1.5492100	0.83885932
1.5533100	0.81957722
1.5574000	0.89802969
1.5614900	0.83696032
1.5655700	0.85960478
1.5696500	0.87481868
1.5737200	0.89231157
1.5777800	0.92359108
1.5818400	0.93612832
1.5858900	0.85452509
1.5899300	0.90119928
1.5939700	0.86790359
1.5980000	0.92535502
1.6020300	0.92296082
1.6060500	0.95240462
1.6100600	0.92320430
1.6140700	0.87936127
1.6180700	0.93266082
1.6220600	0.95166647
1.6260500	0.95531321
1.6300300	0.96114022
1.6340100	0.93442219
1.6379700	0.98342890
1.6419301	0.99417818
1.6458900	0.96908730
1.6498400	0.97242540
1.6537801	1.0158360
1.6577100	0.95469600
1.6616400	1.0139560
1.6655600	1.0221550
1.6694801	1.0173780
1.6733900	1.0106360
1.6772900	1.0013180
1.6811900	1.0102390
1.6850699	1.0134960
1.6889600	0.99927270
1.6928301	1.0330620
1.6967000	1.0476739
1.7005600	0.96189362
1.7044199	1.0045530
1.7082699	0.95498818
1.7121100	0.96806270
1.7159500	0.95593113
1.7197801	0.90285140
1.7236100	0.91825122
1.7274199	0.86275440
1.7312301	0.83639657
1.7350400	0.85241628
1.7388400	0.82874018
1.7426301	0.81348312
1.7464100	0.79333872
1.7501900	0.80738592
1.7539600	0.76841009
1.7577301	0.77688301
1.7614900	0.75977039
1.7652400	0.72228259
1.7689900	0.74549872
1.7727301	0.72936958
1.7764699	0.69690567
1.7802000	0.69122201
1.7839199	0.69647390
1.7876301	0.69355857
1.7913500	0.65044492
1.7950500	0.67883402
1.7987500	0.68551862
1.8024400	0.61405092
1.8061301	0.62629008
1.8098100	0.65697068
1.8134801	0.62926108
1.8171500	0.62568152
1.8208100	0.63398248
1.8244699	0.61240578
1.8281199	0.62679273
1.8317600	0.61034667
1.8354000	0.61151731
1.8390301	0.58975577
1.8426600	0.52720553
1.8462801	0.50310510
1.8499000	0.49942219
1.8535100	0.49964470
1.8571100	0.52726728
1.8607100	0.51411003
1.8643000	0.57428271
1.8678900	0.53970462
1.8714699	0.49675971
1.8750500	0.48435679
1.8786199	0.49178541
1.8821900	0.48078409
1.8857500	0.52254599
1.8893000	0.52548182
1.8928500	0.49806440
1.8963900	0.50020683
1.8999301	0.48581091
1.9034699	0.55075037
1.9070000	0.53844392
1.9105199	0.57012051
1.9140400	0.57774317
1.9175500	0.54954898
1.9210600	0.55343682
1.9245600	0.54913759
1.9280600	0.58947659
1.9315500	0.53832692
1.9350400	0.53034240
1.9385199	0.54634023
1.9420000	0.49306229
1.9454699	0.53715211
1.9489301	0.51419657
1.9524000	0.50091147
1.9558500	0.50918669
1.9593100	0.46421549
1.9627500	0.49658471
1.9662000	0.53552699
1.9696301	0.52609551
1.9730699	0.52574599
1.9765000	0.48723629
1.9799199	0.51969641
1.9833400	0.49763829
1.9867500	0.49804479
1.9901600	0.50621688
1.9935699	0.50827229
1.9969699	0.52077502
2.0003600	0.47735971
2.0037500	0.51145297
2.0071400	0.44573379
2.0105199	0.46172169
2.0138900	0.49093941
2.0172699	0.50515491
2.0206301	0.47659740
2.0240000	0.48448589
2.0273500	0.48904920
2.0307100	0.47113091
2.0340600	0.47341961
2.0374000	0.44684431
2.0407400	0.49410629
2.0440801	0.48590350
2.0474100	0.47489089
2.0507301	0.50055969
2.0540600	0.49875569
2.0573699	0.49115589
2.0606900	0.53882712
2.0639900	0.51443338
2.0673000	0.51945812
2.0706000	0.49870861
2.0738900	0.49378791
2.0771801	0.48613819
2.0804699	0.49721560
