# SpeX prism spectrum of LSPM0402+1759 obtained 2005 Dec 31 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.649715    1.51635e-16    2.54642e-17
     0.651937    9.91204e-17    2.02149e-17
     0.654147    1.29010e-16    1.90303e-17
     0.656347    8.42128e-17    1.66951e-17
     0.658537    5.18933e-17    1.52089e-17
     0.660719    7.59665e-17    1.44816e-17
     0.662894    4.44230e-17    1.47681e-17
     0.665062    3.04236e-17    1.47208e-17
     0.667225    5.19063e-17    1.50398e-17
     0.669382    4.75428e-17    1.38752e-17
     0.671536    5.66513e-17    1.43767e-17
     0.673687    4.57549e-17    1.31631e-17
     0.675836    2.97646e-17    1.32334e-17
     0.677983    6.98606e-17    1.21910e-17
     0.680130    3.25979e-17    1.23048e-17
     0.682277    4.73000e-17    1.13898e-17
     0.684425    5.88625e-17    1.17881e-17
     0.686575    7.98792e-17    1.11000e-17
     0.688727    5.82383e-17    1.12831e-17
     0.690882    3.95333e-17    1.01400e-17
     0.693041    6.91407e-17    9.94852e-18
     0.695204    8.66404e-17    9.52055e-18
     0.697372    6.93087e-17    9.33743e-18
     0.699546    1.07931e-16    8.58823e-18
     0.701727    9.73688e-17    8.71740e-18
     0.703914    1.07999e-16    8.07117e-18
     0.706109    9.05702e-17    8.02260e-18
     0.708312    9.28748e-17    7.15823e-18
     0.710523    8.06416e-17    7.02764e-18
     0.712743    5.10121e-17    6.75717e-18
     0.714974    5.31700e-17    6.80257e-18
     0.717214    5.97540e-17    6.15733e-18
     0.719465    6.35563e-17    6.36427e-18
     0.721726    7.00233e-17    5.95743e-18
     0.724000    6.47020e-17    6.22792e-18
     0.726285    1.02792e-16    5.72294e-18
     0.728583    1.05405e-16    5.78530e-18
     0.730893    1.09286e-16    5.45408e-18
     0.733217    1.15169e-16    5.55157e-18
     0.735554    1.34931e-16    5.09458e-18
     0.737905    1.33144e-16    5.28394e-18
     0.740270    1.41121e-16    4.86186e-18
     0.742650    1.48308e-16    4.97594e-18
     0.745045    1.43730e-16    4.68968e-18
     0.747456    1.54214e-16    4.76195e-18
     0.749881    1.50426e-16    4.79441e-18
     0.752323    1.50947e-16    4.87788e-18
     0.754781    1.68697e-16    4.44967e-18
     0.757255    1.67315e-16    4.59287e-18
     0.759745    1.50604e-16    5.21612e-18
     0.762253    1.40714e-16    5.85745e-18
     0.764778    1.22575e-16    5.63170e-18
     0.767320    1.00682e-16    5.03214e-18
     0.769879    9.59871e-17    4.28054e-18
     0.772457    9.84960e-17    4.00451e-18
     0.775052    1.05345e-16    3.70319e-18
     0.777665    1.13356e-16    3.69048e-18
     0.780297    1.19211e-16    3.63453e-18
     0.782947    1.24393e-16    3.45648e-18
     0.785616    1.29710e-16    3.36803e-18
     0.788303    1.45172e-16    3.41134e-18
     0.791009    1.45679e-16    3.31247e-18
     0.793735    1.49277e-16    3.49646e-18
     0.796479    1.47923e-16    3.57007e-18
     0.799242    1.62573e-16    3.71571e-18
     0.802025    1.71096e-16    3.48336e-18
     0.804827    1.75680e-16    3.59384e-18
     0.807648    1.84112e-16    3.43860e-18
     0.810489    1.90240e-16    3.48406e-18
     0.813350    1.92971e-16    3.32474e-18
     0.816230    1.80881e-16    3.36340e-18
     0.819129    1.80429e-16    2.87944e-18
     0.822049    1.79307e-16    3.04730e-18
     0.824988    1.89338e-16    3.07749e-18
     0.827946    1.89685e-16    3.12734e-18
     0.830925    1.84742e-16    3.03806e-18
     0.833923    1.79692e-16    2.92193e-18
     0.836941    1.77459e-16    3.22581e-18
     0.839978    1.76391e-16    3.09876e-18
     0.843035    1.80224e-16    2.91951e-18
     0.846112    1.63310e-16    3.06556e-18
     0.849209    1.62254e-16    2.77550e-18
     0.852325    1.61008e-16    2.49697e-18
     0.855460    1.64566e-16    2.33905e-18
     0.858616    1.67090e-16    2.29293e-18
     0.861790    1.61570e-16    2.21797e-18
     0.864984    1.69366e-16    2.31758e-18
     0.868197    1.67145e-16    2.17013e-18
     0.871430    1.73848e-16    2.24878e-18
     0.874682    1.75640e-16    2.23868e-18
     0.877953    1.83378e-16    2.36535e-18
     0.881242    1.87223e-16    2.26898e-18
     0.884551    1.83551e-16    2.28196e-18
     0.887879    1.84927e-16    2.27391e-18
     0.891225    1.81552e-16    2.23703e-18
     0.894590    1.87546e-16    2.19356e-18
     0.897973    1.86249e-16    2.24153e-18
     0.901375    1.91135e-16    2.10933e-18
     0.904795    1.87303e-16    2.11701e-18
     0.908233    2.00684e-16    2.19635e-18
     0.911689    2.03458e-16    2.21969e-18
     0.915163    2.07498e-16    2.16659e-18
     0.918655    2.08418e-16    2.19003e-18
     0.922164    2.05388e-16    2.00627e-18
     0.925691    2.00826e-16    2.07176e-18
     0.929235    2.00274e-16    2.06752e-18
     0.932797    1.95998e-16    2.21256e-18
     0.936375    1.97724e-16    2.26649e-18
     0.939970    1.95579e-16    2.22396e-18
     0.943582    1.94327e-16    2.15247e-18
     0.947210    2.00162e-16    2.15221e-18
     0.950855    1.99760e-16    2.00882e-18
     0.954516    1.97312e-16    1.91836e-18
     0.958193    1.95713e-16    1.81920e-18
     0.961886    2.02233e-16    1.93848e-18
     0.965594    2.03780e-16    1.88608e-18
     0.969318    2.00331e-16    1.87533e-18
     0.973058    2.00398e-16    1.85897e-18
     0.976812    1.99040e-16    1.78449e-18
     0.980582    1.98545e-16    1.68372e-18
     0.984366    2.03818e-16    1.71369e-18
     0.988164    1.99699e-16    1.67855e-18
     0.991978    1.96356e-16    1.76453e-18
     0.995805    1.94049e-16    1.73911e-18
     0.999646    1.95461e-16    1.74695e-18
      1.00350    1.90969e-16    1.63717e-18
      1.00737    1.94334e-16    1.61176e-18
      1.01125    1.94755e-16    1.57883e-18
      1.01515    2.01814e-16    1.68058e-18
      1.01906    1.98491e-16    1.65061e-18
      1.02298    2.00400e-16    1.71302e-18
      1.02691    2.00606e-16    1.69429e-18
      1.03086    1.97668e-16    1.81529e-18
      1.03482    1.98582e-16    1.67969e-18
      1.03879    2.00848e-16    1.63388e-18
      1.04277    1.98899e-16    1.60001e-18
      1.04676    2.03267e-16    1.59109e-18
      1.05077    2.00028e-16    1.43093e-18
      1.05479    2.01055e-16    1.34975e-18
      1.05881    2.02075e-16    1.27459e-18
      1.06285    1.98710e-16    1.24762e-18
      1.06690    2.01514e-16    1.31529e-18
      1.07096    2.01000e-16    1.42316e-18
      1.07503    1.99747e-16    1.42229e-18
      1.07911    1.96936e-16    1.53164e-18
      1.08320    1.99315e-16    1.47824e-18
      1.08729    2.02420e-16    1.54000e-18
      1.09140    1.95675e-16    1.48847e-18
      1.09552    1.90486e-16    1.45441e-18
      1.09964    1.93717e-16    1.45116e-18
      1.10378    1.93234e-16    1.39448e-18
      1.10792    1.91987e-16    1.28459e-18
      1.11207    1.93390e-16    1.24678e-18
      1.11623    1.88982e-16    1.19712e-18
      1.12040    1.93032e-16    1.20437e-18
      1.12457    1.87079e-16    1.27226e-18
      1.12875    1.88971e-16    1.41086e-18
      1.13294    1.85915e-16    1.40465e-18
      1.13714    1.77584e-16    1.46802e-18
      1.14134    1.77819e-16    1.44255e-18
      1.14555    1.76919e-16    1.41772e-18
      1.14977    1.84766e-16    1.46273e-18
      1.15399    1.88083e-16    1.41347e-18
      1.15822    1.87176e-16    1.41912e-18
      1.16245    1.82936e-16    1.35296e-18
      1.16669    1.82189e-16    1.21653e-18
      1.17093    1.79600e-16    1.13447e-18
      1.17518    1.79993e-16    1.03280e-18
      1.17944    1.79875e-16    1.00528e-18
      1.18370    1.78464e-16    9.47286e-19
      1.18796    1.77084e-16    9.37480e-19
      1.19223    1.76587e-16    9.78650e-19
      1.19650    1.76532e-16    1.11005e-18
      1.20078    1.73748e-16    1.13706e-18
      1.20506    1.73856e-16    1.20601e-18
      1.20934    1.75020e-16    1.21970e-18
      1.21363    1.77873e-16    1.18788e-18
      1.21792    1.75950e-16    1.21764e-18
      1.22221    1.75813e-16    1.19945e-18
      1.22651    1.76452e-16    1.19065e-18
      1.23081    1.75897e-16    1.19895e-18
      1.23511    1.72643e-16    1.11448e-18
      1.23941    1.71671e-16    1.05939e-18
      1.24372    1.72605e-16    1.00012e-18
      1.24803    1.73447e-16    9.74750e-19
      1.25234    1.71180e-16    9.47474e-19
      1.25665    1.71975e-16    1.03766e-18
      1.26096    1.71047e-16    1.17196e-18
      1.26527    1.71354e-16    1.40487e-18
      1.26959    1.71748e-16    1.57086e-18
      1.27391    1.71800e-16    1.64628e-18
      1.27822    1.66837e-16    1.48715e-18
      1.28254    1.65967e-16    1.35501e-18
      1.28686    1.68483e-16    1.26976e-18
      1.29117    1.70448e-16    1.19652e-18
      1.29549    1.68569e-16    1.18128e-18
      1.29981    1.69855e-16    1.15174e-18
      1.30413    1.65567e-16    1.14570e-18
      1.30845    1.62420e-16    1.16901e-18
      1.31276    1.63380e-16    1.09813e-18
      1.31708    1.62356e-16    1.07185e-18
      1.32140    1.63503e-16    1.01920e-18
      1.32571    1.59140e-16    9.43642e-19
      1.33002    1.53425e-16    9.25354e-19
      1.33434    1.47419e-16    8.55104e-19
      1.33865    1.38922e-16    8.16249e-19
      1.34296    1.36143e-16    8.11215e-19
      1.34726    1.34651e-16    9.31411e-19
      1.35157    1.33577e-16    9.85663e-19
      1.35587    1.32633e-16    1.22545e-18
      1.36017    1.35152e-16    1.52507e-18
      1.36447    1.30481e-16    1.77893e-18
      1.36877    1.32258e-16    1.86282e-18
      1.37307    1.30814e-16    1.64802e-18
      1.37736    1.29465e-16    1.62671e-18
      1.38165    1.30079e-16    1.60857e-18
      1.38594    1.30349e-16    1.92623e-18
      1.39022    1.23963e-16    1.55092e-18
      1.39450    1.22829e-16    1.50520e-18
      1.39878    1.22395e-16    1.64131e-18
      1.40305    1.18502e-16    1.74624e-18
      1.40732    1.21002e-16    1.80352e-18
      1.41159    1.14228e-16    1.83228e-18
      1.41586    1.13407e-16    1.70629e-18
      1.42012    1.17648e-16    1.50190e-18
      1.42437    1.13707e-16    1.29310e-18
      1.42862    1.11442e-16    1.18034e-18
      1.43287    1.12123e-16    1.22269e-18
      1.43712    1.13509e-16    1.23652e-18
      1.44136    1.10416e-16    1.29897e-18
      1.44559    1.12108e-16    1.33714e-18
      1.44983    1.10164e-16    1.43443e-18
      1.45405    1.12504e-16    1.60378e-18
      1.45828    1.12667e-16    1.62153e-18
      1.46249    1.08987e-16    1.53915e-18
      1.46671    1.07280e-16    1.52031e-18
      1.47092    1.07168e-16    1.44134e-18
      1.47512    1.04866e-16    1.34440e-18
      1.47932    1.05152e-16    1.35378e-18
      1.48351    1.07215e-16    1.38688e-18
      1.48770    1.06702e-16    1.39226e-18
      1.49189    1.04547e-16    1.22323e-18
      1.49606    1.06972e-16    1.09502e-18
      1.50024    1.07010e-16    1.27512e-18
      1.50441    1.04036e-16    1.49941e-18
      1.50857    1.05250e-16    1.50559e-18
      1.51273    1.07003e-16    1.42757e-18
      1.51688    1.06344e-16    1.12532e-18
      1.52102    1.06172e-16    1.24300e-18
      1.52516    1.07385e-16    1.34892e-18
      1.52930    1.07279e-16    1.48520e-18
      1.53343    1.03442e-16    1.41280e-18
      1.53755    1.03778e-16    1.39793e-18
      1.54167    1.06258e-16    1.30436e-18
      1.54578    1.06268e-16    1.20278e-18
      1.54988    1.04930e-16    1.22104e-18
      1.55398    1.04550e-16    1.18462e-18
      1.55808    1.03088e-16    1.25836e-18
      1.56216    1.03392e-16    1.31637e-18
      1.56624    1.05531e-16    1.23477e-18
      1.57032    1.04678e-16    1.12523e-18
      1.57439    1.05366e-16    9.95258e-19
      1.57845    1.05570e-16    1.25115e-18
      1.58251    1.03377e-16    1.47943e-18
      1.58656    1.03651e-16    1.48409e-18
      1.59060    1.04935e-16    1.36518e-18
      1.59464    1.04939e-16    1.03200e-18
      1.59867    1.05487e-16    1.13401e-18
      1.60269    1.05094e-16    1.31770e-18
      1.60671    1.02514e-16    1.39170e-18
      1.61073    1.02679e-16    1.45014e-18
      1.61473    1.05530e-16    1.33623e-18
      1.61873    1.07734e-16    1.39230e-18
      1.62272    1.04620e-16    1.22882e-18
      1.62671    1.05743e-16    1.18604e-18
      1.63069    1.05507e-16    1.16404e-18
      1.63466    1.04544e-16    1.08863e-18
      1.63863    1.04718e-16    1.13511e-18
      1.64259    1.03889e-16    1.19915e-18
      1.64654    1.07920e-16    1.30247e-18
      1.65049    1.07791e-16    1.20084e-18
      1.65443    1.07001e-16    1.08609e-18
      1.65836    1.05503e-16    9.13072e-19
      1.66229    1.05276e-16    8.95074e-19
      1.66621    1.05819e-16    1.25658e-18
      1.67013    1.05753e-16    1.36548e-18
      1.67403    1.04386e-16    1.54325e-18
      1.67793    1.04735e-16    1.26760e-18
      1.68183    1.05741e-16    9.82313e-19
      1.68572    1.05900e-16    1.15097e-18
      1.68960    1.04289e-16    1.32075e-18
      1.69347    1.04350e-16    1.37834e-18
      1.69734    9.92741e-17    1.48786e-18
      1.70120    1.00165e-16    1.37482e-18
      1.70506    1.01016e-16    1.23383e-18
      1.70891    9.98628e-17    1.19408e-18
      1.71275    9.67516e-17    1.09844e-18
      1.71658    9.46872e-17    1.05274e-18
      1.72041    9.41809e-17    1.02434e-18
      1.72424    9.28838e-17    9.68968e-19
      1.72805    9.26924e-17    9.97759e-19
      1.73186    9.09137e-17    9.96582e-19
      1.73567    8.79444e-17    1.03199e-18
      1.73946    9.00217e-17    1.09110e-18
      1.74325    9.00070e-17    1.12181e-18
      1.74704    8.67555e-17    1.00999e-18
      1.75082    8.48560e-17    9.11056e-19
      1.75459    8.36110e-17    7.45844e-19
      1.75835    8.16615e-17    7.85049e-19
      1.76211    8.12163e-17    1.12228e-18
      1.76586    7.99017e-17    1.27938e-18
      1.76961    7.96284e-17    1.26207e-18
      1.77335    7.86620e-17    1.06816e-18
      1.77708    7.69090e-17    7.88274e-19
      1.78081    7.61586e-17    8.07015e-19
      1.78453    7.41768e-17    1.02396e-18
      1.78825    7.47122e-17    1.07749e-18
      1.79196    7.26359e-17    1.06857e-18
      1.79566    7.15187e-17    1.17534e-18
      1.79936    6.94149e-17    1.16861e-18
      1.80305    7.02250e-17    1.32068e-18
      1.80673    6.84849e-17    1.35226e-18
      1.81041    6.87783e-17    1.31631e-18
      1.81409    6.77420e-17    1.28786e-18
      1.81775    6.88648e-17    1.29505e-18
      1.82141    6.98752e-17    1.21440e-18
      1.82507    6.95071e-17    1.32715e-18
      1.82872    6.58896e-17    1.32681e-18
      1.83236    6.89859e-17    1.38233e-18
      1.83600    6.64936e-17    1.37962e-18
      1.83963    6.67596e-17    1.66481e-18
