# SpeX prism spectrum of id405 from Muench et al. 2007
# Lambda	Flux
0.64799800	1.0668670
0.65022900	1.5620890
0.65244800	1.9332891
0.65465601	1.3009501
0.65685298	2.9424391
0.65904199	2.3386650
0.66122202	1.3557340
0.66339502	1.8525790
0.66556201	1.4712920
0.66772300	1.4309720
0.66987998	2.0491281
0.67203301	1.1469270
0.67418301	1.1320000
0.67633198	1.7897201
0.67847900	1.4731300
0.68062598	1.0343370
0.68277300	0.85858148
0.68492100	1.8602270
0.68707100	0.97509837
0.68922402	0.98007709
0.69137998	1.2333790
0.69353999	1.0596360
0.69570400	0.55721021
0.69787402	0.43906650
0.70004902	1.5598290
0.70223101	0.90549999
0.70442002	1.1350380
0.70661699	0.86041611
0.70882100	1.1777740
0.71103501	0.97603649
0.71325698	0.59011787
0.71548999	0.53646249
0.71773198	1.1223550
0.71998599	0.30403209
0.72225000	0.25241011
0.72452598	0.84669882
0.72681401	0.71373612
0.72911499	0.74785000
0.73142798	0.51199698
0.73375498	0.31531709
0.73609600	0.35335279
0.73845000	0.29146880
0.74081899	0.39563271
0.74320200	0.54892403
0.74560000	0.45620269
0.74801401	0.57659441
0.75044399	0.50187802
0.75288901	0.58122492
0.75535000	0.54089141
0.75782798	0.71090138
0.76032300	0.41065669
0.76283398	0.63005251
0.76536299	0.51382738
0.76790898	0.37048689
0.77047300	0.25477049
0.77305400	0.27310130
0.77565400	0.33778080
0.77827100	0.22226229
0.78090698	0.35503030
0.78356099	0.21012770
0.78623398	0.54565740
0.78892598	0.49982619
0.79163701	0.17007890
0.79436602	0.46642941
0.79711499	0.44033810
0.79988301	0.41569251
0.80267002	0.54570329
0.80547598	0.57907408
0.80830200	0.53998840
0.81114800	0.80066609
0.81401299	0.66170019
0.81689702	0.83059603
0.81980098	0.82287377
0.82272500	0.88324589
0.82566904	0.75620621
0.82863203	0.77841038
0.83161504	0.77902108
0.83461797	0.79027247
0.83764004	0.55571318
0.84068203	0.53299010
0.84374404	0.52784038
0.84682500	0.48738500
0.84992598	0.45603541
0.85304697	0.46392640
0.85618701	0.43749490
0.85934697	0.51607209
0.86252598	0.61669362
0.86572402	0.53111202
0.86894199	0.61068058
0.87217900	0.78766632
0.87543496	0.82911527
0.87870996	0.83358848
0.88200400	0.74787778
0.88531797	0.87275141
0.88864902	0.86819547
0.89200000	0.94665718
0.89536904	0.95682889
0.89875703	0.96857083
0.90216299	1.0103580
0.90558701	1.0267330
0.90902900	1.1393470
0.91249004	1.2266690
0.91596797	1.1842890
0.91946299	1.1868041
0.92297695	1.1368400
0.92650801	1.1120440
0.93005596	1.0448530
0.93362100	1.0680470
0.93720303	1.0503510
0.94080195	1.1578270
0.94441797	1.1346470
0.94805000	1.1836480
0.95169902	1.1830350
0.95536299	1.2188810
0.95904404	1.2744190
0.96274004	1.2869930
0.96645195	1.3533241
0.97017998	1.3121300
0.97392305	1.3168190
0.97768096	1.3700060
0.98145400	1.3494591
0.98524102	1.3584270
0.98904297	1.3308170
0.99285996	1.3445950
0.99669102	1.3685460
1.0005400	1.3841070
1.0043900	1.4253610
1.0082700	1.3948441
1.0121500	1.4048710
1.0160500	1.4626420
1.0199600	1.4906420
1.0238900	1.5234070
1.0278200	1.5224980
1.0317700	1.5151100
1.0357300	1.5191960
1.0397100	1.5814030
1.0436900	1.5180171
1.0476900	1.4998740
1.0516900	1.4674700
1.0557100	1.4837930
1.0597400	1.4425170
1.0637800	1.5033450
1.0678400	1.5205110
1.0719000	1.5669219
1.0759700	1.6233979
1.0800500	1.6415811
1.0841400	1.6474360
1.0882400	1.6161250
1.0923500	1.6293150
1.0964700	1.5908370
1.1006000	1.5778220
1.1047300	1.5288630
1.1088800	1.5340910
1.1130300	1.5125860
1.1171900	1.5121350
1.1213600	1.5434051
1.1255400	1.5158540
1.1297200	1.4762660
1.1339100	1.4810630
1.1381100	1.4680740
1.1423100	1.4657960
1.1465200	1.5175560
1.1507400	1.5210230
1.1549600	1.5316910
1.1591900	1.5177619
1.1634300	1.5172909
1.1676700	1.5308540
1.1719100	1.5038190
1.1761600	1.4925290
1.1804200	1.4684170
1.1846800	1.4594070
1.1889400	1.4601380
1.1932100	1.4572220
1.1974900	1.4568599
1.2017600	1.4632460
1.2060500	1.4829870
1.2103300	1.4924490
1.2146200	1.5118380
1.2189100	1.5328161
1.2232000	1.5110850
1.2275000	1.5292040
1.2318000	1.5114501
1.2361000	1.5007610
1.2404100	1.4860760
1.2447100	1.4818590
1.2490200	1.4654880
1.2533300	1.5136091
1.2576400	1.4869970
1.2619600	1.5093840
1.2662700	1.5131770
1.2705900	1.5380350
1.2749000	1.5204530
1.2792200	1.5182509
1.2835400	1.5290960
1.2878500	1.5144870
1.2921700	1.5183330
1.2964900	1.5521370
1.3008100	1.5332140
1.3051300	1.5173030
1.3094400	1.5197440
1.3137600	1.5200160
1.3180800	1.5007520
1.3223900	1.4451870
1.3267100	1.3637110
1.3310200	1.2960690
1.3353300	1.1976950
1.3396400	1.1344490
1.3439500	1.0895650
1.3482600	1.0683260
1.3525600	1.0517850
1.3568700	1.0454460
1.3611700	0.99746883
1.3654700	0.96807629
1.3697600	0.97624528
1.3740600	0.95620871
1.3783500	0.96087891
1.3826400	0.96590018
1.3869200	0.95151383
1.3912100	0.94865799
1.3954900	0.92779303
1.3997600	0.90128922
1.4040400	0.89645100
1.4083100	0.85640907
1.4125800	0.85482478
1.4168400	0.83639449
1.4211000	0.83678240
1.4253500	0.84249163
1.4296100	0.82502031
1.4338500	0.84576648
1.4381000	0.81611001
1.4423400	0.82947332
1.4465700	0.80958778
1.4508000	0.84552068
1.4550300	0.84480500
1.4592500	0.84553230
1.4634700	0.82599938
1.4676800	0.82465428
1.4718900	0.80699092
1.4760900	0.81050581
1.4802900	0.81591469
1.4844800	0.81939459
1.4886700	0.82071161
1.4928500	0.82446271
1.4970300	0.82785231
1.5012000	0.82909310
1.5053700	0.83228070
1.5095300	0.84665233
1.5136800	0.84841001
1.5178300	0.85047591
1.5219800	0.86914861
1.5261200	0.87614959
1.5302500	0.85602099
1.5343800	0.85452777
1.5385000	0.86050951
1.5426200	0.90833509
1.5467300	0.87231761
1.5508300	0.86404133
1.5549300	0.89600557
1.5590200	0.89775258
1.5631100	0.89182729
1.5671900	0.92263228
1.5712600	0.92692578
1.5753300	0.92874080
1.5793900	0.91074282
1.5834400	0.92910510
1.5874900	0.94568712
1.5915300	0.93087977
1.5955700	0.95469058
1.5996000	0.96097553
1.6036200	0.94430232
1.6076400	0.95480728
1.6116500	0.93372071
1.6156500	0.94366461
1.6196500	0.94335842
1.6236400	0.97261959
1.6276300	0.98913223
1.6316100	0.98513818
1.6355800	0.98035252
1.6395400	0.98807847
1.6435000	0.98639739
1.6474500	0.99133343
1.6514000	0.98612988
1.6553400	1.0165540
1.6592699	1.0199610
1.6632000	1.0090680
1.6671199	0.98023468
1.6710301	0.99621660
1.6749301	1.0067080
1.6788301	1.0002590
1.6827301	1.0007941
1.6866100	1.0063630
1.6904900	0.99195838
1.6943699	0.99223971
1.6982301	0.98359752
1.7020900	0.97603363
1.7059500	0.95616537
1.7097900	0.93660378
1.7136301	0.92991370
1.7174699	0.89429939
1.7213000	0.90174383
1.7251199	0.88265830
1.7289301	0.84476441
1.7327400	0.86034918
1.7365400	0.85710710
1.7403400	0.84336787
1.7441301	0.80088419
1.7479100	0.80567187
1.7516900	0.79724592
1.7554600	0.77658319
1.7592199	0.75851732
1.7629801	0.74357557
1.7667301	0.72697783
1.7704699	0.71377498
1.7742100	0.72129452
1.7779500	0.68662149
1.7816699	0.69576818
1.7853900	0.67103022
1.7891100	0.66484898
1.7928100	0.64571750
1.7965100	0.65125078
1.8002100	0.65469849
1.8039000	0.63070112
1.8075801	0.64972568
1.8112600	0.61532247
1.8149301	0.64070529
1.8186000	0.63481772
1.8222600	0.61040682
1.8259100	0.60553128
1.8295600	0.61097509
1.8332000	0.58387488
1.8368400	0.58528548
1.8404699	0.57260507
1.8440900	0.54491502
1.8477100	0.53854591
1.8513301	0.52459371
1.8549400	0.50260937
1.8585400	0.51183331
1.8621301	0.50550401
1.8657199	0.50114727
1.8693100	0.51277792
1.8728900	0.49645740
1.8764600	0.52190930
1.8800301	0.48656571
1.8836000	0.51371849
1.8871600	0.51124603
1.8907100	0.53148729
