# SpeX prism spectrum of 04414825 from Muench et al. 2007
# Lambda	Flux
0.65157002	0.63146043
0.65378198	2.6030240
0.65598398	2.2413430
0.65817598	0.73772669
0.66035898	0.62378651
0.66253501	0.66730553
0.66470400	0.88607508
0.66686802	0.79469597
0.66902598	0.61038631
0.67118101	1.6472330
0.67333198	0.67764658
0.67548101	-0.063065961
0.67762900	-0.00055558042
0.67977500	0.78005838
0.68192202	-0.25888419
0.68407002	-0.59099507
0.68621899	0.93147421
0.68837100	0.70641208
0.69052500	0.41030899
0.69268398	0.14617670
0.69484600	0.93334389
0.69701401	0.011897610
0.69918701	0.66258252
0.70136602	0.83263493
0.70355200	1.0030090
0.70574600	0.27846301
0.70794702	0.46148971
0.71015698	1.0198250
0.71237598	0.89153862
0.71460400	0.56716150
0.71684302	0.42787179
0.71909199	0.77658403
0.72135200	0.29220530
0.72362300	0.44296759
0.72590698	0.98114538
0.72820200	0.65965527
0.73051001	0.64301991
0.73283198	0.33099490
0.73516699	0.77468020
0.73751602	0.50460452
0.73987900	0.49413249
0.74225601	0.63684058
0.74464902	0.50917530
0.74705601	0.62815613
0.74947900	0.65060639
0.75191802	0.43894210
0.75437300	0.64243519
0.75684502	0.57261831
0.75933301	0.70633721
0.76183701	0.57832330
0.76435898	0.54705667
0.76689800	0.39358601
0.76945498	0.37643480
0.77202998	0.22168720
0.77462202	0.48697290
0.77723198	0.32648671
0.77986099	0.33250850
0.78250801	0.43989640
0.78517300	0.23934920
0.78785801	0.44029471
0.79056099	0.48004469
0.79328301	0.46707070
0.79602402	0.51248479
0.79878398	0.53389710
0.80156401	0.51925218
0.80436201	0.62771791
0.80718101	0.67902261
0.81001802	0.73343837
0.81287500	0.79487532
0.81575200	0.83772212
0.81864902	0.90759778
0.82156504	0.92817962
0.82450000	0.84433353
0.82745596	0.81370717
0.83043096	0.78406167
0.83342598	0.80490482
0.83644004	0.78921479
0.83947500	0.63357198
0.84252900	0.63258833
0.84560195	0.55987018
0.84869600	0.55517149
0.85180801	0.46004379
0.85494102	0.54211402
0.85809297	0.57537842
0.86126396	0.58088392
0.86445498	0.64279932
0.86766504	0.56839383
