#
# Generated by G. Mace, Thu Mar  1 20:10:16 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6459378   -4.8103E-02    5.4823E-02
   0.6480823    7.0180E-02    5.1952E-02
   0.6502185    3.1850E-02    5.1504E-02
   0.6523476   -7.8366E-03    4.7750E-02
   0.6544701    3.7580E-02    4.5543E-02
   0.6565871    3.7312E-02    4.0190E-02
   0.6586993    2.8055E-02    3.8353E-02
   0.6608074   -2.3334E-02    3.6243E-02
   0.6629124   -2.3458E-02    3.8248E-02
   0.6650150    8.0287E-02    3.6128E-02
   0.6671159    6.4652E-02    3.7844E-02
   0.6692157    7.3561E-02    3.5200E-02
   0.6713154   -1.1025E-02    3.3439E-02
   0.6734155   -7.5805E-02    3.3413E-02
   0.6755168   -9.1868E-03    3.2169E-02
   0.6776199   -1.9023E-02    3.0385E-02
   0.6797255   -1.1856E-02    3.0745E-02
   0.6818342    7.4554E-02    2.8092E-02
   0.6839466    7.8510E-02    2.8447E-02
   0.6860633    5.4367E-02    2.7284E-02
   0.6881850    1.0151E-02    2.6947E-02
   0.6903122    6.6627E-02    2.6355E-02
   0.6924455   -6.5551E-04    2.4924E-02
   0.6945854    3.1852E-02    2.2525E-02
   0.6967325    1.8424E-02    2.2728E-02
   0.6988872    3.5523E-02    2.0724E-02
   0.7010502    1.1750E-02    2.0191E-02
   0.7032219    4.0037E-02    1.9037E-02
   0.7054027    5.1797E-03    1.8433E-02
   0.7075931    1.5682E-02    1.7655E-02
   0.7097937    7.9681E-03    1.7350E-02
   0.7120048    4.6150E-02    1.6239E-02
   0.7142268    1.9173E-02    1.6982E-02
   0.7164603   -2.4669E-02    1.5162E-02
   0.7187055   -2.0570E-02    1.5294E-02
   0.7209629    1.9554E-02    1.4470E-02
   0.7232329   -3.1744E-03    1.4014E-02
   0.7255158    3.3674E-02    1.3407E-02
   0.7278121   -2.0991E-02    1.3585E-02
   0.7301219    1.1386E-02    1.2621E-02
   0.7324457   -5.1321E-03    1.2440E-02
   0.7347837   -2.3895E-04    1.1726E-02
   0.7371364    3.1279E-02    1.1520E-02
   0.7395039   -1.1676E-04    1.0834E-02
   0.7418866    6.4609E-03    1.0932E-02
   0.7442848    1.2731E-02    9.7403E-03
   0.7466987   -9.6623E-03    1.0253E-02
   0.7491286    1.6619E-02    9.5601E-03
   0.7515746    7.6505E-03    9.6823E-03
   0.7540372   -2.0139E-03    9.0044E-03
   0.7565165    1.1924E-02    9.6560E-03
   0.7590126    3.8219E-03    1.0554E-02
   0.7615258    4.5964E-03    1.2707E-02
   0.7640563   -6.9428E-03    1.1821E-02
   0.7666043    5.5419E-03    1.0737E-02
   0.7691700   -2.5783E-03    9.1049E-03
   0.7717535    5.8755E-03    8.2654E-03
   0.7743549    2.4012E-03    8.2324E-03
   0.7769746   -1.6509E-03    7.7747E-03
   0.7796125   -6.1286E-03    7.1370E-03
   0.7822688    1.4385E-02    7.1335E-03
   0.7849436    2.0629E-03    6.8873E-03
   0.7876371   -3.7492E-04    6.9214E-03
   0.7903492    8.5293E-03    6.5850E-03
   0.7930803    9.7945E-03    6.6660E-03
   0.7958303    1.0503E-02    6.7654E-03
   0.7985994    3.5672E-03    7.1740E-03
   0.8013874    6.0486E-03    6.7669E-03
   0.8041947    8.4655E-03    6.5754E-03
   0.8070213    1.3344E-02    6.5880E-03
   0.8098670    2.6464E-02    6.5781E-03
   0.8127321    1.9712E-02    6.3460E-03
   0.8156165    2.1758E-02    6.4417E-03
   0.8185204    2.3110E-02    5.6733E-03
   0.8214437    2.0704E-02    5.5663E-03
   0.8243863    2.5006E-02    5.6493E-03
