# SpeX prism spectrum of LSPM2331+4607N obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.648642    1.11157e-16    7.61668e-17
     0.650869    4.69031e-17    2.24931e-17
     0.653085    4.56198e-17    8.84219e-18
     0.655290    1.55171e-17    3.63797e-17
     0.657485    4.85727e-17    4.02677e-17
     0.659671    2.39110e-17    1.44842e-17
     0.661849    8.86487e-17    2.11679e-17
     0.664020    5.10618e-17    2.02644e-17
     0.666185    2.89136e-17    2.27893e-17
     0.668345    4.76603e-17    2.89532e-17
     0.670500    5.02857e-17    2.82080e-17
     0.672653    1.77135e-17    1.29158e-17
     0.674802    1.99467e-17    1.65163e-17
     0.676950    4.03698e-17    2.94866e-17
     0.679097   -2.19733e-18    1.67723e-17
     0.681244    2.93947e-17    3.01641e-17
     0.683391    3.40048e-17    2.16978e-17
     0.685540    1.08414e-17    1.02206e-17
     0.687691    4.01827e-17    1.69781e-17
     0.689844    2.80739e-17    1.93623e-17
     0.692001    1.08030e-17    2.54292e-17
     0.694163    1.85312e-17    1.22691e-17
     0.696328    3.34888e-17    2.03643e-17
     0.698500    3.90040e-17    1.45557e-17
     0.700677    5.45566e-17    1.63802e-17
     0.702861    2.86107e-17    7.92493e-18
     0.705052    3.40603e-17    1.02096e-17
     0.707251    4.51374e-17    2.59584e-17
     0.709458    3.47391e-17    2.80956e-17
     0.711674    1.44562e-17    2.48926e-17
     0.713899    2.80399e-17    1.83122e-17
     0.716135    2.51450e-17    2.08873e-17
     0.718380    3.47572e-17    2.35760e-17
     0.720637    2.72673e-17    1.14163e-17
     0.722905    3.30927e-17    8.79173e-18
     0.725184    4.65568e-17    2.41278e-17
     0.727476    4.75389e-17    8.32309e-18
     0.729780    5.95379e-17    4.47119e-18
     0.732097    7.39715e-17    1.04336e-17
     0.734428    5.95679e-17    9.46981e-18
     0.736772    7.42121e-17    7.32963e-18
     0.739131    7.57936e-17    1.31042e-17
     0.741504    6.96885e-17    4.60373e-18
     0.743891    9.65299e-17    7.85815e-18
     0.746294    8.50151e-17    4.65248e-18
     0.748712    7.70577e-17    7.95174e-18
     0.751146    9.94676e-17    8.24826e-18
     0.753596    8.95535e-17    9.39174e-18
     0.756062    8.82693e-17    6.73879e-18
     0.758545    7.32393e-17    5.88439e-18
     0.761044    5.85975e-17    9.47989e-18
     0.763561    4.27924e-17    4.39398e-18
     0.766095    3.13367e-17    6.02804e-18
     0.768646    3.96636e-17    1.40155e-17
     0.771214    5.38567e-17    5.70307e-18
     0.773801    4.08478e-17    3.32463e-18
     0.776406    4.39022e-17    6.35686e-18
     0.779029    3.69520e-17    4.43480e-18
     0.781670    5.71268e-17    9.76142e-18
     0.784329    5.81802e-17    1.02323e-17
     0.787008    7.78117e-17    6.20941e-18
     0.789705    6.88874e-17    5.10864e-18
     0.792421    7.17802e-17    8.62717e-18
     0.795156    8.05017e-17    3.25821e-18
     0.797910    8.68820e-17    3.25283e-18
     0.800684    9.49286e-17    4.87496e-18
     0.803476    1.04772e-16    4.09723e-18
     0.806288    1.14471e-16    5.16045e-18
     0.809120    1.23212e-16    1.39466e-18
     0.811971    1.16629e-16    4.48152e-18
     0.814841    1.11709e-16    5.74300e-18
     0.817732    1.34946e-16    6.09032e-18
     0.820642    1.17511e-16    4.47523e-18
     0.823571    1.23355e-16    8.49497e-18
     0.826520    1.20887e-16    2.17768e-18
     0.829489    1.22910e-16    6.71604e-18
     0.832478    1.11505e-16    4.24827e-18
     0.835486    1.21803e-16    7.09783e-18
     0.838514    1.04173e-16    5.29957e-18
     0.841562    8.97534e-17    6.91630e-18
     0.844629    8.88730e-17    4.77127e-18
     0.847716    8.22448e-17    1.22368e-18
     0.850823    8.40577e-17    5.15403e-18
     0.853949    8.95009e-17    3.08606e-18
     0.857095    9.97121e-17    4.53444e-18
     0.860260    1.03830e-16    4.36598e-18
     0.863445    1.01306e-16    1.26571e-18
     0.866649    1.01839e-16    7.00709e-18
     0.869872    1.15898e-16    3.62051e-18
     0.873115    1.16423e-16    9.00024e-18
     0.876376    1.23229e-16    3.07224e-18
     0.879657    1.21381e-16    2.38048e-18
     0.882957    1.17809e-16    7.21258e-18
     0.886275    1.17304e-16    1.85567e-18
     0.889613    1.20285e-16    4.72936e-18
     0.892969    1.34673e-16    5.25622e-18
     0.896343    1.34663e-16    3.63801e-18
