#
# Generated by G. Mace, Wed Jul 25 15:03:04 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6462631           NaN           NaN
   0.6485044    1.6035E+00    1.4254E-01
   0.6507327    1.8439E+00    1.3998E-01
   0.6529490    1.5895E+00    1.2729E-01
   0.6551544    1.4749E+00    1.1739E-01
   0.6573498    1.4987E+00    1.0574E-01
   0.6595364    1.3729E+00    1.0311E-01
   0.6617149    1.1817E+00    9.9455E-02
   0.6638865    1.3831E+00    9.9476E-02
   0.6660519    1.4797E+00    9.7126E-02
   0.6682121    1.6284E+00    9.8347E-02
   0.6703680    1.3797E+00    9.1704E-02
   0.6725205    1.2399E+00    8.8527E-02
   0.6746703    1.3962E+00    8.5945E-02
   0.6768183    1.1578E+00    8.3291E-02
   0.6789653    1.1589E+00    8.0336E-02
   0.6811121    1.0572E+00    8.3438E-02
   0.6832594    1.4463E+00    7.8952E-02
   0.6854080    1.0663E+00    7.9570E-02
   0.6875586    1.1158E+00    7.7418E-02
   0.6897119    1.2012E+00    7.3810E-02
   0.6918687    1.3828E+00    6.7606E-02
   0.6940295    1.3248E+00    6.3931E-02
   0.6961951    1.3634E+00    5.8765E-02
   0.6983660    1.5018E+00    5.8243E-02
   0.7005429    1.5302E+00    5.3543E-02
   0.7027263    1.5087E+00    5.3482E-02
   0.7049170    1.5500E+00    4.9816E-02
   0.7071153    1.6983E+00    4.9212E-02
   0.7093220    1.6823E+00    4.7541E-02
   0.7115374    1.4448E+00    4.6522E-02
   0.7137622    1.3558E+00    4.3435E-02
   0.7159969    1.5421E+00    4.3682E-02
   0.7182419    1.2842E+00    4.1595E-02
   0.7204977    1.3694E+00    4.2634E-02
   0.7227647    1.5525E+00    4.0435E-02
   0.7250435    1.6198E+00    3.9556E-02
   0.7273344    1.5108E+00    3.7593E-02
   0.7296379    1.4573E+00    3.7142E-02
   0.7319544    1.4921E+00    3.4471E-02
   0.7342842    1.5110E+00    3.4489E-02
   0.7366276    1.4992E+00    3.2161E-02
   0.7389852    1.5347E+00    3.1775E-02
   0.7413573    1.5160E+00    2.9958E-02
   0.7437440    1.5010E+00    2.9579E-02
   0.7461459    1.5038E+00    2.7511E-02
   0.7485631    1.5292E+00    2.8803E-02
   0.7509961    1.5614E+00    2.7468E-02
   0.7534450    1.5716E+00    2.7664E-02
   0.7559101    1.6136E+00    2.7088E-02
   0.7583918    1.4540E+00    3.0948E-02
   0.7608901    1.5327E+00    4.0591E-02
   0.7634055    1.6215E+00    4.1891E-02
   0.7659382    1.5664E+00    3.5265E-02
   0.7684882    1.5266E+00    3.1112E-02
   0.7710559    1.5391E+00    2.4970E-02
   0.7736414    1.5137E+00    2.6269E-02
   0.7762449    1.5246E+00    2.2792E-02
   0.7788666    1.5285E+00    2.1686E-02
   0.7815067    1.4989E+00    2.1156E-02
   0.7841653    1.6122E+00    2.1359E-02
   0.7868425    1.5538E+00    2.0766E-02
   0.7895384    1.5690E+00    2.0885E-02
   0.7922533    1.6059E+00    2.0678E-02
   0.7949872    1.6196E+00    2.1505E-02
   0.7977402    1.5949E+00    2.1962E-02
   0.8005124    1.6015E+00    2.1841E-02
   0.8033039    1.6299E+00    2.1234E-02
   0.8061147    1.6000E+00    2.1193E-02
   0.8089451    1.5686E+00    2.0416E-02
   0.8117949    1.5845E+00    2.0996E-02
   0.8146643    1.6289E+00    2.0609E-02
   0.8175533    1.6007E+00    2.0502E-02
   0.8204619    1.5572E+00    1.7514E-02
   0.8233902    1.5379E+00    1.8708E-02
   0.8263382    1.5577E+00    1.8819E-02
   0.8293059    1.6026E+00    1.8304E-02
   0.8322933    1.5826E+00    1.7383E-02
   0.8353004    1.5177E+00    1.7271E-02
   0.8383273    1.5487E+00    1.8143E-02
   0.8413738    1.5628E+00    1.8429E-02
   0.8444400    1.5673E+00    1.7470E-02
   0.8475259    1.5305E+00    1.7219E-02
   0.8506314    1.5013E+00    1.5291E-02
   0.8537564    1.4512E+00    1.4482E-02
   0.8569010    1.4798E+00    1.4085E-02
   0.8600650    1.4825E+00    1.4111E-02
   0.8632485    1.4265E+00    1.3760E-02
   0.8664513    1.4387E+00    1.3711E-02
   0.8696734    1.4520E+00    1.3449E-02
   0.8729148    1.4783E+00    1.3813E-02
   0.8761753    1.4891E+00    1.3496E-02
   0.8794548    1.4484E+00    1.3940E-02
   0.8827533    1.4824E+00    1.3763E-02
   0.8860706    1.5151E+00    1.3747E-02
   0.8894067    1.4905E+00    1.3650E-02
   0.8927615    1.5151E+00    1.3896E-02
   0.8961349    1.4967E+00    1.3506E-02
   0.8995267    1.4476E+00    1.3072E-02
   0.9029368    1.4451E+00    1.2664E-02
   0.9063650    1.5285E+00    1.4323E-02
   0.9098114    1.5413E+00    1.3565E-02
   0.9132758    1.5361E+00    1.3994E-02
   0.9167579    1.4819E+00    1.2766E-02
   0.9202577    1.4822E+00    1.2774E-02
   0.9237751    1.5015E+00    1.2120E-02
   0.9273098    1.4844E+00    1.3079E-02
   0.9308618    1.4546E+00    1.3813E-02
   0.9344309    1.4286E+00    1.4791E-02
   0.9380170    1.4515E+00    1.5105E-02
   0.9416198    1.4225E+00    1.4892E-02
   0.9452392    1.4362E+00    1.3905E-02
   0.9488751    1.3913E+00    1.3479E-02
   0.9525272    1.3796E+00    1.2578E-02
   0.9561955    1.4048E+00    1.1830E-02
   0.9598798    1.3898E+00    1.1547E-02
   0.9635798    1.4217E+00    1.1624E-02
   0.9672955    1.4049E+00    1.1240E-02
   0.9710265    1.4280E+00    1.0963E-02
   0.9747728    1.4104E+00    1.0171E-02
   0.9785341    1.3939E+00    9.8068E-03
   0.9823104    1.4056E+00    9.6328E-03
   0.9861013    1.3818E+00    9.7599E-03
   0.9899067    1.3934E+00    9.9145E-03
   0.9937264    1.3801E+00    1.0006E-02
   0.9975601    1.3709E+00    1.0091E-02
   1.0014079    1.3524E+00    9.6553E-03
   1.0052694    1.3242E+00    9.1290E-03
   1.0091443    1.3373E+00    9.2457E-03
   1.0130327    1.3730E+00    9.4934E-03
   1.0169342    1.3450E+00    9.6218E-03
   1.0208485    1.3281E+00    9.5006E-03
   1.0247755    1.3289E+00    9.7905E-03
   1.0287151    1.3364E+00    9.4907E-03
   1.0326672    1.3268E+00    9.5186E-03
   1.0366311    1.3226E+00    9.5327E-03
   1.0406071    1.3265E+00    9.3221E-03
   1.0445948    1.3059E+00    9.0464E-03
   1.0485939    1.3128E+00    8.4258E-03
   1.0526043    1.2986E+00    7.8120E-03
   1.0566258    1.2767E+00    7.2766E-03
   1.0606582    1.2821E+00    7.0358E-03
   1.0647013    1.2871E+00    7.2469E-03
   1.0687548    1.2877E+00    7.7514E-03
   1.0728185    1.2841E+00    7.9848E-03
   1.0768923    1.2681E+00    8.5364E-03
   1.0809759    1.2503E+00    8.6845E-03
   1.0850691    1.2603E+00    8.5710E-03
   1.0891716    1.2327E+00    8.6507E-03
   1.0932834    1.2031E+00    8.3102E-03
   1.0974042    1.2165E+00    8.3640E-03
   1.1015337    1.2213E+00    8.3370E-03
   1.1056718    1.2120E+00    7.7977E-03
   1.1098182    1.1925E+00    7.4566E-03
   1.1139728    1.1764E+00    7.3583E-03
   1.1181353    1.1706E+00    7.6613E-03
   1.1223055    1.1616E+00    8.2472E-03
   1.1264832    1.1535E+00    9.0797E-03
   1.1306683    1.1465E+00    9.5489E-03
   1.1348604    1.1534E+00    9.1891E-03
   1.1390594    1.1586E+00    9.8758E-03
   1.1432651    1.1407E+00    9.2505E-03
   1.1474774    1.1320E+00    9.3879E-03
   1.1516958    1.1270E+00    9.2937E-03
   1.1559204    1.1160E+00    8.4943E-03
   1.1601508    1.1414E+00    8.1026E-03
   1.1643869    1.1146E+00    7.4027E-03
   1.1686285    1.1274E+00    6.6899E-03
   1.1728753    1.1297E+00    6.2384E-03
   1.1771271    1.0970E+00    5.8876E-03
   1.1813838    1.1068E+00    5.6086E-03
   1.1856453    1.0869E+00    5.3971E-03
   1.1899112    1.0785E+00    5.3791E-03
   1.1941814    1.0749E+00    6.0000E-03
   1.1984557    1.0645E+00    6.4621E-03
   1.2027339    1.0674E+00    6.7393E-03
   1.2070158    1.0699E+00    7.2580E-03
   1.2113011    1.0458E+00    6.9546E-03
   1.2155899    1.0689E+00    7.0251E-03
   1.2198818    1.0586E+00    7.0759E-03
   1.2241765    1.0540E+00    6.8571E-03
   1.2284741    1.0530E+00    6.9305E-03
