# SpeX prism spectrum of 2m0144-0716 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.649810   -1.37255e-16    1.02406e-16
     0.652031    2.37376e-18    5.00223e-17
     0.654241    3.28930e-17    5.21346e-17
     0.656440   -4.11066e-17    6.52156e-18
     0.658631   -1.25874e-17    1.97310e-17
     0.660812   -9.06075e-17    7.58932e-17
     0.662987    5.04091e-18    2.98022e-17
     0.665155    7.53052e-17    8.37084e-17
     0.667317   -6.32877e-17    6.02889e-17
     0.669474    4.66562e-17    5.40464e-17
     0.671628   -4.56044e-18    5.27988e-17
     0.673779    5.14290e-17    2.69655e-18
     0.675928    1.23410e-16    1.39323e-17
     0.678075   -1.61220e-17    4.04634e-17
     0.680222    2.07927e-17    9.78592e-18
     0.682369   -1.25567e-17    1.78835e-17
     0.684517    4.27547e-18    8.76841e-18
     0.686666    9.63223e-17    2.13836e-17
     0.688819    4.09571e-18    6.83922e-17
     0.690974    5.48604e-17    1.20314e-17
     0.693133    1.75144e-17    2.01589e-17
     0.695296   -3.01323e-19    2.92970e-17
     0.697465   -1.96942e-17    1.97528e-17
     0.699639    4.22161e-17    2.84627e-17
     0.701820    4.53869e-18    5.14110e-17
     0.704008    2.64180e-17    2.38619e-17
     0.706203    5.88892e-17    4.29038e-17
     0.708406    3.02797e-17    2.88953e-17
     0.710617   -2.37031e-17    1.62581e-17
     0.712838    6.10669e-18    2.57617e-17
     0.715069   -1.05676e-17    2.26516e-17
     0.717310    1.16140e-17    2.24018e-17
     0.719561    2.87429e-17    2.94103e-17
     0.721823    2.01817e-18    2.52852e-17
     0.724097    1.96757e-17    2.48424e-17
     0.726383    4.11031e-17    1.62662e-17
     0.728681    2.42381e-17    7.84630e-18
     0.730992   -9.00537e-18    2.89390e-17
     0.733316    3.85954e-17    4.16910e-17
     0.735654    6.82097e-17    1.63206e-17
     0.738006    2.45082e-17    2.98679e-17
     0.740372    3.67989e-17    1.34227e-17
     0.742752    2.70641e-17    5.90791e-18
     0.745148   -8.45126e-19    1.26740e-17
     0.747559    1.46046e-17    1.47760e-17
     0.749985    1.58477e-17    2.68948e-17
     0.752427    9.39196e-18    8.99073e-18
     0.754886    4.70432e-17    3.24318e-17
     0.757361    1.70801e-17    9.59411e-19
     0.759852   -3.35269e-17    1.42602e-17
     0.762360    3.55944e-17    4.23341e-17
     0.764886   -2.45679e-18    2.34340e-17
     0.767428   -3.26354e-17    1.36918e-17
     0.769989   -7.69551e-18    5.59466e-18
     0.772567   -2.11432e-17    1.02373e-17
     0.775163   -3.06469e-18    1.43300e-17
     0.777777    1.69498e-17    9.86362e-18
     0.780410    3.65471e-17    9.84901e-18
     0.783060    3.18853e-17    7.99402e-18
     0.785730    3.01438e-17    1.83519e-17
     0.788418    4.29020e-17    6.23348e-18
     0.791125    5.14566e-17    4.81140e-18
     0.793851    1.81289e-17    2.31483e-17
     0.796596    4.83872e-17    9.66700e-18
     0.799360    2.12498e-17    1.48997e-17
     0.802144    3.49778e-17    1.29117e-17
     0.804947    9.04791e-17    2.74388e-18
     0.807769    7.27790e-17    1.00338e-17
     0.810611    7.94464e-17    1.73743e-17
     0.813472    6.51099e-17    1.11113e-17
     0.816353    6.31490e-17    1.28764e-17
     0.819253    8.48306e-17    3.47995e-18
     0.822173    8.14532e-17    1.02429e-17
     0.825113    7.82590e-17    1.64230e-17
     0.828073    9.94454e-17    1.06016e-17
     0.831052    9.65237e-17    7.16627e-18
     0.834051    1.08368e-16    6.23308e-18
     0.837070    1.14494e-16    6.29049e-18
     0.840108    1.35803e-16    8.82319e-18
     0.843166    1.09742e-16    1.51156e-17
     0.846244    1.11769e-16    1.21666e-17
     0.849341    1.32103e-16    1.21500e-17
     0.852458    1.30787e-16    3.59161e-18
     0.855594    1.17694e-16    9.76474e-18
     0.858750    1.18856e-16    1.63248e-17
     0.861926    9.17816e-17    6.63736e-18
     0.865121    8.06404e-17    5.17339e-18
     0.868335    8.85156e-17    5.69178e-19
     0.871568    1.09240e-16    1.89820e-18
     0.874821    8.77073e-17    3.26623e-18
     0.878092    7.91418e-17    5.96591e-19
     0.881383    1.02860e-16    6.10116e-18
     0.884692    9.84180e-17    8.95991e-18
     0.888021    1.27942e-16    1.41244e-17
     0.891368    1.20080e-16    3.19381e-18
     0.894734    1.34032e-16    9.08626e-18
     0.898118    1.36952e-16    6.41247e-18
     0.901520    1.38609e-16    3.68916e-18
     0.904941    1.46760e-16    5.51453e-18
     0.908380    1.58495e-16    4.06809e-18
     0.911837    1.53234e-16    1.05146e-17
     0.915312    1.85868e-16    3.89538e-18
     0.918804    1.97010e-16    5.19976e-18
