# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
      1.04508    2.70957e-17    2.96619e-18
      1.04908    2.73705e-17    1.03998e-18
      1.05309    2.56465e-17    1.05520e-18
      1.05712    2.94361e-17    8.99070e-19
      1.06115    3.20081e-17    1.75626e-18
      1.06520    3.05755e-17    1.67449e-18
      1.06925    3.15177e-17    2.61343e-18
      1.07332    3.14009e-17    2.45305e-18
      1.07739    3.70632e-17    1.82991e-18
      1.08148    3.33249e-17    2.61250e-18
      1.08557    3.37606e-17    2.16758e-18
      1.08967    3.51830e-17    8.08587e-19
      1.09379    3.20186e-17    1.70489e-18
      1.09791    3.06348e-17    7.76555e-19
      1.10204    3.14393e-17    2.26545e-18
      1.10618    3.04432e-17    1.08506e-18
      1.11032    2.92236e-17    2.39558e-18
      1.11448    2.81524e-17    7.16052e-19
      1.11864    2.92056e-17    1.06254e-18
      1.12282    3.08216e-17    2.30277e-18
      1.12699    2.54715e-17    4.13141e-19
      1.13118    2.84538e-17    2.55126e-18
      1.13537    2.90993e-17    1.46543e-18
      1.13957    2.99602e-17    1.12985e-18
      1.14378    3.25446e-17    1.22553e-18
      1.14799    3.68810e-17    1.49924e-18
      1.15221    3.39914e-17    1.57670e-18
      1.15644    3.23628e-17    1.02298e-18
      1.16067    2.91489e-17    1.23791e-18
      1.16490    3.03380e-17    1.44237e-18
      1.16915    3.12010e-17    7.92066e-19
      1.17339    2.93441e-17    1.62649e-18
      1.17765    3.30021e-17    7.08669e-19
      1.18190    3.22729e-17    1.25440e-18
      1.18617    3.40338e-17    1.42577e-18
      1.19043    3.50811e-17    2.25481e-19
      1.19470    3.41459e-17    6.88514e-19
      1.19898    3.51292e-17    1.57178e-18
      1.20326    3.69818e-17    1.42070e-18
      1.20754    3.58893e-17    1.00508e-18
      1.21182    4.12398e-17    9.80690e-19
      1.21611    4.01423e-17    2.20085e-18
      1.22041    3.96732e-17    1.29340e-18
      1.22470    4.10486e-17    2.03177e-18
      1.22900    4.02141e-17    1.67061e-18
      1.23330    4.05453e-17    8.75161e-19
      1.23760    3.99085e-17    1.21669e-18
      1.24191    3.78958e-17    6.21508e-19
      1.24621    4.07849e-17    9.19266e-19
      1.25052    4.16611e-17    7.65213e-19
      1.25483    4.26833e-17    6.33846e-19
      1.25915    4.10793e-17    1.24277e-18
      1.26346    4.17933e-17    2.24605e-18
      1.26777    4.38128e-17    2.88816e-18
      1.27209    4.72930e-17    3.27173e-18
      1.27641    4.48423e-17    1.49117e-18
      1.28072    4.18794e-17    1.37516e-18
      1.28504    4.23498e-17    6.65213e-19
      1.28936    4.72710e-17    2.27259e-18
      1.29368    4.44014e-17    1.05218e-18
      1.29799    4.76116e-17    1.14930e-18
      1.30231    4.75453e-17    1.95850e-18
      1.30663    4.49366e-17    1.17508e-18
      1.31095    4.40876e-17    2.64479e-19
      1.31526    4.23795e-17    8.61457e-19
      1.31958    4.34377e-17    8.18844e-19
      1.32390    4.02204e-17    7.28869e-19
      1.32821    3.93745e-17    1.85313e-18
      1.33252    3.22088e-17    2.14088e-19
      1.33683    2.68879e-17    3.98345e-19
      1.34114    2.34417e-17    5.25739e-19
      1.34545    2.12864e-17    1.30012e-18
      1.34976    2.11320e-17    7.24982e-19
      1.35406    2.18406e-17    7.27488e-19
      1.35837    1.82760e-17    1.83551e-18
      1.36267    2.36494e-17    1.54290e-18
      1.36696    2.43324e-17    1.91687e-18
      1.37126    2.15194e-17    8.91583e-19
      1.37555    2.42188e-17    8.99348e-19
      1.37984    2.24666e-17    2.89098e-18
      1.38413    2.74931e-17    3.36579e-18
      1.38842    2.48032e-17    1.71763e-18
      1.39270    1.98305e-17    2.19483e-18
      1.39698    2.22680e-17    1.78420e-18
      1.40126    2.10793e-17    1.71975e-18
      1.40553    2.38483e-17    1.83529e-18
      1.40980    1.99782e-17    1.17196e-18
      1.41406    1.89056e-17    1.86182e-18
      1.41832    1.78653e-17    1.04954e-18
      1.42258    1.89497e-17    4.80989e-19
      1.42684    2.04570e-17    1.38306e-18
      1.43109    1.85181e-17    1.20216e-18
      1.43533    2.48913e-17    1.55766e-18
      1.43958    1.93029e-17    2.78521e-18
      1.44381    2.41268e-17    6.21245e-19
      1.44805    2.20841e-17    1.12829e-18
      1.45228    2.51214e-17    1.19770e-18
      1.45650    2.42844e-17    2.06566e-18
      1.46072    2.43002e-17    1.04007e-18
      1.46494    2.41157e-17    3.60188e-19
      1.46915    2.71068e-17    6.85732e-19
      1.47335    2.51262e-17    1.85714e-18
      1.47755    2.82555e-17    1.61796e-18
      1.48175    2.61017e-17    1.69512e-18
      1.48594    2.73899e-17    6.14746e-19
      1.49013    3.06658e-17    1.48355e-18
      1.49431    3.04292e-17    1.45775e-18
      1.49848    3.05064e-17    7.89921e-19
      1.50265    3.08384e-17    1.51800e-18
      1.50682    3.09610e-17    1.61998e-18
      1.51098    3.27760e-17    1.33054e-18
      1.51513    3.42516e-17    1.59595e-18
      1.51928    3.24892e-17    1.98699e-18
      1.52342    3.49406e-17    1.03102e-18
      1.52756    3.45497e-17    1.32515e-18
      1.53169    3.53690e-17    7.83394e-19
      1.53582    3.25535e-17    2.03450e-18
      1.53994    4.05445e-17    6.71799e-19
      1.54405    4.13182e-17    1.62026e-18
      1.54816    3.96876e-17    1.67634e-18
      1.55226    4.10677e-17    4.68057e-19
      1.55635    3.95694e-17    4.70379e-19
      1.56044    4.23454e-17    1.29552e-18
      1.56453    3.99493e-17    2.15542e-18
      1.56861    4.11034e-17    1.14319e-18
      1.57268    4.22557e-17    1.30899e-18
      1.57674    4.34199e-17    1.76600e-18
      1.58080    4.80558e-17    1.16554e-18
      1.58485    4.28145e-17    1.64625e-18
      1.58890    4.28083e-17    1.34035e-18
      1.59294    4.31029e-17    9.88800e-19
      1.59698    4.50233e-17    1.22006e-18
      1.60100    4.20690e-17    1.25699e-18
      1.60502    4.16878e-17    1.41420e-18
      1.60904    4.72761e-17    1.43901e-18
      1.61305    4.58225e-17    4.16670e-19
      1.61705    4.38864e-17    2.00112e-18
      1.62104    4.67510e-17    4.15535e-19
      1.62503    4.28908e-17    9.75026e-19
      1.62902    4.40418e-17    2.40731e-18
      1.63299    4.51179e-17    6.69936e-19
      1.63696    4.52188e-17    6.75569e-19
      1.64092    4.70766e-17    2.21215e-18
      1.64488    4.63482e-17    2.23937e-18
      1.64883    4.17523e-17    1.61488e-18
      1.65277    4.58892e-17    1.12422e-18
      1.65671    4.42586e-17    6.98599e-19
      1.66064    4.46481e-17    8.65306e-19
      1.66456    4.63244e-17    7.12769e-19
      1.66848    4.27897e-17    2.54166e-18
      1.67239    4.38372e-17    1.35958e-18
      1.67629    4.36475e-17    1.28827e-18
      1.68019    4.50741e-17    8.25870e-19
      1.68408    4.67595e-17    6.60186e-19
      1.68797    4.80847e-17    1.06683e-18
      1.69184    4.68573e-17    1.42186e-18
      1.69571    4.64344e-17    9.11528e-19
      1.69958    4.27011e-17    1.13569e-18
      1.70344    4.40701e-17    1.89296e-18
      1.70729    4.46716e-17    1.56794e-18
      1.71113    4.20024e-17    7.89456e-19
      1.71497    4.16753e-17    1.54132e-18
      1.71880    4.01935e-17    6.12718e-19
      1.72263    4.02467e-17    8.35179e-19
      1.72645    3.98893e-17    1.43912e-18
      1.73026    3.87332e-17    1.12337e-18
      1.73407    3.96999e-17    1.16505e-18
      1.73787    3.71136e-17    1.15540e-18
