# SpeX prism spectrum of LSPM0330+3504B obtained 2005 Oct 17 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.649384    7.10344e-18    1.14320e-17
     0.651608   -2.16451e-18    1.02334e-17
     0.653819    1.13918e-17    9.39971e-18
     0.656021    9.48411e-19    8.06244e-18
     0.658213    2.59195e-18    7.57706e-18
     0.660396    1.82549e-17    7.05881e-18
     0.662572    6.25313e-18    7.22633e-18
     0.664741    1.05436e-17    7.10056e-18
     0.666904    1.35502e-17    7.38951e-18
     0.669062   -2.83684e-18    6.54315e-18
     0.671217    1.10648e-17    6.90336e-18
     0.673368   -6.23818e-20    6.59528e-18
     0.675517    6.15113e-18    6.41892e-18
     0.677665    6.48322e-18    6.05780e-18
     0.679811    1.32065e-17    5.83680e-18
     0.681958    5.35016e-18    5.49989e-18
     0.684106    4.22231e-18    5.80558e-18
     0.686255    9.99986e-18    5.35129e-18
     0.688407    6.57744e-18    5.35669e-18
     0.690562    2.14733e-17    4.96173e-18
     0.692720    1.54230e-17    4.89987e-18
     0.694882    8.25646e-18    4.66168e-18
     0.697050    1.17236e-17    4.64123e-18
     0.699223    5.85919e-18    4.26009e-18
     0.701403    9.30015e-18    4.38443e-18
     0.703589    1.16586e-17    3.87518e-18
     0.705782    5.01480e-18    3.85097e-18
     0.707984    4.66795e-18    3.55341e-18
     0.710194    4.12001e-18    3.46191e-18
     0.712413    6.04555e-18    3.33177e-18
     0.714642    1.30779e-17    3.36699e-18
     0.716880    1.09765e-17    3.18984e-18
     0.719130    1.17241e-17    3.39708e-18
     0.721390    5.37000e-18    3.11206e-18
     0.723661    1.00470e-17    3.17327e-18
     0.725945    6.32264e-18    3.15311e-18
     0.728241    1.25611e-17    2.89894e-18
     0.730549    7.78561e-18    2.69129e-18
     0.732871    3.99254e-18    2.79166e-18
     0.735206    9.77451e-18    2.53097e-18
     0.737555   -1.67383e-18    2.49359e-18
     0.739918    4.17262e-18    2.31574e-18
     0.742296    7.61983e-18    2.33828e-18
     0.744689    1.58584e-18    2.13748e-18
