# SpeX prism spectrum of kpno5 from Muench et al. 2007
# Lambda	Flux
0.64864502	0.38963360
0.65087300	0.15538910
0.65308901	0.21078821
0.65529302	0.25917709
0.65748799	0.23067249
0.65967402	0.19618350
0.66185200	0.20889840
0.66402300	0.16761440
0.66618799	0.12577701
0.66834800	0.026198929
0.67050400	0.057204928
0.67265601	0.11111770
0.67480601	0.052877340
0.67695400	0.048567139
0.67910098	0.10852280
0.68124800	-0.016126759
0.68339502	0.031768899
0.68554399	0.16775350
0.68769399	0.10497690
0.68984800	0.20598289
0.69200498	0.24269190
0.69416602	0.28273839
0.69633198	0.18861400
0.69850298	0.21478941
0.70067998	0.23308291
0.70286401	0.28285810
0.70505601	0.22519790
0.70725400	0.22834250
0.70946201	0.22536810
0.71167798	0.17283720
0.71390298	0.14775871
0.71613799	0.084123649
0.71838398	0.12952420
0.72063999	0.14072180
0.72290801	0.13646960
0.72518799	0.23981559
0.72747998	0.25440201
0.72978398	0.29770061
0.73210098	0.34347889
0.73443198	0.37691069
0.73677598	0.41122049
0.73913501	0.43815070
0.74150801	0.49699381
0.74389502	0.49118391
0.74629800	0.50575459
0.74871602	0.55893010
0.75115000	0.56152588
0.75360000	0.57389742
0.75606602	0.60367692
0.75854902	0.55550981
0.76104800	0.45736691
0.76356499	0.40556869
0.76609902	0.32950261
0.76865000	0.27744099
0.77121899	0.26912659
0.77380498	0.29392779
0.77641001	0.30327609
0.77903301	0.31928939
0.78167402	0.33554330
0.78433398	0.35477069
0.78701201	0.37387559
0.78970898	0.37853101
0.79242500	0.38260481
0.79516099	0.42589360
0.79791499	0.43958020
0.80068799	0.51379102
0.80348101	0.59270060
0.80629302	0.69064617
0.80912500	0.77327269
0.81197598	0.87037319
0.81484600	0.88256288
0.81773599	0.95765722
0.82064600	0.93118620
0.82357598	0.91754639
0.82652500	0.85395283
0.82949404	0.83369458
0.83248301	0.83213490
0.83549102	0.77125353
0.83851904	0.71001798
0.84156699	0.64503098
0.84463398	0.58745271
0.84772100	0.54786402
0.85082803	0.54101890
0.85395400	0.52294552
0.85710000	0.55719632
0.86026602	0.60572243
0.86345000	0.65898299
0.86665400	0.70459437
0.86987803	0.76691067
0.87312002	0.83300519
0.87638203	0.91601843
0.87966299	0.93676639
0.88296201	0.95690012
0.88628096	0.98157281
0.88961797	1.0011131
0.89297402	1.0331531
0.89634902	1.0495180
0.89974199	1.1044790
0.90315303	1.1624140
0.90658203	1.2162040
0.91002998	1.3056771
0.91349502	1.3180380
0.91697803	1.3124419
0.92047900	1.2895880
0.92399805	1.2496380
0.92753398	1.1844640
0.93108701	1.1427540
0.93465703	1.1564860
0.93824404	1.1549910
0.94184805	1.1974610
0.94546797	1.2479870
0.94910498	1.2764020
0.95275801	1.3086610
0.95642803	1.3296590
0.96011299	1.3643770
0.96381396	1.3806380
0.96753096	1.4116520
0.97126299	1.4286020
0.97500996	1.4592150
0.97877197	1.4462250
0.98254902	1.4268910
0.98634102	1.4064230
0.99014805	1.4149120
0.99396797	1.4244860
0.99780303	1.4178430
1.0016500	1.4237860
1.0055100	1.4512300
1.0093900	1.4747560
1.0132800	1.5114980
1.0171800	1.5329940
1.0211000	1.5364350
1.0250200	1.5278020
1.0289600	1.5423330
1.0329200	1.5597770
1.0368800	1.5698490
1.0408600	1.5661200
1.0448500	1.5630410
1.0488500	1.5531650
1.0528600	1.5281570
1.0568800	1.5185970
1.0609100	1.5258060
1.0649600	1.5473380
1.0690100	1.5757400
1.0730800	1.6214780
1.0771500	1.6474240
1.0812300	1.6949821
1.0853300	1.6920750
1.0894300	1.6739810
1.0935400	1.6463760
1.0976600	1.6267630
1.1017900	1.6212490
1.1059300	1.6235600
1.1100800	1.5962880
1.1142400	1.5624460
1.1184000	1.5768470
1.1225700	1.5805780
1.1267500	1.5809200
1.1309300	1.5633960
1.1351300	1.5634880
1.1393200	1.5566030
1.1435300	1.5597171
1.1477400	1.5547709
1.1519600	1.5821010
1.1561900	1.5804160
1.1604200	1.5859960
1.1646500	1.5848010
1.1689000	1.5551500
1.1731400	1.5451990
1.1774000	1.5338930
1.1816500	1.5145450
1.1859100	1.4988270
1.1901800	1.4816390
1.1944500	1.4848970
1.1987300	1.4746840
1.2030000	1.4825150
1.2072900	1.4946300
1.2115700	1.5144820
