# SpeX prism spectrum of 0448-0557 obtained 2005 Dec 31 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.649797    1.38566e-17    4.28169e-17
     0.652018   -7.08804e-18    3.59806e-17
     0.654228    4.82046e-17    3.34940e-17
     0.656428    1.19704e-17    2.85379e-17
     0.658618    1.05923e-17    2.70031e-17
     0.660800   -5.37761e-18    2.53564e-17
     0.662974   -5.17526e-18    2.64061e-17
     0.665142   -9.91657e-18    2.58848e-17
     0.667304   -2.39350e-17    2.68771e-17
     0.669462    6.00897e-18    2.46732e-17
     0.671616    5.73694e-17    2.56069e-17
     0.673767   -2.97119e-17    2.33279e-17
     0.675915    2.23272e-17    2.38413e-17
     0.678063    2.14431e-17    2.15777e-17
     0.680209    6.11754e-17    2.21510e-17
     0.682356    2.63604e-17    2.12857e-17
     0.684504    1.29293e-17    2.15976e-17
     0.686654    2.37419e-17    2.10257e-17
     0.688806    1.02592e-18    1.99931e-17
     0.690961    2.29961e-17    1.77775e-17
     0.693120    3.62880e-17    1.72471e-17
     0.695284    6.50591e-17    1.62440e-17
     0.697452   -8.80433e-18    1.56886e-17
     0.699627    2.14317e-17    1.45207e-17
     0.701807    2.48433e-17    1.49425e-17
     0.703995    2.62595e-17    1.34103e-17
     0.706190    3.74833e-17    1.36185e-17
     0.708393    3.71180e-17    1.19090e-17
     0.710605    5.58158e-18    1.24413e-17
     0.712826    2.47079e-17    1.16676e-17
     0.715056    3.72959e-17    1.14523e-17
     0.717297    2.60910e-17    1.03032e-17
     0.719548    2.46942e-17    1.12786e-17
     0.721810   -9.19982e-18    9.72228e-18
     0.724084    3.37174e-18    1.05719e-17
     0.726370    2.81081e-17    9.39454e-18
     0.728668    2.55794e-17    9.38931e-18
     0.730979   -1.13795e-18    8.62778e-18
     0.733303    1.15093e-17    8.90459e-18
     0.735641    2.87490e-17    7.97772e-18
     0.737992    7.87089e-18    8.42353e-18
     0.740358    1.63185e-17    7.46785e-18
     0.742739    2.68698e-17    7.74680e-18
     0.745134    5.15461e-18    7.13348e-18
     0.747545    2.45528e-17    7.23238e-18
     0.749971    1.39134e-18    6.55778e-18
     0.752413   -8.34014e-18    7.18315e-18
     0.754872   -1.74084e-19    6.90747e-18
     0.757346    1.16897e-17    7.39547e-18
     0.759838    8.52597e-18    7.68972e-18
     0.762346   -2.73387e-18    8.07022e-18
     0.764871   -4.39336e-18    7.33367e-18
     0.767414    1.54129e-17    6.74936e-18
     0.769974    1.31949e-17    5.88499e-18
     0.772552   -7.55740e-20    5.89702e-18
     0.775148    5.94127e-18    5.38972e-18
     0.777762    1.98504e-18    5.63030e-18
     0.780394   -8.37767e-20    5.39074e-18
     0.783045    1.89373e-17    5.37988e-18
     0.785715    7.47195e-18    5.10119e-18
     0.788403    1.71280e-17    5.46346e-18
     0.791110    9.56829e-18    5.16699e-18
     0.793835    8.25925e-19    5.03257e-18
     0.796580    8.65396e-18    4.83823e-18
     0.799344    4.72450e-18    4.92830e-18
     0.802128    1.98085e-17    4.63490e-18
     0.804931    2.52748e-17    4.71678e-18
     0.807753    2.22367e-17    4.39086e-18
     0.810594    1.02990e-17    4.43907e-18
     0.813455    8.88663e-18    4.07914e-18
     0.816336    1.03706e-17    4.19407e-18
     0.819237    1.06671e-17    3.94470e-18
     0.822157    4.32513e-18    4.14527e-18
     0.825096    1.76733e-17    4.04628e-18
     0.828056    9.69658e-18    4.21707e-18
     0.831035    5.17049e-18    4.04128e-18
     0.834034    1.72967e-17    4.03666e-18
     0.837052    1.96792e-17    3.94734e-18
     0.840090    1.45779e-17    4.00532e-18
     0.843148    1.13749e-17    3.69847e-18
     0.846226    7.26788e-18    3.77694e-18
     0.849323    1.70811e-17    3.41615e-18
     0.852440    1.49559e-17    3.39391e-18
     0.855576    1.89555e-17    3.09372e-18
     0.858732    1.82866e-17    3.18389e-18
     0.861908    1.14266e-17    3.00883e-18
     0.865102    2.03784e-17    3.14946e-18
     0.868316    8.80404e-18    2.91910e-18
     0.871550    2.02255e-17    3.13588e-18
     0.874802    1.79506e-17    3.09960e-18
     0.878074    2.00700e-17    3.37507e-18
     0.881364    1.74054e-17    3.20746e-18
     0.884673    9.20684e-18    3.23945e-18
     0.888002    1.65104e-17    3.14949e-18
     0.891349    1.58791e-17    3.13925e-18
     0.894714    1.52482e-17    3.00737e-18
     0.898098    1.63363e-17    2.98599e-18
     0.901501    1.45442e-17    2.77071e-18
     0.904921    1.13275e-17    2.66909e-18
     0.908360    1.05945e-17    2.54982e-18
     0.911817    1.49326e-17    2.54702e-18
     0.915292    1.78009e-17    2.43584e-18
     0.918784    1.94850e-17    2.46666e-18
     0.922294    1.76231e-17    2.33021e-18
     0.925821    1.41032e-17    2.63535e-18
     0.929366    2.00546e-17    2.78120e-18
     0.932928    2.37017e-17    3.11016e-18
     0.936507    1.70510e-17    3.12010e-18
     0.940103    1.66716e-17    3.03298e-18
     0.943715    1.46282e-17    2.93547e-18
     0.947344    2.13259e-17    2.94355e-18
     0.950990    2.17203e-17    2.64539e-18
     0.954651    1.27958e-17    2.48567e-18
     0.958329    1.91780e-17    2.31212e-18
     0.962022    1.69892e-17    2.30360e-18
     0.965731    2.10396e-17    2.23760e-18
     0.969456    2.11245e-17    2.24127e-18
     0.973196    2.47188e-17    2.27164e-18
     0.976951    2.18377e-17    2.26881e-18
     0.980721    1.85581e-17    2.15600e-18
     0.984505    2.03734e-17    2.25941e-18
     0.988305    2.67561e-17    2.27035e-18
     0.992119    2.27870e-17    2.43446e-18
     0.995946    2.56592e-17    2.43194e-18
     0.999788    1.93839e-17    2.34247e-18
      1.00364    2.32965e-17    2.18295e-18
      1.00751    2.73969e-17    2.18636e-18
      1.01140    2.65668e-17    2.17826e-18
      1.01529    2.41437e-17    2.32107e-18
      1.01920    2.17267e-17    2.27383e-18
      1.02312    2.35964e-17    2.40554e-18
      1.02706    2.62699e-17    2.29532e-18
      1.03100    2.53353e-17    2.34928e-18
      1.03496    2.99139e-17    2.33592e-18
      1.03893    2.42117e-17    2.24700e-18
      1.04292    2.72137e-17    2.15280e-18
      1.04691    2.99094e-17    2.04940e-18
      1.05092    2.26282e-17    1.75738e-18
      1.05493    2.50593e-17    1.57248e-18
      1.05896    2.72957e-17    1.44087e-18
      1.06300    2.87353e-17    1.50283e-18
      1.06705    2.72564e-17    1.71873e-18
      1.07111    2.66647e-17    1.87715e-18
      1.07518    2.68312e-17    2.00659e-18
      1.07926    3.15868e-17    2.14503e-18
      1.08335    3.11450e-17    2.06070e-18
      1.08745    2.86984e-17    2.20268e-18
      1.09155    2.64404e-17    2.08259e-18
      1.09567    3.01755e-17    2.09023e-18
      1.09980    2.87567e-17    2.00033e-18
      1.10393    3.16367e-17    1.82671e-18
      1.10807    2.69244e-17    1.62412e-18
      1.11222    2.73068e-17    1.49845e-18
      1.11638    2.63477e-17    1.38517e-18
      1.12055    3.12283e-17    1.42410e-18
      1.12473    2.61283e-17    1.67526e-18
      1.12891    2.58192e-17    1.90268e-18
      1.13310    2.82434e-17    1.92652e-18
      1.13729    2.93924e-17    2.15000e-18
      1.14150    3.27319e-17    2.00703e-18
      1.14571    2.55990e-17    2.04947e-18
      1.14992    2.76764e-17    2.07805e-18
      1.15414    2.85040e-17    1.98606e-18
      1.15837    2.83611e-17    1.96839e-18
      1.16261    3.25815e-17    1.81411e-18
      1.16684    3.10059e-17    1.58105e-18
      1.17109    2.90989e-17    1.41313e-18
      1.17534    3.52621e-17    1.22871e-18
      1.17959    3.37734e-17    1.13835e-18
      1.18385    3.09632e-17    1.05316e-18
      1.18812    3.41372e-17    1.08141e-18
      1.19239    3.00678e-17    1.31206e-18
      1.19666    3.15243e-17    1.55101e-18
      1.20093    3.20655e-17    1.59002e-18
      1.20521    3.34255e-17    1.78078e-18
      1.20950    3.74222e-17    1.69207e-18
      1.21379    3.21684e-17    1.71976e-18
      1.21808    3.67172e-17    1.75529e-18
      1.22237    3.10085e-17    1.69267e-18
      1.22667    3.21884e-17    1.72932e-18
      1.23097    3.30536e-17    1.65787e-18
      1.23527    3.65549e-17    1.50574e-18
      1.23957    3.40957e-17    1.37735e-18
      1.24388    3.14705e-17    1.22636e-18
      1.24819    3.42273e-17    1.15935e-18
      1.25250    3.54292e-17    1.16174e-18
      1.25681    3.63368e-17    1.26966e-18
      1.26112    3.74115e-17    1.53435e-18
      1.26543    3.69908e-17    1.83270e-18
      1.26975    3.73718e-17    2.18121e-18
      1.27406    3.43156e-17    2.23272e-18
      1.27838    3.72758e-17    2.00876e-18
      1.28270    3.92017e-17    1.92745e-18
      1.28702    3.31500e-17    1.78212e-18
      1.29133    3.98431e-17    1.70601e-18
      1.29565    4.14771e-17    1.74017e-18
      1.29997    3.85886e-17    1.63862e-18
      1.30429    3.56403e-17    1.68558e-18
      1.30861    3.70486e-17    1.68907e-18
      1.31292    3.99023e-17    1.54991e-18
      1.31724    3.36829e-17    1.46499e-18
      1.32155    3.86359e-17    1.32998e-18
      1.32587    3.64939e-17    1.20749e-18
      1.33018    3.72688e-17    1.13675e-18
      1.33449    4.01247e-17    1.02236e-18
      1.33881    3.78346e-17    9.59275e-19
      1.34311    3.66909e-17    9.71007e-19
      1.34742    3.92410e-17    1.11335e-18
      1.35173    3.58717e-17    1.24411e-18
      1.35603    3.96099e-17    1.64239e-18
      1.36033    3.72277e-17    2.20048e-18
      1.36463    3.38683e-17    2.45093e-18
      1.36893    3.60031e-17    2.43704e-18
      1.37322    3.81273e-17    2.19799e-18
      1.37752    3.53736e-17    2.22252e-18
      1.38181    3.45833e-17    2.22716e-18
      1.38609    3.76054e-17    2.38728e-18
      1.39038    3.76251e-17    2.17898e-18
      1.39466    3.75338e-17    2.30387e-18
      1.39894    3.19280e-17    2.51148e-18
      1.40321    3.39355e-17    2.78849e-18
      1.40748    3.45559e-17    2.90179e-18
      1.41175    3.63961e-17    2.88452e-18
      1.41601    3.84862e-17    2.59326e-18
      1.42027    3.36800e-17    2.19700e-18
      1.42453    4.13532e-17    1.81494e-18
      1.42878    4.25988e-17    1.78472e-18
      1.43303    4.08983e-17    1.83832e-18
      1.43727    4.33455e-17    1.79702e-18
      1.44151    4.12557e-17    1.68320e-18
      1.44575    4.10036e-17    1.88817e-18
      1.44998    3.94650e-17    2.07575e-18
      1.45421    4.43349e-17    2.33649e-18
      1.45843    4.30850e-17    2.23213e-18
      1.46265    4.16417e-17    2.18566e-18
      1.46686    3.60141e-17    2.09513e-18
      1.47107    3.31403e-17    2.05462e-18
      1.47528    3.95910e-17    2.17377e-18
      1.47947    4.16001e-17    2.20311e-18
      1.48367    3.88595e-17    2.30400e-18
      1.48786    3.99082e-17    2.15104e-18
      1.49204    4.65143e-17    1.83599e-18
      1.49622    4.53539e-17    1.77397e-18
      1.50039    3.86173e-17    2.42794e-18
      1.50456    4.24254e-17    2.53969e-18
      1.50872    4.11743e-17    2.46191e-18
      1.51288    3.77824e-17    2.08852e-18
      1.51703    3.55192e-17    1.79991e-18
      1.52118    4.07198e-17    2.07287e-18
      1.52532    4.00647e-17    2.30666e-18
      1.52945    3.83655e-17    2.44173e-18
      1.53358    4.29880e-17    2.27125e-18
      1.53770    3.95817e-17    2.29976e-18
      1.54182    4.27554e-17    1.99489e-18
      1.54593    4.25843e-17    1.97258e-18
      1.55003    4.00497e-17    1.95253e-18
      1.55413    4.12860e-17    1.95085e-18
      1.55823    4.13899e-17    2.12291e-18
      1.56231    4.30970e-17    2.10719e-18
      1.56639    4.00770e-17    1.94618e-18
      1.57047    3.99191e-17    1.68590e-18
      1.57454    4.30629e-17    1.58725e-18
      1.57860    4.25549e-17    2.28160e-18
      1.58266    3.32586e-17    2.48529e-18
      1.58671    3.84584e-17    2.42733e-18
      1.59075    4.34062e-17    2.00592e-18
      1.59479    4.24490e-17    1.57544e-18
      1.59882    4.34690e-17    1.96133e-18
      1.60284    4.52583e-17    2.19041e-18
      1.60686    4.22087e-17    2.43357e-18
      1.61087    4.07737e-17    2.31460e-18
      1.61488    4.10553e-17    2.21582e-18
      1.61888    3.98010e-17    2.26158e-18
      1.62287    4.48829e-17    1.93537e-18
      1.62686    4.63641e-17    1.93602e-18
      1.63083    4.31026e-17    1.83802e-18
      1.63481    4.33689e-17    1.76663e-18
      1.63877    4.42064e-17    1.90394e-18
      1.64273    4.29391e-17    1.95826e-18
      1.64669    4.21420e-17    2.04933e-18
      1.65063    4.14069e-17    1.90222e-18
      1.65457    4.12589e-17    1.61956e-18
      1.65851    4.06983e-17    1.26229e-18
      1.66244    4.76179e-17    1.64744e-18
      1.66636    4.36709e-17    2.21976e-18
      1.67027    4.35517e-17    2.54363e-18
      1.67418    4.38248e-17    2.28230e-18
      1.67808    4.18045e-17    1.55790e-18
      1.68197    4.15513e-17    1.33239e-18
      1.68586    4.01625e-17    1.77407e-18
      1.68974    3.91201e-17    1.95427e-18
      1.69362    4.17042e-17    2.10988e-18
      1.69748    4.52870e-17    2.13051e-18
      1.70135    4.12118e-17    1.99153e-18
      1.70520    3.91713e-17    2.04514e-18
      1.70905    3.94206e-17    1.86480e-18
      1.71289    4.01329e-17    1.75565e-18
      1.71673    3.88248e-17    1.70043e-18
      1.72055    3.95748e-17    1.58014e-18
      1.72438    4.30864e-17    1.57434e-18
      1.72819    4.03878e-17    1.60420e-18
      1.73200    4.09577e-17    1.62795e-18
      1.73581    3.97137e-17    1.69405e-18
      1.73960    4.13429e-17    1.81007e-18
      1.74339    4.26708e-17    1.74243e-18
      1.74718    4.02833e-17    1.55158e-18
      1.75095    4.34286e-17    1.31213e-18
      1.75473    4.01308e-17    1.06708e-18
      1.75849    3.88976e-17    1.41989e-18
      1.76225    3.89083e-17    2.00813e-18
      1.76600    3.92203e-17    2.15375e-18
      1.76975    3.86194e-17    2.03658e-18
      1.77349    3.60588e-17    1.45462e-18
      1.77722    3.96061e-17    1.14645e-18
      1.78095    3.68629e-17    1.39758e-18
      1.78467    3.59376e-17    1.74507e-18
      1.78839    3.24346e-17    1.72356e-18
      1.79209    3.57198e-17    1.84755e-18
      1.79580    3.38484e-17    1.93943e-18
      1.79949    3.34881e-17    2.02044e-18
      1.80318    3.67541e-17    2.24843e-18
      1.80687    3.27498e-17    2.19845e-18
      1.81055    3.82587e-17    2.17463e-18
      1.81422    3.54459e-17    2.12661e-18
      1.81789    3.54837e-17    2.02215e-18
      1.82155    3.44889e-17    1.97728e-18
      1.82520    3.41679e-17    2.15237e-18
      1.82885    3.51483e-17    2.17028e-18
      1.83250    3.04931e-17    2.07481e-18
      1.83613    3.34421e-17    2.12089e-18
      1.83977    3.21629e-17    2.78467e-18
      1.84339    3.02604e-17    3.08376e-18
      1.84701    3.20485e-17    3.21488e-18
      1.85063    3.36832e-17    3.21857e-18
      1.85424    3.65255e-17    2.99215e-18
      1.85784    3.18684e-17    2.52267e-18
      1.86144    3.22453e-17    2.07525e-18
      1.86503    3.65207e-17    2.03311e-18
      1.86862    3.36835e-17    3.27825e-18
      1.87220    4.10284e-17    4.65692e-18
      1.87577    3.43652e-17    4.12107e-18
      1.87934    3.36163e-17    2.71503e-18
      1.88291    3.13471e-17    1.75187e-18
      1.88647    3.35426e-17    1.56638e-18
      1.89002    2.90189e-17    1.58010e-18
      1.89357    3.31424e-17    1.59892e-18
      1.89711    3.16178e-17    2.10909e-18
      1.90065    2.71745e-17    2.08622e-18
      1.90418    3.12840e-17    2.32411e-18
      1.90771    2.80903e-17    2.15911e-18
      1.91123    3.19978e-17    1.93427e-18
      1.91475    3.38518e-17    1.96052e-18
