# SpeX prism spectrum of denis2252-1730 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.773503    1.24993e-19    2.69104e-18
     0.776106    5.43937e-18    3.84051e-18
     0.778727    9.36696e-18    2.51024e-18
     0.781366    2.02280e-17    5.36163e-18
     0.784023    2.46869e-17    5.10324e-18
     0.786699    2.97789e-17    1.20490e-17
     0.789394    2.15051e-17    7.23837e-18
     0.792108    2.12342e-17    8.76292e-18
     0.794841    3.15712e-17    5.68480e-18
     0.797593    4.30261e-17    3.09459e-18
     0.800364    4.10123e-17    7.34388e-18
     0.803155    4.42746e-17    3.93284e-18
     0.805964    4.34097e-17    8.84746e-18
     0.808794    4.94806e-17    9.62855e-18
     0.811643    6.15763e-17    1.11357e-17
     0.814511    7.37002e-17    6.54101e-18
     0.817399    6.98297e-17    9.83650e-18
     0.820306    6.27293e-17    6.12006e-18
     0.823234    8.16127e-17    6.50839e-18
     0.826181    9.03502e-17    2.51801e-18
     0.829147    9.15092e-17    5.04121e-18
     0.832134    9.88460e-17    3.42303e-18
     0.835140    9.03924e-17    6.96240e-18
     0.838166    1.05132e-16    5.42759e-18
     0.841211    1.09728e-16    8.07080e-18
     0.844276    1.10443e-16    2.67658e-18
     0.847361    1.02908e-16    4.75177e-18
     0.850465    1.05216e-16    5.09705e-18
     0.853589    1.13299e-16    1.72232e-18
     0.856733    1.13227e-16    1.83236e-18
     0.859896    9.99953e-17    2.84147e-18
     0.863078    9.19091e-17    5.27120e-18
     0.866280    8.53601e-17    2.70566e-18
     0.869501    8.97903e-17    6.63148e-18
     0.872742    9.71505e-17    4.24119e-18
     0.876001    1.00572e-16    4.99667e-18
     0.879280    1.09228e-16    6.61878e-18
     0.882577    1.21821e-16    7.55418e-18
     0.885893    1.32754e-16    3.54688e-18
     0.889229    1.32523e-16    5.32500e-18
     0.892582    1.35364e-16    4.43626e-18
     0.895955    1.39838e-16    4.97692e-18
     0.899345    1.49949e-16    2.85664e-18
     0.902755    1.63400e-16    2.96015e-18
     0.906182    1.71753e-16    5.45426e-18
     0.909627    1.88658e-16    3.45405e-18
     0.913091    2.04910e-16    4.34935e-18
     0.916572    2.16189e-16    4.29453e-18
     0.920071    2.14793e-16    3.73272e-18
     0.923587    2.20210e-16    4.58120e-18
     0.927121    2.20468e-16    5.56253e-18
     0.930672    2.15844e-16    4.90733e-18
     0.934240    2.33683e-16    3.63227e-18
     0.937825    2.47574e-16    5.18966e-18
     0.941427    2.62761e-16    5.32439e-18
     0.945046    2.78994e-16    8.06704e-18
     0.948681    2.88109e-16    8.21973e-18
     0.952332    2.87436e-16    3.55784e-18
