# SpeX prism spectrum of 2002-0521 obtained 2005 Oct 15 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# ---------------------------------------------------------------------
     0.651283    1.59735e-16    6.06139e-17
     0.653497   -4.40572e-17    2.55704e-17
     0.655699   -1.03308e-17    5.52333e-17
     0.657893   -1.50146e-17    5.02826e-17
     0.660077   -1.29227e-17    4.59910e-17
     0.662254   -4.98379e-18    3.60741e-17
     0.664424   -4.65172e-17    3.25254e-17
     0.666588    2.30595e-17    3.86574e-17
     0.668747    4.64128e-17    4.45472e-17
     0.670902    5.71910e-17    7.21780e-17
     0.673054    4.66149e-17    5.30692e-17
     0.675203    5.02114e-17    1.87561e-17
     0.677351    4.63676e-17    4.21579e-17
     0.679497    2.82787e-17    2.63527e-17
     0.681644   -9.32828e-18    3.29943e-17
     0.683792    8.30426e-17    2.44332e-17
     0.685941    9.32601e-18    3.00972e-17
     0.688092    4.23369e-17    1.10142e-17
     0.690246    4.41520e-17    5.84590e-17
     0.692404    3.26170e-17    4.07837e-17
     0.694566    5.33956e-17    4.54728e-17
     0.696733    2.87241e-17    2.58743e-17
     0.698905    3.05370e-17    2.05448e-17
     0.701083    6.42666e-18    1.85084e-17
     0.703269    8.03032e-18    2.61580e-17
     0.705461    3.82332e-17    1.40036e-17
     0.707662    4.18242e-17    5.94684e-17
     0.709870    2.22813e-17    3.07010e-17
     0.712088    1.04451e-17    2.39067e-17
     0.714315    5.43967e-17    2.64786e-17
     0.716552    4.98935e-17    2.17892e-17
     0.718800   -1.23865e-17    1.22172e-17
     0.721059    3.22406e-17    2.56785e-17
     0.723329    1.49065e-17    1.63224e-17
     0.725610    3.44763e-17    1.42087e-17
     0.727904    5.68389e-17    2.52118e-17
     0.730211    1.72374e-17    1.12187e-17
     0.732531    1.53927e-18    2.33453e-17
     0.734864    1.45000e-17    2.55823e-17
     0.737211   -6.02770e-18    1.12742e-17
     0.739572    1.12370e-17    1.26742e-17
     0.741948   -1.59607e-18    1.30279e-17
     0.744338    6.69728e-18    1.26420e-17
     0.746744    8.34759e-18    8.61913e-18
     0.749165    1.73796e-17    1.60094e-18
     0.751602    2.86193e-17    1.58523e-17
     0.754055    3.29282e-17    1.37986e-17
     0.756524    1.87256e-17    1.37616e-17
     0.759010    8.96245e-18    3.60380e-18
     0.761512   -2.78844e-18    7.33266e-18
     0.764032   -9.87403e-18    5.55123e-18
     0.766569   -3.55351e-18    2.00392e-17
     0.769123   -9.90328e-18    6.49942e-18
     0.771695   -6.53021e-18    1.16298e-17
     0.774285   -1.05094e-17    5.05512e-18
     0.776893   -3.90976e-18    9.14191e-18
     0.779519    1.48161e-17    1.31673e-17
     0.782164    7.07452e-18    2.84128e-18
     0.784827    2.45715e-17    3.54868e-18
     0.787509   -1.26262e-18    8.18628e-18
     0.790210    5.70895e-18    3.53782e-18
     0.792929    1.81574e-17    6.82527e-18
     0.795668    1.07328e-17    4.18540e-18
     0.798426    6.31011e-18    1.24773e-17
     0.801203    1.89965e-17    7.90938e-18
     0.803999    3.04167e-17    8.07528e-18
     0.806815    1.42978e-17    7.51770e-18
     0.809650    3.87118e-17    9.53801e-18
     0.812504    2.69023e-17    5.37616e-18
     0.815379    4.35366e-17    4.22060e-18
     0.818273    3.77329e-17    2.89430e-18
     0.821186    3.44564e-17    7.82044e-18
     0.824119    3.60242e-17    8.93218e-18
     0.827072    4.03063e-17    2.98257e-18
     0.830045    4.01378e-17    5.19286e-18
     0.833037    3.59569e-17    2.53138e-18
     0.836049    3.82565e-17    6.43489e-18
     0.839081    4.88387e-17    2.09237e-18
     0.842132    5.50108e-17    6.56573e-18
     0.845203    5.10360e-17    6.03309e-18
     0.848294    3.80731e-17    1.15505e-17
     0.851404    5.93379e-17    3.51019e-18
     0.854534    5.85537e-17    3.96460e-18
     0.857684    4.22396e-17    6.67627e-18
     0.860852    4.98076e-17    7.02381e-18
     0.864041    3.82157e-17    3.97464e-18
     0.867248    3.46721e-17    7.96007e-18
     0.870475    2.85889e-17    5.25572e-18
     0.873721    4.73391e-17    2.63359e-18
     0.876987    3.32527e-17    2.43060e-18
     0.880271    3.95555e-17    2.76879e-18
     0.883574    4.51268e-17    2.32078e-18
     0.886896    5.15831e-17    3.86602e-18
     0.890237    4.78846e-17    7.01955e-18
     0.893596    5.43966e-17    5.30247e-18
     0.896974    6.01341e-17    9.32153e-18
     0.900370    6.54019e-17    3.72603e-18
     0.903785    6.74628e-17    8.60761e-19
     0.907218    7.67290e-17    4.98796e-18
     0.910669    7.30931e-17    3.47593e-18
     0.914137    7.85511e-17    2.26580e-18
     0.917624    8.40889e-17    4.67928e-18
     0.921128    8.24565e-17    3.03617e-18
     0.924650    8.15462e-17    3.19412e-18
     0.928189    8.08218e-17    2.35050e-18
     0.931745    7.97196e-17    3.55749e-18
     0.935318    8.85918e-17    3.39655e-18
     0.938909    9.16759e-17    2.97791e-18
     0.942516    8.67010e-17    3.46761e-18
     0.946139    1.08890e-16    4.60035e-18
     0.949779    1.09225e-16    7.17153e-18
     0.953435    1.08104e-16    4.44144e-18
     0.957107    1.05743e-16    2.22522e-18
     0.960796    1.04905e-16    2.49010e-18
     0.964500    1.13882e-16    4.08581e-18
     0.968219    1.17931e-16    3.03889e-18
     0.971954    1.27927e-16    2.37199e-18
     0.975704    1.20957e-16    4.61173e-18
     0.979469    1.27049e-16    3.43661e-18
     0.983249    1.31490e-16    4.58068e-18
     0.987043    1.17818e-16    6.61912e-18
     0.990852    1.11191e-16    5.87067e-18
     0.994676    1.05857e-16    4.41116e-18
     0.998513    9.40905e-17    4.93007e-18
      1.00236    9.89784e-17    2.28409e-18
      1.00623    1.13852e-16    2.18227e-18
      1.01011    1.13886e-16    1.91415e-18
      1.01400    1.17578e-16    6.48764e-18
      1.01790    1.19223e-16    3.75710e-18
      1.02182    1.34266e-16    3.03737e-18
      1.02575    1.30115e-16    3.18282e-18
      1.02969    1.31843e-16    4.96552e-18
      1.03365    1.41868e-16    9.18860e-18
      1.03762    1.55631e-16    4.46373e-18
      1.04159    1.52933e-16    1.74396e-18
      1.04559    1.56685e-16    3.81137e-18
      1.04959    1.57537e-16    2.59028e-18
      1.05360    1.64189e-16    3.55495e-18
      1.05762    1.56155e-16    2.71860e-18
      1.06166    1.63643e-16    2.94047e-18
      1.06571    1.67314e-16    1.52157e-18
      1.06976    1.74294e-16    3.15589e-18
      1.07383    1.75050e-16    3.84690e-18
      1.07790    1.83908e-16    4.59232e-18
      1.08199    1.80236e-16    2.78847e-18
      1.08609    1.89040e-16    2.50000e-18
      1.09019    1.91232e-16    5.06577e-18
      1.09430    1.96839e-16    2.50179e-18
      1.09843    1.79863e-16    3.00784e-18
      1.10256    1.89477e-16    2.34062e-18
      1.10670    1.82871e-16    2.88524e-18
      1.11085    1.76496e-16    9.95779e-19
      1.11500    1.83634e-16    2.12933e-18
      1.11917    1.82143e-16    1.02770e-18
      1.12334    1.91004e-16    4.01574e-18
      1.12752    1.80839e-16    3.12396e-18
      1.13171    1.80484e-16    4.49297e-18
      1.13590    1.80522e-16    2.52035e-18
      1.14010    1.75419e-16    2.68425e-18
      1.14431    1.84134e-16    4.51791e-18
      1.14852    1.84776e-16    8.67627e-18
      1.15274    1.96331e-16    5.24147e-18
      1.15697    1.91054e-16    1.61230e-18
      1.16120    1.96238e-16    2.78726e-18
      1.16544    1.87011e-16    3.17125e-18
      1.16968    1.84836e-16    3.81950e-18
      1.17393    1.80721e-16    2.46172e-18
      1.17818    1.85712e-16    2.47088e-18
      1.18244    1.95492e-16    2.37590e-18
      1.18670    1.99729e-16    2.48070e-18
      1.19097    2.03677e-16    2.40069e-18
      1.19524    2.03823e-16    2.68512e-18
      1.19952    1.92963e-16    3.44946e-18
      1.20380    1.96781e-16    2.31960e-18
      1.20808    2.07879e-16    4.93312e-18
      1.21236    2.21973e-16    1.12889e-18
      1.21665    2.21298e-16    1.83687e-18
      1.22095    2.41219e-16    5.55506e-18
      1.22524    2.40938e-16    5.32303e-18
      1.22954    2.48916e-16    2.90527e-18
      1.23384    2.46094e-16    3.11800e-18
      1.23814    2.37366e-16    1.40262e-18
      1.24245    2.35350e-16    2.81854e-18
      1.24676    2.34428e-16    1.10631e-18
      1.25107    2.41083e-16    1.89433e-18
      1.25538    2.54901e-16    3.16969e-18
      1.25969    2.65099e-16    3.85494e-18
      1.26400    2.78169e-16    3.94416e-18
      1.26832    2.80627e-16    5.69327e-18
      1.27263    2.81123e-16    5.56911e-18
      1.27695    2.86404e-16    2.04312e-18
      1.28127    2.71097e-16    5.12031e-18
      1.28558    2.75320e-16    1.96949e-18
      1.28990    2.83615e-16    2.53253e-18
      1.29422    2.87191e-16    1.91790e-18
      1.29854    2.77902e-16    2.95330e-18
      1.30286    2.79828e-16    3.42365e-18
      1.30717    2.79746e-16    1.82787e-18
      1.31149    2.81982e-16    3.26345e-18
      1.31581    2.81869e-16    1.12569e-18
      1.32012    2.80986e-16    1.72811e-18
      1.32444    2.64533e-16    1.56613e-18
      1.32875    2.45699e-16    1.65498e-18
      1.33306    2.02627e-16    1.20369e-18
      1.33738    1.67341e-16    2.07248e-18
      1.34169    1.42008e-16    3.03602e-18
      1.34599    1.37568e-16    3.90775e-18
      1.35030    1.31129e-16    3.62335e-18
      1.35460    1.27740e-16    3.24114e-18
      1.35891    1.31070e-16    3.76343e-18
      1.36321    1.37621e-16    3.91016e-18
      1.36751    1.25886e-16    1.25719e-17
      1.37180    1.40141e-16    6.59257e-18
      1.37609    1.37554e-16    4.86320e-18
      1.38038    1.39245e-16    5.07112e-18
      1.38467    1.46185e-16    5.76476e-18
      1.38896    1.33250e-16    3.88910e-18
      1.39324    1.38399e-16    7.11656e-18
      1.39752    1.26918e-16    5.53611e-18
      1.40179    1.29215e-16    6.50384e-18
      1.40606    1.21723e-16    6.19437e-18
      1.41033    1.18306e-16    4.43344e-18
      1.41460    1.18695e-16    2.20792e-18
      1.41886    1.16289e-16    4.27238e-18
      1.42312    1.09732e-16    3.07574e-18
      1.42737    1.08248e-16    1.04881e-18
      1.43162    1.12041e-16    3.69883e-18
      1.43587    1.17847e-16    3.55833e-18
      1.44011    1.17958e-16    2.83313e-18
      1.44435    1.17747e-16    2.36168e-18
      1.44858    1.15869e-16    2.42237e-18
      1.45281    1.28513e-16    2.84095e-18
      1.45703    1.29904e-16    4.16166e-18
      1.46125    1.35089e-16    1.42020e-18
      1.46547    1.32464e-16    2.80771e-18
      1.46968    1.42487e-16    2.83431e-18
      1.47388    1.42732e-16    6.66034e-18
      1.47808    1.49160e-16    2.34651e-18
      1.48228    1.52235e-16    3.55779e-18
      1.48647    1.40956e-16    4.52200e-18
      1.49065    1.46381e-16    1.93106e-18
      1.49483    1.57281e-16    2.88489e-18
      1.49901    1.56063e-16    1.74980e-18
      1.50318    1.59452e-16    4.62353e-18
      1.50734    1.62633e-16    4.90124e-18
      1.51150    1.70560e-16    3.04959e-18
      1.51565    1.70591e-16    1.43824e-18
      1.51980    1.73908e-16    1.72429e-18
      1.52394    1.79984e-16    1.87173e-18
      1.52808    1.87420e-16    2.85808e-18
      1.53221    1.86697e-16    2.99114e-18
      1.53633    1.96749e-16    4.91440e-18
      1.54045    2.06753e-16    4.18221e-18
      1.54457    2.08229e-16    3.06882e-18
      1.54867    2.13312e-16    1.48191e-18
      1.55277    2.19929e-16    1.95360e-18
      1.55687    2.25286e-16    3.29177e-18
      1.56096    2.31097e-16    1.69134e-18
      1.56504    2.27995e-16    2.17954e-18
      1.56912    2.33785e-16    3.58204e-18
      1.57319    2.45406e-16    3.58540e-18
      1.57725    2.43750e-16    4.67479e-18
      1.58131    2.44432e-16    3.58036e-18
      1.58536    2.42092e-16    1.88030e-18
      1.58941    2.39455e-16    4.06325e-18
      1.59345    2.51333e-16    3.84877e-18
      1.59748    2.56215e-16    2.94124e-18
      1.60151    2.53668e-16    5.68310e-18
      1.60553    2.56325e-16    2.12548e-18
      1.60954    2.50627e-16    3.98649e-18
      1.61355    2.62650e-16    1.88840e-18
      1.61755    2.59160e-16    5.00125e-18
      1.62155    2.71473e-16    6.17934e-18
      1.62553    2.62908e-16    2.39088e-18
      1.62952    2.53989e-16    2.48272e-18
      1.63349    2.64862e-16    1.23016e-18
      1.63746    2.69067e-16    3.75956e-18
      1.64142    2.69786e-16    1.44051e-18
      1.64538    2.72049e-16    2.28933e-18
      1.64933    2.82547e-16    3.37626e-18
      1.65327    2.84696e-16    3.01746e-18
      1.65720    2.78713e-16    2.32263e-18
      1.66113    2.81772e-16    8.94384e-19
      1.66506    2.83340e-16    5.28460e-18
      1.66897    2.78105e-16    1.98585e-18
      1.67288    2.78854e-16    2.36590e-18
      1.67678    2.81269e-16    3.09835e-18
      1.68068    2.86848e-16    2.20265e-18
      1.68457    2.91014e-16    2.68122e-18
      1.68845    2.95157e-16    4.83934e-18
      1.69233    2.83383e-16    1.95155e-18
      1.69620    2.84334e-16    4.31619e-18
      1.70007    2.82174e-16    2.06898e-18
      1.70392    2.81797e-16    2.10696e-18
      1.70777    2.77695e-16    3.13004e-18
      1.71162    2.61857e-16    2.19136e-18
      1.71545    2.61112e-16    3.42558e-18
      1.71929    2.52188e-16    1.86173e-18
      1.72311    2.44389e-16    2.57074e-18
      1.72693    2.39451e-16    4.29587e-18
      1.73074    2.35411e-16    1.16031e-18
      1.73455    2.28694e-16    8.27125e-19
      1.73834    2.26659e-16    2.35340e-18
      1.74214    2.27301e-16    4.32264e-18
      1.74592    2.11301e-16    3.37090e-18
      1.74970    2.09210e-16    1.30382e-18
      1.75348    2.01974e-16    9.97458e-19
      1.75724    2.00441e-16    1.36041e-18
      1.76100    1.92844e-16    2.84718e-18
      1.76476    1.91310e-16    3.42203e-18
      1.76851    1.83560e-16    2.82854e-18
      1.77225    1.74738e-16    1.48082e-18
      1.77598    1.76510e-16    2.05529e-18
      1.77971    1.71587e-16    3.60894e-18
      1.78344    1.62002e-16    2.70144e-18
      1.78715    1.60762e-16    1.61406e-18
      1.79087    1.56438e-16    4.00336e-18
      1.79457    1.62085e-16    2.79562e-18
      1.79827    1.51412e-16    2.18647e-18
      1.80196    1.59992e-16    3.15621e-18
      1.80565    1.50486e-16    3.25771e-18
      1.80933    1.54877e-16    3.22187e-18
      1.81300    1.55447e-16    6.22465e-18
      1.81667    1.52591e-16    2.18016e-18
      1.82034    1.61671e-16    1.74886e-18
      1.82399    1.56785e-16    6.49811e-18
      1.82764    1.61169e-16    4.32964e-18
      1.83129    1.70985e-16    8.57526e-18
      1.83493    1.68913e-16    5.15648e-18
      1.83856    1.57678e-16    3.69737e-18
      1.84219    1.48446e-16    6.96463e-18
      1.84581    1.44826e-16    1.10663e-17
      1.84943    1.26877e-16    1.15394e-17
      1.85304    1.66412e-16    6.00564e-18
      1.85664    1.38495e-16    6.10678e-18
      1.86024    1.45567e-16    4.90692e-18
      1.86384    1.30134e-16    4.51356e-18
      1.86743    1.32767e-16    6.50489e-18
      1.87101    1.29282e-16    8.77668e-18
      1.87459    1.54647e-16    9.76916e-18
      1.87816    1.46690e-16    5.90110e-18
      1.88172    1.31656e-16    3.37666e-18
      1.88529    1.51415e-16    3.74355e-18
      1.88884    1.43881e-16    3.70643e-18
      1.89239    1.51545e-16    4.53251e-18
      1.89594    1.57408e-16    4.19282e-18
      1.89948    1.56268e-16    3.45293e-18
      1.90301    1.64055e-16    5.81569e-18
      1.90654    1.75775e-16    3.16992e-18
      1.91006    1.65413e-16    4.78659e-18
      1.91358    1.64895e-16    4.74580e-18
      1.91709    1.69242e-16    6.42378e-18
      1.92060    1.62030e-16    4.73766e-18
      1.92411    1.55789e-16    5.65428e-18
      1.92760    1.54313e-16    4.91987e-18
      1.93110    1.45044e-16    3.68326e-18
      1.93458    1.41068e-16    2.91762e-18
      1.93807    1.40354e-16    1.52236e-18
      1.94155    1.38586e-16    1.64373e-18
      1.94502    1.41757e-16    1.72379e-18
      1.94849    1.42379e-16    2.28438e-18
      1.95195    1.43558e-16    2.17857e-18
      1.95541    1.45239e-16    2.49903e-18
      1.95886    1.40702e-16    2.94539e-18
      1.96231    1.35730e-16    3.55210e-18
      1.96575    1.34200e-16    4.39657e-18
      1.96919    1.39984e-16    2.64454e-18
      1.97262    1.38422e-16    1.79782e-18
      1.97605    1.39341e-16    3.99866e-18
      1.97948    1.37959e-16    1.91394e-18
      1.98290    1.41111e-16    1.78282e-18
      1.98631    1.36803e-16    1.29494e-18
      1.98972    1.35467e-16    1.41156e-18
      1.99313    1.37632e-16    1.47690e-18
      1.99653    1.37533e-16    2.79416e-18
      1.99992    1.48174e-16    4.56385e-18
      2.00331    1.41676e-16    1.00492e-17
      2.00670    1.49828e-16    2.68776e-18
      2.01008    1.45824e-16    3.13277e-18
      2.01346    1.44331e-16    2.20169e-18
      2.01683    1.54504e-16    2.71981e-18
      2.02020    1.51158e-16    3.13422e-18
      2.02356    1.53176e-16    2.98437e-18
      2.02692    1.49307e-16    1.68225e-18
      2.03027    1.54244e-16    4.04167e-18
      2.03362    1.54567e-16    2.65639e-18
      2.03697    1.56203e-16    2.53624e-18
      2.04031    1.60370e-16    4.16747e-18
      2.04365    1.51667e-16    3.79341e-18
      2.04698    1.63639e-16    2.34781e-18
      2.05030    1.61544e-16    2.09214e-18
      2.05363    1.71511e-16    3.08695e-18
      2.05694    1.71778e-16    4.53284e-18
      2.06026    1.70644e-16    2.57218e-18
      2.06357    1.76464e-16    1.09998e-18
      2.06687    1.74287e-16    3.27176e-18
      2.07017    1.74252e-16    1.89719e-18
      2.07347    1.80660e-16    1.40245e-18
      2.07676    1.75153e-16    3.11872e-18
      2.08004    1.79920e-16    1.01847e-18
      2.08332    1.81107e-16    1.83170e-18
      2.08660    1.80432e-16    1.18857e-18
      2.08987    1.84938e-16    1.80228e-18
      2.09314    1.86501e-16    3.43694e-18
      2.09641    1.89491e-16    2.39796e-18
      2.09966    1.88054e-16    1.52897e-18
      2.10292    1.91970e-16    1.55025e-18
      2.10617    1.91460e-16    2.59961e-18
      2.10941    1.91737e-16    8.38537e-19
      2.11265    1.91933e-16    2.00451e-18
      2.11589    1.96021e-16    3.76855e-18
      2.11912    1.98448e-16    2.51576e-18
      2.12235    1.95807e-16    2.73379e-18
      2.12557    1.92098e-16    1.92788e-18
      2.12879    1.92447e-16    1.67604e-18
      2.13200    1.99020e-16    2.18174e-18
      2.13521    2.01616e-16    1.53683e-18
      2.13842    1.98191e-16    2.13086e-18
      2.14162    2.01624e-16    2.04002e-18
      2.14481    2.04558e-16    1.72116e-18
      2.14800    2.01658e-16    2.24445e-18
      2.15119    2.06262e-16    2.12841e-18
      2.15437    2.02361e-16    2.48885e-18
      2.15754    1.98874e-16    1.54311e-18
      2.16072    2.01456e-16    1.97853e-18
      2.16388    2.05305e-16    8.91267e-19
      2.16704    2.05797e-16    1.58382e-18
      2.17020    2.05968e-16    2.71102e-18
      2.17335    2.04112e-16    1.80054e-18
      2.17650    2.07245e-16    4.46270e-18
      2.17964    2.01697e-16    1.32425e-18
      2.18278    2.03248e-16    1.49271e-18
      2.18591    2.03000e-16    2.56698e-18
      2.18904    1.97835e-16    1.72941e-18
      2.19217    1.97633e-16    3.25142e-18
      2.19528    2.05864e-16    2.73559e-18
      2.19840    1.98784e-16    3.34194e-18
      2.20151    2.00322e-16    1.94217e-18
      2.20461    1.96775e-16    2.42000e-18
      2.20771    1.98300e-16    2.51928e-18
      2.21080    2.03608e-16    2.52857e-18
      2.21389    2.01568e-16    1.32341e-18
      2.21698    1.96839e-16    1.89676e-18
      2.22006    1.97054e-16    2.92199e-18
      2.22313    1.96130e-16    2.06037e-18
      2.22620    1.96885e-16    2.84102e-18
      2.22926    1.93740e-16    1.66142e-18
      2.23232    1.93960e-16    1.57347e-18
      2.23538    1.95386e-16    1.96121e-18
      2.23842    1.97583e-16    2.21283e-18
      2.24147    1.95060e-16    1.90988e-18
      2.24451    1.95019e-16    2.55772e-18
      2.24754    1.91958e-16    2.48782e-18
      2.25057    1.93032e-16    2.94166e-18
      2.25359    1.97085e-16    2.31399e-18
      2.25661    1.97996e-16    2.08532e-18
      2.25962    1.94574e-16    2.59381e-18
      2.26263    1.89908e-16    3.53931e-18
      2.26563    1.88900e-16    3.59244e-18
      2.26863    1.91571e-16    2.98806e-18
      2.27162    1.88872e-16    2.24015e-18
