# SpeX prism spectrum of itg2 from Muench et al. 2007
# Lambda	Flux
0.65259502	0.34090921
0.65480200	0.31191850
0.65699902	0.22464080
0.65918701	0.097543947
0.66136602	0.18727180
0.66353901	0.11446850
0.66570498	0.10447480
0.66786602	0.077055633
0.67002300	0.13462991
0.67217598	0.20559090
0.67432598	0.18489520
0.67647402	0.045935500
0.67862100	0.11182960
0.68076802	0.036107618
0.68291499	0.046819609
0.68506401	0.068038337
0.68721401	0.22744390
0.68936699	0.089280963
0.69152300	0.20426400
0.69368301	0.26051751
0.69584800	0.29014820
0.69801802	0.26733100
0.70019399	0.35708499
0.70237598	0.36689499
0.70456499	0.28105071
0.70676201	0.26830909
0.70896802	0.20035130
0.71118198	0.23743570
0.71340498	0.17636460
0.71563799	0.17629360
0.71788101	0.16942599
0.72013501	0.21334420
0.72240098	0.22459380
0.72467798	0.22348230
0.72696699	0.34308809
0.72926802	0.39580089
0.73158198	0.47106099
0.73391001	0.47854531
0.73625098	0.54336548
0.73860601	0.56559807
0.74097598	0.57890588
0.74336099	0.65712011
0.74576001	0.72953469
0.74817500	0.73200512
0.75060498	0.76102281
0.75305098	0.73044223
0.75551401	0.74179178
0.75799302	0.71601939
0.76048901	0.63892430
0.76300098	0.51797980
0.76553101	0.45298451
0.76807798	0.39135239
0.77064302	0.36972901
0.77322598	0.35681000
0.77582700	0.38517720
0.77844502	0.39169231
0.78108301	0.41761059
0.78373799	0.44209561
0.78641201	0.44024110
0.78910498	0.49295419
0.79181699	0.49516001
0.79454800	0.50996631
0.79729800	0.56070977
0.80006699	0.62772721
0.80285498	0.70196623
0.80566299	0.78918362
0.80848999	0.89899713
0.81133701	0.96799880
0.81420298	1.0198810
0.81708901	1.0630111
0.81999502	1.0618980
0.82292002	1.0360570
0.82586504	0.99692577
0.82882900	0.95988882
0.83181299	0.92207903
0.83481699	0.88440239
0.83784102	0.81982470
0.84088398	0.75300521
0.84394697	0.69226629
0.84702998	0.63657069
0.85013203	0.61494148
0.85325400	0.60557961
0.85639600	0.65289682
0.85955703	0.70282221
0.86273701	0.74305719
0.86593701	0.81252080
0.86915596	0.86161852
0.87239404	0.92820638
0.87565195	1.0101460
0.87892803	1.0418360
0.88222402	1.0545540
0.88553799	1.0592710
0.88887100	1.0857010
0.89222305	1.0874540
0.89559297	1.0921290
0.89898203	1.1561480
0.90238896	1.2370270
0.90581504	1.2924960
0.90925801	1.3466170
0.91271904	1.3992400
0.91619902	1.3918030
0.91969600	1.3597020
0.92320996	1.3299390
0.92674199	1.2747420
0.93029199	1.2201910
0.93385801	1.1918440
0.93744102	1.2112070
0.94104102	1.2511570
0.94465801	1.3059500
0.94829102	1.3406169
0.95194102	1.3605320
0.95560703	1.3940470
0.95928799	1.4099520
0.96298604	1.4191520
0.96669902	1.4332210
0.97042803	1.4542290
0.97417197	1.4529470
0.97792998	1.4665440
0.98170400	1.4637240
0.98549297	1.4492970
0.98929600	1.4625490
0.99311299	1.4732291
0.99694502	1.4686790
1.0007900	1.4762160
1.0046500	1.4853669
1.0085200	1.5072190
1.0124100	1.5164490
1.0163100	1.5400670
1.0202200	1.5511640
1.0241500	1.5574610
1.0280800	1.5686769
1.0320300	1.5840271
1.0360000	1.5938320
1.0399700	1.6031170
1.0439600	1.5959030
1.0479500	1.5873570
1.0519600	1.5803790
1.0559800	1.5678400
1.0600100	1.5693440
1.0640500	1.5832210
1.0681000	1.6179390
1.0721700	1.6380920
1.0762400	1.6699630
1.0803200	1.6859380
1.0844100	1.7066790
1.0885100	1.6770270
1.0926200	1.6481030
1.0967400	1.6178809
1.1008700	1.5999340
1.1050100	1.5836819
1.1091500	1.5812780
1.1133100	1.5694200
1.1174700	1.5738540
1.1216400	1.5760280
1.1258100	1.5746790
1.1300000	1.5728210
1.1341900	1.5711941
1.1383900	1.5635720
1.1425900	1.5618460
1.1468000	1.5641180
1.1510200	1.5800000
1.1552400	1.5808160
1.1594700	1.5842431
1.1637100	1.5817430
1.1679500	1.5678190
1.1721900	1.5512650
1.1764500	1.5414420
1.1807000	1.5299170
1.1849600	1.5255311
1.1892300	1.5064840
1.1935000	1.5057360
1.1977700	1.5029290
1.2020500	1.5051880
1.2063300	1.5036319
1.2106100	1.5238180
1.2149000	1.5314910
1.2191900	1.5449460
1.2234900	1.5412840
1.2277900	1.5399390
1.2320900	1.5212311
1.2363900	1.5143059
1.2406900	1.5062910
1.2450000	1.4987921
1.2493100	1.4938840
1.2536200	1.5016980
1.2579300	1.5013140
1.2622400	1.5176580
1.2665600	1.5222380
1.2708700	1.5414510
1.2751900	1.5261550
1.2795000	1.5173180
1.2838200	1.5045900
1.2881400	1.5023830
1.2924600	1.5101140
1.2967800	1.5225151
1.3010900	1.5115330
1.3054100	1.5085320
1.3097300	1.5012310
1.3140500	1.4966609
1.3183600	1.4754560
1.3226800	1.4383860
1.3269900	1.3828580
1.3313000	1.3242290
1.3356200	1.2483150
1.3399300	1.1949780
1.3442400	1.1425090
1.3485400	1.1241300
1.3528500	1.1116720
1.3571500	1.1120600
1.3614500	1.0985240
1.3657500	1.0983130
1.3700500	1.0977581
1.3743400	1.1014390
1.3786300	1.1044900
1.3829200	1.0883861
1.3872100	1.0640210
1.3914900	1.0452501
1.3957700	1.0345210
1.4000500	1.0090441
1.4043200	0.97742748
1.4085900	0.96305698
1.4128600	0.95057869
1.4171200	0.93330568
1.4213800	0.91613698
1.4256400	0.91062671
1.4298900	0.90296978
1.4341300	0.90386242
1.4383800	0.90108907
1.4426200	0.90706259
1.4468500	0.90371859
1.4510800	0.90886319
1.4553100	0.89857900
1.4595300	0.89139408
1.4637500	0.88305289
1.4679600	0.87713373
1.4721700	0.86221153
1.4763700	0.86913592
1.4805700	0.86672890
1.4847600	0.87467492
1.4889500	0.86929321
1.4931300	0.87686670
1.4973100	0.87322319
1.5014800	0.88286650
1.5056400	0.88102198
1.5098000	0.88466299
1.5139600	0.88593751
1.5181100	0.89354718
1.5222500	0.89214778
1.5263900	0.89611018
1.5305200	0.89545262
1.5346500	0.89557952
1.5387700	0.89187568
1.5428900	0.90278238
1.5470000	0.89671028
1.5511000	0.90177250
1.5552000	0.90409642
1.5592900	0.91359901
1.5633800	0.90836132
1.5674600	0.91860771
1.5715300	0.92236477
1.5756000	0.93238652
1.5796600	0.93845922
1.5837100	0.93901598
1.5877600	0.93585283
1.5918000	0.94786012
1.5958400	0.94760603
1.5998700	0.96497041
1.6038900	0.96197033
1.6079100	0.95701838
1.6119200	0.95576358
1.6159200	0.96027333
1.6199200	0.96031791
1.6239100	0.97175717
1.6278900	0.97331452
1.6318700	0.98237401
1.6358400	0.97978783
1.6398100	0.98723012
1.6437600	0.98483878
1.6477199	0.99734288
1.6516600	1.0014790
1.6556000	1.0113750
1.6595301	1.0113950
1.6634600	1.0153180
1.6673699	1.0142050
1.6712900	1.0167040
1.6751900	1.0077170
1.6790900	1.0027280
1.6829801	0.99654949
1.6868699	1.0013680
1.6907500	0.99066520
1.6946199	0.98867422
1.6984900	0.97816592
1.7023500	0.97493672
1.7062000	0.94972688
1.7100500	0.94207847
1.7138900	0.91610289
1.7177199	0.90439701
1.7215500	0.88697010
1.7253699	0.88156831
1.7291900	0.86095113
1.7329900	0.85287821
1.7367900	0.83944470
1.7405900	0.82815969
1.7443801	0.81435990
1.7481600	0.80577928
1.7519400	0.79094702
1.7557100	0.77963531
1.7594699	0.76088858
1.7632301	0.75035542
1.7669801	0.73801368
1.7707199	0.72753942
1.7744600	0.71075797
1.7781900	0.70020902
1.7819199	0.68563598
1.7856400	0.67762458
1.7893500	0.67155141
1.7930600	0.66362518
1.7967600	0.65657741
1.8004600	0.65202188
1.8041400	0.64034033
1.8078301	0.63902462
1.8115000	0.63240010
1.8151801	0.63228291
1.8188400	0.63489491
1.8225000	0.63339871
1.8261500	0.63061810
1.8298000	0.62936258
1.8334400	0.63236529
1.8370801	0.62279332
1.8407100	0.60764700
1.8443301	0.59946787
1.8479500	0.59078342
1.8515699	0.57858598
1.8551699	0.56418532
1.8587801	0.55938911
1.8623699	0.55281848
1.8659600	0.54978710
1.8695500	0.55173969
1.8731301	0.54719150
1.8767000	0.53896981
1.8802699	0.55282992
1.8838301	0.55007261
1.8873900	0.55617452
1.8909400	0.55194980
1.8944900	0.55042398
1.8980301	0.55555671
1.9015699	0.55684417
1.9051000	0.55665749
1.9086301	0.55966288
1.9121500	0.56342518
1.9156600	0.55453241
1.9191699	0.54706252
1.9226801	0.54714388
1.9261801	0.54319578
1.9296699	0.53645021
1.9331600	0.53243399
1.9366500	0.53084028
1.9401301	0.52425838
1.9436000	0.52092969
1.9470699	0.51634067
1.9505400	0.51660192
1.9540000	0.51588058
1.9574500	0.51449537
1.9609000	0.51496941
1.9643500	0.51932019
1.9677900	0.51160198
1.9712199	0.50300229
1.9746500	0.49265280
1.9780801	0.48554841
1.9815000	0.47352549
1.9849199	0.46941701
1.9883301	0.47101599
1.9917400	0.46944651
1.9951400	0.47502640
1.9985400	0.48046181
2.0019301	0.48264861
2.0053199	0.47782460
2.0087000	0.47855541
2.0120801	0.48564881
2.0154500	0.48303130
2.0188199	0.47375971
2.0221900	0.47021669
2.0255500	0.46844250
2.0289100	0.46262261
2.0322600	0.46033171
2.0356000	0.45633751
2.0389500	0.45747441
2.0422801	0.45272031
2.0456199	0.45471650
2.0489500	0.45529130
2.0522699	0.46010101
2.0555900	0.45234030
2.0589100	0.45156741
2.0622199	0.45399639
2.0655199	0.45359591
2.0688199	0.45138970
2.0721199	0.45084029
2.0754100	0.44929901
2.0787000	0.44842049
2.0819801	0.44824511
2.0852600	0.44944209
2.0885400	0.44888249
2.0918100	0.44880301
2.0950699	0.44899589
2.0983301	0.44983310
2.1015900	0.44724321
2.1048400	0.44780529
2.1080900	0.45131019
2.1113301	0.45111999
2.1145699	0.45195040
2.1178000	0.45124790
2.1210301	0.45172670
2.1242600	0.45147759
2.1274801	0.45266780
2.1306900	0.45298260
2.1339000	0.45154721
2.1371100	0.45566931
2.1403100	0.45616150
2.1435100	0.45488131
2.1467000	0.45612451
2.1498900	0.45807740
2.1530699	0.45761761
2.1562500	0.45728371
2.1594199	0.45820531
2.1625900	0.46356431
2.1657500	0.46334431
2.1689100	0.46516109
2.1720699	0.46365049
2.1752199	0.46166521
2.1783600	0.45865440
2.1815000	0.45992279
2.1846400	0.46012339
2.1877699	0.46373719
2.1908900	0.46426880
2.1940100	0.46532971
2.1971301	0.46672419
2.2002400	0.46648470
2.2033400	0.46253091
2.2064500	0.46088171
2.2095400	0.46026281
2.2126301	0.46155849
2.2157199	0.46371701
2.2188000	0.46675709
2.2218801	0.46518371
2.2249500	0.46763861
2.2280100	0.46726251
2.2310699	0.47042379
2.2341301	0.47038069
2.2371801	0.46986309
2.2402301	0.47036871
2.2432699	0.47224170
2.2463000	0.47127029
2.2493301	0.47317109
2.2523600	0.46992111
2.2553801	0.46910271
2.2583900	0.46590811
2.2614000	0.46603510
2.2644100	0.46058869
2.2674100	0.46148029
2.2704000	0.45919621
2.2733900	0.46380439
2.2763699	0.46441001
2.2793500	0.46204731
2.2823199	0.46247539
2.2852900	0.46015021
2.2882500	0.45038509
2.2912100	0.44846010
2.2941699	0.43834630
2.2971100	0.42944300
2.3000600	0.41980839
2.3029900	0.41776630
2.3059199	0.42440251
2.3088500	0.42521399
2.3117699	0.42022511
2.3146900	0.41770059
2.3176000	0.41664669
2.3205100	0.40644529
2.3234100	0.39824009
2.3263000	0.39490339
2.3292000	0.38965869
2.3320801	0.38728970
2.3349600	0.38948989
2.3378400	0.38626751
2.3407100	0.38905811
2.3435801	0.38725489
2.3464400	0.38352561
2.3493000	0.38141930
2.3521500	0.37210250
2.3550000	0.36732581
2.3578400	0.36031860
2.3606801	0.36248630
2.3635100	0.36270729
2.3663400	0.36602440
2.3691699	0.36997601
2.3719900	0.36622339
2.3748000	0.36166951
2.3776100	0.35680181
2.3804199	0.35211951
2.3832301	0.34538570
2.3860301	0.33648601
2.3888199	0.33346909
2.3916199	0.33477050
2.3944100	0.33532351
2.3971900	0.33357680
2.3999699	0.33020550
2.4027500	0.32422519
2.4055301	0.31937301
2.4083000	0.31390509
2.4110699	0.30604970
2.4138400	0.30412671
2.4166000	0.30159160
2.4193600	0.29566589
2.4221199	0.29530889
2.4248801	0.29632220
2.4276301	0.29073879
2.4303900	0.28932589
2.4331400	0.28839359
2.4358900	0.28670630
2.4386400	0.27925810
2.4413801	0.27764449
2.4441301	0.27709571
2.4468699	0.27048850
