# sdss 03:51:05.90 48:10:48.6 T1 +/- 1.5 Chiu et al. 2006
# IRTF Spex 2005-01-21
#XAXIS   = 'Wavelength'         /                                                
#YAXIS   = 'Flux    '           /                                                
#XUNITS  = 'Microns '           /                                                
#YUNITS  = 'W m-2 um-1'         /                                                
      1.40377    1.78534e-16    3.22393e-17
      1.40804    1.82480e-16    1.51616e-16
      1.41230    2.16442e-16    7.84298e-17
      1.41657    2.71953e-16    1.11829e-16
      1.42083    2.01231e-16    3.24522e-17
      1.42508    2.32263e-16    3.39418e-17
      1.42934    2.24231e-16    7.76646e-17
      1.43358    2.72496e-16    2.79852e-17
      1.43783    2.13009e-16    2.56006e-17
      1.44207    3.47701e-16    7.96475e-17
      1.44630    2.53460e-16    4.16723e-17
      1.45053    2.64399e-16    3.37838e-17
      1.45476    2.64130e-16    1.80380e-17
      1.45898    2.78443e-16    8.92718e-17
      1.46320    3.28260e-16    8.00733e-17
      1.46741    2.96336e-16    4.42025e-17
      1.47162    2.70742e-16    4.92132e-18
      1.47582    3.13488e-16    3.47176e-17
      1.48002    3.25472e-16    1.83541e-17
      1.48421    3.22130e-16    1.39553e-16
      1.48840    2.57246e-16    3.54483e-17
      1.49259    3.40972e-16    2.24597e-17
      1.49676    3.72350e-16    1.35707e-18
      1.50094    3.26933e-16    4.64601e-17
      1.50510    3.64850e-16    3.55498e-18
      1.50926    3.72427e-16    2.55090e-18
      1.51342    4.02463e-16    4.02363e-17
      1.51757    4.36289e-16    6.43688e-17
      1.52172    4.43409e-16    2.25196e-17
      1.52585    4.78584e-16    9.18199e-17
      1.52999    5.38616e-16    5.40955e-17
      1.53412    5.03244e-16    7.77912e-18
      1.53824    5.15559e-16    4.51933e-17
      1.54235    5.48354e-16    1.76977e-17
      1.54646    5.51756e-16    3.02542e-17
      1.55057    5.43203e-16    3.64848e-17
      1.55467    5.86889e-16    3.20135e-17
      1.55876    5.56533e-16    4.72968e-18
      1.56285    5.42565e-16    1.95555e-18
      1.56693    6.10502e-16    9.57209e-17
      1.57100    6.19655e-16    5.46308e-17
      1.57507    6.59333e-16    1.83143e-17
      1.57913    6.57592e-16    3.87708e-17
      1.58319    6.15878e-16    4.08056e-17
      1.58723    6.34121e-16    6.40142e-18
      1.59128    6.37040e-16    4.77322e-17
      1.59531    6.58408e-16    2.16054e-17
      1.59934    5.89016e-16    5.30658e-17
      1.60337    5.69813e-16    1.60260e-17
      1.60738    5.45981e-16    3.09542e-17
      1.61140    5.70673e-16    8.79711e-17
      1.61540    5.59090e-16    2.59247e-17
      1.61940    5.04560e-16    9.59451e-17
      1.62339    5.09970e-16    6.04267e-17
      1.62737    4.70913e-16    9.19086e-17
      1.63135    4.92997e-16    5.48212e-17
      1.63533    4.89426e-16    8.51530e-18
      1.63929    5.26811e-16    1.74604e-18
      1.64325    4.93220e-16    5.34061e-17
      1.64720    4.87617e-16    3.49068e-18
      1.65115    5.15694e-16    9.03453e-17
      1.65509    5.37531e-16    2.60852e-18
      1.65902    5.20464e-16        0.00000
      1.66295    5.35766e-16    3.43921e-17
      1.66687    4.74222e-16    1.41482e-17
      1.67078    4.21141e-16    2.64957e-17
      1.67469    4.07914e-16    3.12669e-18
      1.67859    5.22027e-16    1.75498e-18
      1.68248    5.18324e-16    8.51965e-17
      1.68637    4.47973e-16    3.53225e-17
      1.69025    4.80096e-16    1.51485e-17
      1.69412    4.42378e-16    4.28648e-17
      1.69799    4.89214e-16    4.73403e-17
      1.70185    4.54966e-16    1.77365e-17
      1.70570    4.86925e-16    1.19592e-17
      1.70955    4.78098e-16    2.39623e-17
      1.71339    4.71042e-16    4.82450e-17
      1.71723    4.57876e-16    8.49788e-19
      1.72105    4.29508e-16    9.71942e-17
      1.72488    4.53432e-16    1.46320e-17
      1.72869    4.83535e-16    3.47950e-17
      1.73250    4.66779e-16    1.04985e-17
      1.73630    4.37116e-16    2.01227e-17
      1.74010    4.16545e-16    4.29026e-17
      1.74389    3.52141e-16    2.23284e-17
      1.74767    3.91911e-16    2.05094e-18
      1.75145    3.85668e-16    1.60520e-18
      1.75522    3.90293e-16    1.26771e-17
      1.75898    3.47790e-16    1.36957e-18
      1.76274    3.08009e-16    2.72929e-18
      1.76649    3.41469e-16    9.26438e-18
      1.77024    2.77337e-16    3.24807e-17
      1.77398    3.33350e-16    4.44616e-18
      1.77771    3.00733e-16    4.49589e-17
      1.78143    3.10379e-16    7.06484e-18
      1.78516    3.30843e-16    2.63461e-17
      1.78887    2.57837e-16    1.00955e-18
      1.79258    2.90325e-16    1.82824e-17
      1.79628    2.87158e-16    3.34793e-17
      1.79998    2.25525e-16    5.86956e-17
      1.80367    2.47107e-16    1.64205e-17
      1.80735    2.42288e-16    3.80979e-17
      1.81103    3.14463e-16    4.36401e-17
      1.81470    2.53377e-16    4.59421e-17
      1.81837    2.63645e-16    4.67017e-17
      1.82203    4.22866e-16    7.57630e-17
      1.82568    2.94478e-16    3.34158e-17
      1.82933    2.08385e-16    1.29130e-16
      1.83297    2.50573e-16    2.12344e-17
      1.83661    3.04505e-16    3.37505e-16
      1.84024    2.23904e-16    6.95960e-17
      1.84386    3.08884e-16    7.12548e-17
      1.84748    1.65562e-16    8.75785e-17
      1.85110    3.54428e-16    7.32316e-17
      1.85471    1.50684e-16    1.10833e-16
      1.85831    2.28528e-16    1.58260e-16
      1.86191    1.92647e-16    7.32564e-17
      1.86550    1.93049e-16    2.55497e-17
      1.86908    8.57542e-17    2.60822e-16
      1.87266    2.84547e-16    2.00325e-16
      1.87624    2.25673e-16    8.34340e-17
      1.87981    1.63789e-16    8.04428e-17
      1.88337    2.83926e-16    4.96499e-17
      1.88693    2.48443e-16    6.75666e-17
      1.89048    2.97560e-16    7.55916e-17
      1.89403    3.63473e-16    4.41866e-17
      1.89757    3.14457e-16    8.39749e-17
      1.90111    3.52822e-16    4.35327e-17
      1.90464    2.95250e-16    1.28148e-16
      1.90817    3.28564e-16    5.45588e-17
      1.91169    3.33830e-16    5.34326e-17
      1.91521    3.44818e-16    6.17889e-17
      1.91872    2.70182e-16    4.52965e-17
      1.92222    2.24330e-16    4.67398e-17
      1.92572    3.71769e-16    8.69282e-17
      1.92922    1.27901e-16    1.00091e-16
      1.93271    2.76515e-16    9.12354e-17
      1.93619    2.57718e-16    5.64373e-17
      1.93967    2.80023e-16    4.02574e-17
      1.94315    2.47549e-16    3.99453e-17
      1.94662    2.61868e-16    3.53245e-17
      1.95009    2.77556e-16    6.39121e-17
      1.95355    2.18153e-16    4.13223e-17
