# sdss 13:58:52.84 37:47:09.4  T4.5+/-1 Chiu et al. 2006
# IRTF Spex 2005-04-08
#XUNITS  = 'Microns '           /
#YUNITS  = 'W m-2 um-1'         /
# fluxed by UFTI JHK, good match after
# revising K photometry
#
1.28509 1.369732e-15 9.57959e-17
1.28941 1.3143416e-15 2.90079e-17
1.29372 1.280812e-15 4.86314e-17
1.29804 1.2663352e-15 5.92781e-17
1.30236 1.2203256e-15 3.62267e-18
1.30668 1.1457264e-15 5.94093e-18
1.311 1.087788e-15 2.78123e-17
1.31531 1.0909496e-15 2.29744e-17
1.31963 9.7370936e-16 8.87357e-18
1.32394 8.2920552e-16 2.71532e-19
1.32826 6.0448544e-16 6.07804e-18
1.33257 4.01232e-16 1.74017e-18
1.33688 2.0702864e-16 3.99045e-18
1.34119 9.7908512e-17 7.08814e-18
1.3455 7.6048336e-17 5.9579e-18
1.34981 8.2615416e-17 3.69109e-17
1.35411 6.7033928e-17 2.04187e-17
1.35841 4.3639856e-17 5.9853e-17
1.36271 2.4926616e-17 2.24398e-18
1.36701 2.5701416e-17 3.32019e-17
1.37131 3.424772e-17 2.19239e-17
1.3756 4.2483168e-17 2.02406e-17
1.37989 8.9190712e-17 1.7819e-18
1.38418 3.3060768e-17 7.62488e-18
1.38847 3.2996496e-17 6.50956e-18
1.39275 6.6854216e-17 4.21456e-17
1.39703 1.0938408e-16 4.26802e-17
1.4013 4.0088776e-17 4.63676e-17
1.40557 4.5343584e-17 2.63149e-17
1.40984 3.0741568e-17 2.03086e-17
1.41411 1.2574744e-17 6.19291e-18
1.41837 3.2049576e-17 2.91243e-17
1.42263 5.4270528e-17 2.95704e-17
1.42688 6.6914016e-17 4.22166e-17
1.43113 5.5585088e-17 9.92531e-18
1.43538 6.4737504e-17 4.21144e-19
1.43962 4.3775992e-17 2.05833e-17
1.44386 1.049828e-16 1.33898e-17
1.44809 8.2901936e-17 3.64433e-17
1.45232 1.1115e-16 3.18969e-17
1.45655 1.416688e-16 1.39823e-18
1.46077 9.9349432e-17 2.76238e-17
1.46498 1.205464e-16 9.52267e-18
1.46919 1.0707008e-16 2.45657e-17
1.4734 1.4392976e-16 4.34871e-18
1.4776 1.4699256e-16 1.6917e-17
1.4818 1.4863368e-16 4.53096e-17
1.48599 1.236352e-16 7.01232e-18
1.49017 2.0579208e-16 5.53495e-19
1.49435 2.2196616e-16 1.84128e-17
1.49853 2.2425104e-16 2.11131e-17
1.5027 2.0322952e-16 7.847e-18
1.50686 2.099344e-16 1.80763e-17
1.51102 2.9831984e-16 5.53744e-17
1.51518 2.7970072e-16 8.30521e-18
1.51933 3.0778904e-16 8.9151e-18
1.52347 3.4861944e-16 1.61883e-17
1.52761 4.0670968e-16 1.13453e-17
1.53174 4.3354272e-16 1.55928e-17
1.53586 4.2961048e-16 4.3917e-17
1.53998 4.1346448e-16 6.05674e-17
1.5441 4.9749544e-16 3.64705e-18
1.5482 5.3124656e-16 2.84576e-17
1.5523 5.5495232e-16 4.87906e-17
1.5564 5.736692e-16 9.0946e-18
1.56049 5.5684824e-16 6.38521e-17
1.56457 6.0438976e-16 9.04818e-18
1.56865 6.2583352e-16 1.8026e-17
1.57272 6.5136656e-16 2.46044e-17
1.57679 6.5314496e-16 3.14105e-17
1.58085 5.888324e-16 1.62159e-17
1.5849 6.934824e-16 1.48338e-17
1.58895 6.1098544e-16 1.50928e-17
1.59299 6.3045944e-16 1.46172e-17
1.59702 6.222372e-16 2.04239e-17
1.60105 5.8077448e-16 6.12331e-17
1.60507 5.0624184e-16 1.81569e-17
1.60908 4.495348e-16 3.63195e-17
1.61309 3.31916e-16 1.5786e-17
1.61709 3.1047744e-16 3.81288e-17
1.62109 2.7751048e-16 2.0529e-18
1.62508 2.7870232e-16 2.87911e-18
1.62906 2.6100152e-16 2.60364e-17
1.63304 2.4643216e-16 1.08629e-17
1.637 2.2010664e-16 6.88751e-18
1.64097 2.4855168e-16 2.34716e-17
1.64492 2.0949552e-16 3.85911e-17
1.64887 2.6988416e-16 3.21276e-18
1.65282 2.7907256e-16 1.75622e-17
1.65675 2.6336752e-16 8.36614e-18
1.66068 2.4146824e-16 1.53589e-17
1.66461 2.3187216e-16 6.82607e-18
1.66852 1.51866e-16 3.69582e-17
1.67243 1.7263792e-16 3.3477e-19
1.67634 1.9706024e-16 1.34775e-17
1.68023 1.8764304e-16 1.01814e-17
1.68413 2.4779664e-16 7.74896e-18
1.68801 2.2007232e-16 2.17173e-17
1.69189 2.1754304e-16 3.63374e-17
1.69576 2.5070448e-16 1.58835e-17
1.69962 2.2386624e-16 4.22146e-17
1.70348 1.6185936e-16 1.98358e-17
1.70733 2.0971496e-16 3.85851e-17
1.71118 1.9780176e-16 3.28029e-19
1.71501 2.1505952e-16 1.12676e-17
1.71885 2.1707712e-16 1.73609e-17
1.72267 2.090608e-16 2.94254e-18
1.72649 2.1637928e-16 2.20606e-17
1.7303 2.0324096e-16 9.30125e-18
1.73411 1.9691568e-16 1.6453e-17
1.73791 1.4872624e-16 2.37694e-17
1.7417 1.8912192e-16 2.4813e-18
1.74549 1.9621472e-16 3.69979e-18
1.74927 1.6035032e-16 6.31591e-18
1.75304 1.365728e-16 1.5335e-17
1.75681 1.3566072e-16 2.12017e-17
1.76057 1.3329472e-16 7.80522e-18
1.76433 9.097608e-17 6.44042e-18
1.76808 1.413828e-16 2.33822e-17
1.77182 1.345604e-16 1.59682e-17
1.77556 7.072e-17 1.46009e-17
1.77929 8.9359712e-17 5.1237e-18
1.78301 9.163232e-17 1.40725e-17
1.78673 7.669428e-17 1.83909e-17
1.79044 8.3288296e-17 9.58956e-18
1.79415 9.4115216e-17 1.51749e-18
1.79784 4.692792e-17 5.29676e-18
1.80154 7.0280808e-17 1.71923e-17
1.80523 4.7527896e-17 5.57069e-18
1.80891 6.0116368e-17 3.25399e-17
1.81258 4.1536664e-17 1.18062e-17
1.81625 4.39452e-17 2.75949e-17
1.81992 9.1800072e-17 6.14176e-18
1.82357 9.2514656e-17 2.51877e-17
1.82723 1.27712e-16 2.26986e-17
1.83087 1.432028e-16 2.52265e-17
1.83451 8.8718552e-17 4.51947e-17
1.83815 1.8805904e-17 2.65999e-17
1.84177 6.95188e-17 3.14791e-17
1.8454 3.734744e-17 3.67115e-18
1.84901 1.1515504e-16 5.36181e-17
1.85263 6.4610208e-17 7.08139e-18
1.85623 7.6999312e-17 7.16546e-18
1.85983 7.4391408e-17 1.40473e-17
1.86343 4.5632808e-17 4.95634e-18
1.86702 6.1021064e-17 1.39684e-17
1.8706 7.2040072e-17 2.01172e-17
1.87418 3.2514872e-17 4.72429e-18
1.87775 9.4514368e-17 2.72329e-17
1.88132 1.0441288e-16 1.77563e-17
1.88488 1.1237928e-16 2.09329e-17
1.88843 7.841496e-17 2.0656e-18
1.89198 8.7018776e-17 1.87789e-17
1.89553 1.1737232e-16 4.40828e-17
1.89907 9.0458472e-17 1.59215e-17
1.9026 8.2993768e-17 1.86973e-17
1.90613 7.1788808e-17 1.46901e-17
1.90966 1.0473112e-16 5.91602e-18
1.91318 9.449388e-17 1.17763e-17
1.91669 7.6369592e-17 8.28788e-18
1.9202 6.6647776e-17 2.69655e-17
1.9237 9.8121816e-17 6.15659e-18
1.9272 8.9022752e-17 2.20887e-17
