# SpeX prism spectrum of 0438+2553 obtained 2005 Dec 31 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.649715    5.25878e-17    3.24716e-17
     0.651937   -9.99540e-18    2.49139e-17
     0.654147    7.08880e-17    2.30784e-17
     0.656347   -8.19194e-18    2.00000e-17
     0.658537    1.22899e-17    1.89284e-17
     0.660719    2.92326e-17    1.75168e-17
     0.662894   -9.97361e-18    1.77695e-17
     0.665062    1.10741e-17    1.75402e-17
     0.667225    2.19816e-17    1.77951e-17
     0.669382    2.98862e-17    1.66837e-17
     0.671536    3.62299e-17    1.69428e-17
     0.673687    5.83594e-17    1.55630e-17
     0.675836    3.13904e-17    1.58207e-17
     0.677983    3.56638e-17    1.44284e-17
     0.680130    4.26238e-17    1.47374e-17
     0.682277    2.98915e-17    1.31669e-17
     0.684425    4.35477e-17    1.36700e-17
     0.686575    5.58731e-17    1.27272e-17
     0.688727    1.00022e-17    1.26541e-17
     0.690882    3.48071e-17    1.13488e-17
     0.693041    2.45511e-17    1.09326e-17
     0.695204    5.71677e-17    1.02456e-17
     0.697372    2.59820e-17    9.71290e-18
     0.699546    1.80275e-17    8.52477e-18
     0.701727    2.75892e-17    8.34935e-18
     0.703914    3.49100e-17    7.46225e-18
     0.706109    4.92491e-18    6.70172e-18
     0.708312    2.80952e-17    5.48160e-18
     0.710523    1.12161e-17    4.72645e-18
     0.712743    1.25986e-17    3.50513e-18
     0.714974    4.99144e-18    2.14221e-18
     0.717214   -1.77691e-20        0.00000
     0.719465   -1.53329e-19        0.00000
     0.721726    7.51358e-21    4.80865e-19
     0.724000   -1.44913e-17    2.03295e-18
     0.726285   -3.72460e-18    2.64274e-18
     0.728583   -3.08274e-18    3.19017e-18
     0.730893   -8.06227e-18    3.34338e-18
     0.733217   -1.09543e-17    3.64190e-18
     0.735554    2.41988e-18    3.58847e-18
     0.737905   -2.87947e-19    3.86398e-18
     0.740270   -3.02983e-18    3.70153e-18
     0.742650    6.91096e-18    3.77576e-18
     0.745045   -1.18266e-17    3.56188e-18
     0.747456   -3.24150e-18    3.52683e-18
     0.749881   -1.12877e-17    3.12761e-18
     0.752323    1.71028e-18    1.34481e-18
     0.754781    1.86507e-17    2.92749e-18
     0.757255    2.92743e-18    3.56952e-18
     0.759745   -4.73135e-18    4.32359e-18
     0.762253   -4.74534e-18    4.63590e-18
     0.764778   -7.85399e-18    4.44511e-18
     0.767320   -1.03253e-17    3.92821e-18
     0.769879   -7.75067e-18    3.31559e-18
     0.772457   -1.39093e-17    3.19495e-18
     0.775052   -6.88239e-18    2.96790e-18
     0.777665   -4.03147e-18    2.92099e-18
     0.780297    1.08085e-18    2.72990e-18
     0.782947    5.28872e-18    2.77065e-18
     0.785616    2.21321e-18    2.65080e-18
     0.788303    1.14374e-17    2.60248e-18
