# SpeX prism spectrum of 2m1821+1414 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.649571    3.82445e-16    1.54439e-16
     0.651793    1.90563e-16    4.87070e-17
     0.654004    2.63432e-16    1.41687e-16
     0.656205    1.88038e-17    7.67120e-17
     0.658396    1.75341e-16    1.00174e-16
     0.660579    1.57211e-16    6.51403e-17
     0.662754    2.03978e-16    1.25622e-16
     0.664922    1.25502e-16    7.12625e-17
     0.667085    1.48025e-16    8.75503e-17
     0.669243    8.41256e-17    3.16098e-17
     0.671397    8.04536e-17    3.83821e-17
     0.673548    1.04093e-16    4.91925e-17
     0.675697    1.45457e-16    3.85833e-17
     0.677844    1.16153e-16    5.52173e-17
     0.679991    7.86404e-17    3.18983e-17
     0.682138    4.50005e-17    2.32846e-17
     0.684286    1.05171e-16    1.14953e-17
     0.686436    9.07464e-17    6.28889e-17
     0.688587    4.50409e-17    9.72739e-17
     0.690742    4.70857e-17    1.95280e-17
     0.692901    9.62248e-17    3.58625e-17
     0.695064    7.77486e-17    4.69474e-17
     0.697232    6.33697e-17    3.03131e-17
     0.699406    4.52381e-17    7.11780e-17
     0.701586    7.67607e-17    5.44562e-18
     0.703772    4.55966e-17    3.10993e-17
     0.705967    6.48031e-17    1.42315e-17
     0.708169    8.59598e-17    8.92624e-18
     0.710380    8.51743e-17    1.49563e-17
     0.712600    7.24355e-17    1.23679e-17
     0.714829    5.46129e-17    3.23702e-17
     0.717069    8.61849e-17    4.59431e-17
     0.719319    7.79433e-17    3.48707e-17
     0.721580    6.45639e-17    2.72364e-17
     0.723852    7.60011e-17    1.67458e-17
     0.726137    1.01746e-16    1.19959e-17
     0.728434    6.88643e-17    1.12435e-17
     0.730743    7.59180e-17    6.82179e-18
     0.733066    7.84166e-17    4.43186e-18
     0.735402    9.70587e-17    1.08580e-17
     0.737753    5.45232e-17    7.41700e-18
     0.740117    8.14979e-17    2.05070e-18
     0.742496    4.14990e-17    2.56034e-17
     0.744890    5.35597e-17    1.15939e-18
     0.747299    7.86675e-17    7.62734e-18
     0.749724    5.11743e-17    6.22073e-18
     0.752164    4.63803e-17    5.60818e-18
     0.754621    3.74587e-17    8.20581e-18
     0.757094    3.60742e-17    6.40575e-18
     0.759584    3.85358e-17    2.62335e-18
     0.762090    1.09731e-17    6.82479e-18
     0.764614    2.27425e-18    6.11485e-18
     0.767155   -3.36208e-18    1.18181e-17
     0.769713    2.60147e-17    2.92046e-18
     0.772289    1.41616e-17    4.62877e-18
     0.774884    3.05480e-17    5.77712e-18
     0.777496    3.70363e-17    4.14355e-18
     0.780126    3.92996e-17    9.57130e-18
     0.782775    6.69141e-17    4.61534e-18
     0.785443    6.10807e-17    8.43498e-18
     0.788129    7.82154e-17    3.18221e-18
     0.790834    7.78538e-17    4.29762e-18
     0.793558    1.03713e-16    5.63877e-18
     0.796301    1.23663e-16    1.51537e-18
     0.799063    1.17258e-16    4.77405e-18
     0.801844    1.30822e-16    2.59563e-18
     0.804645    1.57457e-16    4.03586e-18
     0.807465    1.67288e-16    2.16224e-18
     0.810305    1.85288e-16    6.58058e-18
