# SpeX prism spectrum of LSPM0330+3504B obtained 2005 Dec 31 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.649211    3.23757e-17    2.42219e-17
     0.651436    4.39966e-17    1.92287e-17
     0.653648    4.74390e-17    1.85115e-17
     0.655850    2.28627e-17    1.59209e-17
     0.658043    1.83636e-17    1.55582e-17
     0.660227    1.14372e-17    1.39968e-17
     0.662403    1.97567e-17    1.50316e-17
     0.664573    5.60715e-17    1.48325e-17
     0.666736    1.52764e-17    1.45385e-17
     0.668895    3.15554e-17    1.36734e-17
     0.671050    3.36337e-17    1.36157e-17
     0.673201    2.15807e-17    1.29607e-17
     0.675350    2.10763e-17    1.27694e-17
     0.677498    5.68424e-18    1.21229e-17
     0.679645    3.27414e-17    1.18812e-17
     0.681792   -1.04010e-17    1.10678e-17
     0.683939   -3.76031e-18    1.21405e-17
     0.686089    2.73786e-17    1.09947e-17
     0.688240    4.08615e-18    1.13317e-17
     0.690394    2.16654e-17    1.02378e-17
     0.692552    1.86488e-17    9.46461e-18
     0.694715    2.15721e-17    9.08964e-18
     0.696882    9.73057e-18    8.80017e-18
     0.699054   -3.18885e-18    8.00970e-18
     0.701233    1.11059e-17    8.03752e-18
     0.703419    2.73564e-17    7.32944e-18
     0.705612    1.54469e-17    7.40052e-18
     0.707813    1.33814e-17    6.79823e-18
     0.710022    2.45732e-17    6.53594e-18
     0.712241    1.74778e-17    6.28541e-18
     0.714469    3.23608e-18    6.43709e-18
     0.716707    1.84184e-17    5.65449e-18
     0.718955    2.19575e-17    5.82928e-18
     0.721214    7.09043e-18    5.43786e-18
     0.723485    2.30381e-17    5.89513e-18
     0.725767    1.73509e-17    5.09688e-18
     0.728062    2.29271e-17    5.23953e-18
     0.730370    2.71125e-17    4.79879e-18
     0.732691    1.21631e-17    4.89868e-18
     0.735025    1.55765e-17    4.35654e-18
     0.737373    1.37658e-17    4.57252e-18
     0.739735    1.34817e-17    4.18713e-18
     0.742111    2.36746e-17    4.28569e-18
     0.744503    1.66821e-17    3.96573e-18
     0.746909    2.52876e-17    4.00852e-18
     0.749332    2.12937e-17    3.62367e-18
     0.751770    1.50514e-17    3.77164e-18
     0.754224    2.40746e-17    3.58404e-18
     0.756694    2.03794e-17    3.97188e-18
     0.759181    1.80095e-17    3.99800e-18
     0.761685    1.10207e-17    4.40778e-18
     0.764206    1.03320e-17    4.01775e-18
     0.766744   -2.07285e-18    3.67645e-18
     0.769299    6.50915e-18    3.19714e-18
     0.771873    3.32668e-18    3.20935e-18
     0.774464    7.51825e-18    2.94684e-18
     0.777073    1.11083e-17    3.10816e-18
     0.779701    6.49629e-18    2.81346e-18
     0.782347    1.44554e-17    2.89457e-18
     0.785011    1.39904e-17    2.76809e-18
     0.787694    1.89880e-17    2.80874e-18
     0.790396    1.85842e-17    2.69889e-18
     0.793117    1.67244e-17    2.72512e-18
     0.795857    2.39715e-17    2.60119e-18
     0.798616    2.47579e-17    2.70955e-18
     0.801394    2.60156e-17    2.54769e-18
     0.804192    2.77081e-17    2.58783e-18
     0.807009    2.70274e-17    2.42146e-18
     0.809845    2.40317e-17    2.44156e-18
     0.812701    2.25314e-17    2.22545e-18
     0.815577    1.54098e-17    2.30812e-18
     0.818472    2.39730e-17    2.19226e-18
     0.821387    2.18742e-17    2.24979e-18
     0.824322    2.09830e-17    2.14788e-18
     0.827276    1.99904e-17    2.23784e-18
     0.830250    2.11616e-17    2.18520e-18
     0.833243    2.68262e-17    2.20417e-18
     0.836257    2.08396e-17    2.10130e-18
     0.839290    1.88285e-17    2.21940e-18
     0.842343    2.17241e-17    2.02404e-18
     0.845415    1.92028e-17    2.10389e-18
     0.848507    2.12605e-17    1.90875e-18
     0.851619    1.66047e-17    1.87513e-18
     0.854750    1.98344e-17    1.69230e-18
     0.857901    2.04419e-17    1.72894e-18
     0.861071    1.82040e-17    1.65626e-18
     0.864261    2.38611e-17    1.74393e-18
     0.867470    1.82425e-17    1.62360e-18
     0.870698    2.04277e-17    1.71819e-18
     0.873945    2.07615e-17    1.72204e-18
     0.877212    2.74628e-17    1.83434e-18
     0.880497    2.49201e-17    1.79101e-18
     0.883802    2.30818e-17    1.80946e-18
     0.887125    2.68870e-17    1.78323e-18
     0.890467    2.95981e-17    1.80567e-18
     0.893828    2.77461e-17    1.81596e-18
