mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	Ml	Mm	metallicity	cloud	y	l_mix
0.7	0.00101	3862	3.639	-0.06	6.52	5.82	4.48	3.02	2.32	2.2	2.16	2.42	0	nc	0.282	1.9
0.7	0.00114	3861	3.668	-0.09	6.58	5.87	4.54	3.09	2.39	2.28	2.23	2.49	0	nc	0.282	1.9
0.7	0.00128	3859	3.696	-0.12	6.65	5.93	4.61	3.17	2.47	2.35	2.3	2.56	0	nc	0.282	1.9
0.7	0.00143	3857	3.725	-0.15	6.71	5.99	4.68	3.25	2.54	2.42	2.37	2.63	0	nc	0.282	1.9
0.7	0.0016	3856	3.754	-0.18	6.78	6.05	4.75	3.32	2.62	2.5	2.45	2.7	0	nc	0.282	1.9
0.7	0.00179	3853	3.782	-0.21	6.84	6.11	4.82	3.4	2.69	2.57	2.52	2.77	0	nc	0.282	1.9
0.7	0.00203	3849	3.815	-0.24	6.92	6.18	4.9	3.49	2.78	2.66	2.61	2.85	0	nc	0.282	1.9
0.7	0.00226	3846	3.843	-0.27	6.99	6.24	4.97	3.57	2.85	2.73	2.68	2.92	0	nc	0.282	1.9
0.7	0.00252	3842	3.871	-0.3	7.06	6.3	5.04	3.65	2.93	2.81	2.75	2.99	0	nc	0.282	1.9
0.7	0.00285	3837	3.903	-0.34	7.14	6.38	5.13	3.74	3.02	2.89	2.84	3.08	0	nc	0.282	1.9
0.7	0.00317	3834	3.932	-0.37	7.21	6.44	5.2	3.81	3.09	2.97	2.91	3.15	0	nc	0.282	1.9
0.7	0.00358	3827	3.964	-0.4	7.3	6.51	5.28	3.9	3.18	3.05	3	3.23	0	nc	0.282	1.9
0.7	0.00405	3821	3.997	-0.44	7.38	6.59	5.37	4	3.27	3.14	3.08	3.31	0	nc	0.282	1.9
0.7	0.00449	3821	4.025	-0.47	7.44	6.65	5.43	4.07	3.34	3.21	3.15	3.38	0	nc	0.282	1.9
0.7	0.00507	3821	4.057	-0.5	7.51	6.71	5.5	4.15	3.43	3.3	3.23	3.46	0	nc	0.282	1.9
0.7	0.00571	3820	4.09	-0.53	7.58	6.78	5.58	4.24	3.52	3.39	3.32	3.54	0	nc	0.282	1.9
0.7	0.00632	3819	4.118	-0.56	7.64	6.83	5.64	4.31	3.6	3.46	3.39	3.61	0	nc	0.282	1.9
0.7	0.00713	3818	4.15	-0.59	7.71	6.9	5.72	4.4	3.69	3.55	3.47	3.69	0	nc	0.282	1.9
0.7	0.00804	3815	4.182	-0.63	7.78	6.97	5.8	4.48	3.78	3.64	3.56	3.76	0	nc	0.282	1.9
