0.5801,2.2308,0.5661
0.58024,1.3722,0.7023
0.58037,1.9518,0.3237
0.58051,1.4163,0.9134
0.58064,2.0488,0.4949
0.58078,1.4516,0.5156
0.58091,2.0618,0.5346
0.58105,2.7915,0.4066
0.58118,2.034,0.8905
0.58132,2.4319,0.3517
0.58145,2.5908,0.341
0.58159,2.4525,0.4479
0.58172,2.1221,0.4085
0.58186,3.1116,0.0905
0.582,2.3981,0.2933
0.58213,2.542,0.2038
0.58227,3.3486,0.4056
0.5824,3.0383,0.5481
0.58254,2.2246,0.3852
0.58267,1.9269,0.382
0.58281,2.5928,0.6646
0.58294,2.9951,0.4227
0.58308,2.0166,0.5196
0.58321,0,0.4584
0.58335,1.7216,0.414
0.58349,3.4638,0.4713
0.58362,1.1953,0.2873
0.58376,1.1866,0.3663
0.58389,1.6068,0.3171
0.58403,1.7404,0.0798
0.58416,0,0.4295
0.5843,2.6028,0.4117
0.58444,1.9473,0.6921
0.58457,0.7376,0.7001
0.58471,1.7311,0.1745
0.58485,1.4898,0.6474
0.58498,1.4933,0.667
0.58512,2.9766,0.5449
0.58525,2.9858,0.3227
0.58539,1.0133,0.4246
0.58552,0.9737,0.5812
0.58566,3.6515,0.2968
0.5858,4.1263,0.4573
0.58593,4.7944,0.3965
0.58607,3.3432,0.3222
0.58621,2.4973,0.4682
0.58634,1.1943,0.5172
0.58648,2.1862,0.5783
0.58662,3.9407,0.7298
0.58675,2.7213,0.3787
0.58689,2.1699,0.2757
0.58702,1.8893,0.2154
0.58716,2.2501,0.1525
0.5873,2.6529,0.3965
0.58744,1.5805,0.2427
0.58757,2.364,0.2805
0.58771,1.938,0.332
0.58785,2.9299,0.3239
0.58798,2.6753,0.4643
0.58812,2.1799,0.4111
0.58825,3.3399,0.4374
0.58839,2.7379,0.172
0.58853,2.6102,0.2638
0.58867,2.4934,0.1621
0.5888,2.1308,0.3927
0.58894,2.1351,0.186
0.58908,2.3907,0.1566
0.58921,2.1638,0.1674
0.58935,2.839,0.2807
0.58949,2.4042,0.2857
0.58962,2.0061,0.267
0.58976,1.1668,0.137
0.5899,1.3619,0.3535
0.59004,1.9824,0.1895
0.59017,2.0507,0.2737
0.59031,2.6955,0.2954
0.59045,1.8391,0.2292
0.59059,3.2544,0.2552
0.59072,2.6429,0.2391
0.59086,2.4293,0.1401
0.591,2.6892,0.1674
0.59114,2.5463,0.1675
0.59127,2.1509,0.1073
0.59141,1.8716,0.1468
0.59155,1.3892,0.1176
0.59169,2.9034,0.2357
0.59182,3.0244,0.147
0.59196,2.7606,0.0895
0.5921,2.1618,0.1745
0.59224,0.7181,0.2196
0.59237,1.7865,0.4267
0.59251,3.007,0.3194
0.59265,1.7621,0.2436
0.59279,2.3318,0.1532
