SOURCE_KEY	NAME	RA	DEC	SDSS_RA	SDSS_RA_E	SDSS_DEC	SDSS_DEC_E	SDSS_DESIGNATION	SDSS_EPOCH	SDSS_R	SDSS_R_UNC	SDSS_I	SDSS_I_UNC	SDSS_Z	SDSS_Z_UNC	2MASS_RA	2MASS_RA_E	2MASS_DEC	2MASS_DEC_E	2MASS_DESIGNATION	2MASS_EPOCH	2MASS_J	2MASS_J_UNC	2MASS_H	2MASS_H_UNC	2MASS_KS	2MASS_KS_UNC	WISE_RA	WISE_RA_E	WISE_DEC	WISE_DEC_E	WISE_DESIGNATION	WISE_EPOCH	WISE_W1	WISE_W1_UNC	WISE_W2	WISE_W2_UNC	UKIDSS_RA	UKIDSS_RA_E	UKIDSS_DEC	UKIDSS_DEC_E	UKIDSS_DESIGNATION	UKIDSS_EPOCH	UKIDSS_Y	UKIDSS_Y_UNC	UKIDSS_J	UKIDSS_J_UNC	UKIDSS_H	UKIDSS_H_UNC	UKIDSS_K	UKIDSS_K_UNC
10001	SDSS J000013.54+255418.6	0.056416664	25.904999																			15.063	0.041	14.731	0.074	14.836	0.12																								
10002	2MASS J0000286-124515	0.11945834	-12.75425																			13.2	0.026	12.445	0.023	11.973	0.023																								
10003	SDSS J000112.18+153535.5	0.30075002	15.593194																			15.522	0.062	14.505	0.053	13.71	0.044																								
10004	2MASS J00013044+1010146	0.37683335	10.170723																			15.826	0.077	15.132	0.1	15.205	0.154																								
10005	WISE J000131.93-084126.9	0.38304168	-8.6905556																			15.71	0.05	15.71	0.05	15.71	0.05																								
10006	SDSS J00015431-09430070	0.47629172	-9.7168608																			14.791	0.036	14.168	0.041	13.817	0.056																								
10007	SDSS J00015458-09425809	0.47741666	-9.7161112																			14.022	0.041	13.441	0.045	13.143	0.045																								
10008	SDSS J000250.98+245413.8	0.71237504	24.903915																			17.165	0.224	16.06	0.191	15.656	0.217																								
10009	2MASS J00034248-2822449	0.92699999	-28.379139																			13.068	0.024	12.376	0.028	11.972	0.025																								
10010	LHS 102B	1.1451666	-40.734943																			13.109	0.024	12.055	0.026	11.396	0.026																								
10011	LHS 102A	1.1517501	-40.733891																			8.601	0.021	8.043	0.031	7.737	0.04																								
10012	NLTT 184	1.4382085	7.3950834																			14.812	0.035	14.345	0.063	14.031	0.063																								
10013	LEHPM 1-162	1.4486667	-21.954889																			13.274	0.025	12.617	0.024	12.201	0.03																								
10014	2MASSI J0006205-172051	1.5854167	-17.347389																			15.662	0.065	14.646	0.059	14.01	0.052																								
10015	WISE J000622.67-131955.2	1.5944583	-13.331944																			16.67	0.13	15.55	0.11	15.12	0.13																								
10016	SDSS J000632.60+140606.4	1.6358334	14.101778																			15.849	0.062	15.302	0.074	15.06	0.147																								
10017	SDSS J000646.81+151225.8	1.6950417	15.207167																			16.22	0.09	15.25	0.08	14.81	0.12																								
10018	SDSS J000649.16-085246.3	1.7048334	-8.879528																			14.143	0.03	13.551	0.028	13.132	0.039																								
10019	2MASS J0007078-245804	1.7827917	-24.967834																			13.115	0.024	12.447	0.024	12.06	0.023																								
10020	LEHPM 1-204	1.8509166	-31.476389																			16.31	0.097	15.47	0.127	15.516	0.223																								
10021	2MASS J00085931+2911521	2.2471251	29.197805																			13.827	0.024	13.127	0.026	12.69	0.026																								
10022	2MASS J00100009-2031122	2.500375	-20.520056																			14.134	0.024	13.368	0.03	12.882	0.03																								
10023	2MASS J0011094+514923	2.7891667	51.823055																			16.678	0.141	15.513	0.121	14.648	0.085																								
10024	LHS 1035	2.9253335	-20.953585																			13.348	0.024	12.848	0.025	12.515	0.026																								
