SOURCE_KEY	NAME	RA	DEC	SDSS_RA	SDSS_RA_E	SDSS_DEC	SDSS_DEC_E	SDSS_DESIGNATION	SDSS_EPOCH	SDSS_R	SDSS_R_UNC	SDSS_I	SDSS_I_UNC	SDSS_Z	SDSS_Z_UNC	2MASS_RA	2MASS_RA_E	2MASS_DEC	2MASS_DEC_E	2MASS_DESIGNATION	2MASS_EPOCH	2MASS_J	2MASS_J_UNC	2MASS_H	2MASS_H_UNC	2MASS_KS	2MASS_KS_UNC	WISE_RA	WISE_RA_E	WISE_DEC	WISE_DEC_E	WISE_DESIGNATION	WISE_EPOCH	WISE_W1	WISE_W1_UNC	WISE_W2	WISE_W2_UNC	UKIDSS_RA	UKIDSS_RA_E	UKIDSS_DEC	UKIDSS_DEC_E	UKIDSS_DESIGNATION	UKIDSS_EPOCH	UKIDSS_Y	UKIDSS_Y_UNC	UKIDSS_J	UKIDSS_J_UNC	UKIDSS_H	UKIDSS_H_UNC	UKIDSS_K	UKIDSS_K_UNC
10025	2MASS J00115060-1523450	2.9608333	-15.395833																			15.94	0.08	15.71	0.14	15.31	0.14																								
10026	2MASSI J0013578-223520	3.4907918	-22.58889																			15.775	0.065	14.595	0.062	14.036	0.051																								
10027	WISE J001450.14-083823.1	3.7089167	-8.6397219																			14.47	0.03	13.95	0.03	13.77	0.04																								
10028	2MASS J00145575-4844171	3.7322917	-48.738083																			14.05	0.035	13.107	0.036	12.723	0.03																								
10029	2MASS J00150206+2959323	3.7585835	29.992306																			16.158	0.081	15.226	0.084	14.482	0.073																								
10030	2MASSW J0015447+351603	3.9364998	35.267387																			13.878	0.03	12.892	0.036	12.264	0.024																								
10031	SDSS J001608.44-004302.3	4.0351253	-0.71722221																			16.326	0.116	15.229	0.112	14.541	0.09																								
10032	2MASS J00163761+3448368	4.1567087	34.810223																			14.784	0.036	14.157	0.043	13.783	0.037																								
10033	SDSS J001637.62-103911.2	4.1567502	-10.653111																			15.455	0.052	14.78	0.069	14.533	0.096																								
10034	2MASS J00165953-4056541	4.2480421	-40.94836																			15.316	0.061	14.206	0.048	13.432	0.038																								
10035	LSPM J0018+2853	4.5271668	28.890528																			16.195	0.084	15.623	0.11	15.492	0.195																								
10036	SDSS J001911.65+003017.8	4.7985415	0.50488889																			14.921	0.037	14.18	0.041	13.568	0.034																								
10037	2MASS J00193927-3724392	4.9136248	-37.410889																			15.519	0.06	14.47	0.04	13.689	0.058																								
10038	2MASS J0019457+521317	4.9404168	52.22139																			12.792	0.023	12.072	0.024	11.622	0.019																								
10039	DENIS-P J0020.9-4414	5.2492504	-44.242779																			14.9	0.039	14.2	0.041	13.714	0.055																								
10040	LEHPM 1-494B	5.2745419	-42.745361																			13.521	0.025	12.809	0.025	12.304	0.025																								
10041	SDSS J00220934-0110397	5.5389166	-1.1776944																			15.82	0.07	15.09	0.08	14.7	0.1																								
10042	2MASS J00234750-3239250	5.9479165	-32.656944																			12.619	0.022	11.961	0.024	11.632	0.023																								
10043	BRI 0021-0214	6.1047502	-1.9712778																			11.992	0.035	11.084	0.022	10.539	0.023																								
10044	2MASS J00250365+4759191AB	6.2652078	47.98864																			14.84	0.038	13.667	0.031	12.902	0.057																								
10045	LHS 1074	6.4632082	-7.8019171																			14.684	0.043	14.231	0.042	13.879	0.058																								
10046	LHS 1075	6.5016665	-19.314165																			12.54	0.024	11.918	0.026	11.587	0.027																								
10047	2MASS J00264045+0632151	6.6685414	6.5377498																			14.572	0.033	13.752	0.035	13.22	0.038																								
10048	LEHPM 1-606	6.7937083	-18.218973																			13.448	0.022	12.847	0.025	12.427	0.025																								
10049	PC 0025+04	6.9248748	5.0615835																			16.189	0.093	15.288	0.099	14.964	0.116																								
10050	LP 349-25A	6.9829168	22.325556																			10.614	0.022	9.967	0.023	9.569	0.017																								
10051	2MASS J0028208+224905	7.0866666	22.818056																			15.607	0.072	14.468	0.053	13.781	0.063																								
10052	2MASSI J0028394+150141	7.1642914	15.028277																			16.507	0.109	15.256	0.088	14.556	0.074																								
10053	2MASS J00285545-1927165	7.2310414	-19.454584																			14.191	0.029	13.331	0.03	12.845	0.03																								
10054	2MASSW J0030300-145033	7.6255417	-14.842583																			16.278	0.111	15.273	0.1	14.481	0.1																								
10055	2MASSW J0030438+313932	7.6826663	31.658916																			15.48	0.054	14.617	0.057	14.027	0.048																								
10056	WISE J003110.04+574936.3	7.7918334	57.826748																			14.95	0.04	13.78	0.04	13.22	0.03																								
10057	SIPS J0031-3840	7.8302083	-38.676556																			14.101	0.032	13.399	0.023	12.924	0.034																								
10058	2MASS J00320509+0219017	8.0212088	2.3171389																			14.324	0.026	13.386	0.024	12.802	0.032																								
10059	2MASSI J0032431-223727	8.1795006	-22.624222																			15.388	0.049	14.512	0.047	13.962	0.051																								
10060	EROS-MP J0032-4405	8.232667	-44.084942																			14.776	0.035	13.857	0.034	13.269	0.036																								
10061	SDSSp J003259.36+141036.6	8.2473755	14.176972																			16.83	0.169	15.648	0.142	14.946	0.109																								
10062	2MASS J00332386-1521309	8.3494167	-15.358583																			15.286	0.056	14.208	0.051	13.41	0.039																								
10063	2MASS J00335534-0908247	8.4805832	-9.1401939																			15.958	0.095	15.001	0.108	15.243	0.175																								
10064	2MASS J00345157+0523050	8.7148752	5.3847222																			15.535	0.045	15.443	0.082	16.243																									
10065	2MASSI J0034568-070601	8.7368336	-7.1003609																			15.531	0.06	14.566	0.042	13.942	0.065																								
10066	LSPM J0035+3934	8.9650412	39.579609																			15.027	0.039	14.663	0.054	14.323	0.063																								
10067	SDSS J003609.26+241343.3	9.0385418	24.228724																			17.033	0.203	16.108	0.205	15.657	0.195																								
10068	2MASSW J0036159+182110	9.0673752	18.35289																			12.466	0.027	11.588	0.029	11.058	0.021																								
10069	SDSS J003843.99+134339.5	9.6832085	13.727638																			15.908	0.069	15.203	0.073	14.758	0.102																								
10070	HD 3651B	9.8295822	21.254444																			16.16	0.03	16.68	0.04	16.87	0.05																								
10071	WISE J004024.88+090054.8	10.103666	9.0152225																			16.5	0.12	16.54	0.27	15.74																									
10072	2MASS J00412179+3547133	10.340792	35.787025																			15.935	0.086	15.728	0.155	15.166	0.123																								
10073	SDSS J004154.54+134135.5	10.477208	13.693084																			14.454	0.034	13.673	0.037	13.236	0.025																								
10074	LHS 1135	10.880583	20.908777																			13.954	0.027	13.44	0.029	13.146	0.043																								
10075	2MASS J00451330+1228538	11.305416	12.48161																			15.891	0.076	15.116	0.074	14.522	0.061																								
10076	2MASSW J0045214+163445	11.339292	16.579056																			13.059	0.022	12.059	0.035	11.366	0.021																								
10077	WISE J004542.56+361139.1	11.427334	36.194195																			16.15	0.08	16.04	0.15	15.8	0.2																								
10078	2MASS J00464841+0715177	11.701708	7.2549167																			13.885	0.028	13.178	0.035	12.546	0.026																								
10079	WISEP J004701.06+680352.1	11.754417	68.064476																			15.6	0.07	13.97	0.04	13.05	0.03																								
10080	WISE J004928.48+044059.9	12.36775	4.6826386																			15.854	0.067	14.674	0.068	14.17	0.066																								
10081	WISE J004945.61+215120.0	12.440042	21.855556																			16.72	0.16	16.51		15.86																									
10082	2MASS J00501994-3322402	12.583083	-33.377831																			15.928	0.07	15.838	0.191	15.241	0.185																								
10083	SIPS J0050-1538	12.601833	-15.638444																			13.779	0.023	13.077	0.026	12.647	0.027																								
10084	2MASSW J0051107-154417	12.794916	-15.738028																			15.277	0.05	14.164	0.048	13.466	0.039																								
10085	2MASS J00521232+0012172	13.051333	0.20477778																			16.361	0.108	15.561	0.134	15.457	0.157																								
10086	NLTT 2914	13.203584	17.212057																			15.785	0.068	15.314	0.104	15.134	0.116																								
10087	2MASS J00531899-3631102	13.329125	-36.519501																			14.445	0.026	13.48	0.031	12.937	0.029																								
10088	SDSSp J005406.55-003101.8	13.52725	-0.51716667																			15.731	0.053	14.891	0.053	14.38	0.074																								
10089	2MASS J00550460-3052000	13.769167	-30.866667																			13.028	0.023	12.28	0.024	11.909	0.023																								
10090	2MASS J00550564+0134365	13.7735	1.5768055																			16.436	0.114	15.27	0.075	14.438	0.069																								
10091	2MASS J00552554+4130184	13.856417	41.505112																			15.808	0.084	14.963	0.082	14.985	0.113																								
10092	2MASS J00554279+1301043	13.928292	13.01786																			15.81	0.071	15.16	0.086	14.828	0.09																								
10093	LHS 1166	13.934084	25.106527																			14.259	0.027	13.777	0.032	13.573	0.036																								
10094	SDSS J00570556-0846241	14.273166	-8.7733612																			15.7	0.06	14.92	0.07	14.36	0.08																								
10095	WISE J005757.63+201304.2	14.490167	20.217779																			16.317	0.095	15.449	0.088	14.974	0.134																								
10096	2MASS J00583814-1747311	14.658916	-17.791971																			15.942	0.094	15.742	0.167	15.473	0.224																								
10097	2MASSW J0058425-065123	14.677208	-6.8566389																			14.311	0.026	13.444	0.03	12.904	0.033																								
10098	2MASS J0059106-003850	14.794168	-0.64722222																			15.695	0.07	15.594	0.119	15.187	0.164																								
10099	2MASS J01002474+171127	15.103083	17.190832																			13.744	0.026	13.24	0.035	13.083	0.031																								
10100	LSPM J0101+3521	15.363832	35.364693																			15.594	0.06	15.222	0.095	14.877	0.115																								
10101	LHS 132	15.712501	-37.628609																			11.13	0.023	10.479	0.024	10.069	0.021																								
10102	2MASS J01030790+450929	15.782915	45.158058																			13.687	0.021	12.944	0.029	12.435	0.025																								
10103	SDSS J010311.51-004417.0	15.797957	-0.73805559																			14.29	0.04	13.62	0.04	13.17	0.04																								
10104	Gl51	15.832125	62.365471																			8.611	0.027	8.014	0.023	7.718	0.02																								
10105	2MASSI J0103320+193536	15.883457	19.593361																			16.288	0.08	14.897	0.056	14.149	0.059																								
10106	2MASSI J0104075-005328	16.03125	-0.89119446																			16.531	0.13	15.638	0.135	15.327	0.175																								
10107	2MASS J01045111-3327380	16.212959	-33.460556																			15.955	0.1	15.769	0.162	14.825	0.128																								
10108	0106+1448	16.5	14.8																																																
10109	SDSS J010637.33+151855.0	16.655708	15.315444																			14.36	0.03	13.82	0.03	13.43	0.05																								
10110	SDSS J01071600-1517570	16.816668	-15.299167																			13.337	0.022	12.709	0.022	12.277	0.023																								
10111	SDSSp J010752.33+004156.1	16.968416	0.69897223																			15.824	0.058	14.512	0.039	13.709	0.044																								
10112	SDSS J01084048+1347392	17.168667	13.794223																			16.293	0.118	15.715	0.141	14.617																									
10113	2MASS J01090751+0625590	17.281292	6.4330554																			14.49																													
10114	LP 647-13	17.462917	-3.7238889																			11.694	0.021	10.931	0.026	10.428	0.025																								
10115	2MASS J01151621+3130061	18.817541	31.501694																			15.95	0.11	15.66	0.18	15.02	0.17																								
10116	LSPM J0115+2110	18.939083	21.176306																			15.869	0.068	15.257	0.093	15.315	0.136																								
10117	2MASS J01165457-1357342	19.227375	-13.959499																			14.212	0.028	13.513	0.033	12.974	0.029																								
10118	2MASS J01170586+1752568	19.274416	17.882444																			14.136	0.03	13.424	0.037	12.932	0.028																								
10119	2MASSI J0117474-340325	19.447832	-34.057167																			15.178	0.036	14.209	0.039	13.489	0.037																								
10120	SDSS J011912.22+240331.6	19.800291	24.058805																			17.017	0.184	15.953	0.155	17.042																									
10121	SSSPM J0124-4240	20.99604	-42.668697																			13.153	0.024	12.47	0.023	12.037	0.024																								
10122	LSR J01253-4545	21.325083	-45.75861																			15.111	0.041	14.837	0.055	14.906	0.102																								
10123	2MASSI J0125369-343505	21.403708	-34.584694																			15.522	0.055	14.474	0.051	13.898	0.054																								
10124	2MASS J01262109+1428057	21.587875	14.468222																			17.108	0.214	16.172	0.219	15.278	0.146																								
10125	2MASS J01273917+2805536	21.91321	28.098223																			14.04				12.86																									
10126	SDSS J012743.51+135420.9	21.931334	13.905833																			16.829	0.166	15.899	0.147	15.43	0.157																								
10127	2MASSW J0129122+351758	22.300875	35.299442																			16.779	0.159	15.343	0.093	14.696	0.08																								
10128	2MASS J01303563-4445411A	22.648458	-44.761417																			14.065	0.029	13.39	0.031	12.869	0.032																								
10129	2MASS J01303563-4445411B	22.648458	-44.761417																			17.28	0.06	16.13	0.1	15.34	0.05																								
10130	WISE J01303879+3007134	22.661625	30.12039																			16.164	0.097	15.338	0.113	15.061	0.114																								
10131	LEHPM 1-1628	22.767166	-50.415085																			14.136	0.029	13.709	0.034	13.459	0.038																								
10132	2MASS J01311838+3801554	22.826584	38.032055																			14.679	0.034	13.696	0.034	13.054	0.034																								
10133	2MASS J01330461-1355271	23.269207	-13.924194																			15.715	0.063	14.936	0.066	14.474	0.082																								
10134	2MASS J01335299+0033017	23.470791	0.55047226																			15.844	0.07	15.199	0.071	14.635	0.096																								
10135	2MASS J01340281+0508125	23.511707	5.1368055																			16.024	0.084	15.376	0.106	14.459	0.076																								
10136	LHS 1265	23.746666	-9.0783329																			15.247	0.057	14.81	0.072	14.755	0.127																								
10137	WISE J013525.64+171503.4	23.856833	17.250944																																																
10138	2MASSW J0135358+120522	23.899416	12.089333																			14.412	0.032	13.527	0.032	12.918	0.029																								
10139	IPMS J013656.57+093347.3	24.235916	9.563139																			13.455	0.03	12.771	0.032	12.562	0.024																								
10140	WISE J013836.58-032221.2	24.652418	-3.3725557																			16.389	0.096	15.801	0.147	15.198	0.129																								
10141	2MASS J01405263+0453302	25.219294	4.8917222																			15.601	0.074	15.166	0.083	14.65	0.082																								
10142	2MASSW J0141032+180450	25.263376	18.080612																			13.875	0.025	13.034	0.026	12.492	0.028																								
10143	2MASS J01414839-1601196	25.451626	-16.02211																			16.209	0.091	15.161	0.065	14.344	0.067																								
10144	2MASS J01415823-4633574	25.492626	-46.565945																			14.832	0.043	13.875	0.026	13.097	0.032																								
10145	2MASS J01423153+0523285	25.631374	5.3912497																			15.909	0.081	15.593	0.131	15.6	0.226																								
10146	2MASS J01443536-0716142	26.147333	-7.2706113																			14.191	0.026	13.008	0.029	12.268	0.023																								
10147	2MASS J01460119-4545263	26.504959	-45.757305																			14.395	0.036	13.541	0.03	13.033	0.033																								
10148	LHS 1295	26.59425	-19.894751																			14.64	0.029	14.163	0.044	13.893	0.038																								
10149	2MASS J01470204+2120242	26.758501	21.340055																			15.993	0.082	15.028	0.195	15.036	0.124																								
10150	2MASS J01472702+4731142	26.862583	47.520611																			15.843	0.089	14.847	0.077	14.282	0.065																								
10151	2MASSW J0147334+345311	26.889334	34.886448																			14.946	0.039	14.162	0.041	13.574	0.038																								
10152	0148-4225	27	-42.416668																																																
10153	WISE J01480249+2311310	27.010374	23.191944																			15.647	0.065	15.075	0.074	14.546																									
10154	NLTT 6012b	27.061583	12.045751																			15.507	0.054	14.693	0.05	14.611	0.09																								
10155	NLTT 6012a	27.061583	12.045751																			10.077	0.021	9.752	0.035	9.436	0.027																								
10156	2MASS J0148386-302439	27.160833	-30.410833																			12.302	0.024	11.648	0.022	11.227	0.024																								
10157	2MASS J01490895+2956131	27.287291	29.936972																			13.449	0.023	12.584	0.026	11.975	0.022																								
10158	WISE J015010.89+382724.1	27.545374	38.456696																			16.111	0.077	15.018	0.08	14.477	0.071																								
10159	SDSS J015141.69+124429.6	27.923126	12.741667																			16.566	0.129	15.603	0.112	15.183	0.189																								
10160	2MASS J01532750+3631482	28.364584	36.530056																			15.68	0.08	15.45	0.16	14.64	0.08																								
10161	SDSS J01535423+1404528	28.475958	14.081333																			15.21	0.04	14.48	0.05	13.96	0.06																								
10162	2MASS J01550354+0950003	28.764751	9.833416																			14.825	0.036	13.763	0.034	13.139	0.037																								
10163	LP 589-7	29.366333	1.2786944																			14.497	0.033	14.091	0.048	13.866	0.039																								
10164	2MASS J01574939-1146113	29.455791	-11.769805																			15.522	0.061	14.828	0.066	14.343	0.08																								
10165	2MASS J01581172+3232013	29.548834	32.533695																			16.042	0.074	14.886	0.067	14.158	0.051																								
10166	0158+3232 Background Source	29.548834	32.533695																																																
10167	0203-0108 Background Source	30.88825	-1.1366389																			14.509	0.036	13.801	0.042	13.618	0.043																								
10168	SDSS J020333.26-010812.5	30.88825	-1.1366389																			16.858		16.516	0.243	16.076	0.323																								
10169	LEHPM 2153	31.092167	-36.541889																			13.265	0.025	12.601	0.026	12.189	0.029																								
10170	2MASSW J0205034+125142	31.264332	12.861723																			15.679	0.056	14.449	0.047	13.671	0.036																								
10171	DENIS-P J0205.4-1159	31.372498	-11.991556																			14.587	0.03	13.568	0.037	12.998	0.03																								
10172	2MASS J02055138-0759253	31.464083	-7.9903612																			16.031	0.08	15.169	0.062	14.358	0.078																								
10173	SDSS J020608.97+223559.2	31.536623	22.599806																			16.556	0.111	15.538	0.089	15.162	0.133																								
10174	WISE J020625.27+264023.6	31.605291	26.673222																			16.53	0.114	15.096	0.077	14.523	0.076																								
10175	LEHPM 1-2189	31.684166	-24.474083																			15.455	0.057	15.034	0.086	14.907	0.153																								
10176	DENIS J02065660-0735190	31.735832	-7.5886111																			14.34				12.99																									
10177	G 73-26B	31.898207	13.932334																			15.462	0.049	14.474	0.043	13.808	0.046																								
10178	SDSS J020742.48+000056.2	31.928497	0.015666667																			16.799	0.156	16.396		15.412																									
10179	2MASS J0208022+364546	32.009167	36.762779																			15.489	0.097	16.575	0.311	14.351																									
10180	2MASSW J0208183+254253	32.076378	25.714806																			13.989	0.026	13.107	0.03	12.588	0.027																								
10181	2MASSW J0208236+273740	32.098461	27.627777																			15.714	0.06	14.56	0.059	13.872	0.051																								
10182	2MASSW J0208549+250048	32.229084	25.013556																			16.206	0.093	14.974	0.08	14.405	0.069																								
10183	WISE J021010.25+400829.6	32.542709	40.141556																			16.77	0.19	16.06	0.18	15.88																									
10184	2MASS J02103857-3015313	32.660709	-30.258694																			15.066	0.048	14.161	0.045	13.5	0.043																								
10185	2MASS J02124236+0341004	33.176502	3.6834445																			14.701	0.03	13.906	0.035	13.384	0.044																								
10186	2MASSI J0213288+444445	33.369999	44.745918																			13.494	0.025	12.757	0.024	12.213	0.023																								
10187	Gliese 91	33.473293	-32.041164																			6.961	0.02	6.327	0.026	6.093	0.016																								
10188	LHS1375	34.124043	13.587111																			9.871	0.021	9.314	0.022	8.981	0.017																								
10189	2MASSI J0218291-313322	34.621376	-31.556389																			14.728	0.04	13.808	0.037	13.154	0.035																								
10190	2MASS J02192196+0506306	34.841499	5.1085																			14.971	0.035	14.051	0.044	13.48	0.039																								
10191	SSSPM J0219-1939	34.866959	-19.644888																			14.11	0.027	13.339	0.028	12.91	0.034																								
10192	CTI 021845.9+280047	34.872292	28.070168																			6.338	0.011	5.423	0.019	5.04	0.011																								
10193	LEHPM 1-2373	34.901207	-26.66461																			15.431	0.059	14.979	0.097	14.865	0.121																								
10194	WISE J022322.36-293257.2	35.843163	-29.549221																			17.341	0.153	16.85	0.163	16.94																									
10195	WISE J02233658+5240060	35.902416	52.668335																			16.636	0.161	15.77	0.173	15.392	0.195																								
10196	LSPM J0224+1730	36.135792	17.501194																			15.929	0.114	15.528	0.145	15.369																									
10197	2MASSI J0224367+253704	36.152878	25.617805																			16.584	0.104	15.411	0.073	14.694	0.082																								
10198	2MASS J0226417+264732	36.673752	26.792221																			15.978	0.07	15.127	0.068	15.128	0.123																								
10199	2MASS J02271036-1624479	36.793167	-16.413305																			13.573	0.023	12.63	0.024	12.143	0.03																								
10200	2MASS J02272104-0112450	36.837666	-1.2125001																			13.054	0.028	12.488	0.022	12.386	0.026																								
10201	2MASSW J0228110+253738	37.045876	25.627222																			13.839	0.027	12.993	0.024	12.471	0.025																								
10202	2MASS J02284243+1639329	37.176792	16.659138																			13.166	0.026	12.325	0.03	11.818	0.023																								
10203	2MASS J02292794-0053282	37.366417	-0.89116669																			16.49	0.1	15.746	0.1	15.182	0.138																								
10204	2MASS J02293562+1228114	37.398415	12.469832																			14.614	0.03	13.884	0.039	13.281	0																								
10205	2MASS J02301551+2704061	37.564625	27.068361																			14.294	0.027	13.478	0.029	12.986	0.023																								
10206	WISE J023038.90-022554.0	37.661877	-2.42975																			16.68	0.11	15.72	0.11	14.93	0.11																								
10207	2MASS J02301551+2704061	37.685081	-30.45764																			15.822	0.076	15.21	0.078	14.886	0.107																								
10208	DENIS J02304500-0953050	37.6875	-9.8847218																			14.68				12.99																									
10209	2MASS J0230565-314430	37.735416	-31.741667																			15.688	0.071	15.241	0.076	15.262	0.156																								
10210	LEHPM 1-2570	38.034374	-44.618305																			14.448	0.036	13.825	0.044	13.745	0.055																								
10211	WISE J023318.05+303030.5	38.325207	30.508472																			16.85	0.14	17.18		17.04																									
10212	SDSS J023547.56-084919.8	38.948124	-8.8221664																			15.571	0.055	14.812	0.056	14.191	0.067																								
10213	GJ 1048B	38.99971	-23.522362																			12.69		12.725	0.202	12.186	0.081																								
10214	GJ 1048A	39.003124	-23.521305																			6.45	0.018	5.965	0.04	5.828	0.018																								
10215	SDSSp J023617.93+004855.0	39.074707	0.81519443																			16.098	0.077	15.265	0.066	14.666	0.091																								
10216	LSPM J0236+2143	39.094997	21.725779																			16.002	0.095	15.433	0.119	15.572	0.22																								
10217	0239-1728 Background Source	39.75	-17.466667																																																
10218	2MASSI J0239424-173547	39.926876	-17.596416																			14.291	0.029	13.525	0.034	13.039	0.03																								
10219	2MASS J02411151-0326587	40.297958	-3.4496388																			15.799	0.065	14.811	0.053	14.035	0.05																								
10220	2MASSI J0241536-124106	40.473625	-12.68525																			15.605	0.068	14.646	0.062	13.931	0.063																								
10221	2MASSW J0242435+160739	40.681419	16.127556																			15.776	0.053	14.998	0.054	14.349	0.058																								
10222	SDSS J024256.98+212319.6	40.737209	21.389																			16.977	0.195	15.938	0.174	15.474	0.234																								
10223	2MASSI J0243137-245329	40.807125	-24.891611																			15.381	0.05	15.137	0.109	15.216	0.168																								
10224	LSPM J0244+1442	41.184166	14.710444																			15.954	0.072	15.339	0.085	15.306	0.153																								
10225	WISE J024512.62-345047.8	41.302582	-34.846611																																																
10226	SDSS J024749.90-163112.6	41.957417	-16.520332																			17.186	0.183	16.17	0.139	15.616	0.193																								
10227	2MASS J02481204+2445141	42.050167	24.753916																			16.497	0.138	15.505	0.111	15.094	0.138																								
10228	LP 771-21	42.17083	-16.855833																			12.551	0.022	11.872	0.022	11.422	0.021																								
10229	LEHPM 1-2799	42.2565	-36.658279																			16.613	0.148	16.077	0.211	16.013	0.32																								
10230	SDSS J02511323+00473631	42.805122	0.79341668																			13.77	0.02	13.1	0.02	12.68	0.03																								
10231	2MASSI J0251148-035245	42.812084	-3.8794167																			13.059	0.027	12.254	0.024	11.662	0.019																								
10232	2MASS J02522628+0056220	43.109501	0.93944442																			13.126	0.023	12.441	0.024	11.963	0.019																								
10233	SO 0253+1625	43.253498	16.881445																			8.39	0.03	7.88	0.04	7.59	0.05																								
10234	2MASS J0253202+271333	43.334167	27.225834																			12.496	0.021	11.871	0.02	11.483	0.018																								
10235	SDSS J02540582-1934523	43.524254	-19.581196																			13.078	0.026	12.359	0.022	11.906	0.023																								
10236	WISE J025409.51+022358.6	43.539627	2.399611																			16.557	0.156	15.884	0.199	16.006																									
10237	DENIS-P J0255-4700	43.764874	-47.014137																			13.246	0.027	12.204	0.024	11.558	0.024																								
10238	WISE J02550758+2136180	43.781582	21.605																			14.928	0.034	14.275	0.037	13.838	0.046																								
10239	2MASS J02561474+1935213	44.061417	19.589251																			15.386	0.046	14.207	0.04	13.637	0.041																								
10240	2MASS J02562362+2013457	44.098415	20.229362																			15.607	0.055	14.433	0.043	13.786	0.045																								
10241	2MASS J02572581-3105523	44.357544	-31.097862																			14.672	0.039	13.518	0.032	12.876	0.032																								
10242	2MASS J02594471+2254443	44.936291	22.912306																			14.11	0.031	13.34	0.038	12.861	0.03																								
10243	2MASS J03001631+2130205	45.067959	21.505695																			15.921	0.076	14.885	0.063	14.258	0.053																								
10244	LSPM J0300+0514	45.071583	5.2476387																			16.093	0.091	15.504	0.113	15.731	0.254																								
10245	2MASSI J0302012+135814	45.505043	13.970583																			16.533	0.118	15.434	0.086	14.632	0.081																								
10246	2MASS J03023398-1028223	45.641586	-10.47286																			16.243	0.116	15.722	0.145	15.123	0.16																								
10247	LSPM J0304+1117	46.088539	11.285695																			16.176	0.079	15.535	0.118	15.447	0.145																								
10248	WISE J030601.64-033058.4	46.506916	-3.5163889																			14.441	0.026	14.06	0.04	13.978	0.048																								
