Program	Status	Test	Captioned	Documented
core.py				
Spectrum class				
__init__		test_spectrum_class		
__copy__		test_spectrum_class		
__repr__				
__add__		test_spectrum_math		
__sub__		test_spectrum_math		
__mul__		test_spectrum_math		
__div__		test_spectrum_math		
copy		test_spectrum_class		
computeSN		test_spectrum_scaling		
info		test_spectrum_class		
export		test_spectrum_class		
save		test_spectrum_class		
toFnu		test_spectrum_conversions		
toFlam		test_spectrum_conversions		
fluxCalibrate		test_spectrum_scaling		
fluxMax		test_spectrum_scaling		
normalize		test_spectrum_scaling		
plot		test_spectrum_plot		
reset		test_spectrum_scaling		
scale		test_spectrum_scaling		
showHistory				
smooth		test_spectrum_smooth		
_smoothToResolution		test_spectrum_smooth		
_smoothToSlitPixelWidth		test_spectrum_smooth		
_smoothToSlitWidth		test_spectrum_smooth		
surface		test_spectrum_conversions		
brightnessTemperature		test_spectrum_conversions		
temperature		test_spectrum_conversions		
trim		test_spectrum_trim		
waverange		test_spectrum_trim		
				
classifyByIndex		test_indices		
classifyByStandard		test_standards		
classifyByTemplate		test_classify_template		
classifyGravity		test_classify_gravity		
metallicity		test_metallicity		
compareSpectra		test_compare		
_generateMask		test_masking		
getSpectrum		test_getspectrum		
getStandard		test_standards		
initiateStandards		test_standards		
measureEW		test_ews		
measureEWSet		test_ews		
measureIndex		test_indices		
measureIndexSet		test_indices		
readSpectrum		test_read		
keySource		test_database		
keySpectrum		test_database		
searchLibrary		test_database		
				
empirical.py				
estimateDistance		test_estimateDistance		
redden 	BETA	test_redden 		
typeToColor 		test_typeToColor 		
typeToMag 		test_typeToMag 		
typeToTeff 		test_typeToTeff 		
typeToLuminosity	PLACE HOLDER	test_typeToLuminosity		
typeToBC	PLACE HOLDER	test_typeToBC		
				
utilities.py				
checkAccess		test_online_access		
checkLocal		test_online_access		
checkOnline		test_online_access		
checkFile		test_online_access		
checkKeys 		test_check_keys		
coordinateToDesignation 		test_coordinate_conversion		
designationToCoordinate 		test_coordinate_conversion		
designationToShortName 		test_coordinate_conversion		
properCoordinates 		test_coordinate_conversion		
properDate 		test_date_conversion		
typeToNum 		test_type_conversion		
isNumber 		test_isnumber		
distributionStats 		test_stats		
weightedMeanVar 		test_stats		
				
photometry.py				
filterMag		test_filterMag		
filterInfo		test_filters		
filterProperties		test_filters		
				
model.py				
processModels				
_checkModelName				
loadModel				
getModel	copies to loadModel			
_checkModelParametersInRange				
loadInterpolatedModel				
_loadModelParameters				
_modelFitPlotComparison				
modelFitGrid				
modelFitMCMC				
reportModelFitResults				
modelFitEMCEE				
_modelFitEMCEE_bestparameters				
_modelFitEMCEE_lnlikelihood				
_modelFitEMCEE_lnprior_limits				
_modelFitEMCEE_lnprior_normal				
_modelFitEMCEE_lnprob				
_modelFitEMCEE_plotchains				
_modelFitEMCEE_plotcomparison				
_modelFitEMCEE_plotbestcomparison				
_modelFitEMCEE_plotcorner				
_modelFitEMCEE_summary				
calcLuminosity	INCOMPLETE			
				
citations.py				
bibTexParser		test_parse_bibtex		
shortRef		test_refoutputs		
longRef		test_refoutputs		
veryLongRef		test_refoutputs		
getBibTex		test_bibtex_retrieval		
getBibTexOnline		test_bibtex_retrieval		
				
database.py				
fetchDatabase		test_fetchDatabase		
queryVizier		test_queryVizier		
getPhotometry	copies to queryVizier	test_queryVizier		
querySimbad		test_querySimbad		
_querySimbad2		test_querySimbad		
importSpectra		test_importSpectra		
				
plot.py				
plotSpectrum		test_plotSpectrum		
plotBatch		test_plotBatch		
plotIndices	PLACE HOLDER	test_plotIndices		
plotSED	PLACE HOLDER	test_plotSED		
plotSequence		test_plotSequence		
				
evolve.py				
loadEvolModel		test_evolModels		
_modelParametersSingle		test_evolModels		
modelParameters		test_evolModels		
plotModelParameters		test_plotModelParameters		
simulateAges		test_simulate		
simulateMasses		test_simulate		
simulateMassRatios		test_simulate		
simulateSpatialDistribution	PLACE HOLDER	test_simulate		
simulateKinematics	PLACE HOLDER	test_simulate		
simulateBinaryOrbits	PLACE HOLDER	test_simulate		
simulateGalacticOrbits	PLACE HOLDER	test_simulate		
simulatePhotometry	PLACE HOLDER	test_simulate		
simulatePopulation	INCOMPLETE	test_simulate		
