DATA_KEY	SOURCE_KEY	DATA_FILE	INSTRUMENT	OBSERVATION_DATE	OBSERVATION_TIME	JULIAN_DATE	PROGRAM_NUMBER	PROGRAM_PI	OBSERVER	RESOLUTION	AIRMASS	REDUCTION_SPEXTOOL_VERSION	REDUCTION_PERSON	REDUCTION_DATE	QUALITY_FLAG	MEDIAN_SNR	SPEX_TYPE	SPEX_GRAVITY_CLASSIFICATION	PUBLISHED	DATA_REFERENCE	NOTE
10001	10443	10001_10443.fits	SpeX prism	20001106	12 16 5.2351810	51855.011			Rayner	200	1.086	v3.5b			OK	224	L5.0	FLD-G	Y	2004PASP..116..362C	
10002	10782	10002_10782.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	114	L5.0	FLD-G	Y	2004AJ....127.2856B	
10003	10830	10003_10830.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		POOR	23	M6.0		Y	2004AJ....127.2856B	
10004	10916	10004_10916.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	39	T6.0		Y	2004AJ....127.2856B	
10005	11020	10005_11020.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	44	M7.0	VL-G	Y	2004AJ....127.2856B	
10006	11159	10006_11159.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	47	M7.0	VL-G	Y	2004AJ....127.2856B	
10007	11195	10007_11195.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	33	M7.0	INT-G	Y	2004AJ....127.2856B	
10008	11269	10008_11269.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	39	M7.0	FLD-G	Y	2004AJ....127.2856B	
10009	11343	10009_11343.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	25	M6.0		Y	2004AJ....127.2856B	
10010	11344	10010_11344.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	60			Y	2004AJ....127.2856B	
10011	11349	10011_11349.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	375	M4.0		Y	2004AJ....127.2856B	
10012	11393	10012_11393.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	296	M7.0	INT-G	Y	2004AJ....127.2856B	
10013	11416	10013_11416.fits	SpeX prism	20030521		52780.5			Burgasser	120			Mercado		OK	34	T5.0		Y	2004AJ....127.2856B	
10014	10817	10014_10817.fits	SpeX prism	20030522		52781.5				120					OK	180	M8.0	FLD-G	Y	2004AJ....127.2856B	
10015	10836	10015_10836.fits	SpeX prism	20030522		52781.5				120					POOR	18	M6.0		Y	2004AJ....127.2856B	
10016	10874	10016_10874.fits	SpeX prism	20030522		52781.5				120					POOR	15	T3.0		Y	2004AJ....127.2856B	
10017	10945	10017_10945.fits	SpeX prism	20030522		52781.5				120					OK	54	T2.0		Y	2004AJ....127.2856B	
10018	10948	10018_10948.fits	SpeX prism	20030522		52781.5			Burgasser	120					OK	19	M4.0		N	BURGASSER-NP	
10019	11040	10019_11040.fits	SpeX prism	20030522		52781.5				120					POOR	31	M7.0	VL-G	Y	2004AJ....127.2856B	
10020	11100	10020_11100.fits	SpeX prism	20030522		52781.5				120					OK	11	T7.0		Y	2004AJ....127.2856B	
10021	11106	10021_11106.fits	SpeX prism	20030522		52781.5				120					OK	57	T5.0		Y	2004AJ....127.2856B	
10022	11137	10022_11137.fits	SpeX prism	20030522		52781.5				120					POOR	26	M7.0	INT-G	Y	2004AJ....127.2856B	
10023	11236	10023_11236.fits	SpeX prism	20030522		52781.5				120					POOR	9	T6.0		Y	2004AJ....127.2856B	
10024	11252	10024_11252.fits	SpeX prism	20030522		52781.5				120					POOR	15	M7.0	VL-G	Y	2004AJ....127.2856B	
10025	11254	10025_11254.fits	SpeX prism	20030522		52781.5				120					POOR	17	T0.0		Y	2004AJ....127.2856B	
10026	11270	10026_11270.fits	SpeX prism	20030522		52781.5				120					OK	19	M6.0		Y	2004AJ....127.2856B	
10027	11387	10027_11387.fits	SpeX prism	20030522		52781.5				120					POOR	5	M7.0		Y	2004AJ....127.2856B	
10028	11425	10028_11425.fits	SpeX prism	20030522		52781.5				120					OK	163			Y	2004AJ....127.2856B	
