DATA_KEY	SOURCE_KEY	DATA_FILE	INSTRUMENT	OBSERVATION_DATE	OBSERVATION_TIME	JULIAN_DATE	PROGRAM_NUMBER	PROGRAM_PI	OBSERVER	RESOLUTION	AIRMASS	REDUCTION_SPEXTOOL_VERSION	REDUCTION_PERSON	REDUCTION_DATE	QUALITY_FLAG	MEDIAN_SNR	SPEX_TYPE	SPEX_GRAVITY_CLASSIFICATION	PUBLISHED	DATA_REFERENCE	NOTE
10029	11479	10029_11479.fits	SpeX prism	20030522		52781.5				120					OK	69	M7.0	INT-G	Y	2004AJ....127.2856B	
10030	11507	10030_11507.fits	SpeX prism	20030522		52781.5				120					OK	237			Y	2004AJ....127.2856B	
10031	11571	10031_11571.fits	SpeX prism	20030522		52781.5				120					OK	68			Y	2004AJ....127.2856B	
10032	10787	10032_10787.fits	SpeX prism	20030523	05 33 50.541640	52782.732			Burgasser	120	1.012	v3.4	Sahi		POOR	32	M7.0	VL-G	Y	2004AJ....127.2856B	
10033	10801	10033_10801.fits	SpeX prism	20030523	06 12 33.575635	52782.759			Burgasser	120	1.018	v3.4	Sahi		OK	46	M7.0	INT-G	Y	2004AJ....127.2856B	
10034	10874	10034_10874.fits	SpeX prism	20030523	06 46 42.600170	52782.782			Burgasser	120	1.159	v3.4	Sahi		OK	36	T3.0		Y	2004AJ....127.2856B	
10035	10877	10035_10877.fits	SpeX prism	20030523	07 20 44.329474	52782.806			Burgasser	120	1.404	v3.4	Sahi		POOR	31	M7.0	VL-G	Y	2004AJ....127.2856B	
10036	10903	10036_10903.fits	SpeX prism	20030523	07 54 20.413974	52782.829			Burgasser	120	1.572	v3.4	Sahi		OK	33	T6.0		Y	2004AJ....127.2856B	
10037	10987	10037_10987.fits	SpeX prism	20030523	08 22 48.758814	52782.849			Burgasser	120	1.03	v3.4	Sahi		POOR	45	M7.0	INT-G	Y	2004AJ....127.2856B	
10038	11075	10038_11075.fits	SpeX prism	20030523	08 48 11.811934	52782.867			Burgasser	120	1.001	v3.4	Sahi		OK	316	L1.0	FLD-G	Y	2004AJ....127.2856B	
10039	11138	10039_11138.fits	SpeX prism	20030523	11 06 6.7538945	52782.963			Burgasser	120	1.06	v3.4	Sahi		OK	76	L5.0	INT-G	Y	2004AJ....127.2856B	
10040	11190	10040_11190.fits	SpeX prism	20030523	10 38 54.683804	52782.944			Burgasser	120	1.014	v3.4	Sahi		OK	33	M8.0	INT-G	Y	2004AJ....127.2856B	
10041	11267	10041_11267.fits	SpeX prism	20030523	11 23 18.166827	52782.975			Burgasser	120	1.019	v3.4	Sahi		OK	39	M8.0	INT-G	Y	BURGASSER-NP	
10042	11301	10042_11301.fits	SpeX prism	20030523	12 49 16.361235	52783.034			Burgasser	120	1.193	3.4	Sahi		OK	192	L1.0	FLD-G	Y	2006AJ....132.2074M	
10043	11300	10043_11300.fits	SpeX prism	20030523	12 33 26.020162	52783.023			Burgasser	120	1.167	3.4	Sahi		OK	138	L1.0	FLD-G	Y	2006AJ....132.2074M	
10044	11326	10044_11326.fits	SpeX prism	20030523	13 11 4.8848490	52783.049			Burgasser	120	1.154	v3.4	Sahi		OK	51	M6.0		Y	2004AJ....127.2856B	
10045	11350	10045_11350.fits	SpeX prism	20030523	13 28 3.5745223	52783.061			Burgasser	120	1.145	v3.4	Sahi		OK	53	M8.0	FLD-G	Y	2004AJ....127.2856B	
10046	11368	10046_11368.fits	SpeX prism	20030523	13 50 37.341067	52783.077			Burgasser	120	1.101	v3.4	Sahi		OK	33	T3.0		Y	2004AJ....127.2856B	
10047	11392	10047_11392.fits	SpeX prism	20030523	14 18 11.109925	52783.096			Burgasser	120	1.097	v3.4	Sahi		OK	49	M6.0		Y	2004AJ....127.2856B	
10048	11471	10048_11471.fits	SpeX prism	20030523	14 36 27.511540	52783.109			Burgasser	120	1.058	v3.4	Sahi		OK	182	L2.0	FLD-G	Y	2004AJ....127.2856B	
10049	11495	10049_11495.fits	SpeX prism	20030523	15 08 31.490712	52783.131			Burgasser	120	1.085	v3.4	Sahi		OK	232	L1.0	INT-G	Y	2004AJ....127.2856B	
10050	11504	10050_11504.fits	SpeX prism	20030523	14 55 39.623902	52783.122			Burgasser	120	1.095	v3.4	Sahi		OK	137	L1.0	FLD-G	Y	2004AJ....127.2856B	
10051	10171	10051_10171.fits	SpeX prism	20030811		52862.5				75					OK	39	L9.0		Y	2010ApJ...710.1142B	
10052	11274	10052_11274.fits	SpeX prism	20030811		52862.5				75					POOR	38	L2.0	FLD-G	Y	2010ApJ...710.1142B	
10053	11464	10053_11464.fits	SpeX prism	20030811		52862.5			Cruz	75					BG	8			N	CRUZ-NP	
10054	11550	10054_11550.fits	SpeX prism	20030811		52862.5				75					POOR	24	L2.0	FLD-G	Y	2010ApJ...710.1142B	
10055	11938	10055_11938.fits	SpeX prism	20030811		52862.5			Cruz	75					POOR	18	L6.0	FLD-G	N	CRUZ-NP	
10056	10142	10056_10142.fits	SpeX prism	20030812		52863.5			Cruz	75					POOR	2	L2.0	FLD-G	N	CRUZ-NP	
10057	11055	10057_11055.fits	SpeX prism	20030812		52863.5			Cruz	75					OK	38	M8.0	INT-G	N	CRUZ-NP	
10058	11113	10058_11113.fits	SpeX prism	20030812		52863.5				75					OK	27	L5.0	FLD-G	Y	2007ApJ...659..655B	
10059	11118	10059_11118.fits	SpeX prism	20030812		52863.5			Cruz	75					POOR	24	L2.0	INT-G	N	CRUZ-NP	
10060	11320	10060_11320.fits	SpeX prism	20030812		52863.5			Cruz	75					OK	6	L1.0	INT-G	N	CRUZ-NP	
10061	11382	10061_11382.fits	SpeX prism	20030812		52863.5				75					OK	119	L1.0	FLD-G	Y	2008ApJ...681..579B	
10062	11616	10062_11616.fits	SpeX prism	20030812		52863.5			Cruz	75					BG	29			N	CRUZ-NP	
10063	11618	10063_11618.fits	SpeX prism	20030812		52863.5				75					OK	8	L3.0	FLD-G	Y	2010ApJ...710.1142B	
10064	11619	10064_11619.fits	SpeX prism	20030812		52863.5			Cruz	75					BG	12			N	CRUZ-NP	
10065	11627	10065_11627.fits	SpeX prism	20030812		52863.5			Cruz	75					OK	12	L7.0	INT-G	N	CRUZ-NP	
10066	11656	10066_11656.fits	SpeX prism	20030812		52863.5				75					OK	28	L0.0	INT-G	Y	2014ApJ...794..143B	
10067	11664	10067_11664.fits	SpeX prism	20030812		52863.5				75					OK	28	L8.0		Y	2010ApJ...710.1142B	
10068	11692	10068_11692.fits	SpeX prism	20030812		52863.5			Cruz	75					BG	31			N	CRUZ-NP	
10069	10003	10069_10003.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	25	L6.0	INT-G	N	CRUZ-NP	
10070	10044	10070_10044.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	92	L4.0	FLD-G	N	CRUZ-NP	
10071	10051	10071_10051.fits	SpeX prism	20030903		52885.5				75					OK	34	L6.0	INT-G	Y	2010ApJ...710.1142B	
10072	10132	10072_10132.fits	SpeX prism	20030903		52885.5				75					OK	87	L2.0	FLD-G	Y	2010ApJ...710.1142B	
10073	10263	10073_10263.fits	SpeX prism	20030903		52885.5				75					OK	36	L8.0		Y	2010ApJ...710.1142B	
10074	10272	10074_10272.fits	SpeX prism	20030903		52885.5			Cruz	75					POOR	17	L6.0	FLD-G	N	CRUZ-NP	
10075	10437	10075_10437.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	56	L6.0	VL-G	N	CRUZ-NP	
10076	11155	10076_11155.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	69	L1.0	FLD-G	N	CRUZ-NP	
10077	11155	10077_11155.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	69	L1.0	INT-G	N	CRUZ-NP	
10078	11202	10078_11202.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	19	L5.0	INT-G	N	CRUZ-NP	
10079	11322	10079_11322.fits	SpeX prism	20030903		52885.5			Cruz	75					BG	20			N	CRUZ-NP	
10080	11449	10080_11449.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	117	L1.0:	INT-G	N	CRUZ-NP	
10081	11543	10081_11543.fits	SpeX prism	20030903		52885.5				75					OK	10	T2.0		Y	2006ApJ...637.1067B	
10082	11544	10082_11544.fits	SpeX prism	20030903		52885.5			Cruz	75					OK	37	L6.0	FLD-G	N	CRUZ-NP	
10083	11665	10083_11665.fits	SpeX prism	20030903		52885.5				75					OK	92	L2.0	INT-G	Y	2010ApJ...710.1142B	
10084	10037	10084_10037.fits	SpeX prism	20030904		52886.5				75					OK	30	L3.0	INT-G	Y	2010ApJ...710.1142B	
10085	10062	10085_10062.fits	SpeX prism	20030904		52886.5			Cruz	75					OK	45	L4.0	FLD-G	N	CRUZ-NP	
10086	10090	10086_10090.fits	SpeX prism	20030904		52886.5				75					OK	39	L6.0	VL-G	Y	2016ApJS..225...10F	
10087	10162	10087_10162.fits	SpeX prism	20030904		52886.5				75					OK	53	L4.0	FLD-G	Y	2010ApJ...710.1142B	
10088	10165	10088_10165.fits	SpeX prism	20030904		52886.5			Cruz	75					POOR	12	L6.0	FLD-G	N	CRUZ-NP	
10089	10184	10089_10184.fits	SpeX prism	20030904		52886.5			Cruz	75					OK	54	L2.0	VL-G	N	CRUZ-NP	
10090	10278	10090_10278.fits	SpeX prism	20030904		52886.5			Cruz	75					POOR	43	L4.0	FLD-G	N	CRUZ-NP	
10091	10356	10091_10356.fits	SpeX prism	20030904		52886.5				75					OK	55	T0.0		Y	2004ApJ...604L..61C	
10092	10394	10092_10394.fits	SpeX prism	20030904		52886.5				75					OK	34	L6.0	FLD-G	Y	2010ApJ...710.1142B	
10093	11145	10093_11145.fits	SpeX prism	20030904		52886.5			Cruz	75					OK	34	L2.0	INT-G	N	CRUZ-NP	
10094	11153	10094_11153.fits	SpeX prism	20030904		52886.5				75					POOR	30	L6.0	INT-G	Y	2016ApJS..225...10F	
10095	11362	10095_11362.fits	SpeX prism	20030904		52886.5				75					OK	48	L5.0	FLD-G	Y	2010ApJ...710.1142B	
10096	11585	10096_11585.fits	SpeX prism	20030904		52886.5				75					OK	42	L6.0	INT-G	Y	2010ApJ...710.1142B	
10097	11648	10097_11648.fits	SpeX prism	20030904		52886.5			Cruz	75					POOR	19	L7.0	VL-G	N	CRUZ-NP	
10098	11657	10098_11657.fits	SpeX prism	20030904		52886.5				75					OK	29	L0.0	FLD-G	Y	2014ApJ...794..143B	
10099	11695	10099_11695.fits	SpeX prism	20030904		52886.5				75					OK	53	L6.0	FLD-G	Y	2010ApJ...710.1142B	
10100	11707	10100_11707.fits	SpeX prism	20030904		52886.5			Cruz	75					BG	16			N	CRUZ-NP	
10101	10023	10101_10023.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	8			N	CRUZ-NP	
10102	10064	10102_10064.fits	SpeX prism	20030905		52887.5				75					OK	43	T7.0		Y	2004AJ....127.2856B	
10103	10190	10103_10190.fits	SpeX prism	20030905		52887.5			Cruz	75					OK	34	L2.0	FLD-G	N	CRUZ-NP	
10104	10239	10104_10239.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	44			N	CRUZ-NP	
10105	10240	10105_10240.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	26			N	CRUZ-NP	
10106	10241	10106_10241.fits	SpeX prism	20030905		52887.5				75					OK	50	L8.0		Y	2007AJ....133.2320S	
10107	10315	10107_10315.fits	SpeX prism	20030905		52887.5				75					OK	72	L0.0	INT-G	Y	2006AJ....131.1007B	
10108	10455	10108_10455.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	64			N	CRUZ-NP	
10109	10457	10109_10457.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	49			N	CRUZ-NP	
10110	11057	10110_11057.fits	SpeX prism	20030905		52887.5				75					OK	38	L4.0	FLD-G	Y	2010ApJ...710.1142B	
10111	11104	10111_11104.fits	SpeX prism	20030905		52887.5			Cruz	75					OK	49			N	CRUZ-NP	
10112	11110	10112_11110.fits	SpeX prism	20030905		52887.5			Cruz	75					BG	26			N	CRUZ-NP	
10113	11121	10113_11121.fits	SpeX prism	20030905		52887.5				75					OK	48	L5.0	INT-G	Y	2010ApJ...710.1142B	
10114	11179	10114_11179.fits	SpeX prism	20030905		52887.5			Cruz	75					POOR	7	L7.0	VL-G	N	CRUZ-NP	
10115	11254	10115_11254.fits	SpeX prism	20030905		52887.5				75					OK	39	L8.0		Y	2007ApJ...659..655B	
10116	11400	10116_11400.fits	SpeX prism	20030905		52887.5			Cruz	75					OK	18	M8.0	FLD-G	N	CRUZ-NP	
10117	11408	10117_11408.fits	SpeX prism	20030905		52887.5			Cruz	75					OK	103	M8.0	INT-G	N	CRUZ-NP	
10118	11495	10118_11495.fits	SpeX prism	20030905		52887.5				75					OK	136	L1.0	FLD-G	Y	2008ApJ...681..579B	
10119	11501	10119_11501.fits	SpeX prism	20030905		52887.5				75					OK	52	L2.0	FLD-G	Y	2010ApJ...710.1142B	
10120	11596	10120_11596.fits	SpeX prism	20030905		52887.5				75					OK	168	L3.0	FLD-G	Y	2010ApJ...710.1142B	
10121	11612	10121_11612.fits	SpeX prism	20030905		52887.5			Cruz	75					OK	98	M9.0	INT-G	N	CRUZ-NP	
10122	11642	10122_11642.fits	SpeX prism	20030905		52887.5				75					OK	133	M8.0	INT-G	Y	2016Natur.533..221G	
10123	10145	10123_10145.fits	SpeX prism	20030917	13 08 32.192383	52900.048			Burgasser	120	1.058	v3.4	Aganze		OK	37	M5.0		Y	2004AJ....127.2856B	
10124	10223	10124_10223.fits	SpeX prism	20030917	13 43 52.515803	52900.072			Burgasser	120	1.419	v3.4	Aganze		OK	42	T6.0		Y	2004AJ....127.2856B	
10125	10246	10125_10246.fits	SpeX prism	20030917	14 18 1.1027033	52900.096			Burgasser	120	1.178	v3.4	Aganze		POOR	27	M5.0		Y	2004AJ....127.2856B	
10126	10349	10126_10349.fits	SpeX prism	20030917	15 09 53.320598	52900.132			Burgasser	120	1.153	v3.4	Aganze		OK	26	T8.0		Y	2004AJ....127.2856B	
10127	10356	10127_10356.fits	SpeX prism	20030917	15 29 17.599163	52900.145			Burgasser	120	1.106	v3.4	Aganze		OK	154	T0.0		Y	2004AJ....127.2856B	
10128	11602	10128_11602.fits	SpeX prism	20030917	10 15 9.3879305	52899.927			Burgasser	120	2.376	v3.4	Aganze		OK	10	T6.0		Y	2004AJ....127.2856B	
10129	11676	10129_11676.fits	SpeX prism	20030917	10 48 54.960590	52899.951			Burgasser	120	2.647	v3.4	Aganze		OK	10	T6.0		Y	2004AJ....127.2856B	
10130	10025	10130_10025.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		POOR	46	M7.0	VL-G	Y	2004AJ....127.2856B	
10131	10091	10131_10091.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	57	M8.0	FLD-G	Y	2004AJ....127.2856B	
10132	10096	10132_10096.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		POOR	41	M6.0		Y	2004AJ....127.2856B	
10133	10107	10133_10107.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		POOR	31	M8.0	INT-G	Y	2004AJ....127.2856B	
10134	10149	10134_10149.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		POOR	50	M8.0	INT-G	Y	2004AJ....127.2856B	
10135	10160	10135_10160.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	54	M6.0		Y	2004AJ....127.2856B	
10136	10288	10136_10288.fits	SpeX prism	20030918		52900.5				120			Tomoki		OK	233	M8.0	INT-G	Y	2010ApJS..190..100K	
10137	10373	10137_10373.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	43	M8.0	INT-G	Y	2004AJ....127.2856B	
10138	11396	10138_11396.fits	SpeX prism	20030918	06 13 41.973993	52900.76			Burgasser	120	2.984	v3.4	Aganze		OK	10	T6.0		Y	2004AJ....127.2856B	
10139	11407	10139_11407.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		POOR	28	M7.0	INT-G	Y	2004AJ....127.2856B	
10140	11413	10140_11413.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	35	M6.0		Y	2004AJ....127.2856B	
10141	11478	10141_11478.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	268	M5.0		Y	2004AJ....127.2856B	
10142	11517	10142_11517.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	263	M4.0		Y	2004AJ....127.2856B	
10143	11632	10143_11632.fits	SpeX prism	20030918		52900.5			Burgasser	120			Tomoki		OK	67	T4.0		Y	2004AJ....127.2856B	
10144	10004	10144_10004.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	59	M6.0		Y	2004AJ....127.2856B	
10145	10063	10145_10063.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	52	M7.0	INT-G	Y	2004AJ....127.2856B	
10146	10072	10146_10072.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	44	M8.0	FLD-G	Y	2004AJ....127.2856B	
10147	10105	10147_10105.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	23	L7.0	VL-G	Y	2003AJ....126.2421C	
10148	10115	10148_10115.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	38	M7.0	FLD-G	Y	2004AJ....127.2856B	
10149	10159	10149_10159.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	46	L9.0		Y	2004AJ....127.2856B	
10150	10336	10150_10336.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		POOR	37	M7.0	INT-G	Y	2004AJ....127.2856B	
10151	10340	10151_10340.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	31	T5.0		Y	2004AJ....127.2856B	
10152	10342	10152_10342.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	44	M7.0	VL-G	Y	2004AJ....127.2856B	
10153	10423	10153_10423.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	56	T2.0		Y	2004ApJ...604L..61C	
10154	11423	10154_11423.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	202	M8.0	FLD-G	Y	2004AJ....127.2856B	
10155	11487	10155_11487.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	180	M8.0	FLD-G	Y	2004AJ....127.2856B	
10156	11584	10156_11584.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	286	M5.0		Y	2004AJ....127.2856B	
10157	11607	10157_11607.fits	SpeX prism	20030919		52901.5			Burgasser	120			Tomoki		OK	225	M9.0	FLD-G	Y	2004AJ....127.2856B	
10158	10458	10158_10458.fits	SpeX prism	20040310		53074.5				120					OK	32	M4.0		Y	2006ApJ...645.1485B	
10159	10513	10159_10513.fits	SpeX prism	20040310		53074.5				120					OK	24	T7.0		Y	2006ApJ...639.1095B	
10160	10538	10160_10538.fits	SpeX prism	20040310		53074.5				120					OK	20	T5.0		Y	2006ApJ...637.1067B	
10161	10566	10161_10566.fits	SpeX prism	20040310		53074.5			Burgasser	120					OK	37	M3.0		N	BURGASSER-NP	
10162	10591	10162_10591.fits	SpeX prism	20040310		53074.5				120					POOR	10	T1.0		Y	2006ApJ...637.1067B	
10163	10665	10163_10665.fits	SpeX prism	20040310		53074.5				120					POOR	6	T8.0		Y	2006ApJ...637.1067B	
10164	10672	10164_10672.fits	SpeX prism	20040310		53074.5				120					POOR	19	T2.0		Y	2006ApJ...637.1067B	
10165	10436	10165_10436.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	16	M6.0		N	BURGASSER-NP	
10166	10459	10166_10459.fits	SpeX prism	20040311		53075.5				120					OK	45	T4.0		Y	2006ApJ...637.1067B	
10167	10474	10167_10474.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	16	M8.0	INT-G	N	BURGASSER-NP	
10168	10500	10168_10500.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	17	M8.0	VL-G	N	BURGASSER-NP	
10169	10512	10169_10512.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	12	M6.0		N	BURGASSER-NP	
10170	10658	10170_10658.fits	SpeX prism	20040311		53075.5				120					OK	27	M6.0		Y	2014ApJ...794..143B	
10171	10662	10171_10662.fits	SpeX prism	20040311		53075.5				120					OK	24	T6.0		Y	2006ApJ...639.1095B	
10172	10691	10172_10691.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	18	M6.0		N	BURGASSER-NP	
10173	10698	10173_10698.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	12	M8.0	VL-G	N	BURGASSER-NP	
10174	10771	10174_10771.fits	SpeX prism	20040311		53075.5				120					OK	221	M7.0	INT-G	Y	2008ApJ...681..579B	
10175	10791	10175_10791.fits	SpeX prism	20040311		53075.5				120					POOR	6	T6.0		Y	2006ApJ...639.1095B	
10176	10886	10176_10886.fits	SpeX prism	20040311		53075.5				120					OK	10	T7.0		Y	2006ApJ...639.1095B	
10177	10973	10177_10973.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	25	M6.0		N	BURGASSER-NP	
10178	10989	10178_10989.fits	SpeX prism	20040311		53075.5			Burgasser	120					POOR	16	M4.0		N	BURGASSER-NP	
10179	10447	10179_10447.fits	SpeX prism	20040312		53076.5			Burgasser	120					POOR	31	M6.0		N	BURGASSER-NP	
10180	10494	10180_10494.fits	SpeX prism	20040312		53076.5			Burgasser	120					POOR	25	M6.0		N	BURGASSER-NP	
10181	10497	10181_10497.fits	SpeX prism	20040312		53076.5			Burgasser	120					OK	151			Y	BURGASSER-NP	
10182	10507	10182_10507.fits	SpeX prism	20040312		53076.5			Burgasser	120					OK	29	M6.0		N	BURGASSER-NP	
10183	10591	10183_10591.fits	SpeX prism	20040312		53076.5				120					POOR	14	T1.0		Y	2006ApJ...637.1067B	
10184	10608	10184_10608.fits	SpeX prism	20040312		53076.5			Burgasser	120					POOR	31	M7.0	INT-G	N	BURGASSER-NP	
10185	10665	10185_10665.fits	SpeX prism	20040312		53076.5				120					OK	11	T8.0		Y	2006ApJ...639.1095B	
10186	10672	10186_10672.fits	SpeX prism	20040312		53076.5				120					OK	41	T2.0		Y	2006ApJ...637.1067B	
10187	10697	10187_10697.fits	SpeX prism	20040312		53076.5			Burgasser	120					POOR	28	M8.0	FLD-G	N	BURGASSER-NP	
10188	10700	10188_10700.fits	SpeX prism	20040312		53076.5				120					OK	87	M5.0		Y	2004ApJ...614L..73B	
10189	10711	10189_10711.fits	SpeX prism	20040312		53076.5				120					OK	31	T3.0		Y	2006ApJ...637.1067B	
10190	10800	10190_10800.fits	SpeX prism	20040312		53076.5				120					OK	5	T8.0		Y	2006ApJ...639.1095B	
10191	10810	10191_10810.fits	SpeX prism	20040312		53076.5				120					OK	50	T2.0		Y	2006ApJ...637.1067B	
10192	10939	10192_10939.fits	SpeX prism	20040312		53076.5			Burgasser	120					OK	20	M6.0		N	BURGASSER-NP	
10193	10989	10193_10989.fits	SpeX prism	20040312		53076.5			Burgasser	120					OK	62	M4.0		N	BURGASSER-NP	
10194	11007	10194_11007.fits	SpeX prism	20040312		53076.5				120					OK	21	T6.0		Y	2006ApJ...639.1095B	
10195	11044	10195_11044.fits	SpeX prism	20040312		53076.5			Burgasser	120					POOR	27	M7.0	FLD-G	N	BURGASSER-NP	
10196	11058	10196_11058.fits	SpeX prism	20040312		53076.5				120					OK	313	M9.0	FLD-G	Y	2006AJ....131.1007B	
10197	11074	10197_11074.fits	SpeX prism	20040312		53076.5				120					OK	201	M5.0		Y	2004ApJ...614L..73B	
