DATA_KEY	SOURCE_KEY	DATA_FILE	OBSERVATION_DATE	OBSERVATION_TIME	JULIAN_DATE	PROGRAM_NUMBER	PROGRAM_PI	OBSERVER	RESOLUTION	AIRMASS	REDUCTION_SPEXTOOL_VERSION	REDUCTION_PERSON	REDUCTION_DATE	QUALITY_FLAG	MEDIAN_SNR	SPEX_TYPE	PUBLISHED	DATA_REFERENCE	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPTICAL_REFERENCE	NIR_TYPE	NIR_REFERENCE	LIT_TYPE	LIT_TYPE_REF	LUMINOSITY_CLASS	METALLICITY_CLASS	OBJECT_TYPE	J_2MASS	J_2MASS_E	H_2MASS	H_2MASS_E	KS_2MASS	KS_2MASS_E	JK_SPT	DJK	COLOR_EXTREMITY	PARALLAX	PARALLAX_E	PARALLEX _REF	DISTANCE_PHOT	DISTANCE_PHOT_E	DISTANCE_PHOT_METHOD	DISTANCE	DISTANCE_E	MU_RA	MU_RA_E	MU_DEC	MU_DEC_E	MU_REF	GRAVITY_CLASS_OPTICAL	GRAVITY_CLASS_OPTICAL_REF	GRAVITY_CLASS_NIR	GRAVITY_CLASS_NIR_REF	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	BINARY_REF	SBINARY	SBINARY_REF	COMPANION	COMPANION_NAME	COMPANION_REF	RA_SDSS	RA_SDSS_E	DEC_SDSS	DEC_SDSS_E	DESIGNATION_SDSS	EPOCH_SDSS	R_SDSS	R_SDSS_E	I_SDSS	I_SDSS_E	Z_SDSS	Z_SDSS_E	RA_2MASS	RA_2MASS_E	DEC_2MASS	DEC_2MASS_E	DESIGNATION_2MASS	EPOCH_2MASS	RA_WISE	RA_WISE_E	DEC_WISE	DEC_WISE_E	DESIGNATION_WISE	EPOCH_WISE	W1_WISE	W1_WISE_E	W2_WISE	W2_WISE_E	W3_WISE	W3_WISE_E	W4_WISE	W4_WISE_E	RA_UKIDSS	RA_UKIDSS_E	DEC_UKIDSS	DEC_UKIDSS_E	DESIGNATION_UKIDSS	EPOCH_UKIDSS	Y_UKIDSS	Y_UKIDSS_E	J_UKIDSS	J_UKIDSS_E	H_UKIDSS	H_UKIDSS_E	K_UKIDSS	K_UKIDSS_E	RA_SSSPM	RA_SSSPM_E	DEC_SSSPM	DEC_SSSPM_E	DESIGNATION_SSSPM	EPOCH_SSSPM	B_SSSPM	B_SSSPM_E	R_SSSPM	R_SSSPM_E	I_SSSPM	I_SSSPM_E	MU_RA_SSSPM	MU_RA_SSSPM_E	MU_DEC_SSSPM	MU_DEC_SSSPM_E	CH1_IRAC	CH1_IRAC_E	CH2_IRAC	CH2_IRAC_E	CH3_IRAC	CH3_IRAC_E	CH4_IRAC	CH4_IRAC_E	U_ALT	V_ALT	B_ALT	R_ALT	I_ALT	J_ALT	H_ALT	K_ALT	ALT_PHOT_REF
10247	10010	10247_10010.fits	20040907	--	53255.5	--	--	--	120	--	--	--	--	OK	350	L4.8	Y	2007ApJ...659..655B	LHS 102B	J00043484-4044058	1.1451666	-40.734943	1999AandA...351L...5E	L5	2001AJ....121.3235K	L4.5	2004AJ....127.3553K	L5	--	--	--	VLM	13.109	0.024	12.055	0.026	11.396	0.026	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	binary companion	Y	--	--	--	Y	LHS 102A	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10248	10011	10248_10011.fits	20040907	--	53255.5	--	--	--	120	--	--	--	--	OK	557	M5.5	N	BUR-NP	LHS 102A	J00043642-4044020	1.1517501	-40.733891	--	M3.5	--	--	--	M3.5	--	--	--	VLM	8.601	0.021	8.043	0.031	7.737	0.04	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	companion	--	--	--	--	Y	LHS 102BC	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10857	10012	10857_10012.fits	20071012	10 52 12.8668	54385.953	--	--	--	120	1.145	3.3	--	--	OK	141	M4.8	Y	2010ApJS..190..100K	NLTT 184	J00054517+0723423	1.4382085	7.3950834	2010ApJS..190..100K	M4	2010ApJS..190..100K	sdM6	2010ApJS..190..100K	M4	--	--	sd	VLM	14.812	0.035	14.345	0.063	14.031	0.063	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	subdwarf	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10698	10013	10698_10013.fits	20060903	--	53981.5	--	--	--	120	--	--	--	--	OK	312	M8.7	Y	2014ApJ...794..143B	LEHPM 1-162	J00054768-2157176	1.4486667	-21.954889	2004AandA...421..763P	M8.5	--	M8	BUR-NP	M8.5	--	--	--	VLM	13.274	0.025	12.617	0.024	12.201	0.03	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11141	10014	11141_10014.fits	20080908	--	54717.5	--	--	--	120	--	--	--	--	OK	114	L2.7:	Y	2014ApJ...794..143B	2MASSI J0006205-172051	J00062050-1720506	1.5854167	-17.347389	2003AandA...403..929K	L2.5	2003AandA...403..929K	--	--	L2.5	--	--	--	VLM	15.662	0.065	14.646	0.059	14.01	0.052	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11983	10015	11983_10015.fits	20130103	06 03 33.259302	56295.752	--	--	--	75	1.556	3.4	--	--	POOR	22	L7.1	Y	2014ApJ...787..126L	WISE J000622.67-131955.2	J00062267-131955.2	1.5944583	-13.331944	2014ApJ...781....4L	--	--	L5 pec	2014ApJ...787..126L	L5 pec	--	--	--	VLM	16.67	0.13	15.55	0.11	15.12	0.13	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11267	10016	11267_10016.fits	20090630	14 41 18.045730	55013.112	--	--	vervack	120	1.049	3.4	--	--	OK	82	L0.4	Y	2014ApJ...794..143B	SDSS J000632.60+140606.4	J00063260+1406064	1.6358334	14.101778	2008AJ....135..785W	L1	2008AJ....135..785W	--	--	L1	--	--	--	VLM	15.849	0.062	15.302	0.074	15.06	0.147	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11325	10016	11325_10016.fits	20091108	07 21 42.678957	55143.807	--	--	burgasser	120	1.006	3.4	--	--	POOR	35	L0.5	N	BUR-NP	SDSS J000632.60+140606.4	J00063260+1406064	1.6358334	14.101778	2008AJ....135..785W	L1	2008AJ....135..785W	--	--	L1	--	--	--	VLM	15.849	0.062	15.302	0.074	15.06	0.147	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11879	10017	11879_10017.fits	20130903	11 21 52.294565	56538.974	--	--	"bardalez gagliuffi, schmidt"	120	1.006	3.4	--	--	OK	108	L4.3	N	BUR-NP	SDSS J000646.81+151225.8	J00064681+1512258	1.6950417	15.207167	2010MNRAS.404.1817Z	L4::	2010MNRAS.404.1817Z	--	--	L4::	--	--	--	VLM	16.22	0.09	15.25	0.08	14.81	0.12	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11294	10018	11294_10018.fits	20091104	08 08 43.782665	55139.839	--	--	burgasser	120	1.155	3.4	--	--	OK	169	L0.1	Y	2012ApJ...757..110B	SDSS J000649.16-085246.3	J00064916-0852463	1.7048334	-8.879528	2008AJ....135..785W	M9	2008AJ....135..785W	M9+T5	2012ApJ...757..110B	M9	--	--	--	VLM	14.143	0.03	13.551	0.028	13.132	0.039	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	sbinary companion binary	Y	--	Y	Y	Y	LP 704-48	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
