#LAM	TRANSMISSION
0.9702660156	9.58969e-05
0.971	0.000110596
0.972	0.000130755
0.973	0.000150973
0.974	0.000171105
0.975	0.000191422
0.976	0.000211797
0.977	0.000232229
0.978	0.0002525
0.979	0.000273025
0.98	0.000293603
0.98026875	0.000299101
0.981	0.000296351
0.982	0.000292331
0.983	0.000288552
0.984	0.000284909
0.985	0.000281251
0.986	0.000277341
0.987	0.000273657
0.988	0.000269957
0.989	0.000266244
0.99	0.000262291
0.9902714844	0.000261277
0.991	0.000272122
0.992	0.000287035
0.993	0.000301978
0.994	0.00031695
0.995	0.000331667
0.996	0.000346681
0.997	0.000361723
0.998	0.00037679
0.999	0.000391881
1.0	0.000406647
1.0002741211000001	0.000410853
1.001	0.000440388
1.002	0.00048118
1.003	0.00052209
1.004	0.000563117
1.005	0.000603741
1.006	0.000644961
1.007	0.000686293
1.008	0.000727736
1.009	0.000769287
1.01	0.000810946
1.0102768555000001	0.000822497
1.011	0.000842817
1.012	0.000870226
1.013	0.000898422
1.014	0.000926682
1.015	0.000955005
1.016	0.000983391
1.017	0.00101184
1.018	0.00104035
1.019	0.001068
1.02	0.0010966
1.0202795898	0.00110463
1.021	0.0012298
1.022	0.00140395
1.023	0.00157855
1.024	0.00175358
1.025	0.00192906
1.026	0.00210497
1.027	0.00228132
1.028	0.00245808
1.029	0.00263301
1.03	0.00281046
1.0302823242	0.00286063
1.031	0.00299306
1.032	0.00317794
1.033	0.00336325
1.034	0.00354897
1.035	0.00373511
1.036	0.00392167
1.037	0.00410863
1.038	0.00429599
1.039	0.00448377
1.04	0.00467194
1.0402849609	0.00472569
1.041	0.00516383
1.042	0.00577782
1.043	0.00639321
1.044	0.00701002
1.045	0.00762823
1.046	0.00824073
1.047	0.00886118
1.048	0.00948302
1.049	0.0101062
1.05	0.0107308
1.0502876953	0.0109082
1.051	0.0117185
1.052	0.0128568
1.053	0.0139957
1.054	0.0151353
1.055	0.0162756
1.056	0.0174165
1.057	0.0185582
1.058	0.0197005
1.059	0.0208434
1.06	0.0219871
